,Player,Pos,G,MP,Roster
0,Anthony Mason,PF,80,40.7,2001MIA
1,Eddie Jones,SG,63,36.2,2001MIA
2,Tim Hardaway,PG,77,33.9,2001MIA
3,Brian Grant,C,82,33.8,2001MIA
4,Bruce Bowen,SF,82,32.7,2001MIA
5,Dan Majerle,SG,53,24.6,2001MIA
6,Alonzo Mourning,C,13,23.5,2001MIA
7,Anthony Carter,PG,72,22.6,2001MIA
8,A.C. Green,PF,82,17.2,2001MIA
9,Cedric Ceballos,SF,27,14.6,2001MIA
10,Duane Causwell,C,31,12.4,2001MIA
11,Jamal Robinson,SF,6,12.0,2001MIA
12,Eddie House,PG,50,11.0,2001MIA
13,Ricky Davis,SG,7,10.0,2001MIA
14,Don MacLean,SF,8,9.5,2001MIA
15,Todd Fuller,C,10,7.7,2001MIA
16,Team Totals,,82,242.4,2001MIA
17,Ron Mercer,SG,61,41.6,2001CHI
18,Elton Brand,PF,74,39.3,2001CHI
19,Metta World Peace,SF,76,31.1,2001CHI
20,Fred Hoiberg,SG,74,30.4,2001CHI
21,Bryce Drew,PG,48,27.2,2001CHI
22,Brad Miller,C,57,25.2,2001CHI
23,Marcus Fizer,PF,72,21.9,2001CHI
24,Michael Ruffin,PF,45,19.5,2001CHI
25,A.J. Guyton,PG,33,19.1,2001CHI
26,Khalid El-Amin,PG,50,18.7,2001CHI
27,Jamal Crawford,PG,61,17.2,2001CHI
28,Dragan Tarlać,C,43,13.9,2001CHI
29,Corey Benjamin,PG,65,13.2,2001CHI
30,Steve Goodrich,PF,12,11.1,2001CHI
31,Jake Voskuhl,C,16,8.9,2001CHI
32,Dalibor Bagarić,C,35,7.4,2001CHI
33,Team Totals,,82,242.1,2001CHI
34,Allen Iverson,SG,71,42.0,2001PHI
35,Theo Ratliff,C,50,36.0,2001PHI
36,Eric Snow,PG,50,34.8,2001PHI
37,Dikembe Mutombo,C,26,33.7,2001PHI
38,George Lynch,SF,82,32.3,2001PHI
39,Aaron McKie,SG,76,31.5,2001PHI
40,Tyrone Hill,PF,76,31.1,2001PHI
41,Toni Kukoč,SF,48,20.4,2001PHI
42,Vernon Maxwell,PG,24,15.6,2001PHI
43,Matt Geiger,C,35,15.5,2001PHI
44,Roshown McLeod,SF,1,15.0,2001PHI
45,Kevin Ollie,PG,51,15.0,2001PHI
46,Jumaine Jones,SF,65,13.3,2001PHI
47,Rodney Buford,SF,47,12.2,2001PHI
48,Todd MacCulloch,C,63,9.5,2001PHI
49,Nazr Mohammed,C,30,6.5,2001PHI
50,Raja Bell,SG,5,6.0,2001PHI
51,Pepe Sánchez,PG,24,4.8,2001PHI
52,Anthony Miller,PF,1,2.0,2001PHI
53,Team Totals,,82,242.1,2001PHI
54,Stephon Marbury,PG,67,38.2,2001NJN
55,Keith Van Horn,SF,49,35.4,2001NJN
56,Kenyon Martin,PF,68,33.4,2001NJN
57,Kendall Gill,SG,31,28.8,2001NJN
58,Aaron Williams,PF,82,28.5,2001NJN
59,Lucious Harris,SG,73,28.4,2001NJN
60,Doug Overton,PG,12,26.3,2001NJN
61,Johnny Newman,SG,82,25.0,2001NJN
62,Jamie Feick,C,6,24.8,2001NJN
63,Mark Strickland,SF,9,22.4,2001NJN
64,Stephen Jackson,SF,77,21.6,2001NJN
65,Eddie Gill,PG,8,19.0,2001NJN
66,Sherman Douglas,PG,59,18.5,2001NJN
67,Evan Eschmeyer,C,74,18.0,2001NJN
68,Jamel Thomas,SF,5,11.2,2001NJN
69,Jim McIlvaine,C,18,10.7,2001NJN
70,Vladimir Stepania,C,29,9.7,2001NJN
71,Kevin Ollie,PG,19,8.5,2001NJN
72,Soumaila Samake,C,34,6.6,2001NJN
73,Team Totals,,82,240.6,2001NJN
74,Antawn Jamison,SF,82,41.4,2001GSW
75,Larry Hughes,SG,50,36.9,2001GSW
76,Mookie Blaylock,PG,69,34.1,2001GSW
77,Danny Fortson,PF,6,33.8,2001GSW
78,Chris Mills,SF,15,32.9,2001GSW
79,Bob Sura,SG,53,31.8,2001GSW
80,Marc Jackson,C,48,29.4,2001GSW
81,Adonal Foyle,C,58,25.1,2001GSW
82,Corie Blount,PF,38,24.2,2001GSW
83,Erick Dampier,C,43,24.1,2001GSW
84,Vonteego Cummings,PG,66,22.7,2001GSW
85,Chris Porter,SF,51,22.5,2001GSW
86,Chris Mullin,SF,20,18.7,2001GSW
87,Chris Garner,PG,8,18.6,2001GSW
88,Vinny Del Negro,PG,29,13.7,2001GSW
89,Paul McPherson,PG,22,13.0,2001GSW
90,Adam Keefe,PF,67,12.5,2001GSW
91,Chucky Brown,SF,6,12.3,2001GSW
92,Bill Curley,PF,15,11.8,2001GSW
93,John Coker,C,6,5.3,2001GSW
94,Rubén Garcés,PF,3,3.7,2001GSW
95,Randy Livingston,PG,2,3.5,2001GSW
96,Team Totals,,82,241.2,2001GSW
97,Antoine Walker,PF,81,41.9,2001BOS
98,Paul Pierce,SF,82,38.0,2001BOS
99,Bryant Stith,SG,78,32.1,2001BOS
100,Kenny Anderson,PG,33,25.7,2001BOS
101,Vitaly Potapenko,C,82,23.2,2001BOS
102,Randy Brown,PG,54,22.9,2001BOS
103,Eric Williams,SF,81,21.5,2001BOS
104,Tony Battie,C,40,21.1,2001BOS
105,Doug Overton,PG,7,20.6,2001BOS
106,Rick Brunson,PG,7,20.3,2001BOS
107,Milt Palacio,PG,58,19.7,2001BOS
108,Mark Blount,C,64,17.2,2001BOS
109,Chris Herren,PG,25,16.3,2001BOS
110,Chris Carr,SG,35,8.8,2001BOS
111,Adrian Griffin,SF,44,8.6,2001BOS
112,Walter McCarty,PF,60,8.0,2001BOS
113,Jérôme Moïso,C,24,5.6,2001BOS
114,Team Totals,,82,241.8,2001BOS
115,Jalen Rose,SF,72,40.9,2001IND
116,Reggie Miller,SG,81,39.3,2001IND
117,Jermaine O'Neal,C,81,32.6,2001IND
118,Travis Best,PG,77,31.9,2001IND
119,Al Harrington,PF,78,24.3,2001IND
120,Austin Croshere,PF,81,23.1,2001IND
121,Jeff Foster,C,71,16.2,2001IND
122,Sam Perkins,PF,64,15.6,2001IND
123,Derrick McKey,SF,66,15.0,2001IND
124,Žan Tabak,C,55,14.1,2001IND
125,Tyus Edney,PG,24,11.0,2001IND
126,Bruno Šundov,C,11,10.9,2001IND
127,Jonathan Bender,SF,59,9.7,2001IND
128,Terry Mills,PF,14,8.1,2001IND
129,Lari Ketner,PF,3,2.3,2001IND
130,Team Totals,,82,243.7,2001IND
131,Jason Terry,SG,82,37.7,2001ATL
132,Toni Kukoč,SF,17,36.4,2001ATL
133,Dikembe Mutombo,C,49,35.0,2001ATL
134,Jim Jackson,SF,17,32.4,2001ATL
135,Brevin Knight,PG,47,29.0,2001ATL
136,Lorenzen Wright,C,71,28.0,2001ATL
137,Roshown McLeod,SF,34,26.7,2001ATL
138,Nazr Mohammed,C,28,25.6,2001ATL
139,Matt Maloney,PG,55,25.5,2001ATL
140,Alan Henderson,PF,73,24.8,2001ATL
141,Chris Crawford,PF,47,19.2,2001ATL
142,Larry Robinson,PG,33,19.1,2001ATL
143,DerMarr Johnson,SF,78,16.8,2001ATL
144,Dion Glover,SG,57,16.3,2001ATL
145,Hanno Möttölä,SF,73,13.5,2001ATL
146,Tony Smith,SG,6,13.0,2001ATL
147,Anthony Johnson,PG,25,11.2,2001ATL
148,Cal Bowdler,SF,44,8.5,2001ATL
149,Pepe Sánchez,PG,5,6.8,2001ATL
150,Ira Bowman,PG,3,6.3,2001ATL
151,Sean Colson,PG,3,4.7,2001ATL
152,Anthony Miller,PF,2,3.0,2001ATL
153,Andy Panko,SF,1,1.0,2001ATL
154,Team Totals,,82,240.6,2001ATL
155,Latrell Sprewell,SF,77,39.2,2001NYK
156,Allan Houston,SG,78,36.6,2001NYK
157,Marcus Camby,C,63,33.8,2001NYK
158,Larry Johnson,PF,65,32.4,2001NYK
159,Glen Rice,SF,75,29.5,2001NYK
160,Kurt Thomas,PF,77,27.6,2001NYK
161,Mark Jackson,PG,29,27.1,2001NYK
162,Chris Childs,PG,51,25.7,2001NYK
163,Charlie Ward,PG,61,24.5,2001NYK
164,Othella Harrington,C,30,18.3,2001NYK
165,Erick Strickland,PG,28,15.0,2001NYK
166,Luc Longley,C,25,12.0,2001NYK
167,Lavor Postell,SG,26,6.5,2001NYK
168,Felton Spencer,C,18,6.3,2001NYK
169,Travis Knight,C,45,5.7,2001NYK
170,Rick Brunson,PG,15,4.4,2001NYK
171,Team Totals,,82,242.7,2001NYK
172,Vince Carter,SF,75,39.7,2001TOR
173,Charles Oakley,PF,78,35.5,2001TOR
174,Antonio Davis,C,78,35.0,2001TOR
175,Mark Jackson,PG,54,33.4,2001TOR
176,Alvin Williams,SG,82,29.2,2001TOR
177,Morris Peterson,SG,80,22.6,2001TOR
178,Kevin Willis,C,35,22.0,2001TOR
179,Chris Childs,PG,26,21.2,2001TOR
180,Corliss Williamson,SF,42,21.1,2001TOR
181,Keon Clark,PF,46,21.0,2001TOR
182,Jerome Williams,PF,26,14.5,2001TOR
183,Dell Curry,SG,71,13.5,2001TOR
184,Tracy Murray,SF,38,11.9,2001TOR
185,Muggsy Bogues,PG,3,11.3,2001TOR
186,Kornél Dávid,SF,17,8.2,2001TOR
187,Tyrone Corbin,SF,15,7.8,2001TOR
188,Eric Montross,C,12,6.8,2001TOR
189,Michael Stewart,C,26,4.7,2001TOR
190,Garth Joseph,C,2,4.0,2001TOR
191,Mamadou N'Diaye,C,3,3.3,2001TOR
192,Team Totals,,82,243.4,2001TOR
193,Andre Miller,PG,82,34.7,2001CLE
194,Clarence Weatherspoon,PF,82,33.8,2001CLE
195,Jim Jackson,SF,39,29.2,2001CLE
196,Matt Harpring,SG,56,28.8,2001CLE
197,Lamond Murray,SF,78,28.5,2001CLE
198,Zydrunas Ilgauskas,C,24,25.7,2001CLE
199,Chris Gatling,PF,74,22.6,2001CLE
200,Wesley Person,SG,44,21.8,2001CLE
201,Chris Mihm,C,59,19.8,2001CLE
202,Cedric Henderson,SF,55,17.5,2001CLE
203,Robert Traylor,C,70,17.3,2001CLE
204,Trajan Langdon,SG,65,17.2,2001CLE
205,Bimbo Coles,PG,47,17.1,2001CLE
206,Brevin Knight,PG,6,15.5,2001CLE
207,Chucky Brown,SF,20,13.3,2001CLE
208,Anthony Johnson,PG,28,8.3,2001CLE
209,Michael Hawkins,PG,10,7.6,2001CLE
210,J.R. Reid,PF,6,6.5,2001CLE
211,Etdrick Bohannon,PF,6,3.2,2001CLE
212,Larry Robinson,SG,1,1.0,2001CLE
213,Team Totals,,82,241.8,2001CLE
214,Tracy McGrady,SG,77,40.1,2001ORL
215,Darrell Armstrong,PG,75,36.9,2001ORL
216,Grant Hill,SF,4,33.3,2001ORL
217,Bo Outlaw,PF,80,31.7,2001ORL
218,Mike Miller,SF,82,29.1,2001ORL
219,Dee Brown,PG,7,22.1,2001ORL
220,John Amaechi,C,82,20.9,2001ORL
221,Pat Garrity,SF,76,20.8,2001ORL
222,Michael Doleac,C,77,18.2,2001ORL
223,Monty Williams,SF,82,14.8,2001ORL
224,Andrew DeClercq,C,67,13.5,2001ORL
225,Troy Hudson,PG,75,13.4,2001ORL
226,Don Reid,PF,65,11.8,2001ORL
227,Cory Alexander,PG,26,8.7,2001ORL
228,James Robinson,PG,6,8.3,2001ORL
229,Elliot Perry,PG,6,6.5,2001ORL
230,Team Totals,,82,243.4,2001ORL
231,Jason Kidd,PG,77,39.8,2001PHO
232,Shawn Marion,SF,79,36.2,2001PHO
233,Clifford Robinson,PF,82,33.5,2001PHO
234,Anfernee Hardaway,SG,4,28.0,2001PHO
235,Tony Delk,SG,82,27.9,2001PHO
236,Rodney Rogers,SF,82,26.6,2001PHO
237,Mario Elie,SG,68,22.1,2001PHO
238,Tom Gugliotta,PF,57,20.3,2001PHO
239,Jake Tsakalidis,C,57,16.6,2001PHO
240,Vinny Del Negro,PG,36,14.6,2001PHO
241,Corie Blount,PF,30,12.9,2001PHO
242,Chris Dudley,C,53,11.6,2001PHO
243,Daniel Santiago,C,54,10.8,2001PHO
244,Elliot Perry,PG,43,10.7,2001PHO
245,Paul McPherson,PG,33,9.3,2001PHO
246,Rubén Garcés,PF,10,6.2,2001PHO
247,Team Totals,,82,241.5,2001PHO
248,Nick Van Exel,PG,71,37.9,2001DEN
249,Antonio McDyess,PF,70,36.5,2001DEN
250,Raef LaFrentz,C,78,31.5,2001DEN
251,Voshon Lenard,SG,80,29.1,2001DEN
252,James Posey,SF,82,27.5,2001DEN
253,George McCloud,SF,76,26.4,2001DEN
254,Kevin Willis,C,43,24.6,2001DEN
255,Keon Clark,PF,35,21.5,2001DEN
256,Calbert Cheaney,SG,9,17.0,2001DEN
257,Robert Pack,PG,74,17.0,2001DEN
258,Tariq Abdul-Wahad,SG,29,14.5,2001DEN
259,Ryan Bowen,SF,57,12.2,2001DEN
260,Terry Davis,PF,19,12.0,2001DEN
261,Mark Strickland,SF,46,11.2,2001DEN
262,Tracy Murray,SF,13,10.4,2001DEN
263,Anthony Goldwire,PG,20,10.1,2001DEN
264,Dan McClintock,C,6,9.7,2001DEN
265,Garth Joseph,C,2,4.0,2001DEN
266,Team Totals,,82,241.2,2001DEN
267,Steve Francis,PG,80,39.9,2001HOU
268,Cuttino Mobley,SG,79,38.0,2001HOU
269,Shandon Anderson,SG,82,29.2,2001HOU
270,Maurice Taylor,SF,69,28.6,2001HOU
271,Hakeem Olajuwon,C,58,26.6,2001HOU
272,Kenny Thomas,PF,74,24.6,2001HOU
273,Walt Williams,SF,72,22.0,2001HOU
274,Moochie Norris,PG,82,20.2,2001HOU
275,Kelvin Cato,C,35,17.8,2001HOU
276,Matt Bullard,PF,61,16.4,2001HOU
277,Carlos Rogers,C,39,13.9,2001HOU
278,Jason Collier,C,23,9.7,2001HOU
279,Dan Langhi,SF,33,7.3,2001HOU
280,Sean Colson,PG,10,3.0,2001HOU
281,Anthony Miller,PF,1,3.0,2001HOU
282,Team Totals,,82,241.8,2001HOU
283,Kevin Garnett,PF,81,39.5,2001MIN
284,Terrell Brandon,PG,78,36.2,2001MIN
285,Wally Szczerbiak,SF,82,34.8,2001MIN
286,Anthony Peeler,SG,75,28.3,2001MIN
287,LaPhonso Ellis,PF,82,23.8,2001MIN
288,Chauncey Billups,SG,77,23.2,2001MIN
289,Felipe López,PG,23,19.9,2001MIN
290,Rasho Nesterović,C,73,16.9,2001MIN
291,Reggie Slater,PF,55,12.5,2001MIN
292,Sam Mitchell,SF,82,12.0,2001MIN
293,Dean Garrett,C,70,11.9,2001MIN
294,Todd Day,SG,31,11.1,2001MIN
295,William Avery,PG,55,8.4,2001MIN
296,Tom Hammonds,PF,7,4.3,2001MIN
297,Sam Jacobson,PG,14,4.2,2001MIN
298,Team Totals,,82,241.8,2001MIN
299,Tim Duncan,PF,82,38.7,2001SAS
300,Derek Anderson,SG,82,34.9,2001SAS
301,David Robinson,C,80,29.6,2001SAS
302,Antonio Daniels,PG,79,26.1,2001SAS
303,Sean Elliott,SF,52,23.6,2001SAS
304,Avery Johnson,PG,55,23.5,2001SAS
305,Malik Rose,PF,57,21.4,2001SAS
306,Danny Ferry,SF,80,21.1,2001SAS
307,Terry Porter,PG,80,21.0,2001SAS
308,Samaki Walker,PF,61,15.8,2001SAS
309,Steve Kerr,PG,55,11.8,2001SAS
310,Jaren Jackson,SG,16,7.1,2001SAS
311,Ira Newble,SF,27,6.8,2001SAS
312,Derrick Dial,SG,33,6.3,2001SAS
313,Shawnelle Scott,C,27,5.3,2001SAS
314,Team Totals,,82,241.8,2001SAS
315,Rasheed Wallace,PF,77,38.2,2001POR
316,Scottie Pippen,SF,64,33.3,2001POR
317,Damon Stoudamire,PG,82,32.4,2001POR
318,Steve Smith,SG,81,31.4,2001POR
319,Dale Davis,C,81,26.7,2001POR
320,Bonzi Wells,SF,75,26.6,2001POR
321,Arvydas Sabonis,C,61,21.3,2001POR
322,Stacey Augmon,SG,66,17.9,2001POR
323,Rod Strickland,PG,21,16.7,2001POR
324,Shawn Kemp,PF,68,15.9,2001POR
325,Detlef Schrempf,SF,26,15.3,2001POR
326,Greg Anthony,PG,58,14.8,2001POR
327,Antonio Harvey,PF,12,6.0,2001POR
328,Erick Barkley,PG,8,4.8,2001POR
329,Will Perdue,C,13,4.5,2001POR
330,Gary Grant,PG,4,4.3,2001POR
331,Team Totals,,82,241.2,2001POR
332,Chris Webber,PF,70,40.5,2001SAC
333,Peja Stojaković,SF,75,38.7,2001SAC
334,Doug Christie,SG,81,36.3,2001SAC
335,Vlade Divac,C,81,29.9,2001SAC
336,Jason Williams,PG,77,29.7,2001SAC
337,Scot Pollard,C,77,21.5,2001SAC
338,Bobby Jackson,PG,79,20.9,2001SAC
339,Hedo Türkoğlu,SF,74,16.8,2001SAC
340,Jon Barry,SG,62,16.3,2001SAC
341,Lawrence Funderburke,PF,59,11.8,2001SAC
342,Nick Anderson,SG,21,8.0,2001SAC
343,Jabari Smith,C,9,7.3,2001SAC
344,Darrick Martin,PG,31,5.7,2001SAC
345,Art Long,PF,9,2.2,2001SAC
346,Team Totals,,82,244.9,2001SAC
347,Jamal Mashburn,SF,76,39.3,2001CHH
348,Baron Davis,PG,82,38.9,2001CHH
349,David Wesley,SG,82,37.9,2001CHH
350,P.J. Brown,C,80,35.1,2001CHH
351,Elden Campbell,PF,78,30.0,2001CHH
352,Derrick Coleman,PF,34,20.1,2001CHH
353,Eddie Robinson,SF,67,17.9,2001CHH
354,Jamaal Magloire,C,74,14.8,2001CHH
355,Otis Thorpe,PF,49,13.2,2001CHH
356,Hersey Hawkins,SG,59,11.5,2001CHH
357,Lee Nailon,SF,42,11.2,2001CHH
358,Scott Burrell,SF,4,10.3,2001CHH
359,Eldridge Recasner,PG,43,9.4,2001CHH
360,Doug Overton,PG,2,7.5,2001CHH
361,Tim James,SF,30,6.6,2001CHH
362,Terrance Roberson,SF,3,4.3,2001CHH
363,Team Totals,,82,242.4,2001CHH
364,Jerry Stackhouse,SG,80,40.2,2001DET
365,Ben Wallace,C,80,34.5,2001DET
366,Corliss Williamson,SF,27,29.6,2001DET
367,Chucky Atkins,PG,81,29.2,2001DET
368,Joe Smith,PF,69,28.1,2001DET
369,Jerome Williams,PF,33,24.4,2001DET
370,Michael Curry,SG,68,21.8,2001DET
371,Dana Barros,PG,60,18.0,2001DET
372,Billy Owens,PF,45,17.6,2001DET
373,Mateen Cleaves,PG,78,16.3,2001DET
374,Mikki Moore,C,81,14.2,2001DET
375,Eric Montross,C,42,13.5,2001DET
376,John Wallace,SF,40,13.2,2001DET
377,Jud Buechler,SF,57,12.9,2001DET
378,Cedric Ceballos,SF,13,12.8,2001DET
379,Brian Cardinal,PF,15,8.4,2001DET
380,Kornél Dávid,SF,10,6.9,2001DET
381,Team Totals,,82,242.1,2001DET
382,Michael Finley,SF,82,42.0,2001DAL
383,Dirk Nowitzki,PF,82,38.1,2001DAL
384,Juwan Howard,PF,27,36.8,2001DAL
385,Steve Nash,PG,70,34.1,2001DAL
386,Howard Eisley,SG,82,29.6,2001DAL
387,Hubert Davis,PG,51,24.7,2001DAL
388,Shawn Bradley,C,82,24.4,2001DAL
389,Greg Buckner,SG,37,22.2,2001DAL
390,Calvin Booth,C,15,19.5,2001DAL
391,Christian Laettner,C,53,17.5,2001DAL
392,Vernon Maxwell,PG,19,15.0,2001DAL
393,Courtney Alexander,PG,38,12.4,2001DAL
394,Eduardo Nájera,PF,40,10.8,2001DAL
395,Loy Vaught,PF,37,10.6,2001DAL
396,Gary Trent,PF,33,9.7,2001DAL
397,Wang Zhizhi,C,5,7.6,2001DAL
398,Mark Bryant,PF,18,5.6,2001DAL
399,Donnell Harvey,PF,18,3.6,2001DAL
400,Bill Curley,PF,5,3.0,2001DAL
401,Obinna Ekezie,PF,4,2.0,2001DAL
402,Team Totals,,82,241.5,2001DAL
403,Gary Payton,PG,79,41.1,2001SEA
404,Rashard Lewis,PF,78,34.9,2001SEA
405,Vin Baker,PF,76,28.0,2001SEA
406,Ruben Patterson,SF,76,27.1,2001SEA
407,Patrick Ewing,C,79,26.7,2001SEA
408,Brent Barry,SG,67,26.5,2001SEA
409,Emanual Davis,SG,62,20.8,2001SEA
410,Desmond Mason,SF,78,19.5,2001SEA
411,Shammond Williams,PG,69,17.9,2001SEA
412,Jelani McCoy,C,70,16.3,2001SEA
413,David Wingate,SG,1,9.0,2001SEA
414,Rubén Wolkowyski,PF,34,9.0,2001SEA
415,Olumide Oyedeji,C,30,7.4,2001SEA
416,Pervis Ellison,C,9,4.4,2001SEA
417,Team Totals,,82,241.5,2001SEA
418,Shareef Abdur-Rahim,SF,81,40.0,2001VAN
419,Mike Bibby,PG,82,38.9,2001VAN
420,Michael Dickerson,SG,70,37.4,2001VAN
421,Othella Harrington,C,44,28.8,2001VAN
422,Bryant Reeves,C,75,24.4,2001VAN
423,Grant Long,PF,66,22.8,2001VAN
424,Damon Jones,PG,71,19.9,2001VAN
425,Erick Strickland,PG,22,18.6,2001VAN
426,Stromile Swift,PF,80,16.4,2001VAN
427,Isaac Austin,C,52,16.3,2001VAN
428,Tony Massenburg,PF,52,15.8,2001VAN
429,Kevin Edwards,SG,46,13.8,2001VAN
430,Mahmoud Abdul-Rauf,PG,41,11.9,2001VAN
431,Doug West,SG,15,11.4,2001VAN
432,Brent Price,PG,6,5.0,2001VAN
433,Team Totals,,82,241.2,2001VAN
434,Kobe Bryant,SG,68,40.9,2001LAL
435,Shaquille O'Neal,C,74,39.5,2001LAL
436,Derek Fisher,PG,20,35.5,2001LAL
437,Horace Grant,PF,77,31.0,2001LAL
438,Rick Fox,SF,82,27.9,2001LAL
439,Ron Harper,PG,47,24.2,2001LAL
440,Brian Shaw,SG,80,22.9,2001LAL
441,Robert Horry,PF,79,20.1,2001LAL
442,Isaiah Rider,SG,67,18.0,2001LAL
443,Mike Penberthy,PG,53,16.1,2001LAL
444,Tyronn Lue,PG,38,12.3,2001LAL
445,Devean George,SF,59,10.1,2001LAL
446,Mark Madsen,PF,70,9.2,2001LAL
447,Greg Foster,C,62,7.3,2001LAL
448,Stanislav Medvedenko,PF,7,5.6,2001LAL
449,Team Totals,,82,242.7,2001LAL
450,Lamar Odom,PF,76,37.3,2001LAC
451,Jeff McInnis,PG,81,35.0,2001LAC
452,Eric Piatkowski,SG,81,26.5,2001LAC
453,Darius Miles,SF,81,26.3,2001LAC
454,Michael Olowokandi,C,82,25.9,2001LAC
455,Tyrone Nesby,SG,14,23.8,2001LAC
456,Corey Maggette,SF,69,19.7,2001LAC
457,Sean Rooks,C,82,18.9,2001LAC
458,Quentin Richardson,SG,76,17.9,2001LAC
459,Derek Strong,PF,28,17.5,2001LAC
460,Cherokee Parks,C,52,16.8,2001LAC
461,Keyon Dooling,PG,76,16.3,2001LAC
462,Brian Skinner,PF,39,15.0,2001LAC
463,Earl Boykins,PG,10,14.9,2001LAC
464,Zendon Hamilton,C,3,6.3,2001LAC
465,Team Totals,,82,244.3,2001LAC
466,Karl Malone,PF,81,35.7,2001UTA
467,Bryon Russell,SF,78,31.7,2001UTA
468,John Stockton,PG,82,29.2,2001UTA
469,Donyell Marshall,SF,81,28.7,2001UTA
470,John Starks,SG,75,28.3,2001UTA
471,Olden Polynice,C,81,20.0,2001UTA
472,Jacque Vaughn,PG,82,19.8,2001UTA
473,Greg Ostertag,C,81,18.4,2001UTA
474,Danny Manning,PF,82,15.9,2001UTA
475,Quincy Lewis,SF,35,11.5,2001UTA
476,David Benoit,SF,49,9.1,2001UTA
477,John Crotty,PG,31,8.5,2001UTA
478,DeShawn Stevenson,SG,40,7.3,2001UTA
479,Scott Padgett,PF,27,4.7,2001UTA
480,Team Totals,,82,241.2,2001UTA
481,Juwan Howard,PF,54,36.7,2001WAS
482,Courtney Alexander,PG,27,33.7,2001WAS
483,Mitch Richmond,SG,37,32.9,2001WAS
484,Richard Hamilton,SF,78,32.3,2001WAS
485,Rod Strickland,PG,33,30.9,2001WAS
486,Christian Laettner,PF,25,29.3,2001WAS
487,Hubert Davis,PG,15,28.7,2001WAS
488,Chris Whitney,PG,59,26.0,2001WAS
489,Tyrone Nesby,SF,48,25.5,2001WAS
490,Jahidi White,C,68,23.7,2001WAS
491,Felipe López,SG,47,23.6,2001WAS
492,Michael Smith,PF,79,20.4,2001WAS
493,David Vanterpool,PG,22,18.7,2001WAS
494,Laron Profit,PG,35,17.3,2001WAS
495,Calvin Booth,C,40,16.0,2001WAS
496,Gerard King,SF,45,15.7,2001WAS
497,Popeye Jones,PF,45,14.2,2001WAS
498,Cherokee Parks,C,13,13.7,2001WAS
499,Loy Vaught,PF,14,11.2,2001WAS
500,Mike Smith,SF,17,10.6,2001WAS
501,Obinna Ekezie,PF,29,9.4,2001WAS
502,Team Totals,,82,240.0,2001WAS
503,Ray Allen,SG,82,38.2,2001MIL
504,Glenn Robinson,SF,76,37.0,2001MIL
505,Sam Cassell,PG,76,35.6,2001MIL
506,Tim Thomas,PF,76,27.4,2001MIL
507,Lindsey Hunter,PG,82,24.4,2001MIL
508,Ervin Johnson,C,82,24.2,2001MIL
509,Jason Caffey,PF,70,20.9,2001MIL
510,Scott Williams,C,66,19.3,2001MIL
511,Darvin Ham,SF,29,18.6,2001MIL
512,Mark Pope,PF,63,15.0,2001MIL
513,Jerome Kersey,SF,22,11.0,2001MIL
514,Jason Hart,PG,1,10.0,2001MIL
515,Joel Przybilla,C,33,8.2,2001MIL
516,Rafer Alston,PG,37,7.8,2001MIL
517,Michael Redd,SG,6,5.8,2001MIL
518,Team Totals,,82,241.2,2001MIL
519,Eddie Jones,SG,81,39.0,2002MIA
520,Jim Jackson,SF,55,33.2,2002MIA
521,Alonzo Mourning,C,75,32.7,2002MIA
522,Brian Grant,PF,72,31.3,2002MIA
523,Rod Strickland,PG,76,30.2,2002MIA
524,LaPhonso Ellis,SF,66,25.5,2002MIA
525,Anthony Carter,PG,46,22.8,2002MIA
526,Kendall Gill,SG,65,21.7,2002MIA
527,Eddie House,PG,64,19.2,2002MIA
528,Sean Marks,C,21,15.2,2002MIA
529,Chris Gatling,PF,54,15.0,2002MIA
530,Malik Allen,PF,12,13.4,2002MIA
531,Sam Mack,SF,12,13.3,2002MIA
532,Vladimir Stepania,C,67,13.2,2002MIA
533,Tang Hamilton,SF,9,10.9,2002MIA
534,Mike James,PG,15,7.9,2002MIA
535,Ernest Brown,C,3,7.0,2002MIA
536,Team Totals,,82,243.0,2002MIA
537,Jalen Rose,SF,30,40.5,2002CHI
538,Ron Mercer,SG,40,37.6,2002CHI
539,Metta World Peace,SF,27,30.5,2002CHI
540,Brad Miller,C,48,29.0,2002CHI
541,Trenton Hassell,SG,78,28.7,2002CHI
542,Greg Anthony,PG,36,26.7,2002CHI
543,Travis Best,PG,30,26.4,2002CHI
544,Marcus Fizer,PF,76,25.8,2002CHI
545,Charles Oakley,PF,57,24.3,2002CHI
546,Eddie Robinson,SF,29,22.5,2002CHI
547,Kevin Ollie,PG,52,22.0,2002CHI
548,Jamal Crawford,PG,23,20.9,2002CHI
549,Tyson Chandler,C,71,19.6,2002CHI
550,Fred Hoiberg,SG,79,17.8,2002CHI
551,Eddy Curry,C,72,16.0,2002CHI
552,A.J. Guyton,PG,45,13.5,2002CHI
553,Dalibor Bagarić,C,50,12.8,2002CHI
554,Norm Richardson,SG,8,7.9,2002CHI
555,Team Totals,,82,241.5,2002CHI
556,Allen Iverson,SG,60,43.7,2002PHI
557,Eric Snow,PG,61,36.5,2002PHI
558,Dikembe Mutombo,C,80,36.3,2002PHI
559,Derrick Coleman,PF,58,35.9,2002PHI
560,Matt Harpring,SF,81,31.4,2002PHI
561,Aaron McKie,SG,48,30.6,2002PHI
562,Speedy Claxton,PG,67,22.8,2002PHI
