,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
321,Aaron McKie,1.000,.118,.118,.118,.647,.000,.818,,.000,
515,Aaron Williams,.981,.434,.226,.170,.151,.019,.586,,.057,.000
341,Adam Morrison,.727,.119,.178,.130,.300,.273,.496,.851,.007,.147
153,Adonal Foyle,1.000,.541,.329,.071,.059,.000,.646,,.094,
181,Adrian Griffin,.953,.380,.155,.178,.240,.047,.557,,.008,.000
187,Al Harrington,.729,.343,.102,.110,.174,.271,.568,.937,.047,.246
251,Al Jefferson,.999,.422,.404,.120,.053,.001,.521,,.076,.000
11,Alan Anderson,.753,.383,.074,.086,.210,.247,.406,1.000,.012,.400
203,Alan Henderson,1.000,.776,.209,.015,.000,.000,.558,,.090,
254,Alexander Johnson,1.000,.586,.189,.166,.059,.000,.626,,.178,
407,Allan Ray,.552,.212,.054,.042,.243,.448,.577,.958,.008,.422
229,Allen Iverson,.850,.274,.130,.204,.241,.150,.183,.823,.002,.173
342,Alonzo Mourning,1.000,.482,.438,.056,.024,.000,.655,,.219,
516,Alvin Williams,.500,.500,.000,.000,.000,.500,,,.000,.000
462,Amar'e Stoudemire,.997,.530,.215,.107,.145,.003,.649,,.191,.000
255,Amir Johnson,.909,.667,.242,.000,.000,.091,.500,,.242,.333
486,Anderson Varejão,.978,.603,.197,.082,.095,.022,.607,,.067,.000
48,Andray Blatche,.863,.477,.132,.051,.203,.137,.451,1.000,.107,.222
30,Andre Barrett,1.000,.500,.000,.250,.250,.000,.500,,.000,
65,Andre Brown,.986,.514,.324,.108,.041,.014,.667,,.135,.000
224,Andre Iguodala,.844,.367,.054,.107,.315,.156,.468,.792,.126,.245
329,Andre Miller,.961,.333,.132,.231,.265,.039,.289,.800,.000,.057
28,Andrea Bargnani,.571,.190,.050,.110,.221,.429,.701,.910,.046,.026
170,Andreas Glyniadakis,1.000,.235,.412,.294,.059,.000,1.000,,.000,
281,Andrei Kirilenko,.821,.488,.067,.057,.208,.179,.729,.875,.122,.240
51,Andrew Bogut,.992,.599,.223,.100,.070,.008,.545,1.000,.103,.000
78,Andrew Bynum,.993,.569,.354,.063,.007,.007,.660,,.149,.333
41,Andris Biedriņš,1.000,.744,.251,.003,.002,.000,.716,,.131,
354,Andrés Nocioni,.642,.236,.110,.096,.200,.358,.689,1.000,.005,.220
246,Antawn Jamison,.667,.240,.175,.061,.191,.333,.588,.986,.003,.251
84,Anthony Carter,.750,.125,.000,.000,.625,.250,.333,,.000,.000
256,Anthony Johnson,.787,.172,.082,.192,.341,.213,.427,.760,.012,.233
375,Anthony Parker,.620,.188,.061,.100,.271,.380,.624,.983,.036,.648
418,Anthony Roberson,.471,.096,.058,.067,.250,.529,.565,.857,.000,.400
496,Antoine Walker,.543,.328,.169,.027,.019,.457,.315,.929,.010,.151
534,Antoine Wright,.765,.470,.040,.036,.219,.235,.736,1.000,.028,.678
