,Player,GS,FG,FGA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
462,Aaron McKie,0,1.1,1.7,0.0,0.1,1.7,1.3,0.4,0.0,0.8,1.4
474,Aaron Williams,7,0.8,1.4,0.6,0.7,1.5,0.2,0.2,0.4,0.5,1.5
130,Adam Morrison,23,4.6,12.1,2.2,0.7,2.3,2.1,0.4,0.1,1.7,2.3
457,Adonal Foyle,6,1.0,1.8,0.5,1.1,1.6,0.4,0.2,1.0,0.5,1.3
441,Adrian Griffin,1,1.1,2.4,0.4,0.7,1.3,1.1,0.6,0.1,0.7,1.4
60,Al Harrington,78,6.3,13.9,3.1,1.9,4.4,1.9,0.8,0.3,2.2,3.4
71,Al Jefferson,60,6.6,12.8,4.3,3.4,7.5,1.3,0.7,1.5,2.0,3.4
297,Alan Anderson,0,2.2,4.8,1.4,0.6,1.2,1.2,0.4,0.0,1.3,1.9
403,Alan Henderson,5,1.1,1.8,1.2,1.3,1.6,0.3,0.2,0.3,0.3,1.6
349,Alexander Johnson,19,1.5,2.9,2.0,0.8,2.2,0.3,0.4,0.6,0.8,2.3
282,Allan Ray,5,2.1,5.5,1.2,0.4,1.1,0.9,0.4,0.1,0.9,1.8
7,Allen Iverson,64,8.9,20.2,9.4,0.4,2.6,7.2,1.9,0.2,4.1,1.5
202,Alonzo Mourning,43,3.1,5.5,4.0,1.6,2.9,0.2,0.2,2.3,1.7,2.8
526,Alvin Williams,0,0.0,1.0,2.0,0.5,0.0,1.5,1.0,0.0,1.5,0.0
25,Amar'e Stoudemire,78,7.4,12.9,7.1,2.7,6.9,1.0,1.0,1.3,2.8,3.6
296,Amir Johnson,0,2.3,4.1,1.8,1.9,2.8,0.4,0.6,1.6,1.1,2.4
253,Anderson Varejão,6,2.4,5.0,3.3,2.4,4.4,0.9,0.9,0.6,0.8,3.3
379,Andray Blatche,13,1.5,3.5,0.9,1.4,2.0,0.7,0.3,0.6,0.9,1.7
512,Andre Barrett,0,0.7,1.3,0.0,0.2,0.7,1.2,0.0,0.0,0.7,0.7
447,Andre Brown,0,1.1,1.9,0.4,0.7,1.3,0.1,0.2,0.1,0.8,0.7
42,Andre Iguodala,76,5.8,13.0,7.3,1.0,4.7,5.7,2.0,0.4,3.4,2.6
97,Andre Miller,79,5.3,11.4,3.5,1.2,3.2,7.8,1.4,0.1,2.8,2.3
132,Andrea Bargnani,2,4.1,9.6,2.2,0.8,3.1,0.8,0.5,0.8,1.6,2.8
514,Andreas Glyniadakis,4,0.6,1.3,0.2,0.2,0.5,0.1,0.0,0.0,0.7,1.5
215,Andrei Kirilenko,70,2.8,6.0,3.4,1.3,3.4,2.9,1.1,2.1,1.9,2.5
117,Andrew Bogut,66,5.3,9.5,2.9,2.5,6.3,3.0,0.7,0.5,2.3,3.3
221,Andrew Bynum,53,3.0,5.4,2.6,1.7,4.2,1.1,0.1,1.6,1.4,3.0
182,Andris Biedriņš,63,4.2,7.1,2.0,3.1,6.2,1.1,0.8,1.7,1.5,3.7
89,Andrés Nocioni,31,5.2,11.0,2.7,0.8,4.9,1.1,0.5,0.5,2.0,3.1
30,Antawn Jamison,70,7.3,16.3,4.4,1.9,6.1,1.9,1.1,0.5,1.5,2.8
410,Anthony Carter,0,1.5,4.0,0.0,0.0,1.5,5.5,0.0,0.5,3.0,2.0
304,Anthony Johnson,17,2.1,5.1,0.9,0.3,1.2,3.0,0.5,0.0,1.1,1.8
115,Anthony Parker,73,4.5,9.4,2.2,0.8,3.1,2.1,1.0,0.2,1.0,1.8
302,Anthony Roberson,1,2.2,5.2,0.2,0.1,1.0,0.5,0.6,0.0,0.7,1.4
210,Antoine Walker,15,3.4,8.6,1.3,1.2,3.2,1.7,0.6,0.2,1.8,2.2
346,Antoine Wright,23,1.7,4.0,1.2,0.6,2.2,0.9,0.5,0.2,0.7,1.9
243,Antonio Daniels,8,2.2,4.9,3.1,0.2,1.7,3.6,0.5,0.1,0.9,1.0
217,Antonio McDyess,3,3.5,6.6,1.7,2.0,4.0,0.9,0.7,0.8,0.9,2.9
381,Austin Croshere,2,1.3,3.6,0.9,0.5,2.5,0.7,0.2,0.1,0.5,1.1
27,Baron Davis,62,7.2,16.3,5.9,0.8,3.6,8.1,2.1,0.5,3.1,2.9
21,Ben Gordon,51,7.4,16.3,5.4,0.4,2.7,3.6,0.8,0.2,3.0,3.1
275,Ben Wallace,77,2.5,5.5,3.5,3.9,6.7,2.4,1.4,2.0,1.3,2.0
337,Beno Udrih,1,1.7,4.7,0.8,0.2,1.0,1.7,0.4,0.0,0.8,1.0
466,Bernard Robinson,0,0.6,2.0,0.9,0.3,1.2,0.6,0.5,0.1,0.5,1.0
471,Bo Outlaw,0,0.8,1.2,0.5,1.1,1.4,0.4,0.4,0.1,0.5,1.4
158,Bobby Jackson,2,3.6,9.3,3.0,0.8,2.4,2.5,0.9,0.1,1.4,1.8
442,Bobby Jones,5,1.0,2.1,0.9,0.5,0.8,0.4,0.3,0.0,0.4,1.3
224,Bonzi Wells,1,3.0,7.4,2.9,0.9,3.4,1.1,0.9,0.5,2.0,2.2
175,Boris Diaw,59,4.2,7.8,1.6,1.2,3.1,4.8,0.4,0.5,2.1,2.4
190,Boštjan Nachbar,1,3.0,6.5,2.2,0.4,3.0,0.8,0.4,0.3,0.9,2.4
389,Bracey Wright,0,1.3,3.2,0.9,0.4,0.7,0.8,0.5,0.1,0.3,0.3
196,Brad Miller,56,3.6,7.8,2.4,1.3,5.1,3.6,0.6,0.6,1.7,2.5
469,Brandon Bass,3,0.7,2.1,0.8,0.6,1.4,0.1,0.1,0.1,0.5,0.8
57,Brandon Roy,55,6.1,13.4,4.2,1.0,3.4,4.0,1.2,0.2,2.0,2.4
258,Brendan Haywood,49,2.6,4.6,2.7,2.5,3.7,0.6,0.4,1.1,1.2,2.7
206,Brent Barry,28,2.7,5.7,1.6,0.2,1.9,1.8,0.7,0.2,0.8,1.2
192,Brevin Knight,25,3.4,8.1,2.8,0.3,2.2,6.6,1.5,0.1,2.1,2.5
342,Brian Cardinal,1,1.5,3.0,1.0,0.5,1.6,1.1,0.8,0.0,0.8,1.5
250,Brian Cook,24,2.8,6.3,0.7,0.9,2.4,1.0,0.4,0.4,0.8,2.1
368,Brian Scalabrine,17,1.4,3.5,0.4,0.4,1.5,1.1,0.4,0.3,0.8,2.4
351,Brian Skinner,44,1.9,3.8,1.2,1.6,4.2,0.9,0.3,1.0,1.1,2.9
279,Bruce Bowen,82,2.3,5.7,0.9,0.3,2.4,1.4,0.8,0.3,0.8,2.1
427,C.J. Miles,13,1.1,3.1,0.6,0.3,0.6,0.7,0.3,0.1,0.8,1.6
492,Calvin Booth,1,0.7,1.5,0.2,0.6,1.2,0.4,0.1,0.7,0.2,1.6
228,Carlos Arroyo,5,2.8,6.6,2.3,0.4,1.4,2.8,0.5,0.0,1.3,1.8
22,Carlos Boozer,74,8.7,15.6,5.0,3.2,8.5,3.0,0.9,0.3,2.6,2.9
312,Carlos Delfino,1,1.9,4.6,1.1,0.8,2.4,1.1,0.6,0.1,0.7,1.2
1,Carmelo Anthony,65,10.6,22.4,8.7,2.2,3.8,3.8,1.2,0.4,3.6,3.1
33,Caron Butler,63,7.2,15.5,5.2,2.3,5.1,3.7,2.1,0.3,2.9,3.0
518,Cedric Bozeman,5,0.5,1.7,0.3,0.1,0.9,0.4,0.2,0.1,0.4,1.4
423,Cedric Simmons,4,1.3,3.1,0.8,1.0,1.5,0.3,0.2,0.5,0.5,1.7
184,Channing Frye,59,4.1,9.6,1.5,1.3,4.2,0.9,0.5,0.6,1.4,3.0
95,Charlie Bell,64,5.2,11.9,2.0,0.7,2.2,3.0,1.2,0.0,1.3,2.6
131,Charlie Villanueva,17,4.6,9.8,2.3,1.6,4.3,0.9,0.6,0.3,1.4,2.8
54,Chauncey Billups,70,5.0,11.6,6.2,0.3,3.1,7.2,1.2,0.2,2.0,2.3
17,Chris Bosh,69,7.9,15.9,8.6,2.7,8.0,2.5,0.6,1.3,2.6,2.4
239,Chris Duhon,30,2.5,6.2,1.3,0.3,1.9,4.0,0.9,0.1,1.3,1.9
170,Chris Kaman,66,3.9,8.7,3.0,2.1,5.7,1.1,0.5,1.5,2.0,3.3
538,Chris McCray,0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2
51,Chris Paul,64,6.0,13.6,5.6,0.8,3.5,8.9,1.8,0.0,2.5,2.4
390,Chris Quinn,1,1.1,3.1,0.9,0.1,0.6,1.5,0.4,0.0,0.5,0.8
140,Chris Webber,60,4.7,10.5,2.6,2.0,5.1,3.1,1.0,0.7,1.8,2.3
96,Chris Wilcox,81,5.3,10.0,4.3,2.2,5.5,1.0,0.9,0.5,1.5,3.0
299,Chuck Hayes,43,2.5,4.3,1.1,2.6,4.1,0.6,0.9,0.2,0.8,3.6
102,Chucky Atkins,23,4.1,9.5,4.1,0.2,1.6,4.6,0.7,0.1,1.7,1.8
365,Clifford Robinson,1,1.6,4.4,0.7,0.6,1.8,1.0,0.2,0.5,0.6,2.0
56,Corey Maggette,31,4.9,10.8,8.4,1.2,4.7,2.8,0.9,0.2,2.7,3.3
193,Corliss Williamson,1,3.5,6.8,3.0,0.9,2.3,0.6,0.4,0.2,1.4,2.7
237,Craig Smith,5,3.0,5.6,2.3,1.8,3.3,0.6,0.6,0.2,0.9,2.7
93,Cuttino Mobley,73,5.0,11.3,3.1,0.7,2.8,2.5,1.2,0.3,1.9,2.4
528,D.J. Mbenga,0,0.2,0.8,0.4,0.1,0.4,0.3,0.1,0.2,0.2,0.8
