,Player,GS,FG,FGA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
334,A.J. Price,0,2.3,6.4,1.6,0.3,1.1,2.2,0.6,0.0,1.1,1.2
177,Aaron Brooks,12,3.7,9.9,2.4,0.3,1.0,3.9,0.6,0.1,1.7,1.9
532,Aaron Gray,6,1.4,2.4,0.8,1.4,2.7,0.4,0.3,0.3,0.8,2.3
452,Acie Law,0,1.6,3.6,1.3,0.2,1.0,1.6,0.6,0.0,0.8,1.2
185,Al Harrington,3,3.8,9.2,1.6,1.0,3.5,1.4,0.5,0.1,1.5,2.8
77,Al Horford,77,6.7,12.0,2.4,2.4,7.0,3.5,0.8,1.0,1.5,2.5
33,Al Jefferson,82,8.0,16.1,3.5,2.9,6.8,1.8,0.6,1.9,1.3,2.9
288,Al Thornton,23,2.9,6.1,2.0,0.8,2.2,0.9,0.5,0.2,0.9,2.0
364,Al-Farouq Aminu,14,2.0,5.0,1.5,0.9,2.4,0.7,0.7,0.3,1.3,1.5
455,Alexis Ajinça,2,1.7,3.9,0.5,0.5,1.8,0.3,0.3,0.6,0.5,2.1
352,Alonzo Gee,34,2.2,4.7,1.6,1.1,2.1,0.7,0.7,0.3,1.0,1.7
7,Amar'e Stoudemire,78,9.5,19.0,7.7,2.5,5.6,2.6,0.9,1.9,3.2,3.5
216,Amir Johnson,54,3.9,6.9,2.2,2.6,3.8,1.1,0.7,1.2,1.0,3.7
229,Anderson Varejão,31,3.7,7.0,2.6,3.2,6.5,1.5,0.9,1.2,1.3,2.8
50,Andray Blatche,63,6.7,15.0,4.4,2.9,5.4,2.3,1.5,0.8,2.7,2.8
92,Andre Iguodala,67,5.0,11.3,4.5,0.9,4.9,6.3,1.5,0.6,2.1,1.6
129,Andre Miller,81,4.8,10.4,3.6,1.2,2.5,7.0,1.4,0.1,2.4,2.1
17,Andrea Bargnani,66,8.0,17.8,5.3,1.1,4.1,1.8,0.5,0.7,2.3,2.4
152,Andrei Kirilenko,62,4.0,8.5,4.2,1.6,3.5,3.0,1.3,1.2,1.8,1.8
124,Andrew Bogut,65,5.6,11.4,3.3,3.1,8.0,2.0,0.7,2.6,1.9,3.3
158,Andrew Bynum,47,4.4,7.6,3.9,3.1,6.3,1.4,0.4,2.0,1.4,2.6
403,Andris Biedriņš,55,2.4,4.5,0.5,2.5,4.8,1.0,0.9,0.9,1.0,3.4
348,Andrés Nocioni,17,2.2,5.1,1.1,0.4,2.8,0.8,0.3,0.3,0.9,1.9
612,Andy Rautins,0,0.6,1.4,0.4,0.0,0.2,0.6,0.2,0.0,1.4,0.0
37,Antawn Jamison,38,6.7,15.6,4.2,1.5,5.2,1.7,0.9,0.5,1.4,2.4
515,Anthony Carter,0,1.4,3.2,0.2,0.2,1.3,2.1,0.8,0.2,1.2,1.5
116,Anthony Morrow,47,4.8,10.7,1.8,0.6,2.3,1.2,0.3,0.1,0.9,2.3
259,Anthony Parker,65,3.1,7.7,1.3,0.5,2.6,3.0,0.9,0.1,1.1,1.5
278,Anthony Randolph,3,3.1,6.6,2.2,1.1,2.9,0.8,0.6,0.6,1.3,1.6
327,Anthony Tolliver,4,2.2,4.8,2.0,1.4,3.1,1.3,0.4,0.4,0.8,2.2
649,Antoine Wright,0,0.1,1.1,0.0,0.3,0.1,0.0,0.1,0.0,0.1,0.4
616,Antonio Daniels,0,0.5,1.3,0.5,0.0,1.3,0.5,0.0,0.0,0.3,0.0
391,Antonio McDyess,16,2.3,4.7,1.1,1.7,3.7,1.2,0.5,0.5,1.0,2.2
535,Armon Johnson,0,1.2,2.7,0.6,0.3,0.7,1.2,0.1,0.0,1.0,0.8
131,Arron Afflalo,69,4.5,9.1,2.4,0.7,3.0,2.4,0.5,0.4,1.0,2.2
287,Austin Daye,16,2.7,6.5,1.5,0.9,2.9,1.1,0.5,0.5,0.8,2.3
605,Avery Bradley,0,0.7,2.2,0.4,0.1,0.4,0.4,0.3,0.0,0.5,0.6
117,Baron Davis,44,5.0,11.9,2.3,0.6,2.1,6.7,1.3,0.5,2.5,2.5
164,Ben Gordon,27,4.1,9.4,2.0,0.5,1.9,2.1,0.6,0.2,1.7,2.2
491,Ben Uzoh,0,1.5,3.4,1.3,0.7,0.7,1.6,0.3,0.2,0.6,0.7
537,Ben Wallace,49,1.2,2.8,1.1,2.4,4.1,1.3,1.0,1.0,0.8,1.5
105,Beno Udrih,64,5.2,10.4,2.9,0.5,2.8,4.9,1.2,0.1,1.8,2.3
13,Blake Griffin,82,8.5,16.8,8.5,3.3,8.8,3.8,0.8,0.5,2.7,3.1
653,Bobby Simmons,0,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
159,Boris Diaw,82,4.6,9.4,1.5,1.3,3.8,4.1,0.9,0.6,2.0,2.3
338,Brad Miller,5,2.2,4.9,1.6,0.7,3.0,2.4,0.5,0.4,0.9,1.6
486,Brandan Wright,2,1.6,3.2,0.8,0.8,1.6,0.3,0.3,0.5,0.4,0.9
162,Brandon Bass,51,4.4,8.5,3.1,1.8,3.8,0.8,0.4,0.7,1.3,2.1
56,Brandon Jennings,61,5.7,14.7,3.9,0.7,3.0,4.8,1.5,0.3,2.3,2.1
137,Brandon Roy,23,4.4,11.1,2.9,0.6,2.0,2.7,0.8,0.3,1.2,1.6
228,Brandon Rush,21,3.2,7.7,1.6,0.5,2.7,0.9,0.6,0.5,1.0,1.6
435,Brendan Haywood,8,1.8,3.1,2.5,1.8,3.4,0.3,0.2,1.0,0.7,2.0
547,Brian Cardinal,4,0.8,1.8,0.3,0.2,0.9,0.7,0.4,0.1,0.3,1.5
414,Brian Cook,0,1.8,4.3,0.6,0.5,1.9,0.4,0.3,0.3,0.6,1.9
624,Brian Scalabrine,0,0.6,1.1,0.0,0.1,0.4,0.3,0.2,0.2,0.3,1.0
654,Brian Skinner,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Brook Lopez,82,7.9,16.0,6.0,2.4,3.5,1.6,0.6,1.5,2.1,2.9
593,Byron Mullens,0,0.7,2.2,1.1,0.5,1.4,0.0,0.2,0.2,0.6,0.8
126,C.J. Miles,19,4.7,11.5,2.5,0.7,2.6,1.7,0.9,0.5,1.2,2.8
410,C.J. Watson,1,1.8,4.8,1.1,0.2,1.0,2.3,0.7,0.1,0.9,1.0
139,Carl Landry,26,4.5,9.0,3.8,2.2,2.4,0.8,0.5,0.4,1.4,2.6
411,Carlos Arroyo,43,1.9,4.3,0.7,0.3,1.3,2.0,0.3,0.0,0.9,1.1
39,Carlos Boozer,59,7.3,14.3,4.1,2.2,7.4,2.5,0.8,0.3,2.5,3.2
157,Carlos Delfino,40,4.1,10.5,1.5,0.5,3.6,2.3,1.6,0.2,1.2,1.5
2,Carmelo Anthony,77,8.9,19.5,7.9,1.5,5.8,2.9,0.9,0.6,2.7,2.9
82,Caron Butler,29,5.9,13.0,3.0,0.8,3.3,1.6,1.0,0.3,1.7,2.0
470,Cartier Martin,1,1.4,3.5,0.8,0.4,1.0,0.3,0.3,0.1,0.3,1.0
127,Channing Frye,64,4.6,10.8,1.4,0.8,5.8,1.2,0.6,1.0,0.9,3.5
604,Charlie Bell,0,0.6,2.3,0.2,0.3,0.6,0.7,0.3,0.1,0.3,0.7
166,Charlie Villanueva,11,4.1,9.3,1.5,0.7,3.2,0.6,0.6,0.6,0.9,2.3
206,Chase Budinger,22,3.6,8.4,1.8,0.7,2.9,1.6,0.5,0.2,0.9,1.5
47,Chauncey Billups,72,4.7,11.0,5.8,0.3,2.3,5.4,1.0,0.2,2.5,2.0
365,Chris Andersen,0,1.8,3.0,3.0,1.7,3.2,0.4,0.5,1.3,0.6,1.8
