,Player,G,MP,FG%,Avg FG Distance,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,FG% by Distance - 2P,FG% by Distance - 0-3,FG% by Distance - 3-10,FG% by Distance - 10-16,FG% by Distance - 16-3P,FG% by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Corner 3s - %3PA,Corner 3s - 3P%
269,Aaron Gordon,75,2376,.520,11.5,.688,.381,.169,.084,.054,.312,.605,.796,.369,.329,.422,.335,.628,.851,.419,.349
616,Aleksej Pokusevski,61,1233,.408,14.6,.568,.200,.248,.070,.050,.432,.498,.703,.416,.344,.304,.289,.535,.947,.203,.325
386,Alize Johnson,23,167,.436,6.2,.897,.564,.282,.051,.000,.103,.486,.500,.455,.500,,.000,.529,,.500,.000
264,Anthony Gill,44,463,.569,9.2,.761,.294,.450,.018,.000,.239,.578,.625,.551,.500,,.538,.771,1.000,.462,.583
68,Bojan Bogdanović,69,2131,.455,15.6,.496,.147,.250,.084,.015,.504,.524,.684,.483,.410,.286,.387,.568,.917,.376,.420
69,Bol Bol,14,81,.556,10.6,.852,.296,.185,.296,.074,.148,.609,.875,.800,.375,.000,.250,1.000,1.000,.250,.000
136,Brandon Clarke,64,1246,.644,5.4,.951,.508,.311,.116,.016,.049,.666,.775,.568,.462,.571,.227,.700,1.000,.682,.200
392,Cameron Johnson,66,1730,.460,18.6,.356,.127,.147,.041,.041,.644,.523,.766,.483,.240,.200,.425,.673,.976,.368,.465
17,Carmelo Anthony,69,1793,.441,19.1,.451,.101,.066,.152,.131,.549,.521,.671,.417,.500,.484,.375,.482,.919,.171,.412
693,Chris Silva,10,91,.533,4.0,1.000,.533,.400,.000,.067,.000,.533,.750,.333,,.000,,.750,,,
584,Chuma Okeke,70,1749,.376,18.6,.355,.137,.139,.045,.033,.645,.480,.658,.413,.346,.211,.318,.531,.966,.240,.382
820,D.J. Wilson,4,54,.733,9.6,.867,.400,.133,.200,.133,.133,.846,1.000,.500,.667,1.000,.000,.727,,.500,.000
251,Danilo Gallinari,66,1672,.434,18.4,.508,.119,.089,.151,.149,.492,.485,.718,.377,.467,.382,.381,.469,.920,.116,.471
48,Darius Bazley,69,1924,.422,12.7,.586,.307,.251,.011,.017,.414,.511,.613,.405,.571,.182,.297,.639,.950,.245,.333
690,Day'Ron Sharpe,32,391,.577,3.2,.953,.772,.161,.020,.000,.047,.592,.652,.333,.333,,.286,.595,1.000,.143,1.000
173,DeMar DeRozan,76,2743,.504,13.0,.907,.164,.158,.297,.288,.093,.520,.671,.494,.511,.457,.352,.217,.900,.387,.327
779,Dean Wade,51,980,.456,18.3,.346,.198,.055,.069,.023,.654,.640,.767,.500,.267,1.000,.359,.563,.980,.268,.211
410,Derrick Jones Jr.,51,899,.538,8.9,.687,.549,.128,.005,.005,.313,.634,.701,.320,1.000,1.000,.328,.706,1.000,.672,.390
111,Devontae Cacok,15,121,.677,4.6,1.000,.387,.484,.129,.000,.000,.677,.833,.533,.750,,,.667,,,
671,Domantas Sabonis,62,2136,.573,7.6,.838,.485,.265,.047,.041,.162,.623,.739,.517,.389,.219,.312,.616,.974,.136,.235
227,Dorian Finney-Smith,80,2644,.471,17.0,.371,.233,.098,.025,.016,.629,.599,.752,.324,.471,.273,.395,.766,.983,.414,.461
514,Doug McDermott,51,1223,.462,16.6,.449,.176,.185,.060,.028,.551,.512,.646,.395,.464,.538,.422,.850,.991,.188,.542
276,Draymond Green,46,1329,.525,9.8,.790,.315,.377,.058,.039,.210,.586,.716,.557,.267,.300,.296,.714,1.000,.222,.167
56,Dāvis Bertāns,56,806,.360,23.0,.164,.065,.069,.015,.015,.836,.489,.611,.421,.000,.750,.335,.864,.987,.222,.471
737,Emanuel Terry,3,18,.000,2.2,1.000,.600,.400,.000,.000,.000,.000,.000,.000,,,,,,,
602,Eric Paschall,58,737,.485,13.4,.540,.315,.183,.034,.009,.460,.583,.649,.512,.250,1.000,.370,.581,.950,.519,.411
535,Evan Mobley,69,2331,.508,8.4,.889,.364,.307,.143,.075,.111,.541,.758,.380,.445,.323,.250,.652,.957,.228,.333
265,Freddie Gillespie,9,119,.409,6.5,.955,.273,.545,.136,.000,.045,.429,.333,.417,.667,,.000,.778,,1.000,.000
169,Gabriel Deck,7,56,.571,11.9,.714,.357,.071,.214,.071,.286,.600,.600,1.000,.667,.000,.500,.667,1.000,.500,1.000
135,Gary Clark,38,378,.375,20.1,.205,.091,.102,.011,.000,.795,.278,.125,.444,.000,,.400,.800,.964,.571,.500
571,Georges Niang,76,1736,.437,19.1,.313,.119,.153,.032,.009,.687,.511,.627,.465,.389,.200,.403,.711,.981,.305,.390
15,Giannis Antetokounmpo,67,2204,.553,10.0,.806,.406,.198,.120,.082,.194,.616,.808,.421,.416,.431,.293,.432,.423,.025,.167
814,Grant Williams,77,1875,.475,16.6,.403,.185,.169,.035,.014,.597,.569,.750,.493,.133,.167,.411,.717,.991,.481,.468
39,Harrison Barnes,77,2580,.469,13.5,.568,.237,.283,.041,.007,.432,.525,.682,.403,.471,.500,.394,.566,.951,.308,.486
411,Herbert Jones,78,2335,.476,10.7,.707,.413,.205,.016,.073,.293,.533,.685,.288,.444,.381,.337,.631,1.000,.521,.341
660,Isaiah Roby,45,948,.514,10.8,.693,.319,.328,.031,.015,.307,.545,.699,.425,.300,.400,.444,.689,.909,.273,.481
760,Isaiah Todd,12,74,.269,18.0,.385,.154,.115,.077,.038,.615,.300,.250,.333,.000,1.000,.250,.667,1.000,.563,.444
783,Ish Wainright,45,359,.394,15.8,.433,.231,.163,.019,.019,.567,.489,.708,.294,.000,.000,.322,.636,1.000,.475,.429
755,JT Thor,33,262,.436,15.8,.509,.255,.127,.073,.055,.491,.607,.786,.429,.250,.667,.259,.706,1.000,.111,.667
278,JaMychal Green,67,1085,.486,12.1,.621,.391,.156,.034,.040,.379,.621,.734,.392,.273,.692,.266,.690,1.000,.306,.342
601,Jabari Parker,12,112,.474,16.6,.579,.211,.184,.026,.158,.421,.455,.750,.286,.000,.333,.500,.600,.875,.375,.500
512,Jaden McDaniels,70,1803,.460,13.8,.545,.283,.179,.054,.029,.455,.579,.726,.364,.533,.563,.317,.720,.988,.496,.360
158,Jae Crowder,67,1886,.399,20.8,.329,.059,.094,.079,.097,.671,.503,.656,.431,.488,.491,.348,.822,.929,.214,.423
733,Jae'Sean Tate,78,2056,.498,9.2,.723,.414,.295,.010,.004,.277,.569,.705,.391,.286,.333,.312,.490,.937,.391,.316
394,Jalen Johnson,22,120,.537,10.8,.683,.488,.073,.073,.049,.317,.679,.950,.000,.000,.000,.231,.789,1.000,.385,.200
709,Jalen Smith,51,924,.503,12.4,.651,.291,.246,.063,.051,.349,.596,.765,.500,.364,.389,.328,.721,1.000,.270,.242
395,James Johnson,62,1191,.469,9.4,.723,.476,.192,.033,.023,.277,.545,.651,.390,.200,.143,.271,.512,.913,.376,.313
612,Jamorko Pickett,13,176,.360,21.1,.220,.040,.160,.000,.020,.780,.455,.500,.500,,.000,.333,.800,.923,.359,.357
373,Jaren Jackson Jr.,78,2126,.415,13.1,.613,.218,.335,.055,.005,.387,.476,.615,.395,.421,.400,.319,.563,.984,.175,.257
774,Jarred Vanderbilt,74,1880,.587,3.1,.961,.726,.211,.022,.003,.039,.605,.710,.289,.250,.000,.143,.690,1.000,.643,.222
280,Jeff Green,75,1849,.524,11.3,.682,.342,.233,.078,.030,.318,.620,.790,.496,.415,.188,.315,.821,.981,.548,.315
273,Jerami Grant,47,1500,.426,15.2,.637,.202,.149,.106,.180,.363,.465,.631,.442,.243,.429,.358,.498,.967,.358,.330
699,Jericho Sims,41,555,.722,2.0,1.000,.815,.148,.037,.000,.000,.722,.795,.500,.000,,,.795,,,
140,John Collins,54,1663,.526,11.0,.727,.334,.211,.127,.054,.273,.588,.753,.463,.439,.400,.364,.793,.984,.318,.375
315,Juancho Hernangómez,40,445,.415,17.2,.349,.217,.123,.009,.000,.651,.541,.696,.308,.000,,.348,.800,1.000,.362,.400
640,Julius Randle,72,2544,.411,13.8,.687,.254,.152,.137,.144,.313,.458,.627,.368,.374,.335,.308,.362,.800,.115,.289
822,Justise Winslow,48,775,.428,10.7,.743,.354,.257,.070,.062,.257,.497,.681,.379,.222,.250,.227,.695,1.000,.409,.222
546,Juwan Morgan,2,31,.667,17.1,.333,.333,.000,.000,.000,.667,1.000,1.000,,,,.500,1.000,1.000,.000,
589,KZ Okpala,21,244,.435,12.0,.623,.319,.232,.058,.014,.377,.488,.545,.500,.250,.000,.346,.762,1.000,.615,.500
205,Kevin Durant,55,2047,.518,15.1,.731,.109,.143,.319,.161,.269,.568,.744,.516,.528,.575,.383,.499,.557,.067,.550
623,Kristaps Porziņģis,51,1481,.459,14.3,.671,.214,.183,.186,.089,.329,.532,.762,.414,.420,.456,.310,.682,.987,.028,.429
14,Kyle Anderson,69,1484,.446,10.7,.768,.279,.303,.141,.045,.232,.481,.641,.437,.333,.238,.330,.514,.972,.422,.435
448,Kyle Kuzma,66,2204,.452,14.8,.599,.167,.260,.108,.065,.401,.526,.744,.498,.386,.311,.341,.492,.883,.227,.329
726,Lamar Stevens,63,1015,.489,9.9,.796,.382,.201,.125,.088,.204,.543,.730,.266,.475,.464,.277,.601,1.000,.585,.263
566,Larry Nance Jr.,9,182,.551,7.6,.837,.531,.204,.082,.020,.163,.561,.808,.200,.000,.000,.500,.783,1.000,.500,.750
228,Malik Fitts,15,63,.421,16.7,.474,.211,.158,.053,.053,.526,.333,.750,.000,.000,.000,.500,1.000,1.000,.500,.600
174,Mamadi Diakite,13,188,.532,6.8,.894,.426,.340,.106,.021,.106,.595,.600,.688,.400,.000,.000,.840,,.400,.000
550,Marcus Morris,54,1564,.434,17.6,.602,.046,.145,.240,.171,.398,.478,.688,.490,.470,.424,.367,.327,.901,.215,.373
551,Markieff Morris,17,298,.474,14.8,.658,.140,.175,.228,.114,.342,.547,.750,.450,.500,.538,.333,.512,1.000,.487,.368
133,Marquese Chriss,34,346,.463,7.8,.813,.530,.254,.015,.015,.187,.495,.592,.265,1.000,.500,.320,.833,1.000,.200,.400
30,Marvin Bagley III,48,1153,.504,9.2,.783,.327,.363,.081,.011,.217,.579,.795,.457,.306,.200,.237,.658,.913,.485,.213
433,Maxi Kleber,59,1450,.398,19.9,.280,.164,.051,.040,.025,.720,.586,.845,.278,.214,.111,.325,.845,.988,.231,.322
81,Miles Bridges,80,2837,.491,12.4,.617,.357,.212,.020,.029,.383,.590,.723,.412,.458,.343,.331,.597,.825,.275,.344
830,Moses Wright,4,15,.250,13.2,.750,.250,.000,.500,.000,.250,.333,1.000,,.000,,.000,1.000,,1.000,.000
435,Nathan Knight,37,267,.511,5.7,.852,.591,.250,.011,.000,.148,.547,.673,.273,.000,,.308,.707,1.000,.308,.500
46,Nicolas Batum,59,1463,.463,20.2,.302,.121,.044,.057,.080,.698,.607,.809,.412,.636,.387,.400,.831,.972,.315,.471
761,Obi Toppin,72,1230,.531,10.5,.643,.505,.108,.017,.013,.357,.655,.728,.392,.375,.333,.308,.824,1.000,.491,.349
621,Otto Porter Jr.,63,1396,.464,16.7,.481,.161,.163,.087,.070,.519,.565,.746,.515,.444,.414,.370,.735,.950,.241,.327
765,P.J. Tucker,71,1981,.484,13.8,.549,.199,.255,.079,.016,.451,.540,.600,.532,.471,.286,.415,.819,.988,.886,.415
692,Pascal Siakam,68,2578,.494,11.2,.819,.216,.340,.132,.132,.181,.527,.716,.498,.447,.371,.344,.292,.947,.183,.475
817,Patrick Williams,17,422,.529,13.2,.716,.275,.147,.108,.186,.284,.534,.714,.400,.545,.368,.517,.667,.933,.414,.500
260,Paul George,31,1077,.421,16.6,.596,.146,.123,.160,.167,.404,.467,.667,.346,.451,.396,.354,.220,.484,.152,.538
