,Player,GS,FG,FGA,ORB,DRB,AST,STL,BLK,TOV,PF
299,A.J. Guyton,6,2.0,5.4,0.3,0.7,1.8,0.2,0.2,0.8,0.5
106,Aaron McKie,16,4.6,10.2,0.5,3.5,3.7,1.2,0.3,1.9,1.5
235,Aaron Williams,13,2.8,5.4,1.4,2.7,0.9,0.4,0.9,1.0,2.6
320,Adonal Foyle,36,2.2,4.9,1.9,3.0,0.5,0.5,2.1,1.0,2.3
234,Adrian Griffin,34,3.1,6.2,1.2,2.8,1.8,1.3,0.2,0.7,2.4
97,Al Harrington,1,5.2,11.0,2.2,4.1,1.2,0.9,0.5,1.8,3.8
295,Alan Henderson,1,2.3,4.5,1.2,2.5,0.4,0.4,0.6,0.8,1.5
27,Allan Houston,77,7.4,16.9,0.5,2.8,2.5,0.7,0.1,2.2,2.4
0,Allen Iverson,59,11.1,27.8,0.7,3.8,5.5,2.8,0.2,4.0,1.7
53,Alonzo Mourning,74,6.0,11.5,2.4,6.0,1.2,0.4,2.5,2.4,3.4
416,Alton Ford,0,1.2,2.2,0.6,1.4,0.1,0.1,0.1,0.6,1.9
507,Alvin Jones,2,0.3,0.9,0.6,1.0,0.1,0.1,0.4,0.5,1.5
118,Alvin Williams,82,4.9,11.8,0.7,2.7,5.7,1.6,0.3,1.8,2.3
470,Amal McCaskill,0,0.7,1.8,0.6,0.7,0.1,0.2,0.4,0.5,0.9
51,Andre Miller,81,5.9,12.9,1.3,3.3,10.9,1.6,0.4,3.0,2.8
144,Andrei Kirilenko,40,3.5,7.7,1.8,3.1,1.1,1.4,1.9,1.3,1.9
435,Andrew DeClercq,14,1.1,2.4,1.2,1.5,0.4,0.4,0.4,0.6,2.1
111,Anfernee Hardaway,55,4.9,11.6,1.2,3.2,4.1,1.5,0.4,2.4,2.3
265,Ansu Sesay,0,2.4,4.9,0.8,1.4,0.9,0.3,0.2,0.2,2.0
31,Antawn Jamison,82,7.5,16.8,2.6,4.2,2.0,0.9,0.5,2.0,2.3
345,Anthony Carter,18,1.9,5.7,0.4,2.1,4.7,1.1,0.1,1.6,1.8
428,Anthony Johnson,0,1.1,2.6,0.3,0.6,1.4,0.9,0.0,0.6,0.9
161,Anthony Mason,82,3.9,7.6,1.5,6.4,4.2,0.7,0.3,1.6,2.3
181,Anthony Peeler,0,3.5,8.3,0.5,2.1,2.2,0.7,0.1,0.9,1.7
12,Antoine Walker,81,8.2,20.9,1.9,7.0,5.0,1.5,0.5,3.1,2.9
177,Antonio Daniels,13,3.3,7.5,0.3,1.9,2.8,0.6,0.1,0.9,1.3
68,Antonio Davis,77,5.3,12.5,3.3,6.3,2.0,0.7,1.1,2.1,2.9
474,Antonio Harvey,3,0.8,2.4,1.0,0.8,1.0,0.2,0.6,0.6,1.6
129,Antonio McDyess,10,4.3,7.5,1.8,3.7,1.8,1.0,0.8,2.0,2.0
366,Antonis Fotsis,1,1.5,3.7,0.9,1.3,0.4,0.3,0.4,0.8,0.8
337,Art Long,27,1.9,3.9,1.7,2.3,0.7,0.3,0.4,1.0,2.9
247,Austin Croshere,1,2.4,5.9,1.0,2.9,1.0,0.3,0.4,0.9,1.4
