Player,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,% of FGA by Distance: 2P,% of FGA by Distance: 0-3ft,% of FGA by Distance: 3-10ft,% of FGA by Distance: 10-16ft,% of FGA by Distance: 16-3P,% of FGA by Distance: 3P,FG% by Distance: 2P,FG% by Distance: 0-3ft,FG% by Distance: 3-10ft,FG% by Distance: 10-16ft,FG% by Distance: 16-3P,FG% by Distance: 3P,% of FG Ast'd: 2P,% of FG Ast'd: 3P
Precious Achiuwa,24,TOT,NBA,"C,PF",74,1624,.501,7.6,.793,.520,.215,.047,.011,.207,.562,.697,.317,.273,.200,.268,.593,.962
Santi Aldama,23,MEM,NBA,PF,61,1618,.435,15.8,.465,.211,.188,.049,.016,.535,.534,.692,.411,.393,.333,.349,.674,.962
Kyle Anderson,30,MIN,NBA,PF,79,1782,.460,9.0,.889,.192,.480,.189,.028,.111,.488,.627,.438,.476,.500,.229,.511,1.000
Giannis Antetokounmpo,29,MIL,NBA,PF,73,2567,.611,6.7,.909,.519,.251,.068,.072,.091,.645,.818,.452,.323,.374,.274,.509,.500
Thanasis Antetokounmpo,31,MIL,NBA,PF,34,155,.533,3.7,.967,.767,.167,.000,.033,.033,.552,.609,.400,,.000,.000,.750,
Paolo Banchero,21,ORL,NBA,PF,80,2799,.455,12.6,.751,.225,.235,.183,.108,.249,.493,.703,.403,.395,.421,.339,.363,.655
Dominick Barlow,20,SAS,NBA,PF,33,420,.496,7.4,.920,.398,.257,.221,.044,.080,.510,.578,.483,.480,.200,.333,.698,1.000
Harrison Barnes,31,SAC,NBA,PF,82,2381,.474,15.9,.474,.182,.223,.052,.018,.526,.571,.684,.515,.421,.538,.387,.631,.966
Nicolas Batum,35,TOT,NBA,PF,60,1529,.453,19.0,.277,.191,.043,.027,.016,.723,.606,.653,.636,.429,.250,.395,.628,1.000
Darius Bazley,23,TOT,NBA,"C,PF",9,152,.600,9.9,.733,.333,.333,.067,.000,.267,.727,.900,.600,.500,,.250,.500,1.000
Dāvis Bertāns,31,TOT,NBA,PF,43,674,.393,23.7,.145,.064,.038,.004,.038,.855,.471,.600,.444,.000,.333,.380,.938,.961
