Player,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,% of FGA by Distance: 2P,% of FGA by Distance: 0-3ft,% of FGA by Distance: 3-10ft,% of FGA by Distance: 10-16ft,% of FGA by Distance: 16-3P,% of FGA by Distance: 3P,FG% by Distance: 2P,FG% by Distance: 0-3ft,FG% by Distance: 3-10ft,FG% by Distance: 10-16ft,FG% by Distance: 16-3P,FG% by Distance: 3P,% of FG Ast'd: 2P,% of FG Ast'd: 3P
Greg Monroe,23,DET,NBA,PF,82,2690,.497,5.0,.999,.524,.321,.060,.094,.001,.497,.632,.368,.410,.242,.000,.558,
Markieff Morris,24,PHO,NBA,PF,81,2153,.486,11.4,.872,.288,.174,.220,.191,.128,.512,.658,.401,.478,.429,.315,.528,.882
Donatas Motiejūnas,23,HOU,NBA,PF,62,952,.443,11.1,.716,.304,.351,.034,.027,.284,.519,.589,.471,.600,.250,.250,.727,1.000
Arnett Moultrie,23,PHI,NBA,PF,12,187,.421,10.3,1.000,.342,.105,.211,.342,.000,.421,.615,.000,.250,.462,,.750,
Mike Muscala,22,ATL,NBA,PF,20,215,.425,10.8,.959,.301,.178,.123,.356,.041,.443,.500,.308,.333,.500,.000,.839,
Andrew Nicholson,24,ORL,NBA,PF,76,1174,.429,14.5,.788,.131,.240,.090,.326,.212,.459,.727,.386,.368,.431,.315,.586,.964
Steve Novak,30,TOR,NBA,PF,54,540,.411,23.8,.164,.007,.014,.007,.137,.836,.333,.000,.000,.000,.400,.426,.500,.923
Dirk Nowitzki*,35,DAL,NBA,PF,80,2628,.497,16.7,.742,.064,.071,.322,.285,.258,.532,.778,.578,.485,.518,.398,.500,.947
Jermaine O'Neal,35,GSW,NBA,PF,44,883,.504,5.8,1.000,.379,.448,.133,.040,.000,.504,.691,.387,.424,.300,,.592,
Arinze Onuaku,26,TOT,NBA,PF,5,30,.200,2.0,1.000,.800,.200,.000,.000,.000,.200,.250,.000,,,,.000,
Patrick Patterson,24,TOT,NBA,PF,65,1533,.460,14.4,.691,.194,.168,.147,.182,.309,.503,.632,.500,.458,.404,.364,.729,.982
Josh Powell,31,HOU,NBA,PF,1,19,.333,8.0,1.000,.000,1.000,.000,.000,.000,.333,,.333,,,,1.000,
Anthony Randolph,24,DEN,NBA,PF,43,527,.386,14.4,.653,.267,.125,.045,.210,.347,.435,.638,.318,.375,.270,.295,.560,1.000
Shavlik Randolph,30,PHO,NBA,PF,14,95,.500,3.7,1.000,.500,.500,.000,.000,.000,.500,.714,.286,,,,.571,
Zach Randolph,32,MEM,NBA,PF,79,2705,.467,7.9,.983,.345,.346,.123,.170,.017,.474,.569,.432,.422,.402,.100,.461,1.000
Thomas Robinson,22,POR,NBA,PF,70,873,.481,6.6,.997,.570,.133,.075,.218,.003,.483,.641,.179,.273,.328,.000,.617,
Luis Scola,33,IND,NBA,PF,82,1399,.470,12.2,.988,.229,.175,.102,.482,.013,.474,.594,.388,.439,.456,.143,.763,1.000
