,PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH,PTS PER TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH,PTS PER PAINT TOUCH,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
0,Aaron Gordon,DEN,12,7,5,37.1,14.3,51.9,27.3,2.7,3.14,2.41,0.276,2.2,0.7,7.8,0.231,0.0,0.871,3.2,0.7,1.5,44.4,0.4,0.5,83.3,55.3,1.2,36.8,0.3,10.5,0.2,5.3,0.3,7.9,1.8,44.4,3.4,44.1,0.7,44.4,6.8,72.0,0.0,0.0,0.5,28.6,63.1
1,Aaron Nesmith,IND,17,8,9,32.9,10.5,49.3,28.0,1.3,1.53,0.86,0.212,0.2,0.0,0.8,0.0,0.0,0.769,5.1,1.4,2.2,60.5,0.8,0.8,92.9,69.8,1.8,34.9,0.4,8.1,0.5,9.3,0.4,8.1,3.5,60.5,3.7,29.6,1.4,44.0,0.6,80.0,0.0,0.0,0.0,0.0,51.1
2,Al Horford,BOS,19,16,3,30.3,9.2,39.2,24.2,0.9,1.34,0.41,0.234,1.3,0.8,2.8,0.5,0.533,0.642,0.8,0.5,0.5,100.0,0.1,0.1,50.0,118.8,0.3,31.3,0.1,12.5,0.1,6.3,0.1,6.3,1.0,100.0,5.8,38.8,0.0,0.0,1.8,65.2,0.4,66.7,0.6,83.3,60.5
3,Amir Coffey,LAC,6,2,4,18.7,2.8,17.7,9.7,0.6,1.99,0.99,0.16,0.5,0.0,0.7,0.0,0.0,1.0,1.5,0.3,0.8,40.0,0.0,0.0,0.0,44.4,0.5,33.3,0.0,0.0,0.2,11.1,0.0,0.0,0.7,40.0,1.8,30.8,0.7,66.7,0.7,50.0,0.0,0.0,0.0,0.0,38.6
4,Andrew Nembhard,IND,17,8,9,32.6,14.9,58.0,32.8,3.2,3.29,2.94,0.257,0.4,0.0,1.1,0.286,0.0,0.526,10.3,2.6,4.4,58.7,0.4,0.5,75.0,53.7,5.0,48.6,1.4,13.1,0.4,3.4,0.2,2.3,5.5,58.7,4.6,50.0,3.6,49.2,0.6,50.0,0.0,0.0,0.1,0.0,64.0
5,Anthony Davis,LAL,5,1,4,41.6,27.8,75.4,43.8,3.0,2.36,1.12,0.369,6.2,4.6,10.4,0.839,0.522,1.365,6.0,2.2,4.2,52.4,0.6,0.8,75.0,83.3,0.4,6.7,0.2,3.3,0.8,13.3,0.4,6.7,5.0,52.4,1.6,30.8,2.8,50.0,14.2,78.9,2.4,40.0,5.2,60.0,63.4
6,Bam Adebayo,MIA,5,1,4,38.5,22.6,69.4,40.8,3.9,3.4,2.4,0.326,4.2,6.4,5.4,0.667,0.781,0.926,8.2,1.8,5.2,34.6,0.6,0.8,75.0,53.7,1.8,22.0,0.0,0.0,0.6,7.3,0.4,4.9,4.4,34.6,5.2,54.5,4.0,34.5,5.0,55.6,5.0,50.0,2.8,63.6,50.5
7,Bobby Portis,MIL,6,2,4,31.1,16.5,60.0,35.8,2.2,2.18,1.07,0.275,1.3,4.5,5.2,0.5,0.704,0.839,4.0,1.2,3.0,38.9,0.0,0.0,0.0,62.5,0.7,16.7,0.0,0.0,0.2,4.2,0.0,0.0,2.5,38.9,3.8,50.0,3.7,40.7,4.3,52.2,3.2,53.3,0.7,33.3,50.0
8,Bojan Bogdanovic,NYK,4,3,1,12.7,6.0,15.8,11.3,0.5,2.05,1.32,0.381,0.0,0.5,0.3,0.0,1.0,0.0,2.3,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.3,11.1,0.3,11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.8,41.7,1.3,20.0,0.0,0.0,0.5,100.0,0.0,0.0,41.7
9,Bol Bol,PHX,3,0,3,4.3,0.7,3.0,1.0,0.1,2.63,1.89,0.222,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3
10,Brandon Ingram,NOP,4,0,4,36.4,14.3,58.3,33.3,3.8,3.9,3.03,0.245,1.8,2.3,1.0,1.143,0.222,1.5,11.0,1.0,4.8,21.1,2.0,2.0,100.0,36.4,4.3,38.6,0.8,6.8,0.5,4.5,1.0,9.1,4.0,21.1,1.8,27.3,6.8,40.6,1.5,100.0,0.5,25.0,2.0,50.0,36.4
11,Caleb Martin,MIA,5,1,4,35.1,11.6,44.2,21.8,2.9,3.91,3.29,0.262,0.0,0.0,0.6,0.0,0.0,0.0,3.8,0.6,2.0,30.0,0.4,0.4,100.0,42.1,1.2,31.6,0.2,5.3,0.2,5.3,0.2,5.3,1.6,30.0,5.2,47.4,2.6,33.3,0.0,0.0,0.0,0.0,0.0,0.0,58.9
12,Chet Holmgren,OKC,10,6,4,34.5,15.6,59.9,33.1,1.7,1.73,0.68,0.26,1.4,0.4,5.3,0.714,0.0,1.151,4.4,1.1,2.2,50.0,0.5,0.6,83.3,61.4,1.4,31.8,0.1,2.3,0.2,4.5,0.3,6.8,2.7,50.0,4.5,30.8,0.8,30.8,6.1,81.8,0.0,0.0,1.0,75.0,55.0
13,Chris Livingston,MIL,2,0,2,3.1,1.0,1.5,1.5,0.0,1.75,0.67,0.667,0.0,0.0,0.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,100.0
14,Chuma Okeke,ORL,2,2,0,4.9,3.0,6.5,4.0,0.2,1.63,0.69,0.462,0.0,0.0,0.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,50.0,0.0,0.0,1.5,100.0,0.0,0.0,0.0,0.0,83.3
15,DaQuan Jeffries,NYK,4,1,3,5.0,2.0,4.5,3.0,0.1,1.22,0.78,0.444,0.0,0.0,0.3,0.0,0.0,2.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,40.0,0.0,0.0,0.5,100.0,0.0,0.0,0.0,0.0,50.0
16,Daniel Gafford,DAL,22,13,9,20.2,9.0,26.9,15.4,0.7,1.58,0.32,0.333,1.7,0.4,5.7,0.595,0.889,1.254,1.0,0.1,0.5,16.7,0.2,0.5,50.0,45.5,0.1,9.1,0.0,0.0,0.1,13.6,0.2,22.7,0.5,16.7,0.0,0.0,0.0,0.0,7.2,76.1,0.4,75.0,1.0,60.0,63.4
17,Daniel Theis,LAC,1,0,1,4.4,3.0,7.0,4.0,0.1,1.23,0.14,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
18,Danilo Gallinari,MIL,3,1,2,12.4,3.7,19.7,11.3,0.9,2.7,1.17,0.186,0.7,0.7,1.3,1.0,2.0,1.25,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,66.7,0.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,50.0,0.7,25.0,1.7,100.0,1.3,100.0,0.7,0.0,50.0
19,David Roddy,PHX,2,0,2,1.4,0.0,2.5,1.5,0.1,2.72,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Dean Wade,CLE,3,0,3,21.0,3.7,25.0,15.7,0.6,1.49,0.53,0.147,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,50.0,0.0,0.0,0.3,25.0,0.0,0.0,0.0,0.0,2.0,22.2,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3
21,Derrick Jones Jr.,DAL,22,13,9,29.4,9.1,28.9,15.6,0.8,1.74,0.94,0.314,0.7,0.0,2.5,0.933,0.0,0.852,3.0,0.6,1.5,43.8,0.4,0.5,66.7,55.2,1.0,31.3,0.4,11.9,0.3,10.4,0.3,9.0,1.7,43.8,3.1,36.5,0.4,50.0,2.1,60.5,0.0,0.0,0.6,75.0,55.6
22,Doug McDermott,IND,10,4,6,6.4,1.3,6.7,5.1,0.1,1.1,0.4,0.194,0.0,0.0,0.1,0.0,0.0,2.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,50.0,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,28.6,0.3,50.0,0.2,100.0,0.0,0.0,0.0,0.0,59.1
23,Drew Eubanks,PHX,3,0,3,12.5,5.7,14.7,8.3,0.4,1.59,0.41,0.386,2.3,0.3,4.0,0.857,0.0,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,57.1,0.0,0.0,2.0,50.0,58.3
24,Duncan Robinson,MIA,5,1,4,11.9,2.6,15.4,11.6,0.7,2.6,1.79,0.169,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,100.0,0.0,0.0,0.0,40.0,0.6,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,100.0,0.6,16.7,1.6,33.3,0.0,0.0,0.0,0.0,0.0,0.0,40.6
25,Dwight Powell,DAL,13,8,5,3.4,0.5,4.1,2.2,0.1,1.84,0.94,0.113,0.2,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,33.3,0.0,0.0,0.0,0.0,33.3
26,E.J. Liddell,NOP,1,0,1,2.5,0.0,4.0,3.0,0.2,2.45,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Franz Wagner,ORL,7,3,4,37.1,18.9,68.3,35.1,4.6,4.07,3.5,0.276,0.9,0.1,2.4,1.333,0.0,0.706,14.6,2.7,6.4,42.2,1.7,2.0,85.7,50.0,5.7,39.2,1.1,7.8,0.7,4.9,1.0,6.9,7.3,42.2,2.1,26.3,3.1,32.1,1.7,66.7,0.0,0.0,1.1,66.7,45.1
28,Georges Niang,CLE,10,4,6,12.1,2.8,19.6,9.7,0.6,1.82,0.97,0.143,0.2,0.1,0.4,0.0,0.0,0.5,1.8,0.3,1.1,27.3,0.6,0.6,100.0,66.7,0.3,16.7,0.0,0.0,0.1,5.6,0.3,16.7,1.2,27.3,0.9,15.8,0.4,25.0,0.2,33.3,0.0,0.0,0.0,0.0,25.6
29,Goga Bitadze,ORL,2,2,0,4.9,0.0,10.0,7.0,0.3,1.77,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Gordon Hayward,OKC,7,5,2,6.6,0.0,8.9,4.0,0.4,2.53,1.45,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.6,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Haywood Highsmith,MIA,5,1,4,25.1,4.8,29.8,15.0,1.2,2.4,1.52,0.161,0.0,0.0,0.6,0.0,0.0,0.0,2.2,0.8,1.6,50.0,0.0,0.0,0.0,81.8,0.4,18.2,0.0,0.0,0.0,0.0,0.0,0.0,1.8,50.0,2.2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.1
32,Herbert Jones,NOP,4,0,4,35.1,13.0,52.8,29.8,2.4,2.68,1.55,0.246,0.8,0.3,1.8,0.0,0.0,0.571,4.3,0.5,2.0,25.0,1.5,1.5,100.0,58.8,1.0,23.5,0.3,5.9,0.5,11.8,0.8,17.6,2.5,25.0,6.0,36.4,0.0,0.0,1.0,33.3,0.0,0.0,0.0,0.0,48.8
33,Hunter Tyson,DEN,3,1,2,4.5,0.3,6.7,4.3,0.3,2.32,1.2,0.05,0.0,0.0,0.3,0.0,0.0,0.0,0.7,0.0,0.3,0.0,0.3,0.7,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,50.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Isaac Okoro,CLE,12,5,7,21.9,5.5,20.0,13.5,0.6,1.93,1.3,0.275,0.5,0.0,0.7,0.333,0.0,0.25,2.2,0.3,0.8,40.0,0.2,0.2,100.0,38.5,0.8,38.5,0.1,3.8,0.2,7.7,0.1,3.8,0.8,40.0,2.0,27.6,0.4,25.0,0.2,20.0,0.0,0.0,0.2,33.3,42.1
35,Isaiah Hartenstein,NYK,13,7,6,29.8,8.5,46.2,30.5,1.4,1.87,0.54,0.183,4.7,0.1,7.6,0.607,2.0,0.677,1.3,0.2,0.6,25.0,0.0,0.2,0.0,23.5,0.5,41.2,0.1,5.9,0.1,5.9,0.1,5.9,0.3,25.0,1.1,38.9,0.5,100.0,5.2,66.7,0.2,100.0,2.8,57.1,59.9
36,Isaiah Jackson,IND,15,6,9,10.2,3.8,14.3,9.7,0.4,1.56,0.59,0.266,0.7,0.4,3.2,0.9,0.5,0.771,0.2,0.1,0.2,66.7,0.0,0.0,0.0,133.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,66.7,0.0,0.0,0.0,0.0,2.5,53.6,0.2,20.0,0.6,100.0,53.5
37,Jaden McDaniels,MIN,16,9,7,33.6,12.2,30.1,20.3,0.9,1.74,1.06,0.405,0.5,0.0,2.1,0.0,0.0,1.0,4.6,1.2,2.3,51.4,0.4,0.6,60.0,63.0,1.3,28.8,0.3,5.5,0.4,9.6,0.3,6.8,2.9,51.4,4.3,42.6,1.2,39.1,2.1,65.0,0.0,0.0,0.0,0.0,60.0
38,Jae Crowder,MIL,4,1,3,10.5,2.3,15.5,8.0,0.4,1.52,0.56,0.145,0.3,0.0,0.8,0.0,0.0,0.667,0.5,0.0,0.3,0.0,0.5,0.5,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,50.0,0.5,0.0,0.8,12.5,0.0,0.0,0.5,50.0,0.0,0.0,0.0,0.0,29.2
39,Jalen Smith,IND,7,3,4,6.0,1.9,8.1,5.0,0.2,1.6,0.72,0.228,0.3,0.0,1.0,0.0,0.0,0.143,0.7,0.1,0.3,50.0,0.3,0.6,50.0,80.0,0.1,20.0,0.0,0.0,0.0,0.0,0.3,40.0,0.6,50.0,0.9,50.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,50.0
40,Jalen Williams,OKC,10,6,4,37.7,18.7,77.7,33.0,5.5,4.24,3.98,0.241,0.8,0.3,2.2,0.875,0.667,0.955,14.7,3.3,7.7,42.9,0.6,0.8,75.0,50.3,5.4,36.7,1.7,11.6,0.5,3.4,0.4,2.7,7.4,42.9,1.8,35.3,5.5,37.1,2.1,83.3,0.2,100.0,0.7,100.0,51.6
41,James Johnson,IND,1,0,1,1.0,1.0,5.0,3.0,0.2,2.55,2.4,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42,Jarace Walker,IND,9,6,3,3.4,0.9,7.1,2.8,0.5,4.11,3.69,0.125,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.2,0.2,100.0,0.0,0.0,0.0,125.0,0.1,25.0,0.0,0.0,0.1,25.0,0.0,0.0,0.6,100.0,0.0,0.0,0.7,37.5,0.0,0.0,0.0,0.0,0.0,0.0,30.0
43,Jaxson Hayes,LAL,4,1,3,6.0,0.3,8.0,2.5,0.2,1.35,0.5,0.031,0.3,0.3,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Jaylen Brown,BOS,19,16,3,37.2,23.9,59.4,32.7,4.1,4.12,3.54,0.402,0.9,1.6,2.3,0.778,0.581,0.93,13.8,3.5,6.4,54.1,1.5,2.0,76.3,61.6,5.1,36.5,1.1,8.0,0.8,6.1,1.0,7.2,8.5,54.1,3.5,33.3,4.9,39.6,2.1,73.1,0.9,57.1,0.7,50.0,56.9
45,Jaylin Williams,OKC,10,6,4,12.7,4.4,28.9,15.9,0.7,1.51,0.3,0.152,1.0,0.0,0.9,0.2,0.0,0.667,1.1,0.2,0.2,100.0,0.0,0.0,0.0,36.4,0.9,81.8,0.1,9.1,0.0,0.0,0.0,0.0,0.4,100.0,2.9,41.7,0.2,100.0,0.6,75.0,0.0,0.0,0.2,50.0,62.1
46,Jayson Tatum,BOS,19,16,3,40.4,25.0,83.9,46.9,5.3,3.81,2.62,0.298,1.7,2.2,2.3,0.906,0.61,0.814,13.4,2.8,5.9,48.2,2.5,2.9,87.3,65.9,4.6,34.5,1.3,9.4,1.1,7.8,1.5,11.0,8.8,48.2,2.9,38.2,6.4,29.1,1.8,51.9,1.3,47.6,1.5,61.9,48.0
47,Jeremiah Robinson-Earl,NOP,1,0,1,5.3,2.0,11.0,9.0,0.3,1.82,0.82,0.182,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
48,Joe Ingles,ORL,7,3,4,9.6,1.6,15.9,9.6,0.7,2.6,1.45,0.099,0.1,0.0,0.3,0.0,0.0,0.0,1.9,0.3,0.6,50.0,0.0,0.0,0.0,30.8,1.3,69.2,0.4,23.1,0.0,0.0,0.0,0.0,0.6,50.0,0.9,28.6,0.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,41.7
49,Joel Embiid,PHI,6,2,4,41.4,33.0,80.7,60.5,3.5,2.61,1.21,0.409,4.2,8.3,3.5,1.16,0.6,1.143,6.0,0.5,1.5,33.3,4.3,4.7,92.9,88.9,1.2,19.4,0.0,0.0,0.8,13.9,2.3,38.9,5.3,33.3,10.3,45.5,4.2,35.3,4.0,57.1,5.0,56.0,4.8,76.9,49.2
50,Jonathan Isaac,ORL,7,3,4,21.0,6.3,24.6,10.9,0.5,1.3,0.43,0.256,0.3,0.0,1.9,1.0,0.0,0.615,0.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,50.0,0.0,0.0,0.1,25.0,0.0,0.0,0.0,0.0,3.0,29.2,1.6,66.7,1.1,50.0,0.0,0.0,0.3,0.0,53.8
51,Josh Minott,MIN,5,3,2,3.6,1.2,5.0,3.0,0.2,2.16,1.0,0.24,0.0,0.0,0.4,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3
52,Justin Holiday,DEN,12,7,5,12.5,2.9,12.4,7.6,0.3,1.58,0.93,0.235,0.2,0.0,0.3,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.1,0.2,50.0,14.3,0.3,57.1,0.1,14.3,0.0,0.0,0.1,14.3,0.1,0.0,2.5,38.5,0.3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1
53,Karl-Anthony Towns,MIN,16,9,7,32.6,19.1,50.0,34.6,1.7,2.07,0.82,0.381,0.9,2.9,3.3,0.643,0.63,0.731,7.8,2.1,4.4,47.9,1.8,2.1,85.3,80.8,1.3,16.0,0.3,3.2,0.6,7.2,1.1,13.6,6.3,47.9,5.6,36.5,1.0,28.0,2.4,48.5,1.8,54.5,0.6,44.4,53.0
54,Kawhi Leonard,LAC,2,0,2,29.7,12.0,40.5,26.0,2.4,3.59,2.95,0.296,2.5,1.5,3.5,0.8,0.667,0.857,7.5,2.5,3.5,71.4,0.5,1.0,50.0,73.3,2.0,26.7,0.5,6.7,1.0,13.3,0.5,6.7,5.5,71.4,0.0,0.0,3.0,33.3,3.0,75.0,1.0,50.0,2.0,66.7,45.8
55,Kelly Oubre Jr.,PHI,6,2,4,37.3,13.2,36.8,20.2,1.5,2.42,1.51,0.357,1.0,0.0,4.0,0.333,0.0,0.75,3.2,0.5,2.0,25.0,0.8,1.0,83.3,57.9,0.5,15.8,0.3,10.5,0.2,5.3,0.5,15.8,1.8,25.0,4.0,44.4,0.5,12.5,3.0,56.3,0.0,0.0,0.3,100.0,55.5
56,Kenrich Williams,OKC,7,6,1,4.5,0.6,6.0,3.3,0.3,2.88,2.0,0.095,0.0,0.0,0.3,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,100.0,0.0,0.0,0.0,0.0,25.0
