,PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH,PTS PER TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH,PTS PER PAINT TOUCH,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
71,Marcus Morris Sr.,CLE,9,3,6,15.3,6.1,17.2,9.2,0.6,2.18,1.37,0.355,0.3,0.0,0.6,0.667,0.0,0.8,1.4,0.4,1.0,44.4,0.0,0.0,0.0,61.5,0.3,23.1,0.0,0.0,0.1,7.7,0.0,0.0,0.9,44.4,3.1,52.6,1.9,38.1,0.4,25.0,0.0,0.0,0.2,33.3,55.2
72,Markieff Morris,DAL,1,1,0,12.0,3.0,15.0,9.0,0.3,1.34,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
73,Mason Plumlee,LAC,6,2,4,11.0,3.2,15.7,7.5,0.4,1.58,0.5,0.202,1.0,0.0,3.5,0.0,0.0,0.619,0.2,0.2,0.2,100.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,100.0,0.0,0.0,0.0,0.0,2.2,41.7,0.0,0.0,0.0,0.0,38.9
74,Matt Ryan,NOP,1,0,1,2.5,0.0,6.0,3.0,0.2,2.25,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Max Strus,CLE,12,5,7,36.1,9.5,51.3,26.8,1.8,2.14,1.52,0.185,0.2,0.0,0.7,0.0,0.0,1.0,3.5,0.7,1.5,44.4,0.0,0.0,0.0,38.1,1.8,52.4,0.8,21.4,0.2,4.8,0.0,0.0,1.3,44.4,5.5,41.5,0.8,13.6,0.7,100.0,0.0,0.0,0.0,0.0,52.9
76,Maxi Kleber,DAL,13,6,7,16.8,3.7,15.7,10.4,0.4,1.34,0.31,0.235,0.2,0.1,0.6,0.667,0.0,0.5,0.7,0.2,0.3,50.0,0.2,0.2,100.0,66.7,0.2,33.3,0.1,11.1,0.1,11.1,0.1,11.1,0.5,50.0,2.8,42.9,0.0,0.0,0.3,50.0,0.0,0.0,0.2,100.0,56.4
77,Michael Porter Jr.,DEN,12,7,5,36.9,15.8,44.6,26.4,1.4,1.93,0.94,0.353,1.3,0.0,1.5,0.8,0.0,1.556,2.8,0.8,1.4,58.8,0.7,0.7,100.0,85.3,0.7,23.5,0.3,11.8,0.3,8.8,0.3,11.8,2.4,58.8,7.6,41.9,2.2,35.5,2.3,92.9,0.0,0.0,1.0,54.5,57.9
78,Mitchell Robinson,NYK,6,4,2,19.1,2.8,18.3,11.2,0.5,1.48,0.43,0.155,0.2,0.0,5.0,0.0,0.0,0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,50.0,0.0,0.0,0.0,0.0,50.0
79,Moritz Wagner,ORL,7,3,4,15.0,6.3,23.4,15.4,0.7,1.71,0.73,0.268,1.0,0.3,3.6,1.429,0.5,0.84,1.7,0.4,1.0,42.9,0.3,0.6,50.0,66.7,0.0,0.0,0.0,0.0,0.3,16.7,0.3,16.7,1.1,42.9,0.9,22.2,0.0,0.0,3.0,60.0,0.1,0.0,1.4,75.0,47.2
80,Myles Turner,IND,17,8,9,32.4,17.0,44.1,32.1,1.1,1.46,0.48,0.386,3.3,1.2,4.9,0.786,1.0,1.0,2.0,0.6,1.3,45.5,0.5,0.6,80.0,82.4,0.3,14.7,0.1,5.9,0.1,2.9,0.3,14.7,1.6,45.5,7.8,45.3,1.0,36.8,4.9,70.8,1.2,80.0,2.6,56.3,61.2
81,Naji Marshall,NOP,4,0,4,21.0,9.0,38.3,17.8,1.7,2.74,2.37,0.235,0.3,0.0,0.5,0.0,0.0,1.0,4.5,0.8,2.3,33.3,1.0,1.0,100.0,55.6,1.5,33.3,0.3,5.6,0.3,5.6,0.5,11.1,2.5,33.3,4.5,40.0,0.0,0.0,0.5,100.0,0.0,0.0,0.0,0.0,53.6
82,Nassir Little,PHX,4,0,4,3.4,1.8,3.5,2.3,0.1,2.37,2.29,0.5,0.3,0.3,0.0,0.0,2.0,0.0,0.3,0.3,0.3,100.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,100.0,0.0,0.0,1.3,66.7,0.0,0.0,0.5,100.0,0.0,0.0,70.0
83,Naz Reid,MIN,16,9,7,22.5,11.1,32.4,18.6,0.9,1.69,1.01,0.341,0.6,0.7,0.9,1.4,0.818,1.533,4.3,1.3,2.5,50.0,0.9,1.3,70.0,79.4,0.6,13.2,0.1,2.9,0.3,7.4,0.6,14.7,3.4,50.0,4.8,37.1,0.1,14.3,1.4,100.0,0.6,66.7,0.9,71.4,54.6
84,Nicolas Batum,PHI,6,2,4,28.3,6.3,37.5,18.5,0.9,1.41,0.32,0.169,0.8,0.0,2.2,0.0,0.0,0.385,0.2,0.0,0.0,0.0,0.2,0.3,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,100.0,0.2,0.0,4.0,40.0,0.8,66.7,0.8,40.0,0.0,0.0,0.0,0.0,56.9
85,Nikola Jovic,MIA,5,1,4,25.6,9.4,41.8,20.2,1.8,2.54,1.56,0.225,0.2,0.0,0.0,2.0,0.0,0.0,3.8,0.8,1.6,50.0,0.4,0.4,100.0,57.9,1.6,42.1,0.4,10.5,0.4,10.5,0.2,5.3,2.2,50.0,5.4,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,56.9
86,OG Anunoby,NYK,9,6,3,36.0,15.1,45.3,28.9,1.7,2.24,1.29,0.333,1.4,0.6,2.2,0.385,0.0,0.65,7.6,1.7,3.7,45.5,0.3,0.4,75.0,48.5,3.2,42.6,0.6,7.4,0.2,2.9,0.2,2.9,3.7,45.5,5.0,39.5,2.8,50.0,1.4,60.0,0.0,0.0,0.6,40.0,57.7
87,Obi Toppin,IND,17,8,9,20.2,10.9,33.3,20.1,0.9,1.61,0.76,0.327,0.9,0.5,3.0,1.133,0.333,1.078,2.2,0.6,1.1,57.9,0.0,0.0,0.0,59.5,0.7,32.4,0.2,8.1,0.2,10.8,0.0,0.0,1.3,57.9,2.9,36.2,1.2,40.0,3.2,72.2,0.2,0.0,1.0,63.6,61.5
88,Olivier-Maxence Prosper,DAL,3,1,2,3.0,0.0,2.7,0.7,0.1,3.36,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Oshae Brissett,BOS,10,8,2,5.5,1.6,7.6,2.8,0.3,2.5,1.54,0.211,0.1,0.0,0.8,0.0,0.0,0.75,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,100.0,0.0,0.0,0.6,75.0,0.0,0.0,0.0,0.0,63.6
90,Ousmane Dieng,OKC,4,2,2,1.8,0.5,1.5,1.0,0.1,2.91,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
91,P.J. Tucker,LAC,2,0,2,15.3,5.5,12.5,8.0,0.3,1.39,0.52,0.44,0.5,0.0,2.5,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,75.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,91.7
92,P.J. Washington,DAL,22,13,9,35.7,13.0,48.9,20.7,1.5,1.8,1.04,0.266,0.6,0.6,1.6,0.929,0.846,0.889,4.0,1.0,2.1,45.7,0.5,0.6,85.7,63.2,1.1,27.6,0.5,11.5,0.4,9.2,0.3,8.0,2.5,45.7,6.3,35.4,0.8,38.1,1.5,65.2,0.5,50.0,0.6,55.6,52.8
93,Paolo Banchero,ORL,7,3,4,37.5,27.0,87.3,44.6,5.8,3.98,3.09,0.309,2.9,2.7,2.3,0.6,0.737,0.75,12.3,2.7,6.9,39.6,1.6,2.3,68.8,57.0,2.7,22.1,0.3,2.3,1.6,12.8,1.1,9.3,7.0,39.6,5.1,52.2,9.7,42.1,1.7,66.7,2.0,66.7,1.7,54.5,51.0
94,Pascal Siakam,IND,17,8,9,35.4,21.6,60.4,39.7,2.6,2.54,1.76,0.358,4.0,3.9,6.5,0.779,0.727,1.036,8.1,1.9,3.9,49.3,0.4,0.7,58.3,55.1,3.1,38.4,0.8,9.4,0.5,5.8,0.4,4.3,4.5,49.3,4.2,44.6,4.5,45.8,6.8,64.6,2.8,67.7,3.1,73.5,56.6
