,PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH,PTS PER TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH,PTS PER PAINT TOUCH,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%,OREB,Contested OREB,Contested OREB%,OREB Chances,OREB Chance%,Deferred OREB Chances,Adjusted OREB Chance%,AVG OREB Distance,DREB,Contested DREB,Contested DREB%,DREB Chances,DREB Chance%,Deferred DREB Chances,Adjusted DREB Chance%,AVG DREB Distance,STL,BLK,DFGM,DFGA,DFG%
0,AJ Griffin,ATL,20,8,12,8.5,2.4,8.5,5.4,0.3,1.99,1.5,0.284,0.1,0.0,0.2,0.0,0.0,0.5,1.0,0.2,0.7,30.8,0.0,0.0,0.0,40.0,0.2,20.0,0.1,5.0,0.2,15.0,0.0,0.0,0.4,30.8,0.8,20.8,1.1,34.8,0.1,0.0,0.0,0.0,0.0,0.0,37.1,0.2,0.0,0.0,1.3,16.7,0.0,16.7,5.9,1.8,0.1,6.3,2.2,80.0,0.1,84.2,11.1,0.1,0.1,0.6,0.9,70.6
1,Aaron Gordon,DEN,71,47,24,31.6,13.9,42.3,23.3,2.2,3.16,2.41,0.329,2.0,1.5,6.8,0.352,0.627,1.008,4.0,0.9,2.0,47.5,0.5,0.8,66.7,59.8,1.3,32.2,0.3,8.0,0.3,7.3,0.4,9.4,2.4,47.5,1.3,28.4,0.7,26.9,6.8,70.9,1.0,54.2,0.7,61.8,58.0,2.4,1.7,72.1,4.5,54.4,0.2,56.6,5.5,4.1,1.1,27.7,6.1,67.7,0.4,72.1,7.2,0.7,0.6,1.8,3.1,56.6
2,Aaron Nesmith,IND,72,41,31,27.7,12.2,39.3,22.6,1.1,1.61,0.93,0.31,0.3,0.0,1.0,0.889,0.0,0.813,4.4,1.2,2.3,53.4,0.6,0.7,84.6,71.8,1.4,31.6,0.2,5.4,0.2,4.7,0.4,8.2,3.2,53.4,5.3,43.4,1.1,41.9,0.8,62.8,0.0,0.0,0.2,75.0,60.6,0.9,0.4,49.2,2.6,33.9,0.1,35.4,11.2,2.9,0.7,24.5,5.7,52.0,0.7,59.1,5.7,0.9,0.7,2.1,3.8,55.8
3,Adama Sanogo,CHI,9,3,6,7.3,4.0,9.8,5.8,0.2,1.44,0.5,0.409,0.8,0.3,3.7,0.857,1.0,0.939,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,56.5,0.3,100.0,0.7,50.0,51.9,2.7,1.9,68.4,5.0,54.3,0.0,54.3,4.0,2.4,0.6,23.5,3.1,77.3,0.1,81.0,4.9,0.1,0.0,0.7,0.7,100.0
4,Admiral Schofield,ORL,23,15,8,3.7,1.1,7.0,3.7,0.2,1.93,0.86,0.163,0.2,0.0,0.3,0.5,0.0,0.333,0.2,0.0,0.2,25.0,0.0,0.0,0.0,40.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,25.0,0.7,35.7,0.2,40.0,0.1,50.0,0.0,0.0,0.1,100.0,50.0,0.3,0.1,33.3,0.4,60.0,0.0,60.0,5.3,1.1,0.2,15.4,1.3,81.3,0.0,81.3,5.2,0.0,0.0,0.1,0.1,66.7
5,Al Horford,BOS,64,50,14,26.7,8.6,33.2,18.6,0.8,1.44,0.44,0.26,1.0,0.7,2.7,0.286,0.773,0.799,0.9,0.2,0.4,56.5,0.0,0.0,100.0,49.1,0.4,47.4,0.1,12.3,0.1,8.8,0.0,1.8,0.4,56.5,5.1,43.0,0.2,40.0,2.2,72.5,0.5,65.0,0.3,81.8,64.7,1.2,0.7,53.2,2.6,46.7,0.1,48.8,9.0,5.0,1.2,23.6,7.8,64.8,0.7,70.9,6.6,0.6,1.0,2.6,4.0,65.4
6,Aleksej Pokusevski,CHA,27,13,14,14.7,5.1,22.8,13.1,0.8,2.2,1.18,0.226,0.8,0.1,0.9,0.455,1.0,1.208,2.5,0.4,1.0,42.9,0.3,0.4,58.3,45.6,1.1,42.6,0.3,13.2,0.1,2.9,0.2,8.8,1.1,42.9,1.7,32.7,0.4,19.0,1.1,84.6,0.1,0.0,0.4,50.0,46.6,0.7,0.3,47.1,1.2,58.6,0.0,58.6,13.1,2.9,0.7,24.3,4.8,60.9,0.3,65.4,6.0,0.5,0.4,1.6,2.1,78.6
7,Alex Fudge,DAL,6,1,5,6.7,2.5,6.7,4.3,0.2,1.77,1.15,0.375,0.0,0.0,0.5,0.0,0.0,1.333,0.5,0.3,0.5,66.7,0.0,0.0,0.0,133.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,66.7,0.5,16.7,0.3,50.0,0.7,50.0,0.0,0.0,0.0,0.0,43.3,1.0,0.8,75.0,2.3,44.4,0.0,44.4,7.3,0.3,0.0,0.0,0.5,50.0,0.0,50.0,7.7,0.5,0.0,0.5,0.5,100.0
8,Amen Thompson,HOU,62,30,32,22.4,9.5,40.3,16.7,2.3,3.41,2.66,0.237,1.0,0.1,4.5,0.619,0.5,0.841,4.6,0.8,1.6,49.0,0.3,0.5,66.7,42.8,2.2,47.7,0.4,9.5,0.4,8.8,0.2,5.3,2.0,49.0,0.5,20.0,0.5,28.0,3.8,69.1,0.0,0.0,0.6,75.0,54.5,2.5,1.6,65.5,4.8,51.6,0.1,52.7,5.6,4.3,1.0,23.1,6.0,72.0,0.3,76.2,5.1,1.3,0.6,1.3,2.1,62.9
9,Amir Coffey,LAC,69,45,24,20.9,6.7,20.3,12.0,0.8,2.25,1.36,0.33,0.2,0.0,0.3,0.786,0.0,0.85,2.1,0.6,1.1,52.6,0.1,0.1,100.0,63.4,0.7,31.7,0.1,4.9,0.2,7.7,0.1,2.8,1.3,52.6,2.9,40.1,1.1,42.7,0.2,66.7,0.0,0.0,0.2,83.3,57.4,0.5,0.1,28.6,0.9,53.8,0.1,57.1,15.6,2.1,0.3,16.2,3.6,59.4,0.3,64.3,9.4,0.6,0.2,1.0,1.4,67.0
10,Andrew Nembhard,IND,68,41,27,25.0,9.2,46.5,22.6,2.8,3.61,3.34,0.198,0.4,0.1,0.6,0.444,0.4,0.805,8.4,1.8,3.3,53.4,0.3,0.4,83.3,45.2,4.1,48.9,1.0,11.9,0.5,6.1,0.2,2.1,3.8,53.4,2.5,39.2,2.7,46.6,0.5,72.2,0.0,100.0,0.2,75.0,55.7,0.7,0.1,22.2,1.6,41.4,0.1,43.9,16.5,1.9,0.3,15.2,3.7,51.7,0.4,57.7,10.0,0.9,0.1,1.2,1.9,66.7
