,Player,GS,FG,FGA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
34,Danny Granger,80,6.7,15.1,4.7,1.2,4.9,2.1,1.2,1.1,2.1,3.6
298,Darius Songaila,13,2.7,5.8,0.9,1.0,2.4,1.7,0.7,0.2,1.1,2.3
488,Darius Washington,0,1.2,2.7,0.7,0.2,0.9,0.8,0.3,0.0,0.8,0.9
265,Darko Miličić,64,3.1,7.1,1.7,1.8,4.2,0.8,0.5,1.6,1.4,2.6
502,Darrell Armstrong,2,0.8,2.2,0.6,0.3,1.0,1.5,0.6,0.0,0.8,1.1
570,Darrick Martin,0,0.6,2.5,0.4,0.2,0.2,1.2,0.4,0.0,0.1,0.7
590,Darryl Watkins,0,0.6,1.7,0.6,0.6,0.8,0.0,0.2,0.2,0.8,0.9
404,David Harrison,0,1.6,3.1,1.7,0.8,1.4,0.3,0.4,1.1,1.1,3.0
154,David Lee,29,4.2,7.6,2.9,3.0,6.0,1.2,0.7,0.4,1.2,2.6
25,David West,76,8.3,17.2,4.6,2.4,6.5,2.3,0.8,1.3,2.2,2.7
483,DeSagana Diop,23,1.2,2.3,0.9,2.0,2.9,0.5,0.3,1.1,0.7,1.8
145,DeShawn Stevenson,82,3.7,9.5,2.4,0.5,2.4,3.1,0.8,0.2,1.2,1.3
215,Delonte West,31,3.2,7.8,1.5,0.5,2.7,3.8,1.0,0.5,1.9,1.7
592,Demetris Nichols,0,0.4,1.6,0.0,0.0,0.4,0.1,0.0,0.2,0.3,0.3
465,DerMarr Johnson,0,1.4,2.8,0.4,0.0,0.2,0.2,0.2,0.0,0.0,0.8
370,Derek Anderson,0,1.7,4.5,1.4,0.3,1.5,1.6,0.4,0.0,0.9,1.8
133,Derek Fisher,82,4.1,9.5,2.3,0.3,1.8,2.9,1.0,0.0,1.1,2.3
49,Deron Williams,82,6.9,13.6,5.0,0.4,2.5,10.5,1.1,0.3,3.4,2.4
178,Desmond Mason,56,3.9,8.1,2.9,1.3,3.1,2.1,0.7,0.5,1.4,1.8
442,Devean George,4,1.4,3.9,0.6,0.5,2.1,0.7,0.4,0.2,0.5,1.7
255,Devin Brown,20,2.8,6.8,1.8,0.8,2.5,2.2,0.7,0.1,1.3,1.8
73,Devin Harris,61,5.0,10.8,4.7,0.4,2.3,5.8,1.4,0.2,2.5,3.0
481,Dikembe Mutombo,25,1.1,2.1,1.2,1.7,3.4,0.1,0.3,1.2,0.4,1.4
7,Dirk Nowitzki,77,8.2,17.1,7.1,1.2,7.3,3.5,0.7,0.9,2.1,2.6
589,Dominic McGuire,1,0.6,1.5,0.5,0.8,1.2,0.6,0.3,0.4,0.6,1.1
437,Donyell Marshall,1,1.2,3.8,0.8,0.9,2.0,0.4,0.2,0.6,0.6,1.2
237,Dorell Wright,34,3.3,6.7,1.6,1.1,3.9,1.4,0.7,0.9,0.7,1.8
123,Drew Gooden,65,4.8,10.7,3.1,2.5,6.0,1.2,0.7,0.8,1.8,2.9
582,Dwayne Jones,0,0.4,0.8,1.0,1.2,1.3,0.2,0.2,0.4,0.3,1.6
23,Dwight Howard,82,7.1,11.9,10.9,3.4,10.8,1.3,0.9,2.1,3.2,3.3
5,Dwyane Wade,49,8.6,18.4,9.2,0.9,3.3,6.9,1.7,0.7,4.4,2.7
268,Earl Barron,15,2.9,7.1,1.9,1.5,2.8,0.6,0.4,0.2,1.0,2.5
362,Earl Boykins,0,1.7,4.8,1.6,0.3,0.7,2.7,0.4,0.0,1.1,0.6
