,PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH,PTS PER TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH,PTS PER PAINT TOUCH,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
0,Al Harrington,WAS,7,3,4,8.5,2.4,11.0,5.1,0.3,1.66,0.73,0.221,0.1,0.1,0.7,0.0,1.0,1.0,1.0,0.3,0.4,66.7,0.4,0.6,75.0,100.0,0.0,0.0,0.0,0.0,0.1,14.3,0.3,28.6,1.0,66.7,0.0,0.0,0.3,50.0,0.7,100.0,0.1,0.0,0.0,0.0,40.0
1,Alan Anderson,BKN,12,5,7,21.8,5.9,24.5,15.4,0.9,2.13,1.31,0.241,0.1,0.0,0.7,0.0,0.0,0.0,4.2,0.8,1.5,50.0,0.3,0.5,66.7,44.0,1.3,30.0,0.3,8.0,0.6,14.0,0.3,6.0,1.8,50.0,2.4,33.3,0.8,35.7,0.0,0.0,0.0,0.0,0.0,0.0,47.6
2,Amir Johnson,TOR,7,3,4,27.3,11.0,37.6,23.7,1.0,1.67,0.67,0.293,2.9,1.4,6.9,0.55,0.6,0.792,2.1,0.9,1.1,75.0,0.3,0.3,100.0,93.3,0.7,33.3,0.0,0.0,0.1,6.7,0.1,6.7,2.0,75.0,0.0,0.0,0.6,66.7,5.4,63.0,0.9,75.0,1.6,100.0,65.4
3,Andray Blatche,BKN,12,5,7,14.3,6.4,22.2,15.0,0.7,1.89,0.74,0.289,2.1,1.9,5.5,0.04,0.435,0.864,1.0,0.3,0.5,66.7,0.5,0.7,75.0,116.7,0.1,8.3,0.1,8.3,0.0,0.0,0.3,33.3,1.2,66.7,0.0,0.0,0.0,0.0,4.8,54.3,0.8,45.5,0.1,0.0,44.8
4,Andre Iguodala,GSW,7,3,4,35.5,13.1,47.4,26.3,3.2,4.05,3.03,0.277,0.4,2.6,2.3,0.667,0.278,0.563,3.7,0.4,1.1,37.5,0.6,0.9,66.7,38.5,1.0,26.9,0.4,11.5,0.1,3.8,0.4,11.5,1.4,37.5,3.0,43.8,1.9,40.0,1.3,100.0,0.7,16.7,0.3,100.0,58.1
5,Andre Roberson,OKC,2,0,2,4.4,0.0,4.0,2.5,0.1,2.13,1.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Andrei Kirilenko,BKN,10,4,6,14.4,2.5,16.0,9.5,0.5,2.06,0.61,0.156,0.6,0.4,2.4,0.167,0.0,0.333,0.7,0.0,0.2,0.0,0.2,0.2,100.0,28.6,0.2,28.6,0.0,0.0,0.1,14.3,0.1,14.3,0.2,0.0,0.0,0.0,0.2,50.0,0.8,42.9,0.0,0.0,0.1,0.0,46.7
7,Anthony Tolliver,CHA,4,0,4,5.2,1.5,10.5,3.8,0.2,1.03,0.17,0.143,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
8,Aron Baynes,SAS,14,11,3,7.2,2.3,8.1,5.1,0.2,1.54,0.4,0.283,0.8,0.4,1.9,0.182,0.0,0.926,0.2,0.0,0.0,0.0,0.1,0.1,100.0,66.7,0.1,33.3,0.0,0.0,0.1,33.3,0.1,33.3,0.1,0.0,0.1,25.0,0.0,0.0,1.8,64.7,0.0,0.0,0.1,50.0,50.0
9,Austin Daye,SAS,1,0,1,5.9,0.0,11.0,5.0,0.3,1.77,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Bismack Biyombo,CHA,3,0,3,16.1,2.7,8.0,5.7,0.2,1.41,0.34,0.333,0.7,0.3,3.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,60.0
11,Blake Griffin,LAC,13,6,7,36.8,23.5,75.5,53.7,3.0,2.36,1.09,0.312,9.5,13.3,7.7,0.331,0.538,0.63,2.3,0.8,1.2,62.5,0.2,0.3,75.0,80.0,0.6,26.7,0.1,3.3,0.2,10.0,0.2,6.7,1.8,62.5,3.5,37.3,2.3,42.9,4.8,55.1,7.2,47.1,3.2,57.7,50.2
12,Boris Diaw,SAS,23,16,7,26.3,9.2,52.9,32.0,1.6,1.82,0.82,0.174,1.8,3.8,2.4,0.262,0.534,0.509,3.8,0.6,1.2,51.9,0.3,0.4,70.0,40.2,1.4,36.8,0.6,16.1,0.3,6.9,0.2,5.7,1.5,51.9,2.7,43.4,0.8,42.9,1.2,63.2,2.0,56.3,0.5,71.4,55.6
13,Brandan Wright,DAL,6,2,4,15.1,5.5,14.2,9.2,0.3,1.45,0.32,0.388,2.7,0.0,2.3,0.438,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,33.3,0.3,100.0,3.5,90.9,0.0,0.0,1.2,60.0,83.3
