,Player,GS,FG,FGA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
175,Aaron Brooks,35,4.0,9.8,2.2,0.4,1.6,3.0,0.6,0.1,1.6,1.9
444,Aaron Gray,18,1.4,3.0,1.1,1.5,2.4,0.8,0.3,0.3,0.7,2.4
499,Acie Law,1,0.9,2.5,1.1,0.1,0.9,1.6,0.2,0.1,0.5,0.8
416,Adam Morrison,5,1.5,4.3,0.4,0.3,1.2,0.8,0.2,0.1,0.6,1.5
571,Adonal Foyle,0,0.7,1.1,0.6,0.9,1.7,0.1,0.0,0.8,0.3,0.5
29,Al Harrington,56,7.3,16.6,4.0,1.4,4.9,1.4,1.2,0.3,2.2,3.1
169,Al Horford,67,4.7,8.9,3.1,2.2,7.1,2.4,0.8,1.4,1.5,2.8
7,Al Jefferson,50,9.7,19.5,5.0,3.4,7.5,1.6,0.8,1.7,1.8,2.8
71,Al Thornton,67,6.6,14.8,4.4,1.7,3.5,1.5,0.8,0.9,1.8,3.2
367,Alando Tucker,1,1.7,4.0,1.1,0.6,0.4,0.4,0.2,0.0,0.5,0.5
493,Alex Acker,0,1.2,3.0,0.4,0.3,0.6,0.5,0.2,0.2,0.3,0.4
540,Alexis Ajinça,4,0.8,2.2,0.9,0.3,0.7,0.1,0.2,0.2,0.4,1.1
60,Allen Iverson,53,6.1,14.6,6.1,0.5,2.5,5.0,1.5,0.1,2.6,1.5
15,Amar'e Stoudemire,53,7.6,14.1,7.3,2.2,5.9,2.0,0.9,1.1,2.8,3.1
445,Amir Johnson,24,1.6,2.6,0.6,1.6,2.1,0.3,0.3,1.0,0.5,2.8
231,Anderson Varejão,42,3.3,6.2,3.1,2.0,5.1,1.0,0.9,0.8,1.0,3.0
194,Andray Blatche,36,4.2,8.9,2.3,1.8,3.5,1.7,0.7,1.0,1.6,3.0
588,Andre Brown,0,0.3,1.8,0.5,1.8,1.3,0.3,0.3,0.0,1.3,2.3
44,Andre Iguodala,82,6.6,14.0,6.4,1.1,4.6,5.3,1.6,0.4,2.7,1.9
77,Andre Miller,82,6.0,12.7,5.0,1.5,3.0,6.5,1.3,0.2,2.4,2.4
88,Andrea Bargnani,59,5.5,12.3,3.4,0.9,4.4,1.2,0.4,1.2,1.7,3.1
166,Andrei Kirilenko,10,3.8,8.5,4.6,1.3,3.5,2.6,1.2,1.1,1.8,1.9
160,Andrew Bogut,33,5.1,8.8,2.7,3.3,7.0,2.0,0.6,1.0,2.4,3.6
99,Andrew Bynum,50,5.6,10.0,4.3,2.7,5.2,1.4,0.4,1.8,1.7,3.1
149,Andris Biedriņš,58,5.0,8.6,3.5,3.6,7.6,2.0,1.0,1.5,1.8,3.8
170,Andrés Nocioni,18,3.9,9.2,2.4,0.7,4.0,1.3,0.5,0.4,1.5,3.4
12,Antawn Jamison,81,8.3,17.8,5.6,2.4,6.5,1.9,1.2,0.3,1.5,2.7
330,Anthony Carter,5,2.1,4.9,1.0,0.5,2.1,4.7,1.2,0.2,2.0,1.8
332,Anthony Johnson,12,1.9,4.8,1.0,0.4,1.5,2.5,0.6,0.1,1.0,1.4
192,Anthony Morrow,17,3.8,8.0,1.4,1.2,1.8,1.2,0.5,0.2,0.8,1.9
