,Player,G,MP,TS%,3PAr,FTr,USG%
362,Kyle Kuzma,77,2401,.549,.418,.200,22.5
610,Lance Thomas,73,1353,.513,.464,.199,10.7
402,Lauri Markkanen,68,2020,.552,.465,.193,21.9
316,LeBron James,82,3026,.621,.257,.336,31.6
407,Luc Mbah a Moute,61,1564,.595,.501,.275,12.8
449,Marcus Morris,54,1442,.541,.383,.252,23.0
450,Markieff Morris,73,1968,.566,.301,.186,19.5
118,Marquese Chriss,72,1527,.509,.398,.331,18.1
664,Marvin Williams,78,2006,.603,.542,.218,14.8
357,Maxi Kleber,72,1206,.576,.414,.191,13.7
43,Michael Beasley,74,1653,.556,.107,.197,26.9
568,Mike Scott,76,1406,.599,.311,.145,20.0
602,Mirza Teletović,10,159,.623,.789,.000,18.2
56,Nemanja Bjelica,67,1371,.581,.493,.121,14.3
132,Nick Collison,15,75,.627,.000,.684,18.2
434,Nikola Mirotić,55,1494,.577,.523,.200,23.4
629,Noah Vonleh,54,875,.509,.282,.248,14.5
653,Okaro White,6,80,.577,.688,.188,10.3
333,Omari Johnson,4,75,.524,.571,.000,14.4
617,P.J. Tucker,82,2281,.537,.703,.136,10.5
575,Pascal Siakam,81,1679,.549,.265,.175,15.7
504,Patrick Patterson,82,1270,.555,.643,.173,10.8
433,Paul Millsap,38,1143,.549,.260,.370,22.0
1,Quincy Acy,70,1359,.525,.800,.164,14.4
217,Rudy Gay,57,1231,.545,.220,.270,24.6
13,Ryan Anderson,66,1725,.592,.706,.194,14.4
158,Sam Dekker,73,883,.534,.232,.216,15.5
485,Semi Ojeleye,73,1150,.473,.665,.218,9.0
296,Serge Ibaka,76,2093,.574,.379,.151,19.4
365,Skal Labissière,60,1240,.513,.111,.258,21.1
371,T.J. Leaf,53,459,.545,.309,.118,14.9
221,Taj Gibson,82,2726,.610,.047,.251,14.7
682,Thaddeus Young,81,2607,.528,.209,.106,17.3
251,Tobias Harris,80,2668,.565,.364,.177,23.3
68,Trevor Booker,68,1158,.557,.096,.271,16.6
394,Trey Lyles,73,1391,.591,.396,.260,21.1
114,Tyler Cavanaugh,39,518,.567,.586,.138,14.8
393,Tyler Lydon,1,2,,,,0.0
295,Vince Hunter,4,7,.600,.000,.000,38.5
539,Zach Randolph,59,1508,.529,.193,.140,27.6
