,Player,G,MP,TS%,3PAr,FTr,USG%
224,Aaron Gordon,58,1909,.530,.395,.260,24.7
508,Adreian Payne,5,43,.831,.300,.600,15.0
10,Al-Farouq Aminu,69,2072,.522,.582,.137,14.8
659,Alan Williams,5,70,.455,.000,.500,17.5
519,Alec Peters,20,225,.523,.784,.135,15.5
530,Alex Poythress,25,104,.500,.423,.000,12.0
154,Anthony Davis,75,2727,.612,.111,.409,30.0
615,Anthony Tolliver,79,1757,.663,.773,.282,14.8
445,Ben Moore,2,9,,,,0.0
237,Blake Griffin,58,1970,.544,.323,.331,28.9
526,Bobby Portis,73,1643,.548,.275,.192,26.0
674,Brandan Wright,28,381,.596,.000,.324,14.7
325,Brice Johnson,18,98,.486,.024,.119,22.3
597,Caleb Swanigan,27,189,.449,.133,.300,20.0
16,Carmelo Anthony,78,2501,.503,.406,.165,23.2
163,Cheick Diallo,52,581,.619,.000,.375,17.4
72,Chris Boucher,1,1,.000,1.000,.000,43.9
414,Chris McCullough,19,90,.478,.190,.333,24.6
669,D.J. Wilson,22,71,.622,.313,.125,13.3
565,Dario Šarić,78,2310,.582,.448,.233,20.9
21,Darrell Arthur,19,141,.559,.489,.064,19.5
108,DeMarre Carroll,73,2180,.550,.498,.313,19.8
661,Derrick Williams,2,9,.250,.500,.000,18.9
203,Dorian Finney-Smith,21,448,.482,.554,.124,15.1
50,Dragan Bender,82,2069,.524,.665,.105,12.7
233,Draymond Green,70,2287,.556,.414,.279,17.2
51,Dāvis Bertāns,77,1086,.588,.689,.134,17.4
447,Eric Moreland,67,805,.531,.000,.238,9.7
298,Ersan İlyasova,69,1729,.558,.413,.220,18.7
349,Frank Kaminsky,79,1835,.545,.383,.271,20.5
474,Georges Niang,9,32,.379,.364,.182,20.9
15,Giannis Antetokounmpo,75,2756,.598,.100,.457,31.2
678,Guerschon Yabusele,33,235,.559,.607,.361,15.7
35,Harrison Barnes,77,2634,.539,.276,.259,25.2
182,Henry Ellenson,38,329,.476,.411,.199,23.8
272,Isaiah Hicks,18,240,.501,.125,.250,17.4
536,Ivan Rabb,36,516,.599,.000,.237,17.7
235,JaMychal Green,55,1542,.530,.260,.227,17.8
501,Jabari Parker,31,743,.550,.244,.163,24.4
137,Jack Cooley,7,87,.566,.000,.704,19.8
657,Jacob Wiley,5,33,.410,.500,.500,6.4
642,Jameel Warney,3,27,.599,.000,.417,25.6
329,James Johnson,73,1943,.575,.301,.264,19.1
408,James Michael McAdoo,3,18,.508,1.000,.286,21.0
176,Jared Dudley,48,686,.553,.656,.287,10.2
403,Jarell Martin,73,1661,.516,.198,.234,17.1
236,Jeff Green,78,1828,.587,.275,.379,19.3
229,Jerami Grant,81,1647,.607,.241,.526,16.0
66,Joel Bolomboy,6,38,.521,.167,1.000,12.6
128,John Collins,74,1785,.620,.086,.341,17.9
452,Johnathan Motley,11,176,.550,.080,.373,24.9
482,Johnny O'Bryant,36,379,.470,.251,.146,22.5
378,Jon Leuer,8,136,.505,.083,.417,16.1
323,Jonas Jerebko,74,1134,.586,.460,.167,15.6
306,Jonathan Isaac,27,536,.465,.317,.172,15.0
426,Jordan Mickey,23,284,.515,.195,.232,17.1
293,Josh Huestis,69,982,.417,.632,.110,9.5
423,Josh McRoberts,2,6,.000,1.000,.000,7.6
586,Josh Smith,3,12,.250,.000,.000,14.4
267,Juancho Hernangómez,25,277,.511,.667,.160,14.0
671,Justise Winslow,68,1680,.496,.264,.213,16.3
492,Kelly Olynyk,76,1779,.612,.440,.274,21.7
193,Kenneth Faried,32,461,.552,.007,.345,18.3
527,Kristaps Porziņģis,48,1553,.539,.256,.309,31.0
