,Player,Fouls Drawn - Shoot
186,A.J. Guyton,8
311,Aaron McKie,49
504,Aaron Williams,88
165,Adonal Foyle,35
183,Adrian Griffin,25
197,Al Harrington,64
208,Alan Henderson,18
216,Allan Houston,105
225,Allen Iverson,203
334,Alonzo Mourning,175
156,Alton Ford,27
251,Alvin Jones,8
505,Alvin Williams,44
303,Amal McCaskill,12
318,Andre Miller,163
260,Andrei Kirilenko,148
127,Andrew DeClercq,24
192,Anfernee Hardaway,78
432,Ansu Sesay,8
239,Antawn Jamison,159
89,Anthony Carter,14
242,Anthony Johnson,11
299,Anthony Mason,93
375,Anthony Peeler,23
488,Antoine Walker,140
120,Antonio Daniels,63
121,Antonio Davis,141
201,Antonio Harvey,1
307,Antonio McDyess,15
161,Antonis Fotsis,9
277,Art Long,37
111,Austin Croshere,44
243,Avery Johnson,71
122,Baron Davis,144
490,Ben Wallace,92
102,Bimbo Coles,12
361,Bo Outlaw,43
465,Bob Sura,127
226,Bobby Jackson,72
434,Bobby Simmons,14
499,Bonzi Wells,115
319,Brad Miller,161
19,Brandon Armstrong,4
207,Brendan Haywood,67
33,Brent Barry,85
390,Brent Price,4
263,Brevin Knight,29
88,Brian Cardinal,1
181,Brian Grant,54
430,Brian Scalabrine,6
433,Brian Shaw,5
436,Brian Skinner,37
55,Bruce Bowen,33
464,Bruno Šundov,0
457,Bryant Stith,24
140,Bryce Drew,5
425,Bryon Russell,34
54,Cal Bowdler,22
94,Calbert Cheaney,33
52,Calvin Booth,12
21,Carlos Arroyo,5
415,Carlos Rogers,10
209,Cedric Henderson,3
351,Charles Oakley,8
440,Charles Smith,28
38,Charlie Bell,0
494,Charlie Ward,19
47,Chauncey Billups,85
372,Cherokee Parks,5
10,Chris Andersen,14
96,Chris Childs,16
106,Chris Crawford,6
142,Chris Dudley,6
174,Chris Gatling,47
316,Chris Mihm,84
324,Chris Mills,30
497,Chris Webber,164
503,Chris Whitney,38
266,Christian Laettner,27
24,Chucky Atkins,39
65,Chucky Brown,1
496,Clarence Weatherspoon,71
410,Clifford Robinson,80
286,Corey Maggette,97
49,Corie Blount,18
513,Corliss Williamson,127
4,Courtney Alexander,47
326,Cuttino Mobley,101
123,Dale Davis,97
29,Dalibor Bagarić,31
252,Damon Jones,19
460,Damon Stoudamire,44
66,Damone Brown,3
271,Dan Langhi,4
288,Dan Majerle,8
32,Dana Barros,11
426,Daniel Santiago,0
151,Danny Ferry,4
158,Danny Fortson,118
290,Danny Manning,14
317,Darius Miles,103
20,Darrell Armstrong,46
296,Darrick Martin,1
188,Darvin Ham,53
411,David Robinson,178
500,David Wesley,50
136,DeSagana Diop,2
455,DeShawn Stevenson,19
169,Dean Garrett,1
355,Dean Oliver,5
67,Dee Brown,0
114,Dell Curry,6
246,DerMarr Johnson,43
11,Derek Anderson,70
153,Derek Fisher,32
101,Derrick Coleman,100
132,Derrick Dial,11
310,Derrick McKey,4
300,Desmond Mason,102
176,Devean George,39
435,Dickey Simpkins,0
338,Dikembe Mutombo,142
179,Dion Glover,45
348,Dirk Nowitzki,218
400,Don Reid,35
202,Donnell Harvey,30
294,Donny Marshall,6
295,Donyell Marshall,106
97,Doug Christie,74
364,Doug Overton,3
58,Earl Boykins,10
495,Earl Watson,13
177,Eddie Gill,11
184,Eddie Griffin,37
215,Eddie House,14
253,Eddie Jones,118
412,Eddie Robinson,23
115,Eddy Curry,81
341,Eduardo Nájera,58
87,Elden Campbell,176
396,Eldridge Recasner,1
377,Elliot Perry,0
61,Elton Brand,232
124,Emanual Davis,8
329,Eric Montross,10
381,Eric Piatkowski,30
447,Eric Snow,79
506,Eric Williams,85
31,Erick Barkley,5
119,Erick Dampier,96
461,Erick Strickland,42
68,Ernest Brown,2
247,Ervin Johnson,28
469,Etan Thomas,37
148,Evan Eschmeyer,13
279,Felipe López,22
449,Felton Spencer,15
213,Fred Hoiberg,30
374,Gary Payton,119
477,Gary Trent,66
281,George Lynch,16
304,George McCloud,56
491,Gerald Wallace,21
18,Gilbert Arenas,60
401,Glen Rice,12
413,Glenn Robinson,104
210,Grant Hill,36
278,Grant Long,41
15,Greg Anthony,30
78,Greg Buckner,17
159,Greg Foster,0
360,Greg Ostertag,58
354,Hakeem Olajuwon,42
333,Hanno Möttölä,35
240,Harold Jamison,6
480,Hedo Türkoğlu,96
182,Horace Grant,53
145,Howard Eisley,8
125,Hubert Davis,9
57,Ira Bowman,0
345,Ira Newble,38
27,Isaac Austin,1
155,Isaac Fontaine,3
409,Isaiah Rider,7
441,Jabari Smith,12
486,Jacque Vaughn,39
501,Jahidi White,73
479,Jake Tsakalidis,81
487,Jake Voskuhl,53
420,Jalen Rose,121
287,Jamaal Magloire,131
473,Jamaal Tinsley,61
107,Jamal Crawford,7
298,Jamal Mashburn,84
387,James Posey,78
63,Jamison Brewer,0
227,Jaren Jackson,1
104,Jarron Collins,69
85,Jason Caffey,18
103,Jason Collier,18
105,Jason Collins,68
200,Jason Hart,2
259,Jason Kidd,75
403,Jason Richardson,82
468,Jason Terry,116
507,Jason Williams,23
160,Jeff Foster,85
309,Jeff McInnis,63
478,Jeff Trepagnier,2
305,Jelani McCoy,3
228,Jermaine Jackson,5
349,Jermaine O'Neal,180
235,Jerome James,27
508,Jerome Williams,77
451,Jerry Stackhouse,184
427,Jeryl Sasser,3
229,Jim Jackson,21
108,Joe Crispin,2
248,Joe Johnson,19
444,Joe Smith,86
391,Joel Przybilla,44
9,John Amaechi,44
112,John Crotty,10
452,John Starks,12
458,John Stockton,93
492,John Wallace,23
346,Johnny Newman,23
34,Jon Barry,26
42,Jonathan Bender,83
157,Joseph Forte,2
79,Jud Buechler,0
254,Jumaine Jones,23
217,Juwan Howard,143
328,Jérôme Moïso,0
289,Karl Malone,242
69,Kedrick Brown,7
484,Keith Van Horn,78
92,Kelvin Cato,92
178,Kendall Gill,23
12,Kenny Anderson,50
428,Kenny Satterfield,15
470,Kenny Thomas,154
297,Kenyon Martin,124
98,Keon Clark,108
261,Kerry Kittles,79
168,Kevin Garnett,173
356,Kevin Ollie,93
514,Kevin Willis,40
139,Keyon Dooling,5
206,Kirk Haston,3
76,Kobe Bryant,205
471,Kurt Thomas,117
70,Kwame Brown,47
147,LaPhonso Ellis,31
353,Lamar Odom,44
336,Lamond Murray,111
221,Larry Hughes,111
414,Larry Robinson,0
450,Latrell Sprewell,135
388,Lavor Postell,13
167,Lawrence Funderburke,21
340,Lee Nailon,69
445,Leon Smith,9
222,Lindsey Hunter,10
515,Loren Woods,24
519,Lorenzen Wright,53
199,Lucious Harris,56
6,Malik Allen,4
423,Malik Rose,107
339,Mamadou N'Diaye,5
230,Marc Jackson,37
86,Marcus Camby,46
154,Marcus Fizer,135
50,Mark Blount,15
77,Mark Bryant,2
233,Mark Jackson,30
284,Mark Madsen,20
385,Mark Pope,9
462,Mark Strickland,20
100,Mateen Cleaves,4
83,Matt Bullard,3
175,Matt Geiger,1
196,Matt Harpring,90
149,Maurice Evans,2
35,Mengke Bateer,20
516,Metta World Peace,93
59,Michael Bradley,3
116,Michael Curry,34
135,Michael Dickerson,3
138,Michael Doleac,20
152,Michael Finley,108
256,Michael Jordan,137
359,Michael Olowokandi,80
399,Michael Redd,49
424,Michael Ruffin,4
456,Michael Stewart,5
46,Mike Bibby,74
236,Mike James,2
322,Mike Miller,77
376,Mike Penberthy,1
330,Mikki Moore,10
368,Milt Palacio,27
408,Mitch Richmond,16
84,Mitchell Butler,5
509,Monty Williams,61
347,Moochie Norris,55
48,Mookie Blaylock,1
380,Morris Peterson,76
327,Nazr Mohammed,95
13,Nick Anderson,4
481,Nick Van Exel,88
404,Norm Richardson,4
146,Obinna Ekezie,15
365,Olumide Oyedeji,9
198,Othella Harrington,63
71,P.J. Brown,77
172,Pat Garrity,17
150,Patrick Ewing,58
173,Pau Gasol,191
382,Paul Pierce,259
459,Peja Stojaković,106
26,Player,Shoot
255,Popeye Jones,49
141,Predrag Drobnjak,32
64,Primož Brezec,6
407,Quentin Richardson,81
274,Quincy Lewis,9
267,Raef LaFrentz,67
8,Rafer Alston,12
41,Raja Bell,18
73,Randy Brown,0
276,Randy Livingston,3
275,Rashard Lewis,89
493,Rasheed Wallace,123
344,Rasho Nesterović,32
485,Ratko Varda,1
7,Ray Allen,81
323,Reggie Miller,89
437,Reggie Slater,5
189,Richard Hamilton,121
241,Richard Jefferson,122
75,Rick Brunson,12
163,Rick Fox,37
126,Ricky Davis,108
214,Robert Horry,35
366,Robert Pack,7
476,Robert Traylor,38
463,Rod Strickland,75
82,Rodney Buford,36
416,Rodney Rogers,77
502,Rodney White,3
313,Ron Mercer,50
53,Ruben Boumtje-Boumtje,12
373,Ruben Patterson,138
272,Rusty LaRue,9
56,Ryan Bowen,46
91,Sam Cassell,104
283,Sam Mack,3
325,Sam Mitchell,19
489,Samaki Walker,64
117,Samuel Dalembert,5
384,Scot Pollard,77
367,Scott Padgett,43
510,Scott Williams,20
383,Scottie Pippen,53
293,Sean Marks,15
419,Sean Rooks,12
511,Shammond Williams,9
14,Shandon Anderson,51
37,Shane Battier,102
350,Shaquille O'Neal,318
3,Shareef Abdur-Rahim,222
60,Shawn Bradley,28
257,Shawn Kemp,56
292,Shawn Marion,92
431,Shawnelle Scott,11
99,Speedy Claxton,54
25,Stacey Augmon,41
312,Stanislav Medvedenko,28
234,Stephen Jackson,8
291,Stephon Marbury,193
166,Steve Francis,174
180,Steve Goodrich,1
258,Steve Kerr,8
342,Steve Nash,71
446,Steve Smith,52
223,Steven Hunter,44
466,Stromile Swift,134
190,Tang Hamilton,1
0,Tariq Abdul-Wahad,18
332,Terence Morris,10
62,Terrell Brandon,28
386,Terry Porter,13
394,Theo Ratliff,3
74,Tierre Brown,12
144,Tim Duncan,304
193,Tim Hardaway,21
238,Tim James,3
472,Tim Thomas,83
282,Todd MacCulloch,85
185,Tom Gugliotta,19
265,Toni Kukoč,62
36,Tony Battie,57
129,Tony Delk,38
301,Tony Massenburg,53
371,Tony Parker,54
308,Tracy McGrady,254
337,Tracy Murray,8
270,Trajan Langdon,16
43,Travis Best,43
264,Travis Knight,9
162,Tremaine Fowlkes,13
205,Trenton Hassell,47
220,Troy Hudson,69
335,Troy Murphy,67
211,Tyrone Hill,43
343,Tyrone Nesby,45
280,Tyronn Lue,22
93,Tyson Chandler,97
5,Victor Alexander,4
30,Vin Baker,110
90,Vince Carter,106
128,Vinny Del Negro,0
389,Vitaly Potapenko,50
137,Vlade Divac,145
392,Vladimir Radmanović,28
453,Vladimir Stepania,43
113,Vonteego Cummings,11
273,Voshon Lenard,43
467,Wally Szczerbiak,94
512,Walt Williams,15
302,Walter McCarty,6
520,Wang Zhizhi,24
378,Wesley Person,31
448,Will Solomon,21
28,William Avery,9
393,Zach Randolph,14
191,Zendon Hamilton,84
224,Zydrunas Ilgauskas,125
474,Óscar Torres,44
395,Željko Rebrača,60
