,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
350,Aaron McKie,.563,.176,.063,.085,.239,.437,.732,.950,.000,.661
586,Aaron Williams,1.000,.429,.222,.222,.127,.000,.828,,.143,
186,Adonal Foyle,1.000,.437,.441,.093,.029,.000,.641,,.084,
214,Adrian Griffin,.944,.224,.149,.149,.422,.056,.518,1.000,.000,.333
226,Al Harrington,.925,.434,.134,.203,.154,.075,.453,.938,.083,.378
284,Al Jefferson,.992,.542,.333,.087,.030,.008,.585,,.136,.333
239,Alan Henderson,.991,.677,.209,.082,.023,.009,.552,,.068,.000
443,Aleksandar Radojević,1.000,.632,.211,.158,.000,.000,.667,,.053,
196,Alex Garcia,.654,.365,.058,.038,.192,.346,.462,.800,.019,.389
249,Allan Houston,.610,.024,.029,.220,.337,.390,.648,.935,.000,.375
264,Allen Iverson,.814,.313,.095,.154,.252,.186,.169,.567,.002,.098
375,Alonzo Mourning,1.000,.453,.241,.108,.198,.000,.670,,.156,
506,Amar'e Stoudemire,.988,.460,.209,.155,.165,.012,.597,.667,.195,.188
546,Anderson Varejão,.990,.544,.155,.098,.192,.010,.606,,.078,.500
38,Andre Barrett,.581,.169,.081,.113,.218,.419,.452,.857,.000,.538
174,Andre Emmett,1.000,.333,.333,.167,.167,.000,.500,,.167,
261,Andre Iguodala,.740,.462,.086,.077,.115,.260,.662,.957,.244,.507
358,Andre Miller,.956,.378,.106,.208,.265,.044,.451,.333,.003,.051
308,Andrei Kirilenko,.817,.440,.081,.107,.188,.183,.652,.913,.107,.117
147,Andrew DeClercq,1.000,.778,.222,.000,.000,.000,.750,,.111,
52,Andris Biedriņš,.987,.692,.256,.038,.000,.013,.667,,.218,.000
395,Andrés Nocioni,.839,.300,.156,.178,.205,.161,.620,1.000,.028,.361
224,Anfernee Hardaway,.808,.162,.146,.115,.385,.192,.484,1.000,.000,.280
477,Ansu Sesay,.810,.262,.214,.095,.238,.190,.667,1.000,.000,.625
282,Antawn Jamison,.825,.201,.226,.129,.269,.175,.663,.944,.006,.236
103,Anthony Carter,.904,.339,.034,.045,.486,.096,.571,1.000,.000,.118
206,Anthony Goldwire,.412,.147,.029,.051,.184,.588,.440,.938,.000,.188
290,Anthony Johnson,.763,.191,.169,.169,.235,.237,.333,.659,.022,.343
359,Anthony Miller,1.000,1.000,.000,.000,.000,.000,1.000,,.000,
