,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
438,A.J. Price,.516,.092,.116,.114,.194,.484,.308,.771,.000,.230
74,Aaron Brooks,.576,.222,.142,.066,.146,.424,.215,.640,.000,.187
201,Aaron Gray,1.000,.578,.367,.033,.022,.000,.708,,.089,
219,Al Harrington,.474,.298,.053,.018,.105,.526,.333,1.000,.000,.233
249,Al Horford,.994,.350,.207,.114,.324,.006,.771,.667,.098,.500
268,Al Jefferson,.986,.241,.291,.169,.285,.014,.547,1.000,.059,.176
11,Al-Farouq Aminu,.960,.489,.224,.080,.167,.040,.710,1.000,.190,.421
17,Alan Anderson,.537,.148,.140,.107,.143,.463,.447,.853,.008,.323
83,Alec Burks,.763,.302,.155,.054,.253,.237,.423,.848,.049,.174
480,Alexey Shved,.546,.217,.098,.068,.164,.454,.331,.706,.024,.087
189,Alonzo Gee,.706,.341,.157,.106,.101,.294,.513,.899,.120,.566
505,Amar'e Stoudemire,1.000,.592,.240,.071,.097,.000,.597,,.184,
278,Amir Johnson,.979,.464,.244,.056,.215,.021,.710,1.000,.111,.385
547,Anderson Varejão,.983,.488,.183,.111,.201,.017,.696,,.035,.000
60,Andray Blatche,.967,.438,.265,.111,.154,.033,.461,.667,.077,.318
148,Andre Drummond,.994,.816,.146,.020,.012,.006,.623,.000,.365,.000
256,Andre Iguodala,.673,.307,.093,.102,.171,.327,.541,.802,.159,.348
373,Andre Miller,.899,.422,.207,.176,.093,.101,.248,1.000,.002,.297
36,Andrea Bargnani,.711,.115,.141,.162,.293,.289,.598,.974,.014,.057
306,Andrei Kirilenko,.786,.532,.098,.023,.132,.214,.715,.971,.150,.083
63,Andrew Bogut,.995,.495,.435,.043,.022,.005,.610,1.000,.114,.000
199,Andrew Goudelock,1.000,.000,.000,.500,.500,.000,,,.000,
