,PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH,PTS PER TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH,PTS PER PAINT TOUCH,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%,OREB,Contested OREB,Contested OREB%,OREB Chances,OREB Chance%,Deferred OREB Chances,Adjusted OREB Chance%,AVG OREB Distance,DREB,Contested DREB,Contested DREB%,DREB Chances,DREB Chance%,Deferred DREB Chances,Adjusted DREB Chance%,AVG DREB Distance,STL,BLK,DFGM,DFGA,DFG%
0,Aaron Gordon,ORL,62,30,32,32.5,14.4,53.0,29.4,2.5,2.88,1.91,0.272,1.8,3.2,4.3,0.391,0.551,0.981,4.8,0.8,2.0,40.5,0.6,0.9,66.1,49.0,1.7,35.1,0.5,10.8,0.3,6.8,0.5,9.5,2.3,40.5,3.1,33.0,2.3,28.1,4.2,65.9,1.8,45.2,0.7,48.7,48.4,1.8,1.2,67.3,3.3,53.8,0.0,54.3,6.1,6.0,1.4,22.6,8.6,70.0,0.7,75.7,5.9,0.8,0.6,1.7,3.0,57.3
1,Abdel Nader,OKC,55,37,18,15.8,6.3,15.6,11.1,0.5,2.05,1.41,0.402,0.2,0.0,0.4,0.769,0.0,0.9,3.0,0.7,1.3,51.4,0.4,0.5,80.8,62.0,1.1,35.5,0.3,9.0,0.3,10.8,0.2,7.8,1.9,51.4,2.5,37.8,0.5,40.6,0.3,80.0,0.0,0.0,0.2,62.5,55.9,0.3,0.1,35.7,0.6,56.0,0.1,63.6,16.1,2.0,0.3,16.3,3.3,60.6,0.3,65.6,6.5,0.4,0.4,0.8,1.3,58.3
2,Admiral Schofield,WAS,33,9,24,11.2,3.0,15.7,8.3,0.4,1.4,0.51,0.191,0.2,0.2,0.6,0.8,1.333,0.632,0.4,0.0,0.1,0.0,0.0,0.1,50.0,8.3,0.2,58.3,0.1,16.7,0.0,0.0,0.0,8.3,0.0,0.0,1.8,34.5,0.2,37.5,0.4,50.0,0.2,80.0,0.1,100.0,48.4,0.4,0.2,42.9,1.4,25.9,0.1,26.9,10.2,2.0,0.6,27.5,3.2,62.5,0.3,69.0,5.0,0.2,0.1,0.8,1.2,68.4
3,Al Horford,PHI,67,39,28,30.2,11.9,55.1,35.9,1.7,1.81,0.63,0.216,5.2,4.3,3.7,0.167,0.563,0.715,1.4,0.3,0.6,46.5,0.1,0.1,70.0,50.0,0.6,40.4,0.1,7.4,0.1,5.3,0.1,5.3,0.7,46.5,5.7,37.3,0.9,49.2,2.7,65.3,2.4,48.7,0.9,51.0,52.0,1.5,0.9,60.2,3.5,43.6,0.1,45.6,7.9,5.3,1.3,24.4,7.9,66.4,0.6,71.6,6.2,0.8,0.9,3.4,5.4,62.5
4,Al-Farouq Aminu,ORL,18,7,11,21.1,4.3,36.3,16.3,1.2,1.91,0.88,0.119,0.7,1.0,1.9,0.833,0.111,0.559,2.3,0.2,0.8,20.0,0.1,0.1,50.0,16.7,1.1,47.6,0.2,9.5,0.3,11.9,0.1,2.4,0.4,20.0,1.8,30.8,0.0,0.0,1.1,33.3,0.1,0.0,0.6,50.0,34.3,1.4,0.9,66.7,3.2,43.6,0.2,47.1,4.8,3.7,0.7,19.0,6.1,61.2,0.3,64.3,6.4,1.0,0.4,1.7,2.5,66.7
5,Alen Smailagic,GSW,14,1,13,9.9,4.2,13.8,8.6,0.5,2.27,1.02,0.306,0.4,1.3,1.4,0.4,0.611,0.947,1.6,0.3,0.6,44.4,0.4,0.4,83.3,63.6,0.4,27.3,0.1,9.1,0.2,13.6,0.2,13.6,1.0,44.4,0.6,21.4,0.1,50.0,1.3,85.7,0.8,80.0,0.1,50.0,53.8,0.9,0.5,60.0,2.2,41.7,0.1,43.5,6.8,1.5,0.5,29.4,2.6,58.6,0.2,63.0,3.2,0.2,0.3,0.8,1.6,47.8
6,Alfonzo McKinnie,CLE,40,11,29,14.8,4.6,17.2,9.3,0.5,1.77,0.91,0.265,0.3,0.1,1.5,0.9,0.0,0.897,1.5,0.5,1.0,48.8,0.1,0.1,50.0,70.0,0.3,20.0,0.1,5.0,0.1,6.7,0.1,3.3,1.1,48.8,1.0,22.4,0.3,27.3,1.3,66.7,0.0,0.0,0.2,100.0,46.8,1.1,0.6,54.1,1.8,59.7,0.0,60.7,7.9,2.2,0.5,21.1,3.7,58.9,0.3,63.3,5.1,0.6,0.2,1.1,1.5,73.8
7,Alize Johnson,IND,17,10,7,6.9,2.0,9.5,4.6,0.3,1.84,0.71,0.21,0.3,0.1,1.2,0.4,0.0,0.619,0.9,0.1,0.4,14.3,0.1,0.1,50.0,18.8,0.4,37.5,0.1,12.5,0.1,12.5,0.1,6.3,0.2,14.3,0.5,37.5,0.0,0.0,0.8,62.5,0.0,0.0,0.1,50.0,46.6,1.2,0.8,62.5,2.5,48.5,0.0,48.5,5.7,2.5,0.7,28.1,4.0,61.5,0.3,66.7,4.1,0.2,0.1,0.1,0.3,40.0
8,Allen Crabbe,MIN,37,5,32,17.6,4.6,19.1,13.5,0.5,1.43,0.57,0.244,0.2,0.0,0.4,0.875,0.0,0.846,1.6,0.3,0.7,38.5,0.1,0.1,100.0,37.9,0.6,37.9,0.0,1.7,0.2,12.1,0.0,1.7,0.6,38.5,3.1,34.8,0.5,23.7,0.3,83.3,0.0,0.0,0.2,75.0,45.8,0.3,0.1,18.2,0.7,45.8,0.0,47.8,12.8,1.9,0.1,3.0,3.3,56.9,0.2,61.1,7.6,0.4,0.1,1.1,1.4,80.4
9,Amile Jefferson,ORL,18,5,13,4.1,0.8,6.2,2.7,0.2,1.89,0.62,0.134,0.2,0.2,0.8,0.75,0.0,0.214,0.2,0.1,0.1,50.0,0.1,0.2,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,50.0,0.2,50.0,0.0,0.0,0.0,0.0,0.2,16.7,0.0,0.0,0.2,50.0,35.7,0.9,0.8,90.0,1.2,76.9,0.0,76.9,3.1,1.2,0.5,46.2,1.9,61.9,0.2,68.4,4.1,0.1,0.2,0.3,0.4,71.4
10,Amir Coffey,LAC,18,11,7,8.8,3.2,11.1,6.4,0.7,3.6,2.88,0.29,0.1,0.0,0.3,2.0,0.0,0.4,1.8,0.6,1.1,52.6,0.1,0.1,50.0,65.6,0.6,34.4,0.3,15.6,0.1,3.1,0.1,3.1,1.2,52.6,0.8,35.7,0.6,35.7,0.1,25.0,0.0,0.0,0.1,0.0,48.1,0.5,0.4,75.0,1.1,44.4,0.0,44.4,3.9,1.5,0.1,8.3,1.8,85.7,0.0,85.7,9.3,0.3,0.1,0.2,0.3,66.7
