,Player,G,MP,FTr,USG%
337,Aaron McKie,14,121,.167,5.6
341,Aaron Miles,19,118,.222,11.6
564,Aaron Williams,48,791,.330,13.7
175,Adonal Foyle,77,1824,.223,10.0
210,Adrian Griffin,52,1245,.260,10.0
220,Al Harrington,76,2782,.287,25.6
271,Al Jefferson,59,1062,.354,21.6
7,Alan Anderson,36,564,.227,18.2
231,Alan Henderson,51,531,.538,11.7
1,Alex Acker,5,35,.000,27.2
460,Alex Scales,1,0,,
251,Allen Iverson,72,3103,.455,35.8
359,Alonzo Mourning,65,1302,.711,17.5
567,Alvin Williams,1,10,.667,17.9
489,Amar'e Stoudemire,3,50,.333,28.7
274,Amir Johnson,3,39,.400,19.2
528,Anderson Varejão,48,760,.793,14.0
58,Andray Blatche,29,175,.179,21.5
36,Andre Barrett,19,282,.115,20.3
248,Andre Iguodala,82,3086,.507,14.7
347,Andre Miller,82,2937,.486,20.0
395,Andre Owens,23,210,.243,20.9
295,Andrei Kirilenko,69,2604,.678,20.5
65,Andrew Bogut,82,2348,.320,15.9
91,Andrew Bynum,46,338,.329,15.0
54,Andris Biedriņš,68,1000,.389,11.2
376,Andrés Nocioni,82,2239,.291,21.3
218,Anfernee Hardaway,4,72,.143,13.1
268,Antawn Jamison,82,3288,.199,23.9
98,Anthony Carter,45,589,.401,16.2
195,Anthony Goldwire,3,22,.000,16.8
213,Anthony Grundy,12,108,.368,22.4
275,Anthony Johnson,75,1981,.234,18.3
442,Anthony Roberson,16,88,.065,19.3
537,Antoine Walker,82,2199,.144,23.2
580,Antoine Wright,39,370,.272,14.2
86,Antonio Burks,57,570,.160,16.2
120,Antonio Daniels,80,2283,.611,15.4
122,Antonio Davis,44,940,.426,13.4
334,Antonio McDyess,82,1733,.218,18.9
316,Arvydas Macijauskas,19,135,.366,19.2
116,Austin Croshere,50,1148,.358,15.3
486,Awvee Storey,25,116,.341,20.0
125,Baron Davis,54,1971,.336,25.9
198,Ben Gordon,80,2482,.233,26.3
539,Ben Wallace,82,2890,.637,11.2
525,Beno Udrih,54,586,.215,25.1
444,Bernard Robinson,66,1303,.367,17.0
501,Billy Thomas,17,131,.050,16.0
393,Bo Outlaw,32,355,.138,10.5
254,Bobby Jackson,71,1775,.195,25.0
464,Bobby Simmons,75,2538,.248,18.3
366,Boniface N'Dong,23,152,.170,19.1
550,Bonzi Wells,52,1684,.310,22.4
140,Boris Diaw,81,2874,.279,17.9
367,Boštjan Nachbar,36,502,.282,18.6
581,Bracey Wright,7,135,.314,23.2
348,Brad Miller,79,2923,.385,18.9
43,Brandon Bass,29,268,.271,15.6
229,Brendan Haywood,79,1879,.519,14.9
40,Brent Barry,74,1259,.171,16.0
297,Brevin Knight,69,2351,.407,20.3
96,Brian Cardinal,36,402,.243,18.1
114,Brian Cook,81,1535,.198,18.3
205,Brian Grant,21,248,.123,13.6
459,Brian Scalabrine,71,938,.187,12.7
466,Brian Skinner,65,944,.350,11.4
70,Bruce Bowen,82,2755,.157,11.1
454,Bryon Russell,1,3,,0.0
342,C.J. Miles,23,203,.316,21.8
105,Calbert Cheaney,42,448,.074,12.8
67,Calvin Booth,33,250,.191,10.5
20,Carlos Arroyo,77,1194,.362,20.7
68,Carlos Boozer,33,1025,.343,23.9
134,Carlos Delfino,68,726,.296,19.1
13,Carmelo Anthony,80,2941,.451,32.0
88,Caron Butler,75,2708,.306,23.2
182,Channing Frye,65,1572,.358,24.2
469,Charles Smith,22,210,.111,17.9
50,Charlie Bell,59,1283,.217,17.5
530,Charlie Villanueva,81,2361,.170,21.7
55,Chauncey Billups,81,2925,.514,22.9
6,Chris Andersen,32,570,1.051,13.9
69,Chris Bosh,70,2751,.534,25.2
148,Chris Duhon,74,2155,.266,15.0
290,Chris Kaman,78,2560,.357,17.9
340,Chris Mihm,59,1541,.438,18.7
406,Chris Paul,78,2808,.491,22.2
496,Chris Taft,17,144,.158,13.2
548,Chris Webber,75,2893,.245,27.7
556,Chris Wilcox,77,1529,.340,17.5
227,Chuck Hayes,40,535,.429,12.2
23,Chucky Atkins,71,1713,.284,20.2
445,Clifford Robinson,80,1863,.154,15.4
318,Corey Maggette,32,943,.683,27.7
574,Corliss Williamson,37,362,.476,19.6
352,Cuttino Mobley,79,2979,.271,19.8
250,D.J. Mbenga,43,237,.333,16.7
283,Dahntay Jones,71,967,.354,17.8
126,Dale Davis,28,178,.625,9.2
559,Damien Wilkins,82,1525,.372,17.4
284,Damon Jones,82,2089,.102,12.6
487,Damon Stoudamire,27,862,.216,20.8
141,Dan Dickau,19,234,.391,14.1
183,Dan Gadzuric,74,885,.288,19.8
164,Daniel Ewing,66,971,.180,15.8
173,Danny Fortson,23,276,.843,15.6
204,Danny Granger,78,1765,.310,16.4
343,Darius Miles,40,1286,.320,25.1
478,Darius Songaila,62,1329,.234,21.3
344,Darko Miličić,55,767,.214,19.0
19,Darrell Armstrong,62,622,.328,15.4
325,Darrick Martin,40,339,.247,16.7
223,David Harrison,67,1034,.592,20.2
307,David Lee,67,1129,.535,13.5
552,David Wesley,71,2372,.333,15.3
553,David West,74,2526,.228,23.0
144,DeSagana Diop,81,1510,.468,6.9
482,DeShawn Stevenson,82,2648,.310,18.1
554,Delonte West,71,2418,.148,16.4
184,Deng Gai,2,5,,0.0
276,DerMarr Johnson,58,924,.137,17.9
8,Derek Anderson,43,1047,.366,18.2
168,Derek Fisher,82,2589,.330,20.2
568,Deron Williams,80,2307,.168,20.3
584,Derrick Zimmerman,2,32,.000,10.3
329,Desmond Mason,70,2102,.438,20.8
191,Devean George,71,1542,.202,15.3
76,Devin Brown,81,1711,.402,19.5
206,Devin Green,27,135,.750,14.3
222,Devin Harris,56,1275,.583,21.7
516,Dijon Thompson,10,43,.080,29.1
365,Dikembe Mutombo,64,955,.958,8.5
381,Dirk Nowitzki,81,3089,.382,30.0
497,Donell Taylor,51,465,.316,18.1
472,Donta Smith,23,127,.444,13.0
323,Donyell Marshall,81,2077,.183,18.2
582,Dorell Wright,20,132,.395,22.6
108,Doug Christie,7,185,.462,9.4
197,Drew Gooden,79,2174,.396,18.6
285,Dwayne Jones,14,87,1.300,9.9
240,Dwight Howard,82,3021,.679,21.3
534,Dwyane Wade,75,2892,.568,32.5
39,Earl Barron,8,45,.250,23.4
72,Earl Boykins,60,1542,.263,23.8
545,Earl Watson,70,1578,.218,19.7
42,Eddie Basden,19,141,.270,16.1
192,Eddie Gill,41,122,.511,24.5
212,Eddie Griffin,70,1359,.200,15.6
239,Eddie House,81,1421,.054,26.9
286,Eddie Jones,75,2437,.298,18.1
117,Eddy Curry,72,1865,.814,24.1
371,Eduardo Nájera,64,1449,.379,12.5
74,Elton Brand,79,3099,.396,27.7
386,Emeka Okafor,26,874,.396,21.5
412,Eric Piatkowski,29,228,.082,14.7
476,Eric Snow,82,2351,.233,10.9
569,Eric Williams,28,352,.507,14.0
119,Erick Dampier,82,1934,.620,13.4
277,Ervin Johnson,18,81,.118,12.9
44,Esteban Batista,57,495,.663,13.0
502,Etan Thomas,71,1121,.508,14.0
384,Fabricio Oberto,59,490,.290,12.9
157,Francisco Elson,72,1579,.261,10.8
186,Francisco García,67,1301,.311,15.7
287,Fred Jones,68,1837,.286,18.7
408,Gary Payton,81,2305,.230,14.1
169,Gerald Fitch,18,239,.258,22.0
207,Gerald Green,32,374,.268,21.7
540,Gerald Wallace,55,1895,.520,19.3
15,Gilbert Arenas,80,3384,.479,30.5
194,Gordan Giriček,37,956,.149,22.8
233,Grant Hill,21,613,.420,24.9
83,Greg Buckner,73,1758,.132,12.6
392,Greg Ostertag,60,807,.387,11.0
462,Ha Seung-Jin,27,212,.548,11.7
544,Hakim Warrick,68,724,.504,22.5
523,Hedo Türkoğlu,78,2615,.338,20.6
153,Howard Eisley,32,394,.233,15.4
143,Ike Diogu,69,1031,.503,21.0
524,Ime Udoka,8,114,.250,11.4
375,Ira Newble,36,353,.281,10.0
473,J.R. Smith,55,989,.276,21.9
89,Jackie Butler,55,740,.358,19.0
532,Jackson Vroman,41,406,.667,12.2
529,Jacque Vaughn,80,1234,.331,12.7
518,Jake Tsakalidis,51,732,.527,16.1
531,Jake Voskuhl,51,818,.230,17.4
447,Jalen Rose,72,1983,.464,21.8
319,Jamaal Magloire,82,2465,.541,17.2
517,Jamaal Tinsley,42,1122,.236,22.2
115,Jamal Crawford,79,2555,.406,21.5
457,Jamal Sampson,12,39,.286,9.3
373,Jameer Nelson,62,1784,.252,25.1
288,James Jones,75,1772,.208,16.9
418,James Posey,67,1914,.154,11.6
465,James Singleton,59,753,.331,12.3
503,James Thomas,22,150,.737,9.8
399,Jannero Pargo,57,646,.072,25.3
273,Jared Jeffries,77,1951,.405,13.4
253,Jarrett Jack,79,1599,.374,17.8
111,Jarron Collins,79,1730,.782,11.7
228,Jarvis Hayes,21,516,.164,18.8
112,Jason Collins,71,1895,.328,9.0
224,Jason Hart,66,818,.253,16.2
291,Jason Kapono,51,665,.186,14.7
294,Jason Kidd,80,2975,.270,19.1
330,Jason Maxiell,26,159,.778,24.9
439,Jason Richardson,75,2877,.285,27.6
500,Jason Terry,80,2798,.191,22.2
570,Jason Williams,59,1874,.162,18.5
174,Jeff Foster,63,1581,.636,11.3
336,Jeff McInnis,28,486,.203,17.9
256,Jermaine Jackson,30,202,.538,10.2
382,Jermaine O'Neal,51,1802,.457,28.9
265,Jerome James,45,406,.331,21.2
481,Jerry Stackhouse,55,1525,.367,25.2
257,Jim Jackson,40,512,.081,17.6
551,Jiří Welsch,58,866,.392,15.9
278,Joe Johnson,82,3340,.237,24.6
474,Joe Smith,44,887,.377,20.4
426,Joel Przybilla,56,1395,.644,13.0
199,Joey Graham,80,1581,.321,16.5
411,Johan Petro,68,1282,.250,13.7
152,John Edwards,40,296,.172,12.4
314,John Lucas III,13,107,.000,19.2
456,John Salmons,82,2059,.384,16.3
506,John Thomas,16,127,.267,9.1
41,Jon Barry,20,342,.446,13.9
52,Jonathan Bender,2,21,.400,13.0
106,Josh Childress,74,2249,.399,14.0
127,Josh Davis,6,17,.429,24.8
241,Josh Howard,59,1915,.359,22.9
422,Josh Powell,37,429,.556,13.4
475,Josh Smith,80,2559,.377,18.9
94,José Calderón,64,1487,.295,14.1
145,Juan Dixon,76,1920,.236,25.2
236,Julius Hodge,14,33,.615,33.3
289,Jumaine Jones,76,2089,.164,18.3
436,Justin Reed,72,997,.407,18.9
242,Juwan Howard,80,2537,.222,20.2
453,Kareem Rush,47,1111,.164,22.7
62,Keith Bogans,72,1912,.342,17.2
338,Keith McLeod,66,1232,.391,17.8
527,Keith Van Horn,53,1090,.292,21.8
101,Kelvin Cato,27,333,.417,16.7
409,Kendrick Perkins,68,1332,.489,14.8
511,Kenny Thomas,82,2293,.338,16.6
326,Kenyon Martin,56,1546,.283,21.6
87,Kevin Burleson,39,340,.193,15.7
188,Kevin Garnett,76,2957,.411,25.5
327,Kevin Martin,72,1913,.407,17.4
388,Kevin Ollie,70,1069,.282,9.6
147,Keyon Dooling,50,1137,.299,22.5
235,Kirk Hinrich,81,2955,.291,21.4
477,Kirk Snyder,68,1310,.258,20.5
82,Kobe Bryant,80,3277,.377,38.7
245,Kris Humphries,62,619,.320,19.7
512,Kurt Thomas,53,1411,.235,15.5
77,Kwame Brown,72,1978,.606,13.6
