,PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH,PTS PER TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH,PTS PER PAINT TOUCH,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%,OREB,Contested OREB,Contested OREB%,OREB Chances,OREB Chance%,Deferred OREB Chances,Adjusted OREB Chance%,AVG OREB Distance,DREB,Contested DREB,Contested DREB%,DREB Chances,DREB Chance%,Deferred DREB Chances,Adjusted DREB Chance%,AVG DREB Distance,STL,BLK,DFGM,DFGA,DFG%
0,Aaron Gordon,DEN,50,29,21,27.7,12.4,48.3,25.8,2.9,3.62,2.83,0.256,1.3,2.3,3.8,0.619,0.451,0.938,4.6,0.8,1.8,43.3,0.5,0.8,61.5,44.7,1.7,36.4,0.4,8.3,0.4,8.3,0.4,8.8,2.0,43.3,2.8,38.6,2.4,32.3,3.6,68.6,1.0,38.1,0.8,69.6,52.2,1.5,1.0,64.9,3.1,50.0,0.1,52.0,7.0,4.1,1.0,23.2,5.8,71.6,0.5,78.1,6.3,0.7,0.7,1.4,2.4,59.3
1,Aaron Nesmith,BOS,46,22,24,14.5,4.7,16.7,9.5,0.5,1.67,0.81,0.284,0.2,0.0,0.7,0.5,0.0,0.97,1.6,0.3,0.6,42.9,0.2,0.3,66.7,45.2,0.7,41.1,0.2,9.6,0.1,8.2,0.1,8.2,0.7,42.9,2.4,39.8,0.5,35.5,0.7,84.2,0.0,0.0,0.1,50.0,55.1,0.8,0.5,67.9,1.8,44.4,0.1,46.7,8.3,2.8,0.7,26.3,4.4,63.9,0.3,68.3,6.2,0.3,0.2,0.9,1.3,71.2
2,Abdel Nader,PHX,24,16,8,14.8,6.7,16.2,10.9,0.5,1.91,1.19,0.411,0.0,0.0,0.7,0.0,0.0,1.176,3.5,0.8,1.6,52.6,0.3,0.5,58.3,57.8,1.1,31.3,0.3,9.6,0.3,9.6,0.3,7.2,2.0,52.6,2.3,42.9,0.2,33.3,0.8,63.6,0.0,0.0,0.0,0.0,56.9,0.3,0.1,42.9,1.1,29.2,0.0,29.2,3.7,2.6,0.4,16.4,3.8,68.8,0.5,78.6,6.3,0.4,0.4,0.7,1.4,47.1
3,Al Horford,BOS,28,11,17,27.9,14.2,53.6,38.5,1.9,2.15,0.73,0.265,2.7,3.9,3.5,0.4,0.55,0.753,2.0,0.8,1.3,59.5,0.0,0.0,0.0,83.6,0.6,30.9,0.1,5.5,0.0,0.0,0.0,0.0,1.6,59.5,7.1,38.1,1.0,41.2,2.6,59.6,2.1,45.3,1.1,52.0,52.8,1.0,0.5,44.8,2.8,37.7,0.0,37.7,7.9,5.7,1.9,32.7,8.7,65.4,0.6,70.0,5.6,0.9,0.9,2.5,4.2,60.7
4,Al-Farouq Aminu,CHI,23,5,18,18.9,4.4,30.1,13.7,1.0,2.04,1.02,0.147,1.0,1.0,1.8,0.217,0.208,0.561,1.7,0.3,0.6,53.8,0.1,0.1,100.0,44.7,0.7,42.1,0.1,7.9,0.3,21.1,0.0,2.6,0.7,53.8,1.3,28.2,0.3,44.4,1.0,52.6,0.2,28.6,0.2,33.3,42.4,1.0,0.4,45.5,2.0,47.8,0.1,50.0,6.2,3.8,1.0,25.0,5.7,66.7,0.7,75.2,7.1,0.8,0.4,1.3,2.0,65.2
5,Alen Smailagic,GSW,15,10,5,5.6,1.9,9.3,4.9,0.3,1.76,0.51,0.201,0.3,0.2,0.8,0.4,0.0,0.583,1.0,0.3,0.7,36.4,0.1,0.1,50.0,60.0,0.1,13.3,0.0,0.0,0.0,0.0,0.1,6.7,0.6,36.4,0.8,40.0,0.1,50.0,0.5,60.0,0.0,0.0,0.1,50.0,48.1,0.8,0.6,83.3,2.0,37.5,0.4,46.2,3.7,1.3,0.4,30.0,1.9,66.7,0.3,76.9,3.5,0.2,0.3,1.2,1.9,64.3
6,Alfonzo McKinnie,LAL,39,22,17,6.6,3.1,8.1,5.1,0.2,1.72,0.76,0.389,0.1,0.0,0.8,0.0,0.0,1.156,0.5,0.1,0.3,50.0,0.1,0.2,62.5,75.0,0.1,15.0,0.0,0.0,0.1,10.0,0.1,20.0,0.4,50.0,1.2,41.7,0.3,38.5,0.9,65.4,0.0,0.0,0.0,0.0,60.2,0.9,0.5,59.1,1.7,51.2,0.0,52.4,4.4,1.3,0.3,25.0,2.1,61.5,0.1,65.3,4.3,0.2,0.0,0.4,0.6,69.6
7,Alize Johnson,BKN,18,10,8,10.5,5.2,16.0,7.2,0.7,2.56,1.82,0.326,0.3,0.1,2.6,0.667,0.0,0.894,1.6,0.5,1.0,50.0,0.1,0.1,100.0,69.0,0.3,20.7,0.0,0.0,0.1,6.9,0.1,3.4,1.1,50.0,0.4,30.0,0.3,50.0,2.3,70.8,0.0,0.0,0.2,50.0,59.6,1.8,1.3,70.4,4.0,45.0,0.1,45.8,6.1,4.2,0.9,22.2,6.3,67.0,0.7,75.0,4.8,0.3,0.3,0.4,0.9,50.0
8,Amir Coffey,LAC,44,32,12,9.0,3.2,10.8,7.9,0.5,2.61,1.69,0.296,0.0,0.0,0.1,1.0,0.0,1.0,1.3,0.3,0.6,46.2,0.2,0.2,70.0,55.2,0.5,36.2,0.1,6.9,0.1,10.3,0.1,8.6,0.7,46.2,1.4,38.5,0.4,50.0,0.1,66.7,0.0,0.0,0.0,100.0,54.9,0.5,0.2,40.0,0.7,71.4,0.0,71.4,14.9,1.8,0.6,35.3,3.0,59.6,0.3,66.7,9.4,0.2,0.0,0.2,0.3,71.4
9,Anderson Varejao,CLE,5,1,4,7.2,2.6,15.8,7.8,0.5,1.96,0.66,0.165,1.6,1.0,1.8,0.625,0.6,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,40.0,0.0,0.0,0.8,20.0,0.6,25.0,1.0,40.0,25.0,1.4,1.0,71.4,3.6,38.9,0.0,38.9,4.2,2.6,1.0,38.5,3.6,72.2,0.2,76.5,2.8,0.0,0.4,1.8,2.8,64.3
