,Player,G,MP,FTr,USG%
186,A.J. Guyton,45,607,.111,22.2
311,Aaron McKie,48,1471,.249,19.8
504,Aaron Williams,82,1546,.424,17.4
165,Adonal Foyle,79,1485,.242,14.2
183,Adrian Griffin,58,1383,.136,13.8
197,Al Harrington,44,1313,.298,21.6
208,Alan Henderson,26,422,.388,16.8
216,Allan Houston,77,2914,.261,25.9
225,Allen Iverson,60,2622,.351,37.8
334,Alonzo Mourning,75,2455,.498,24.1
156,Alton Ford,53,452,.483,17.3
251,Alvin Jones,23,126,1.000,14.5
505,Alvin Williams,82,2927,.144,18.4
303,Amal McCaskill,27,153,.531,22.6
318,Andre Miller,81,3023,.428,22.6
260,Andrei Kirilenko,82,2151,.586,19.0
127,Andrew DeClercq,61,633,.336,14.5
192,Anfernee Hardaway,80,2462,.209,21.9
432,Ansu Sesay,9,142,.455,17.9
239,Antawn Jamison,82,3033,.320,24.0
89,Anthony Carter,46,1050,.138,15.8
242,Anthony Johnson,34,366,.278,14.8
299,Anthony Mason,82,3143,.353,12.7
375,Anthony Peeler,82,2060,.085,17.3
488,Antoine Walker,81,3406,.192,27.8
120,Antonio Daniels,82,2175,.343,16.6
121,Antonio Davis,77,2978,.372,19.6
201,Antonio Harvey,5,47,.167,15.7
307,Antonio McDyess,10,236,.440,20.8
161,Antonis Fotsis,28,320,.192,19.0
277,Art Long,63,989,.348,16.2
111,Austin Croshere,76,1286,.254,19.9
243,Avery Johnson,68,1352,.377,19.2
122,Baron Davis,82,3318,.252,23.9
490,Ben Wallace,80,2921,.488,10.5
102,Bimbo Coles,47,693,.253,12.8
361,Bo Outlaw,83,1928,.341,10.2
465,Bob Sura,78,1780,.556,20.5
226,Bobby Jackson,81,1750,.244,23.1
434,Bobby Simmons,30,343,.316,16.4
499,Bonzi Wells,74,2348,.279,26.4
319,Brad Miller,76,2263,.523,20.6
19,Brandon Armstrong,35,196,.118,22.3
207,Brendan Haywood,62,1266,.724,12.4
33,Brent Barry,81,3040,.296,16.2
390,Brent Price,20,89,.481,20.9
263,Brevin Knight,53,1151,.344,19.6
88,Brian Cardinal,8,43,.154,15.2
181,Brian Grant,72,2256,.195,16.6
430,Brian Scalabrine,28,290,.224,15.1
433,Brian Shaw,58,631,.150,15.4
436,Brian Skinner,65,1107,.488,9.9
55,Bruce Bowen,59,1699,.241,13.9
464,Bruno Šundov,22,88,.050,23.1
457,Bryant Stith,50,665,.277,16.6
140,Bryce Drew,61,774,.159,13.4
425,Bryon Russell,66,1998,.240,17.1
54,Cal Bowdler,52,585,.270,15.9
94,Calbert Cheaney,68,1631,.144,15.5
52,Calvin Booth,15,279,.293,18.1
21,Carlos Arroyo,37,371,.162,17.2
415,Carlos Rogers,22,168,.442,15.2
209,Cedric Henderson,12,70,.226,25.3
351,Charles Oakley,57,1383,.106,12.1
440,Charles Smith,60,1141,.152,21.0
38,Charlie Bell,7,44,.182,17.2
494,Charlie Ward,63,1058,.191,17.8
47,Chauncey Billups,82,2355,.284,20.4
372,Cherokee Parks,42,234,.096,20.0
10,Chris Andersen,24,262,.378,17.0
96,Chris Childs,69,1576,.240,13.0
106,Chris Crawford,7,131,.333,21.3
142,Chris Dudley,43,327,.300,9.9
174,Chris Gatling,54,809,.399,23.7
316,Chris Mihm,74,1659,.340,19.4
324,Chris Mills,66,1237,.251,18.0
497,Chris Webber,54,2071,.314,29.0
503,Chris Whitney,82,2171,.267,17.4
266,Christian Laettner,57,1441,.210,15.4
24,Chucky Atkins,79,2285,.152,20.0
65,Chucky Brown,18,92,.074,15.6
496,Clarence Weatherspoon,56,1728,.323,15.2
410,Clifford Robinson,80,2855,.193,21.6
286,Corey Maggette,63,1615,.474,21.1
49,Corie Blount,72,1426,.179,10.4
513,Corliss Williamson,78,1701,.370,29.8
4,Courtney Alexander,56,1325,.255,20.4
326,Cuttino Mobley,74,3116,.231,24.9
123,Dale Davis,78,2447,.366,13.7
29,Dalibor Bagarić,50,638,.393,18.4
252,Damon Jones,67,1083,.208,16.1
460,Damon Stoudamire,75,2796,.214,18.8
66,Damone Brown,17,67,.381,22.9
271,Dan Langhi,34,434,.088,14.8
288,Dan Majerle,65,1180,.135,12.9
32,Dana Barros,29,582,.141,19.2
426,Daniel Santiago,3,24,.000,18.7
151,Danny Ferry,50,799,.203,12.5
158,Danny Fortson,77,2216,.427,19.3
290,Danny Manning,41,552,.221,15.4
317,Darius Miles,82,2227,.397,18.5
20,Darrell Armstrong,82,2730,.248,17.9
296,Darrick Martin,3,22,.200,24.4
188,Darvin Ham,70,1208,.583,13.5
411,David Robinson,78,2303,.588,19.2
500,David Wesley,67,2487,.207,20.4
136,DeSagana Diop,18,109,.172,18.2
455,DeShawn Stevenson,67,1134,.143,18.4
169,Dean Garrett,34,183,.055,16.1
355,Dean Oliver,20,139,.196,18.5
67,Dee Brown,7,65,.000,16.5
114,Dell Curry,56,886,.107,20.8
246,DerMarr Johnson,72,1727,.194,18.0
11,Derek Anderson,70,1860,.340,19.4
153,Derek Fisher,70,1974,.167,17.6
101,Derrick Coleman,58,2080,.309,21.0
132,Derrick Dial,32,299,.200,22.1
310,Derrick McKey,41,784,.115,8.8
300,Desmond Mason,75,2420,.308,18.8
176,Devean George,82,1759,.241,16.4
435,Dickey Simpkins,1,3,,0.0
338,Dikembe Mutombo,80,2907,.568,15.1
179,Dion Glover,55,1156,.226,22.6
348,Dirk Nowitzki,76,2891,.410,25.5
400,Don Reid,68,714,.358,17.2
202,Donnell Harvey,47,841,.415,15.4
294,Donny Marshall,20,118,.621,14.8
295,Donyell Marshall,58,1750,.342,22.8
97,Doug Christie,81,2798,.329,15.6
364,Doug Overton,18,130,.159,20.5
58,Earl Boykins,68,761,.222,20.5
495,Earl Watson,64,964,.170,13.4
177,Eddie Gill,23,384,.424,16.9
184,Eddie Griffin,73,1896,.129,18.4
215,Eddie House,64,1230,.094,24.3
253,Eddie Jones,81,3156,.296,22.7
412,Eddie Robinson,29,653,.194,21.4
115,Eddy Curry,72,1150,.424,20.7
341,Eduardo Nájera,62,1357,.493,13.5
87,Elden Campbell,77,2156,.484,23.3
396,Eldridge Recasner,6,33,.167,10.2
377,Elliot Perry,2,48,.200,16.9
61,Elton Brand,80,3020,.519,21.1
124,Emanual Davis,28,774,.091,15.1
329,Eric Montross,49,655,.235,11.9
381,Eric Piatkowski,71,1718,.240,15.4
447,Eric Snow,61,2225,.364,17.7
506,Eric Williams,74,1747,.569,15.0
31,Erick Barkley,19,228,.147,16.9
119,Erick Dampier,73,1740,.440,17.6
461,Erick Strickland,79,1643,.318,18.0
68,Ernest Brown,3,21,.667,24.5
247,Ervin Johnson,81,1660,.342,7.7
469,Etan Thomas,47,618,.490,15.6
148,Evan Eschmeyer,31,299,.660,12.2
279,Felipe López,67,581,.353,16.8
449,Felton Spencer,32,248,1.269,9.9
213,Fred Hoiberg,79,1408,.323,11.9
374,Gary Payton,82,3301,.212,27.2
477,Gary Trent,64,1140,.378,19.9
281,George Lynch,45,893,.202,13.1
304,George McCloud,69,1830,.283,19.4
491,Gerald Wallace,54,430,.263,22.0
18,Gilbert Arenas,47,1155,.417,20.1
401,Glen Rice,20,606,.180,15.6
413,Glenn Robinson,66,2346,.246,28.8
210,Grant Hill,14,512,.410,23.4
278,Grant Long,66,1868,.319,13.2
15,Greg Anthony,60,1514,.192,18.6
78,Greg Buckner,44,885,.293,12.8
159,Greg Foster,6,24,.444,21.0
360,Greg Ostertag,74,1107,.647,12.6
354,Hakeem Olajuwon,61,1378,.201,18.3
333,Hanno Möttölä,82,1371,.198,16.1
240,Harold Jamison,25,176,.349,14.3
480,Hedo Türkoğlu,80,1970,.335,19.2
182,Horace Grant,76,2210,.216,12.5
145,Howard Eisley,39,609,.280,19.1
125,Hubert Davis,51,1231,.064,14.2
57,Ira Bowman,3,29,.000,11.1
345,Ira Newble,42,1273,.335,12.5
27,Isaac Austin,21,307,.043,15.5
155,Isaac Fontaine,6,75,.429,12.5
409,Isaiah Rider,10,173,.210,26.5
441,Jabari Smith,23,181,.508,20.4
486,Jacque Vaughn,82,1856,.288,14.8
501,Jahidi White,71,1346,.552,14.1
479,Jake Tsakalidis,67,1582,.398,15.5
487,Jake Voskuhl,59,900,.565,14.4
420,Jalen Rose,83,3153,.230,26.1
287,Jamaal Magloire,82,1549,.804,20.0
473,Jamaal Tinsley,80,2442,.245,20.7
107,Jamal Crawford,23,481,.070,21.5
298,Jamal Mashburn,40,1601,.324,27.4
387,James Posey,73,2238,.276,19.1
63,Jamison Brewer,13,43,.000,8.4
227,Jaren Jackson,9,144,.108,14.5
104,Jarron Collins,70,1440,.528,15.0
85,Jason Caffey,23,283,.597,18.2
103,Jason Collier,25,365,.337,15.5
105,Jason Collins,77,1407,.590,13.5
200,Jason Hart,10,92,.316,15.0
259,Jason Kidd,82,3056,.217,22.5
403,Jason Richardson,80,2629,.193,21.5
468,Jason Terry,78,2967,.279,23.6
507,Jason Williams,65,2236,.103,25.3
160,Jeff Foster,82,1786,.462,14.0
309,Jeff McInnis,81,3030,.195,20.3
478,Jeff Trepagnier,12,77,.304,22.1
305,Jelani McCoy,21,104,.381,14.0
228,Jermaine Jackson,24,280,.571,10.8
349,Jermaine O'Neal,72,2707,.365,24.9
235,Jerome James,56,949,.220,18.3
508,Jerome Williams,68,1641,.526,15.2
451,Jerry Stackhouse,76,2685,.437,32.3
427,Jeryl Sasser,7,36,.357,22.6
229,Jim Jackson,55,1825,.162,17.8
108,Joe Crispin,21,156,.191,24.0
248,Joe Johnson,77,1916,.091,16.0
444,Joe Smith,72,1922,.355,17.8
391,Joel Przybilla,71,1128,.634,9.3
9,John Amaechi,54,586,.633,20.6
112,John Crotty,41,802,.317,16.2
452,John Starks,66,929,.132,18.4
458,John Stockton,82,2566,.414,19.8
492,John Wallace,46,490,.215,24.1
346,Johnny Newman,47,724,.392,12.1
34,Jon Barry,82,1985,.222,16.2
42,Jonathan Bender,78,1647,.393,17.5
157,Joseph Forte,8,39,.333,19.6
79,Jud Buechler,66,684,.034,8.8
254,Jumaine Jones,81,2142,.106,16.1
217,Juwan Howard,81,2635,.341,22.3
328,Jérôme Moïso,15,76,.000,16.8
289,Karl Malone,80,3040,.457,28.8
69,Kedrick Brown,29,245,.286,16.0
484,Keith Van Horn,81,2465,.179,24.0
92,Kelvin Cato,75,1917,.595,11.2
178,Kendall Gill,65,1410,.147,17.1
12,Kenny Anderson,76,2430,.184,16.7
428,Kenny Satterfield,36,560,.231,21.8
470,Kenny Thomas,72,2484,.405,20.9
297,Kenyon Martin,73,2504,.278,22.4
98,Keon Clark,81,2185,.297,21.2
261,Kerry Kittles,82,2601,.183,19.4
168,Kevin Garnett,81,3175,.320,26.0
356,Kevin Ollie,81,1723,.643,14.9
514,Kevin Willis,52,865,.306,19.5
139,Keyon Dooling,14,155,.211,21.1
206,Kirk Haston,15,77,.205,27.0
76,Kobe Bryant,80,3063,.369,30.4
471,Kurt Thomas,82,2771,.283,20.3
70,Kwame Brown,57,817,.407,18.6
147,LaPhonso Ellis,66,1684,.186,15.9
353,Lamar Odom,29,999,.258,22.5
336,Lamond Murray,71,2312,.267,24.7
221,Larry Hughes,73,2049,.320,22.5
414,Larry Robinson,2,10,.000,18.6
450,Latrell Sprewell,81,3326,.244,25.1
388,Lavor Postell,23,179,.488,29.4
167,Lawrence Funderburke,56,722,.229,18.2
340,Lee Nailon,79,1912,.196,22.1
445,Leon Smith,14,100,.654,16.5
222,Lindsey Hunter,82,1616,.082,15.6
515,Loren Woods,60,516,.625,13.9
519,Lorenzen Wright,43,1251,.253,22.2
199,Lucious Harris,74,1553,.294,19.3
6,Malik Allen,12,161,.196,17.0
423,Malik Rose,82,1725,.406,23.9
339,Mamadou N'Diaye,5,46,1.000,15.3
230,Marc Jackson,39,495,.488,20.3
86,Marcus Camby,29,1007,.341,17.4
154,Marcus Fizer,76,1963,.334,25.9
50,Mark Blount,44,415,.487,12.7
77,Mark Bryant,30,206,.145,14.6
233,Mark Jackson,82,2367,.186,15.6
284,Mark Madsen,59,650,.370,13.2
385,Mark Pope,45,426,.231,12.7
462,Mark Strickland,46,654,.216,17.4
100,Mateen Cleaves,32,153,.132,28.1
83,Matt Bullard,31,350,.104,17.3
175,Matt Geiger,4,36,.250,13.8
196,Matt Harpring,81,2541,.265,19.1
149,Maurice Evans,10,45,.211,22.9
35,Mengke Bateer,27,408,.280,19.8
516,Metta World Peace,55,1642,.321,23.5
59,Michael Bradley,26,118,.320,13.4
116,Michael Curry,82,1912,.330,9.3
135,Michael Dickerson,4,124,.125,21.5
138,Michael Doleac,42,705,.246,15.9
152,Michael Finley,69,2754,.204,23.9
256,Michael Jordan,60,2093,.252,36.0
359,Michael Olowokandi,80,2568,.212,20.1
399,Michael Redd,67,1417,.189,23.7
424,Michael Ruffin,15,169,.308,11.0
456,Michael Stewart,11,93,.478,15.6
46,Mike Bibby,80,2659,.196,19.7
236,Mike James,15,119,.163,23.7
322,Mike Miller,63,2123,.226,20.9
376,Mike Penberthy,3,12,2.000,14.1
330,Mikki Moore,30,217,.426,18.8
368,Milt Palacio,69,790,.346,16.4
408,Mitch Richmond,64,709,.178,19.4
84,Mitchell Butler,11,90,.522,16.9
509,Monty Williams,68,1284,.370,17.7
347,Moochie Norris,82,2249,.268,17.8
48,Mookie Blaylock,35,599,.055,13.1
380,Morris Peterson,63,1988,.220,21.3
327,Nazr Mohammed,82,2168,.311,19.4
13,Nick Anderson,15,219,.118,19.5
481,Nick Van Exel,72,2496,.205,26.8
404,Norm Richardson,11,67,.346,22.6
146,Obinna Ekezie,29,152,1.026,19.8
365,Olumide Oyedeji,36,221,.439,13.2
198,Othella Harrington,77,1563,.382,18.5
71,P.J. Brown,80,2563,.374,12.4
172,Pat Garrity,80,2406,.095,16.1
150,Patrick Ewing,65,901,.402,22.7
173,Pau Gasol,82,3007,.448,22.6
382,Paul Pierce,82,3302,.402,29.3
459,Peja Stojaković,71,2649,.286,23.2
26,Player,G,MP,FTr,USG%
255,Popeye Jones,79,1920,.256,15.7
141,Predrag Drobnjak,64,1174,.176,19.7
64,Primož Brezec,22,160,.862,13.0
407,Quentin Richardson,81,2152,.202,23.3
274,Quincy Lewis,36,490,.140,16.9
267,Raef LaFrentz,78,2455,.164,19.8
8,Rafer Alston,50,600,.152,19.0
41,Raja Bell,74,890,.200,15.9
73,Randy Brown,1,6,.000,7.6
276,Randy Livingston,13,176,.204,16.1
275,Rashard Lewis,71,2585,.206,20.8
493,Rasheed Wallace,79,2963,.213,23.7
344,Rasho Nesterović,82,2218,.108,16.0
485,Ratko Varda,1,6,.333,34.9
7,Ray Allen,69,2525,.213,26.2
323,Reggie Miller,79,2889,.356,18.5
437,Reggie Slater,8,47,.667,19.6
189,Richard Hamilton,63,2203,.311,28.6
241,Richard Jefferson,79,1917,.448,19.1
75,Rick Brunson,59,520,.363,15.6
163,Rick Fox,82,2289,.140,15.2
126,Ricky Davis,82,1954,.318,24.4
214,Robert Horry,81,2140,.300,12.8
366,Robert Pack,16,252,.221,17.0
476,Robert Traylor,61,678,.412,19.3
463,Rod Strickland,76,2294,.282,20.0
82,Rodney Buford,63,1769,.135,17.8
416,Rodney Rogers,77,1880,.197,22.3
502,Rodney White,16,129,.233,29.3
313,Ron Mercer,53,1716,.152,24.8
53,Ruben Boumtje-Boumtje,33,245,.781,10.6
373,Ruben Patterson,75,1765,.443,22.1
272,Rusty LaRue,33,542,.189,20.2
56,Ryan Bowen,75,1686,.300,10.3
91,Sam Cassell,74,2605,.274,27.3
283,Sam Mack,12,159,.143,17.7
325,Sam Mitchell,74,726,.216,17.1
489,Samaki Walker,69,1655,.353,12.9
117,Samuel Dalembert,34,177,.360,18.6
384,Scot Pollard,80,1881,.464,11.5
367,Scott Padgett,75,1295,.258,17.7
510,Scott Williams,41,737,.189,16.4
383,Scottie Pippen,62,1996,.244,19.1
293,Sean Marks,21,319,.386,18.2
419,Sean Rooks,61,728,.149,14.1
511,Shammond Williams,50,603,.202,18.9
14,Shandon Anderson,82,1596,.287,15.1
37,Shane Battier,78,3097,.294,18.2
350,Shaquille O'Neal,67,2422,.583,31.8
3,Shareef Abdur-Rahim,77,2980,.403,27.0
60,Shawn Bradley,53,757,.393,12.9
257,Shawn Kemp,75,1232,.322,20.2
292,Shawn Marion,81,3109,.162,23.6
431,Shawnelle Scott,21,252,.267,17.6
99,Speedy Claxton,67,1528,.301,18.2
25,Stacey Augmon,77,1319,.308,14.8
312,Stanislav Medvedenko,71,729,.204,23.0
234,Stephen Jackson,23,227,.187,24.9
291,Stephon Marbury,82,3187,.320,26.6
166,Steve Francis,57,2343,.419,28.0
180,Steve Goodrich,9,50,.200,12.4
258,Steve Kerr,65,775,.184,15.2
342,Steve Nash,82,2837,.269,23.0
446,Steve Smith,77,2211,.265,18.3
223,Steven Hunter,53,516,.639,17.7
466,Stromile Swift,68,1805,.499,21.8
190,Tang Hamilton,9,98,.053,10.4
0,Tariq Abdul-Wahad,24,441,.224,19.1
332,Terence Morris,68,1110,.097,14.5
62,Terrell Brandon,32,962,.230,20.9
386,Terry Porter,72,1294,.259,15.9
394,Theo Ratliff,3,82,.550,17.6
74,Tierre Brown,40,403,.243,19.3
144,Tim Duncan,82,3329,.466,29.0
193,Tim Hardaway,68,1601,.156,21.8
238,Tim James,9,41,.462,20.8
472,Tim Thomas,74,1987,.238,22.6
282,Todd MacCulloch,62,1502,.353,18.0
185,Tom Gugliotta,44,1129,.123,15.0
265,Toni Kukoč,59,1494,.304,20.7
36,Tony Battie,74,1819,.333,12.5
129,Tony Delk,63,1447,.165,21.5
301,Tony Massenburg,73,1247,.335,17.0
371,Tony Parker,77,2267,.250,17.7
308,Tracy McGrady,76,2912,.350,31.1
337,Tracy Murray,40,473,.101,23.3
270,Trajan Langdon,44,477,.261,22.7
43,Travis Best,74,1747,.224,17.5
264,Travis Knight,49,429,.186,16.2
162,Tremaine Fowlkes,22,343,.484,11.9
205,Trenton Hassell,78,2237,.182,16.0
220,Troy Hudson,81,1854,.247,25.8
335,Troy Murphy,82,1448,.369,16.7
211,Tyrone Hill,26,810,.566,15.6
343,Tyrone Nesby,70,1498,.221,15.7
280,Tyronn Lue,71,1458,.121,20.4
93,Tyson Chandler,71,1389,.730,16.6
5,Victor Alexander,15,97,.157,28.9
30,Vin Baker,55,1710,.348,23.8
90,Vince Carter,60,2385,.235,30.5
128,Vinny Del Negro,2,6,.000,29.9
389,Vitaly Potapenko,79,1343,.399,14.1
137,Vlade Divac,80,2420,.475,18.4
392,Vladimir Radmanović,61,1230,.203,17.3
453,Vladimir Stepania,67,884,.418,18.7
113,Vonteego Cummings,58,501,.171,21.7
273,Voshon Lenard,71,1665,.156,24.5
467,Wally Szczerbiak,82,3117,.227,21.8
512,Walt Williams,48,1117,.129,19.6
302,Walter McCarty,56,718,.106,13.3
520,Wang Zhizhi,55,600,.230,22.4
378,Wesley Person,78,2793,.131,17.6
448,Will Solomon,62,872,.221,22.1
28,William Avery,28,258,.211,20.6
