,Player,Fouls Drawn - Shoot
419,A.J. Price,11
209,Aaron Gray,24
224,Al Harrington,80
258,Al Horford,18
283,Al Jefferson,90
10,Al-Farouq Aminu,55
13,Alan Anderson,13
74,Alec Burks,62
194,Alonzo Gee,107
479,Amar'e Stoudemire,128
293,Amir Johnson,36
516,Anderson Varejão,30
52,Andray Blatche,23
151,Andre Emmett,4
270,Andre Iguodala,87
368,Andre Miller,70
32,Andrea Bargnani,79
55,Andrew Bogut,11
79,Andrew Bynum,165
207,Andrew Goudelock,3
47,Andris Biedriņš,5
392,Andrés Nocioni,5
282,Antawn Jamison,115
91,Anthony Carter,3
382,Anthony Morrow,29
406,Anthony Parker,22
425,Anthony Randolph,40
501,Anthony Tolliver,23
294,Armon Johnson,4
1,Arron Afflalo,95
123,Austin Daye,19
62,Avery Bradley,39
118,Baron Davis,12
204,Ben Gordon,56
513,Ben Uzoh,9
527,Ben Wallace,9
512,Beno Udrih,19
49,Bismack Biyombo,65
2,Blake Ahearn,0
215,Blake Griffin,208
453,Bobby Simmons,2
130,Boris Diaw,16
369,Brad Miller,5
564,Brandan Wright,40
35,Brandon Bass,72
290,Brandon Jennings,86
322,Brandon Knight,49
437,Brandon Rush,35
235,Brendan Haywood,47
85,Brian Cardinal,1
104,Brian Cook,3
442,Brian Scalabrine,2
456,Brian Skinner,0
338,Brook Lopez,19
384,Byron Mullens,50
366,C.J. Miles,54
536,C.J. Watson,44
325,Carl Landry,95
297,Carldell Johnson,0
58,Carlos Boozer,73
124,Carlos Delfino,23
16,Carmelo Anthony,153
75,Caron Butler,45
349,Cartier Martin,9
408,Chandler Parsons,40
184,Channing Frye,33
288,Charles Jenkins,18
519,Charlie Villanueva,2
73,Chase Budinger,30
48,Chauncey Billups,27
12,Chris Andersen,32
59,Chris Bosh,136
140,Chris Duhon,5
298,Chris Johnson,9
317,Chris Kaman,47
410,Chris Paul,70
454,Chris Singleton,16
544,Chris Wilcox,20
565,Chris Wright,13
157,Christian Eyenga,3
231,Chuck Hayes,20
4,Cole Aldrich,4
65,Corey Brewer,59
345,Corey Maggette,83
242,Cory Higgins,27
315,Cory Joseph,4
177,Courtney Fortson,6
327,Courtney Lee,22
61,Craig Brackins,1
461,Craig Smith,25
22,D.J. Augustin,38
319,D.J. Kennedy,1
542,D.J. White,30
481,DaJuan Summers,5
107,Daequan Cook,7
307,Dahntay Jones,43
545,Damien Wilkins,27
279,Damion James,5
185,Dan Gadzuric,1
196,Daniel Gibson,9
399,Daniel Orton,12
187,Danilo Gallinari,81
208,Danny Granger,106
210,Danny Green,43
111,Dante Cunningham,33
252,Darington Hobson,0
378,Darius Morris,3
367,Darko Miličić,16
101,Darren Collison,48
535,Darryl Watkins,7
328,David Lee,140
539,David West,76
313,DeAndre Jordan,50
334,DeAndre Liggins,10
50,DeJuan Blair,54
129,DeMar DeRozan,155
108,DeMarcus Cousins,176
86,DeMarre Carroll,7
134,DeSagana Diop,1
476,DeShawn Stevenson,6
540,Delonte West,29
259,Dennis Horner,1
168,Derek Fisher,24
546,Deron Williams,119
69,Derrick Brown,71
78,Derrick Byars,0
163,Derrick Favors,98
435,Derrick Rose,103
548,Derrick Williams,104
145,Devin Ebanks,17
225,Devin Harris,75
417,Dexter Pittman,14
394,Dirk Nowitzki,110
363,Dominic McGuire,21
308,Dominique Jones,17
457,Donald Sloan,11
214,Donté Greene,24
566,Dorell Wright,37
203,Drew Gooden,95
260,Dwight Howard,238
521,Dwyane Wade,138
376,E'Twaun Moore,2
34,Earl Barron,0
60,Earl Boykins,3
98,Earl Clark,13
537,Earl Watson,16
119,Ed Davis,54
113,Eddy Curry,4
387,Eduardo Nájera,1
508,Edwin Ubiles,2
509,Ekpe Udoh,53
549,Elliot Williams,10
63,Elton Brand,64
397,Emeka Okafor,36
183,Enes Freedom,55
53,Eric Bledsoe,21
122,Eric Dawson,1
205,Eric Gordon,27
355,Eric Maynor,2
116,Erick Dampier,0
271,Ersan İlyasova,87
506,Evan Turner,48
150,Francisco Elson,0
188,Francisco García,9
175,Gary Forbes,38
389,Gary Neal,24
246,George Hill,44
211,Gerald Green,32
236,Gerald Henderson,93
528,Gerald Wallace,94
18,Gilbert Arenas,4
120,Glen Davis,87
138,Goran Dragić,66
232,Gordon Hayward,77
247,Grant Hill,51
374,Greg Monroe,133
462,Greg Smith,0
477,Greg Stiemsma,14
517,Greivis Vásquez,43
23,Gustavo Ayón,29
534,Hakim Warrick,45
386,Hamady N'Diaye,0
216,Hamed Haddadi,11
485,Hasheem Thabeet,6
543,Hassan Whiteside,4
505,Hedo Türkoğlu,39
524,Henry Walker,9
347,Ian Mahinmi,71
133,Ike Diogu,1
451,Iman Shumpert,43
488,Isaiah Thomas,55
463,Ish Smith,3
301,Ivan Johnson,52
31,J.J. Barea,43
239,J.J. Hickson,69
466,J.R. Smith,24
428,JJ Redick,51
302,JaJuan Johnson,4
359,JaVale McGee,86
346,Jamaal Magloire,8
500,Jamaal Tinsley,7
109,Jamal Crawford,76
375,Jamario Moon,1
390,Jameer Nelson,29
14,James Anderson,23
221,James Harden,167
303,James Johnson,59
309,James Jones,8
455,James Singleton,7
518,Jan Veselý,32
404,Jannero Pargo,4
139,Jared Dudley,77
287,Jared Jeffries,28
274,Jarrett Jack,48
100,Jason Collins,6
318,Jason Kapono,0
320,Jason Kidd,7
354,Jason Maxiell,50
430,Jason Richardson,28
467,Jason Smith,22
484,Jason Terry,38
494,Jason Thompson,92
0,Jeff Adrien,5
24,Jeff Ayres,2
174,Jeff Foote,0
180,Jeff Foster,5
482,Jeff Teague,74
153,Jeremy Evans,7
335,Jeremy Lin,69
405,Jeremy Pargo,12
507,Jeremy Tyler,30
395,Jermaine O'Neal,15
144,Jerome Dyson,14
314,Jerome Jordan,5
468,Jerry Smith,0
474,Jerry Stackhouse,3
39,Jerryd Bayless,36
182,Jimmer Fredette,20
76,Jimmy Butler,28
391,Joakim Noah,85
365,Jodie Meeks,36
304,Joe Johnson,56
17,Joel Anthony,34
422,Joel Przybilla,7
414,Johan Petro,15
342,John Lucas III,13
439,John Salmons,19
526,John Wall,189
67,Jon Brockman,6
332,Jon Leuer,15
291,Jonas Jerebko,54
171,Jonny Flynn,14
110,Jordan Crawford,86
161,Jordan Farmar,24
217,Jordan Hamilton,3
248,Jordan Hill,25
550,Jordan Williams,27
97,Josh Childress,1
121,Josh Davis,4
223,Josh Harrellson,11
261,Josh Howard,38
364,Josh McRoberts,15
446,Josh Selby,6
469,Josh Smith,163
81,José Calderón,15
253,Jrue Holiday,58
478,Julyan Stone,5
126,Justin Dentmon,3
222,Justin Harper,1
263,Juwan Howard,5
330,Kawhi Leonard,46
45,Keith Benson,0
54,Keith Bogans,4
25,Kelenna Azubuike,0
525,Kemba Walker,90
413,Kendrick Perkins,50
160,Kenneth Faried,72
350,Kenyon Martin,20
143,Kevin Durant,196
190,Kevin Garnett,71
340,Kevin Love,178
351,Kevin Martin,65
447,Kevin Séraphin,35
135,Keyon Dooling,11
251,Kirk Hinrich,13
496,Klay Thompson,34
72,Kobe Bryant,177
324,Kosta Koufos,23
268,Kris Humphries,112
489,Kurt Thomas,7
70,Kwame Brown,16
323,Kyle Korver,7
341,Kyle Lowry,73
272,Kyrie Irving,78
166,Kyrylo Fesenko,3
5,LaMarcus Aldridge,128
396,Lamar Odom,46
475,Lance Stephenson,10
490,Lance Thomas,26
167,Landry Fields,64
267,Larry Hughes,1
401,Larry Owens,2
441,Larry Sanders,17
6,Lavoy Allen,7
234,Lazar Hayward,5
280,LeBron James,212
28,Leandro Barbosa,51
264,Lester Hudson,15
321,Linas Kleiza,39
11,Lou Amundson,36
551,Lou Williams,133
357,Luc Mbah a Moute,52
443,Luis Scola,80
26,Luke Babbitt,4
220,Luke Harangody,4
432,Luke Ridnour,25
531,Luke Walton,0
125,Luol Deng,68
329,Malcolm Lee,9
491,Malcolm Thomas,0
226,Manny Harris,29
198,Manu Ginóbili,36
68,MarShon Brooks,69
191,Marc Gasol,138
206,Marcin Gortat,113
42,Marco Belinelli,47
82,Marcus Camby,28
379,Marcus Morris,4
499,Marcus Thornton,75
94,Mario Chalmers,25
380,Markieff Morris,49
117,Marquis Daniels,11
471,Marreese Speights,55
538,Martell Webster,30
552,Marvin Williams,52
33,Matt Barnes,48
56,Matt Bonner,6
90,Matt Carroll,16
154,Maurice Evans,5
398,Mehmet Okur,3
563,Metta World Peace,52
40,Michael Beasley,47
427,Michael Redd,50
416,Mickaël Piétrus,12
199,Mickell Gladness,7
46,Mike Bibby,1
103,Mike Conley,50
142,Mike Dunleavy,59
281,Mike James,5
370,Mike Miller,2
377,Mikki Moore,4
553,Mo Williams,24
147,Monta Ellis,100
9,Morris Almond,2
497,Mychel Thompson,0
433,Nate Robinson,38
373,Nazr Mohammed,10
243,Nenê,79
102,Nick Collison,29
567,Nick Young,72
38,Nicolas Batum,69
412,Nikola Peković,88
520,Nikola Vučević,11
470,Nolan Smith,9
99,Norris Cole,35
356,O.J. Mayo,60
93,Omri Casspi,53
409,Patrick Patterson,25
371,Patty Mills,3
192,Pau Gasol,103
195,Paul George,77
372,Paul Millsap,119
415,Paul Pierce,142
20,Player,Shoot
431,Quentin Richardson,13
418,Quincy Pondexter,24
44,Raja Bell,6
434,Rajon Rondo,64
448,Ramon Sessions,106
181,Randy Foye,33
333,Rashard Lewis,20
77,Rasual Butler,4
7,Ray Allen,34
164,Raymond Felton,42
155,Reggie Evans,27
275,Reggie Jackson,10
554,Reggie Williams,21
27,Renaldo Balkman,5
218,Richard Hamilton,16
284,Richard Jefferson,31
436,Ricky Rubio,44
339,Robin Lopez,62
480,Rodney Stuckey,147
41,Rodrigue Beaubois,29
352,Roger Mason,7
66,Ronnie Brewer,45
420,Ronnie Price,11
502,Ronny Turiaf,8
238,Roy Hibbert,103
273,Royal Ivey,3
165,Rudy Fernández,17
193,Rudy Gay,118
541,Russell Westbrook,187
15,Ryan Anderson,73
202,Ryan Gomes,5
254,Ryan Hollins,28
429,Ryan Reid,0
570,Sam Young,13
440,Samardo Samuels,56
115,Samuel Dalembert,55
411,Sasha Pavlović,5
555,Sean Williams,6
483,Sebastian Telfair,34
152,Semih Erden,20
269,Serge Ibaka,56
37,Shane Battier,6
71,Shannon Brown,44
336,Shaun Livingston,37
348,Shawn Marion,40
558,Shawne Williams,7
559,Shelden Williams,45
343,Shelvin Mack,29
3,Solomon Alabi,4
310,Solomon Jones,11
230,Spencer Hawes,23
114,Stephen Curry,10
276,Stephen Jackson,51
51,Steve Blake,6
388,Steve Nash,20
393,Steve Novak,3
186,Sundiata Gaines,43
176,T.J. Ford,5
197,Taj Gibson,65
421,Tayshaun Prince,44
227,Terrel Harris,9
560,Terrence Williams,21
445,Thabo Sefolosha,22
573,Thaddeus Young,72
473,Tiago Splitter,93
141,Tim Duncan,126
383,Timofey Mozgov,29
228,Tobias Harris,30
136,Toney Douglas,12
8,Tony Allen,79
36,Tony Battie,1
407,Tony Parker,105
362,Tracy McGrady,39
331,Travis Leslie,6
400,Travis Outlaw,21
19,Trevor Ariza,45
57,Trevor Booker,42
305,Trey Johnson,3
493,Trey Thompkins,3
498,Tristan Thompson,93
385,Troy Murphy,5
326,Ty Lawson,81
219,Tyler Hansbrough,126
257,Tyler Honeycutt,2
156,Tyreke Evans,122
492,Tyrus Thomas,41
95,Tyson Chandler,140
229,Udonis Haslem,37
344,Vernon Macklin,7
92,Vince Carter,52
424,Vladimir Radmanović,8
523,Von Wafer,20
438,Walker Russell,8
146,Wayne Ellington,17
306,Wesley Johnson,17
353,Wesley Matthews,70
80,Will Bynum,30
213,Willie Green,28
96,Wilson Chandler,6
237,Xavier Henry,38
452,Xavier Silas,2
292,Yi Jianlian,10
426,Zach Randolph,41
403,Zaza Pachulia,73
21,Ömer Aşık,52
