,Player,G,MP,TS%,3PAr,FTr,USG%
240,Aaron Gordon,50,1384,.547,.353,.299,20.7
13,Al-Farouq Aminu,23,434,.469,.374,.222,13.6
543,Aleksej Pokusevski,45,1090,.430,.507,.103,20.5
617,Alen Smailagić,15,84,.472,.370,.222,17.6
348,Alize Johnson,18,189,.638,.088,.191,19.1
706,Andrew Wiggins,71,2364,.568,.348,.225,23.3
158,Anthony Davis,36,1162,.556,.163,.349,29.2
235,Anthony Gill,26,218,.597,.400,.267,14.2
658,Anthony Tolliver,11,99,.433,.824,.353,9.8
254,Blake Griffin,46,1186,.546,.499,.285,19.3
69,Bol Bol,32,160,.534,.414,.259,21.2
133,Brandon Clarke,59,1415,.560,.156,.228,17.2
111,Bruno Caboclo,6,36,.475,.294,.118,25.8
349,Cameron Johnson,60,1437,.563,.694,.122,17.0
20,Carmelo Anthony,69,1690,.547,.418,.198,23.1
611,Chris Silva,15,92,.708,.063,.938,15.9
504,Chuma Okeke,45,1133,.511,.435,.123,14.5
715,D.J. Wilson,35,433,.511,.518,.149,19.7
226,Danilo Gallinari,51,1222,.613,.535,.366,21.2
45,Darius Bazley,55,1714,.491,.414,.258,22.1
167,DeMar DeRozan,61,2056,.591,.080,.478,26.1
683,Dean Wade,63,1212,.573,.685,.125,12.9
112,Devontae Cacok,20,98,.576,.000,.379,17.2
599,Domantas Sabonis,62,2231,.601,.179,.363,24.1
261,Donta Hall,13,179,.731,.000,.971,14.0
208,Dorian Finney-Smith,60,1921,.609,.648,.088,12.2
447,Doug McDermott,66,1619,.635,.430,.147,20.0
247,Draymond Green,63,1982,.530,.332,.232,13.1
53,Dāvis Bertāns,57,1464,.620,.895,.241,15.9
525,Eric Paschall,40,695,.561,.181,.315,23.5
326,Ersan İlyasova,17,148,.578,.759,.093,18.7
236,Freddie Gillespie,20,392,.563,.000,.393,12.2
164,Gabriel Deck,10,212,.548,.224,.328,16.6
131,Gary Clark,2,13,.000,.000,.000,3.3
491,Georges Niang,72,1154,.602,.721,.057,17.4
17,Giannis Antetokounmpo,61,2013,.633,.201,.528,32.5
707,Grant Williams,63,1138,.546,.522,.206,12.3
705,Greg Whittington,4,12,.000,.667,.000,10.9
38,Harrison Barnes,58,2102,.626,.399,.366,17.2
194,Henry Ellenson,2,38,.476,.643,.286,17.9
587,Isaiah Roby,61,1425,.555,.254,.273,17.7
601,JaKarr Sampson,29,316,.533,.133,.257,19.0
248,JaMychal Green,58,1120,.590,.529,.152,17.6
522,Jabari Parker,13,165,.593,.200,.236,18.5
445,Jaden McDaniels,63,1511,.552,.540,.123,12.0
153,Jae Crowder,60,1648,.574,.772,.152,15.7
624,Jalen Smith,27,156,.499,.340,.140,17.1
350,James Johnson,51,1043,.510,.367,.232,17.1
187,Jared Dudley,12,81,.333,.667,.000,5.9
673,Jarred Vanderbilt,64,1139,.612,.021,.432,12.3
83,Jarrell Brantley,28,138,.605,.538,.038,19.0
252,Jeff Green,68,1835,.624,.472,.304,15.6
137,John Collins,63,1848,.645,.270,.265,22.2
545,Jontay Porter,11,54,.640,.533,.333,18.9
293,Juancho Hernangómez,52,900,.549,.562,.324,17.2
565,Julius Randle,71,2667,.567,.294,.325,29.3
475,Juwan Morgan,29,147,.529,.433,.233,10.9
509,KZ Okpala,37,447,.448,.521,.156,11.9
517,Kelly Olynyk,27,840,.674,.389,.421,22.9
708,Kenrich Williams,66,1426,.599,.285,.153,15.3
189,Kevin Durant,35,1157,.666,.313,.395,31.2
417,Kevin Love,25,622,.556,.619,.202,21.9
18,Kostas Antetokounmpo,15,56,.382,.000,1.300,20.7
16,Kyle Anderson,69,1887,.578,.397,.280,18.5
628,Lamar Stevens,40,499,.521,.184,.375,15.8
488,Larry Nance Jr.,35,1091,.557,.419,.180,13.9
428,Lauri Markkanen,51,1317,.619,.568,.177,20.2
600,Luka Šamanić,33,308,.518,.410,.276,19.5
209,Malik Fitts,3,11,.500,.667,.000,12.1
168,Mamadi Diakite,14,141,.477,.200,.350,14.6
476,Marcus Morris,57,1502,.614,.507,.152,20.1
477,Markieff Morris,61,1200,.509,.553,.132,16.4
127,Marquese Chriss,2,27,.412,.357,.286,28.1
33,Marvin Bagley III,43,1112,.554,.220,.273,23.5
273,Maurice Harkless,26,648,.526,.480,.270,12.6
378,Maxi Kleber,50,1341,.606,.771,.135,10.6
372,Mfiondu Kabengele,39,280,.486,.562,.225,17.7
605,Mike Scott,51,852,.492,.735,.057,11.9
89,Miles Bridges,66,1932,.625,.466,.182,17.3
411,Nassir Little,48,640,.589,.479,.269,13.8
379,Nathan Knight,33,279,.499,.330,.550,21.7
62,Nemanja Bjelica,37,595,.554,.434,.260,18.4
575,Nick Richards,18,63,.542,.111,1.222,11.5
458,Nicolò Melli,45,566,.441,.603,.177,12.5
659,Obi Toppin,62,683,.574,.407,.124,15.9
550,Otto Porter Jr.,3,66,.441,.360,.200,17.8
666,P.J. Tucker,52,1356,.510,.672,.158,7.2
695,P.J. Washington,64,1954,.549,.423,.211,19.4
610,Pascal Siakam,56,2006,.547,.256,.313,26.3
527,Patrick Patterson,38,582,.571,.679,.103,14.0
712,Patrick Williams,71,1983,.562,.261,.237,14.9
468,Paul Millsap,56,1162,.565,.357,.244,18.6
570,Paul Reed,26,177,.540,.077,.103,22.7
0,Precious Achiuwa,61,737,.550,.004,.482,19.5
538,Reggie Perry,26,211,.466,.269,.167,20.4
149,Robert Covington,70,2243,.553,.699,.122,11.5
218,Robert Franks,7,101,.638,.536,.464,15.3
388,Rodions Kurucs,5,16,.500,.667,.000,8.2
307,Rondae Hollis-Jefferson,11,107,.539,.056,.889,10.9
230,Rudy Gay,63,1358,.532,.443,.162,23.6
258,Rui Hachimura,57,1797,.549,.211,.248,18.1
181,Sekou Doumbouya,56,869,.459,.408,.227,17.8
502,Semi Ojeleye,56,950,.553,.715,.145,11.6
301,Solomon Hill,71,1513,.498,.711,.154,10.4
355,Stanley Johnson,61,1006,.519,.588,.236,13.4
397,T.J. Leaf,7,35,.551,.000,.200,15.8
557,Taurean Prince,41,905,.540,.474,.232,19.6
727,Thaddeus Young,68,1652,.578,.068,.171,22.3
281,Tobias Harris,62,2014,.597,.225,.221,23.9
420,Trey Lyles,23,358,.574,.444,.256,12.9
144,Tyler Cook,4,17,.333,.000,.000,10.3
115,Vlatko Čančar,41,281,.547,.458,.181,14.2
222,Wenyen Gabriel,21,241,.533,.533,.283,14.4
657,Xavier Tillman Sr.,59,1085,.605,.217,.177,14.3
492,Zeke Nnaji,42,397,.615,.567,.144,12.9
714,Zion Williamson,61,2026,.649,.033,.510,29.8
