,Player,GS,FG,FGA,ORB,DRB,AST,STL,BLK,TOV,PF
186,Aaron McKie,41,3.5,7.7,0.6,2.8,2.6,1.1,0.3,1.4,1.9
281,Aaron Williams,7,2.4,4.8,1.4,2.7,1.1,0.5,0.6,1.2,2.6
474,Adonal Foyle,8,1.3,3.0,1.2,2.6,0.4,0.1,1.0,0.5,1.5
597,Adrian Griffin,1,0.3,0.9,0.1,0.9,0.5,0.4,0.1,0.2,0.9
103,Al Harrington,15,5.3,11.5,2.1,4.4,1.7,1.0,0.3,2.1,3.2
412,Alan Henderson,0,1.7,3.5,1.8,1.7,0.3,0.2,0.3,0.5,0.2
563,Alex Garcia,0,0.5,3.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0
32,Allan Houston,50,6.8,15.6,0.4,2.0,2.0,0.8,0.0,2.0,2.1
1,Allen Iverson,47,9.1,23.4,0.7,3.0,6.8,2.4,0.1,4.4,1.8
217,Alonzo Mourning,0,2.8,5.9,0.7,1.6,0.7,0.2,0.5,0.8,2.7
557,Alton Ford,0,0.7,1.2,0.3,0.9,0.3,0.0,0.1,0.3,1.0
197,Alvin Williams,54,3.6,8.9,0.3,2.4,4.0,1.0,0.2,1.4,2.0
549,Amal McCaskill,3,0.8,2.0,0.8,1.4,0.3,0.2,0.3,0.4,1.5
17,Amar'e Stoudemire,53,7.5,15.7,2.9,6.2,1.4,1.2,1.6,3.2,3.4
76,Andre Miller,82,5.2,11.5,1.5,2.9,6.1,1.7,0.3,2.6,2.4
54,Andrei Kirilenko,78,5.3,11.9,2.9,5.2,3.1,1.9,2.8,2.8,2.2
468,Andrew DeClercq,53,1.3,2.7,1.8,2.6,0.6,0.7,0.5,0.8,3.1
182,Anfernee Hardaway,14,3.7,8.9,0.9,2.9,2.3,0.9,0.3,1.4,1.9
453,Ansu Sesay,2,1.4,3.1,0.8,0.9,0.3,0.3,0.4,0.4,1.2
75,Antawn Jamison,2,6.0,11.1,2.8,3.5,0.9,1.0,0.4,1.0,2.1
375,Anthony Carter,2,2.2,7.4,0.4,1.8,2.4,0.8,0.0,2.4,1.8
560,Anthony Goldwire,0,0.6,2.0,0.1,0.5,1.0,0.5,0.0,0.3,0.5
288,Anthony Johnson,7,2.3,5.6,0.4,1.4,2.8,0.9,0.1,1.0,1.9
321,Anthony Peeler,0,2.1,4.6,0.4,1.6,1.6,0.7,0.1,1.0,1.4
94,Antoine Walker,82,5.9,13.8,2.4,5.9,4.5,0.8,0.8,2.5,2.6
216,Antonio Daniels,32,2.6,5.6,0.3,1.7,4.2,0.6,0.1,0.9,0.9
193,Antonio Davis,79,3.3,8.3,2.6,5.8,1.7,0.5,0.8,1.4,2.6
248,Antonio McDyess,20,3.0,6.4,1.7,4.5,0.9,0.9,0.6,1.4,2.8
341,Austin Croshere,0,1.5,4.0,0.8,2.4,0.7,0.3,0.2,0.7,1.3
365,Avery Johnson,1,1.7,4.3,0.1,0.7,2.4,0.6,0.1,1.1,0.7
7,Baron Davis,66,8.3,20.9,1.0,3.3,7.5,2.4,0.4,3.2,2.7
411,Ben Handlogten,0,1.5,2.8,1.3,1.9,0.4,0.2,0.2,0.6,1.9
173,Ben Wallace,81,3.9,9.2,4.0,8.4,1.7,1.8,3.0,1.5,2.0
567,Bimbo Coles,1,0.5,1.5,0.1,0.4,0.7,0.1,0.0,0.4,1.2
367,Bo Outlaw,1,1.9,3.8,1.5,2.6,1.1,0.9,0.9,0.8,2.1
231,Bob Sura,18,2.5,6.1,1.3,2.8,2.9,0.8,0.2,1.3,2.0
97,Bobby Jackson,0,5.3,11.8,1.1,2.4,2.1,1.0,0.2,1.3,2.1
228,Bobby Simmons,8,2.6,6.7,2.1,2.6,1.7,0.9,0.3,1.3,3.0
113,Bonzi Wells,27,5.0,11.8,1.1,2.5,1.9,1.3,0.3,2.2,2.7
373,Boris Diaw,37,1.8,4.1,1.5,3.0,2.4,0.8,0.5,1.7,2.5
475,Boštjan Nachbar,3,1.0,2.9,0.2,1.4,0.7,0.3,0.3,0.5,1.6
93,Brad Miller,53,5.2,10.2,2.7,7.7,4.3,0.9,1.2,2.0,3.4
505,Brandon Armstrong,0,1.2,3.1,0.2,0.6,0.3,0.2,0.0,0.4,0.9
449,Brandon Hunter,12,1.5,3.2,1.4,1.9,0.5,0.4,0.0,0.6,1.1
245,Brendan Haywood,59,2.6,5.0,2.4,2.6,0.6,0.4,1.3,1.0,2.0
144,Brent Barry,53,3.6,7.2,0.4,3.1,5.8,1.4,0.3,2.4,2.1
357,Brevin Knight,13,1.9,4.4,0.3,1.8,3.6,1.5,0.0,1.3,1.9
169,Brian Cardinal,11,2.9,6.1,1.3,2.9,1.4,0.9,0.3,1.1,2.7
376,Brian Cook,2,1.9,4.0,0.9,2.0,0.6,0.5,0.5,0.5,1.8
198,Brian Grant,76,3.8,8.1,2.3,4.6,0.9,0.7,0.5,1.1,3.3
452,Brian Scalabrine,2,1.2,3.2,0.6,1.9,0.9,0.3,0.2,0.6,1.6
150,Brian Skinner,54,4.6,9.2,2.1,5.2,0.9,0.5,1.1,1.4,2.9
536,Britton Johnsen,4,0.9,3.0,0.8,1.5,0.6,0.4,0.1,0.7,1.4
255,Bruce Bowen,82,2.6,6.1,0.5,2.5,1.4,1.0,0.4,1.1,2.0
529,Bruno Šundov,0,0.8,2.0,0.4,1.6,0.2,0.0,0.0,0.6,1.8
595,Bryce Drew,0,0.3,1.2,0.0,0.4,0.9,0.3,0.0,0.5,0.1
417,Bryon Russell,1,1.4,3.4,0.4,1.6,1.0,0.4,0.2,0.5,1.5
229,Calbert Cheaney,7,3.5,7.3,1.0,2.3,1.7,0.8,0.2,1.1,2.3
347,Calvin Booth,35,1.9,4.1,1.2,2.7,0.4,0.2,1.4,0.6,2.1
109,Carlos Arroyo,71,4.8,10.8,0.6,2.0,5.0,0.9,0.1,2.2,2.3
72,Carlos Boozer,75,6.3,12.0,3.1,8.4,2.0,1.0,0.7,1.8,2.7
13,Carmelo Anthony,82,7.6,17.9,2.2,3.8,2.8,1.2,0.5,3.0,2.7
185,Caron Butler,56,3.5,9.3,1.4,3.4,1.9,1.1,0.2,1.3,2.4
305,Casey Jacobsen,13,1.9,4.6,0.5,2.0,1.3,0.6,0.1,0.9,1.8
606,Cezary Trybański,0,0.0,0.6,0.0,0.1,0.0,0.1,0.1,0.3,0.4
569,Charles Oakley,0,0.3,0.9,0.0,0.7,0.3,0.0,0.0,0.1,1.1
294,Charlie Ward,10,2.3,5.5,0.2,1.9,3.0,0.9,0.2,1.4,1.5
47,Chauncey Billups,78,5.0,12.8,0.4,3.1,5.7,1.1,0.1,2.4,2.3
589,Cherokee Parks,0,0.3,0.8,0.3,0.5,0.1,0.0,0.3,0.2,0.6
454,Chris Andersen,0,1.3,2.9,1.3,2.9,0.5,0.5,1.6,0.7,1.7
126,Chris Bosh,63,4.4,9.5,2.5,4.9,1.0,0.8,1.4,1.4,2.9
156,Chris Crawford,25,3.8,8.4,1.0,2.1,0.8,0.7,0.4,1.0,2.3
413,Chris Jefferies,2,1.3,3.4,0.2,1.1,0.3,0.2,0.3,0.9,1.7
292,Chris Kaman,61,2.4,5.3,1.5,4.1,1.0,0.3,0.9,1.9,2.6
274,Chris Mihm,17,2.4,5.0,2.1,3.4,0.3,0.5,0.8,1.2,2.7
30,Chris Webber,23,7.6,18.3,2.1,6.6,4.6,1.3,0.9,2.6,3.3
499,Chris Whitney,5,1.1,2.8,0.2,0.8,0.9,0.4,0.1,0.4,0.4
202,Chris Wilcox,17,3.5,6.7,1.9,2.8,0.8,0.4,0.3,1.2,2.8
310,Christian Laettner,18,2.5,5.3,1.0,3.8,1.9,0.8,0.6,0.9,2.1
206,Chucky Atkins,24,3.0,7.6,0.1,1.3,3.5,0.7,0.0,1.4,1.6
338,Clarence Weatherspoon,1,2.0,4.1,1.4,2.5,0.6,0.6,0.3,0.7,1.4
122,Clifford Robinson,82,4.5,11.5,0.7,3.3,3.3,0.8,0.9,2.1,2.9
16,Corey Maggette,72,6.2,13.9,1.3,4.6,3.1,0.9,0.2,2.8,3.0
400,Corie Blount,3,1.9,4.1,1.6,2.9,0.9,0.8,0.4,0.7,2.2
174,Corliss Williamson,0,3.8,7.6,1.1,2.1,0.7,0.4,0.3,1.4,2.6
438,Curtis Borchardt,0,1.4,3.5,0.8,2.6,0.9,0.3,0.9,1.1,2.5
68,Cuttino Mobley,80,5.8,13.5,0.5,4.0,3.2,1.3,0.4,2.3,2.2
556,Dahntay Jones,0,0.8,2.7,0.4,0.8,0.6,0.3,0.3,0.6,1.2
271,Dajuan Wagner,4,2.5,7.0,0.2,1.1,1.2,0.6,0.2,0.9,2.0
