,Player,G,MP,FTr,USG%
328,Moochie Norris,82,1375,.345,15.6
359,Morris Peterson,82,2949,.230,20.3
207,Nate Huffman,7,76,.320,18.9
309,Nazr Mohammed,35,445,.258,20.8
196,Nenê,80,2258,.551,18.7
453,Nick Van Exel,73,2026,.173,22.8
451,Nikoloz Tskitishvili,81,1320,.165,17.0
344,Olumide Oyedeji,27,145,.478,10.1
186,Othella Harrington,74,1850,.339,15.0
62,P.J. Brown,78,2609,.386,14.0
72,Pat Burke,62,783,.196,21.1
152,Pat Garrity,81,2584,.134,15.0
153,Pau Gasol,82,2948,.506,24.1
361,Paul Pierce,79,3096,.473,33.2
409,Paul Shirley,2,5,.000,36.7
425,Peja Stojaković,72,2450,.255,22.5
399,Pepe Sánchez,9,37,.000,9.1
24,Player,G,MP,FTr,USG%
243,Popeye Jones,26,222,.177,16.7
126,Predrag Drobnjak,82,1984,.146,21.4
405,Predrag Savović,27,256,.312,22.0
55,Primož Brezec,22,111,.526,21.9
382,Quentin Richardson,59,1368,.227,22.0
499,Qyntel Woods,53,334,.169,20.7
254,Raef LaFrentz,69,1611,.171,16.9
7,Rafer Alston,47,980,.161,20.7
33,Raja Bell,75,1173,.161,10.4
63,Randy Brown,32,262,.279,11.2
260,Randy Livingston,2,12,.500,18.5
258,Rashard Lewis,77,3044,.300,22.2
462,Rasheed Wallace,74,2684,.249,23.3
326,Rasho Nesterović,77,2337,.125,17.5
75,Rasual Butler,72,1514,.182,21.6
4,Ray Allen,76,2880,.253,27.8
134,Reggie Evans,67,1365,1.100,8.9
304,Reggie Miller,70,2117,.361,17.2
412,Reggie Slater,26,141,.900,25.3
176,Richard Hamilton,82,2640,.411,31.3
231,Richard Jefferson,80,2879,.479,19.7
65,Rick Brunson,17,196,.240,16.4
146,Rick Fox,76,2181,.111,15.7
114,Ricky Davis,79,3131,.316,27.1
15,Robert Archibald,12,72,.900,21.8
202,Robert Horry,80,2343,.282,12.2
345,Robert Pack,28,440,.426,20.0
445,Robert Traylor,69,851,.371,17.6
430,Rod Strickland,47,956,.385,19.0
388,Rodney Rogers,68,1303,.198,20.3
472,Rodney White,72,1563,.196,24.2
287,Roger Mason,17,113,.065,14.5
296,Ron Mercer,72,1671,.136,18.6
316,Ronald Murray,14,62,.258,32.0
45,Ruben Boumtje-Boumtje,2,5,.000,9.2
352,Ruben Patterson,78,1655,.426,20.4
497,Rubén Wolkowyski,7,24,1.000,13.1
48,Ryan Bowen,62,996,.208,11.5
209,Ryan Humphrey,48,444,.325,16.2
84,Sam Cassell,78,2700,.385,26.5
459,Samaki Walker,67,1243,.369,13.4
363,Scot Pollard,23,325,.437,16.1
346,Scott Padgett,82,1321,.253,18.8
489,Scott Williams,69,872,.144,17.6
362,Scottie Pippen,64,1911,.248,20.0
255,Sean Lampley,35,487,.636,18.4
277,Sean Marks,23,223,.254,16.8
389,Sean Rooks,70,1344,.195,13.1
490,Shammond Williams,78,1881,.176,17.9
14,Shandon Anderson,82,1731,.354,19.6
31,Shane Battier,78,2383,.255,13.2
331,Shaquille O'Neal,67,2535,.599,30.2
1,Shareef Abdur-Rahim,81,3087,.457,24.2
51,Shawn Bradley,81,1731,.467,13.6
