,Player,G,MP,FG%,Avg FG Distance,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,FG% by Distance - 2P,FG% by Distance - 0-3,FG% by Distance - 3-10,FG% by Distance - 10-16,FG% by Distance - 16-3P,FG% by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Corner 3s - %3PA,Corner 3s - 3P%
189,Aaron Gordon,78,1863,.473,10.3,.755,.454,.105,.086,.112,.245,.531,.654,.344,.340,.338,.296,.517,.976,.380,.315
439,Adreian Payne,52,486,.366,12.6,.779,.228,.214,.076,.262,.221,.389,.606,.258,.273,.342,.281,.591,.889,.250,.250
580,Alan Williams,10,68,.417,2.9,1.000,.583,.375,.042,.000,.000,.417,.429,.444,.000,,,.500,,,
516,Alex Stepheson,8,73,.333,4.1,1.000,.556,.296,.111,.037,.000,.333,.467,.125,.333,.000,,.333,,,
287,Amir Johnson,79,1800,.585,5.2,.899,.547,.305,.035,.014,.101,.624,.712,.508,.400,.333,.233,.665,1.000,.233,.500
414,Andrew Nicholson,56,823,.471,12.7,.632,.210,.294,.087,.042,.368,.536,.708,.484,.370,.385,.360,.362,.976,.167,.421
50,Anthony Bennett,19,84,.296,14.7,.481,.296,.074,.074,.000,.519,.385,.625,.000,.000,,.214,.200,1.000,.286,.500
542,Anthony Tolliver,72,1341,.386,21.3,.181,.099,.021,.021,.042,.819,.500,.667,.143,.429,.286,.360,.767,.990,.320,.379
206,Blake Griffin,35,1170,.499,11.2,.970,.292,.151,.070,.458,.030,.504,.739,.484,.357,.384,.333,.641,.667,.167,.000
449,Bobby Portis,62,1102,.427,10.5,.881,.321,.197,.110,.250,.119,.443,.586,.372,.250,.404,.308,.629,.938,.154,.000
132,Boris Diaw,76,1386,.527,8.7,.820,.394,.277,.073,.076,.180,.564,.662,.547,.250,.414,.362,.480,.960,.072,.200
592,Brandan Wright,12,212,.673,4.2,1.000,.519,.346,.058,.077,.000,.673,.815,.556,.000,.750,,.714,,,
125,Branden Dawson,6,29,.400,2.8,1.000,.600,.400,.000,.000,.000,.400,.333,.500,,,,.500,,,
41,Brandon Bass,66,1342,.549,5.1,.994,.596,.132,.151,.114,.006,.552,.667,.381,.396,.361,.000,.764,,.000,
320,Carl Landry,36,569,.556,10.3,.948,.368,.112,.116,.352,.052,.561,.750,.357,.552,.432,.462,.759,1.000,.154,.500
174,Channing Frye,44,754,.435,19.2,.349,.140,.059,.022,.124,.651,.508,.615,.364,.500,.478,.397,.758,.979,.215,.346
557,Charlie Villanueva,62,665,.382,15.5,.474,.190,.202,.046,.037,.526,.503,.629,.424,.467,.333,.273,.564,.979,.163,.357
63,Chris Bosh,53,1778,.467,14.5,.711,.206,.086,.149,.270,.289,.508,.715,.364,.456,.425,.365,.606,.975,.257,.386
106,Chris Copeland,24,156,.333,19.2,.294,.137,.078,.020,.059,.706,.467,.714,.500,.000,.000,.278,.571,1.000,.222,.125
368,Chris McCullough,24,362,.404,14.0,.688,.303,.092,.055,.229,.312,.413,.545,.300,.167,.360,.382,.710,.923,.235,.250
590,Christian Wood,17,145,.415,9.0,.792,.453,.170,.075,.094,.208,.429,.625,.111,.500,.000,.364,.667,.750,.182,.500
7,Cliff Alexander,8,36,.500,7.4,1.000,.400,.300,.100,.200,.000,.500,1.000,.000,.000,.500,,.400,,,
278,Cory Jefferson,8,50,.409,5.2,.955,.591,.227,.045,.091,.045,.429,.615,.000,1.000,.000,.000,.778,,.000,
27,Darrell Arthur,70,1516,.452,14.6,.761,.209,.096,.115,.342,.239,.473,.569,.362,.446,.455,.385,.784,1.000,.282,.364
331,David Lee,55,903,.531,4.0,.997,.606,.281,.054,.057,.003,.533,.635,.383,.389,.316,.000,.674,,.000,
574,David West,78,1404,.545,10.1,.984,.257,.230,.152,.346,.016,.546,.713,.485,.500,.484,.429,.784,1.000,.143,.000
158,Derrick Favors,62,1983,.515,7.7,.995,.380,.210,.249,.157,.005,.518,.714,.453,.391,.331,.000,.646,,.000,
421,Dirk Nowitzki,75,2364,.448,16.6,.692,.075,.068,.261,.289,.308,.483,.735,.329,.476,.461,.368,.632,.984,.102,.314
402,Donatas Motiejūnas,37,547,.439,10.8,.722,.205,.400,.098,.020,.278,.500,.595,.488,.350,.500,.281,.716,1.000,.368,.143
197,Draymond Green,81,2808,.490,10.0,.685,.488,.144,.023,.029,.315,.537,.618,.339,.368,.292,.388,.618,.960,.093,.417
187,Drew Gooden,30,305,.320,15.3,.602,.243,.087,.107,.175,.398,.419,.480,.333,.364,.389,.171,.423,1.000,.146,.333
452,Dwight Powell,69,992,.493,8.4,.946,.473,.108,.071,.294,.054,.514,.714,.250,.333,.333,.125,.889,1.000,.375,.333
124,Ed Davis,81,1684,.611,2.0,1.000,.748,.240,.012,.000,.000,.611,.659,.469,.500,,,.583,,,
