,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
473,A.J. Price,.522,.065,.043,.043,.370,.478,.231,.833,.000,.045
87,Aaron Brooks,.573,.203,.210,.084,.076,.427,.139,.698,.000,.145
242,Aaron Gray,.984,.377,.492,.098,.016,.016,.667,,.033,.000
555,Adonis Thomas,.643,.071,.214,.000,.357,.357,.200,1.000,.000,.400
264,Al Harrington,.517,.304,.106,.043,.063,.483,.646,1.000,.039,.240
292,Al Horford,.974,.310,.198,.131,.336,.026,.709,1.000,.079,1.000
313,Al Jefferson,.989,.289,.305,.192,.203,.011,.611,1.000,.021,.067
16,Al-Farouq Aminu,.903,.453,.204,.040,.202,.097,.674,1.000,.087,.625
21,Alan Anderson,.489,.181,.087,.103,.118,.511,.436,.893,.019,.359
102,Alec Burks,.828,.342,.197,.060,.229,.172,.327,.820,.037,.266
355,Alex Len,1.000,.474,.205,.218,.103,.000,.485,,.141,
516,Alexey Shved,.570,.300,.089,.063,.118,.430,.391,.633,.030,.127
8,Alexis Ajinça,.996,.494,.197,.181,.129,.004,.706,,.213,.000
141,Allen Crabbe,.576,.242,.091,.061,.182,.424,.667,.833,.000,.286
228,Alonzo Gee,.754,.394,.106,.114,.140,.246,.633,.947,.157,.707
541,Amar'e Stoudemire,1.000,.430,.233,.073,.263,.000,.621,,.147,
318,Amir Johnson,.892,.436,.297,.047,.111,.108,.710,.950,.103,.242
585,Anderson Varejão,.985,.383,.224,.187,.190,.015,.683,,.037,.143
71,Andray Blatche,.920,.393,.160,.102,.264,.080,.539,.933,.061,.259
187,Andre Drummond,.997,.814,.172,.010,.001,.003,.574,,.256,.000
297,Andre Iguodala,.618,.301,.100,.087,.129,.382,.506,.887,.131,.394
399,Andre Miller,.909,.368,.307,.117,.117,.091,.189,.909,.000,.143
488,Andre Roberson,.809,.676,.074,.015,.044,.191,.452,1.000,.176,.615
44,Andrea Bargnani,.785,.207,.165,.147,.265,.215,.760,.967,.026,.019
338,Andrei Kirilenko,.969,.606,.200,.019,.144,.031,.691,1.000,.181,.400
75,Andrew Bogut,1.000,.696,.253,.032,.019,.000,.715,,.259,
109,Andrew Bynum,1.000,.316,.404,.213,.067,.000,.479,,.058,
437,Andrew Nicholson,.788,.131,.240,.090,.326,.212,.586,.964,.019,.910
64,Andris Biedriņš,1.000,.000,1.000,.000,.000,.000,1.000,,.000,
309,Antawn Jamison,.554,.250,.109,.065,.130,.446,.762,1.000,.000,.268
62,Anthony Bennett,.764,.293,.111,.071,.289,.236,.612,1.000,.098,.208
159,Anthony Davis,.991,.396,.207,.180,.208,.009,.667,1.000,.159,.667
418,Anthony Morrow,.625,.085,.150,.179,.212,.375,.653,.932,.000,.385
479,Anthony Randolph,.653,.267,.125,.045,.210,.347,.560,1.000,.040,.426
571,Anthony Tolliver,.195,.085,.036,.020,.055,.805,.741,1.000,.016,.332
235,Archie Goodwin,.784,.545,.168,.048,.024,.216,.380,1.000,.096,.361
450,Arinze Onuaku,1.000,.800,.200,.000,.000,.000,.000,,.000,
420,Arnett Moultrie,1.000,.342,.105,.211,.342,.000,.750,,.079,
54,Aron Baynes,1.000,.460,.282,.178,.080,.000,.648,,.098,
7,Arron Afflalo,.703,.157,.081,.161,.304,.297,.530,.883,.002,.300
164,Austin Daye,.456,.118,.147,.088,.103,.544,.333,1.000,.000,.108
487,Austin Rivers,.791,.386,.291,.055,.059,.209,.218,.972,.015,.222
81,Avery Bradley,.758,.187,.081,.064,.425,.242,.543,.937,.027,.625
236,Ben Gordon,.731,.185,.120,.111,.315,.269,.655,1.000,.000,.207
392,Ben McLemore,.563,.214,.109,.041,.200,.437,.619,.947,.066,.269
581,Beno Udrih,.764,.197,.096,.225,.247,.236,.373,.947,.000,.357
305,Bernard James,.957,.783,.130,.043,.000,.043,.545,,.087,.000
66,Bismack Biyombo,1.000,.660,.243,.083,.014,.000,.716,,.257,
251,Blake Griffin,.968,.407,.218,.076,.267,.032,.649,.833,.142,.364
180,Boris Diaw,.807,.324,.267,.066,.150,.193,.584,1.000,.009,.188
59,Bradley Beal,.701,.151,.065,.124,.361,.299,.513,.942,.019,.329
626,Brandan Wright,1.000,.613,.275,.091,.021,.000,.875,,.293,
48,Brandon Bass,.992,.348,.171,.233,.240,.008,.603,.500,.110,.333
158,Brandon Davies,.922,.461,.227,.094,.141,.078,.731,1.000,.070,.100
316,Brandon Jennings,.597,.215,.137,.070,.175,.403,.230,.448,.004,.125
339,Brandon Knight,.690,.300,.128,.069,.193,.310,.296,.645,.008,.098
496,Brandon Rush,.478,.100,.078,.067,.233,.522,.357,.813,.011,.277
489,Brian Roberts,.694,.108,.158,.143,.282,.306,.311,.688,.000,.202
364,Brook Lopez,.996,.328,.367,.135,.166,.004,.605,,.057,1.000
424,Byron Mullens,.461,.212,.079,.073,.097,.539,.600,.970,.085,.090
398,C.J. Miles,.484,.169,.098,.071,.147,.516,.674,.928,.042,.246
604,C.J. Watson,.566,.234,.060,.063,.210,.434,.387,.830,.000,.310
390,CJ McCollum,.551,.129,.140,.096,.185,.449,.364,.900,.011,.238
347,Carl Landry,1.000,.217,.267,.150,.367,.000,.742,,.083,
78,Carlos Boozer,.998,.334,.161,.236,.267,.002,.711,,.016,.000
25,Carmelo Anthony,.747,.191,.078,.199,.279,.253,.292,.713,.022,.080
103,Caron Butler,.539,.070,.041,.122,.306,.461,.565,.939,.004,.305
206,Carrick Felix,.643,.429,.000,.143,.071,.357,1.000,1.000,.143,.000
374,Cartier Martin,.428,.155,.061,.068,.144,.572,.827,.949,.011,.344
603,Casper Ware,.500,.143,.190,.048,.119,.500,.455,.714,.000,.143
458,Chandler Parsons,.644,.333,.183,.064,.064,.356,.527,.946,.061,.214
218,Channing Frye,.445,.117,.093,.068,.166,.555,.477,.981,.024,.095
595,Charlie Villanueva,.391,.163,.152,.054,.022,.609,.667,1.000,.033,.071
99,Chase Budinger,.528,.205,.087,.059,.177,.472,.707,.976,.028,.275
65,Chauncey Billups,.392,.038,.089,.063,.203,.608,.300,.643,.000,.125
20,Chris Andersen,.956,.789,.080,.018,.069,.044,.707,1.000,.291,.250
40,Chris Babb,.100,.067,.000,.000,.033,.900,1.000,1.000,.000,.222
79,Chris Bosh,.771,.280,.106,.109,.276,.229,.773,.959,.073,.239
138,Chris Copeland,.325,.162,.120,.026,.017,.675,.273,.909,.000,.089
185,Chris Douglas-Roberts,.476,.282,.111,.044,.040,.524,.533,.961,.012,.409
319,Chris Johnson,.407,.229,.070,.028,.079,.593,.667,.977,.009,.362
334,Chris Kaman,.991,.263,.283,.303,.142,.009,.659,,.026,.000
462,Chris Paul,.756,.125,.153,.255,.222,.244,.152,.487,.001,.099
521,Chris Singleton,.716,.239,.134,.119,.224,.284,.444,1.000,.030,.263
524,Chris Smith,,,,,,,,,,
627,Chris Wright,.971,.800,.143,.000,.029,.029,.714,,.286,1.000
274,Chuck Hayes,.992,.438,.523,.031,.000,.008,.589,,.000,.000
633,Cody Zeller,.998,.490,.134,.047,.327,.002,.651,,.114,.000
9,Cole Aldrich,1.000,.492,.508,.000,.000,.000,.545,,.131,
83,Corey Brewer,.739,.467,.129,.052,.090,.261,.675,.949,.116,.602
333,Cory Joseph,.857,.298,.177,.121,.260,.143,.395,1.000,.000,.605
351,Courtney Lee,.684,.192,.107,.134,.251,.316,.498,.917,.011,.361
35,D.J. Augustin,.538,.224,.096,.068,.149,.462,.297,.639,.000,.190
537,D.J. Stephens,1.000,.000,1.000,.000,.000,.000,.000,,.286,
611,D.J. White,1.000,.000,.000,1.000,.000,.000,,,.000,
361,Damian Lillard,.575,.289,.100,.055,.130,.425,.269,.596,.021,.094
306,Damion James,.778,.111,.222,.111,.333,.222,.500,,.111,1.000
453,Daniel Orton,1.000,.532,.170,.128,.170,.000,.762,,.064,
239,Danny Granger,.583,.205,.114,.094,.169,.417,.466,.977,.010,.336
245,Danny Green,.370,.125,.079,.063,.103,.630,.709,.917,.008,.333
147,Dante Cunningham,.990,.226,.075,.108,.582,.010,.847,,.057,.000
327,Darius Johnson-Odom,.571,.000,.143,.286,.143,.429,,,.000,.333
402,Darius Miller,.536,.048,.139,.120,.229,.464,.625,.920,.012,.351
412,Darius Morris,.604,.198,.177,.094,.135,.396,.259,.500,.000,.184
33,Darrell Arthur,.844,.146,.076,.095,.527,.156,.841,1.000,.027,.234
134,Darren Collison,.728,.275,.089,.138,.225,.272,.344,.901,.010,.386
354,David Lee,.999,.466,.355,.078,.100,.001,.682,,.075,.000
608,David West,.984,.201,.294,.178,.311,.016,.665,1.000,.021,.400
332,DeAndre Jordan,1.000,.817,.179,.004,.000,.000,.744,,.536,
360,DeAndre Liggins,1.000,.000,1.000,.000,.000,.000,.000,,.000,
67,DeJuan Blair,.995,.481,.387,.115,.013,.005,.733,,.020,.000
179,DeMar DeRozan,.851,.153,.154,.182,.362,.149,.465,.844,.028,.433
139,DeMarcus Cousins,.994,.359,.324,.088,.223,.006,.533,,.073,.000
118,DeMarre Carroll,.583,.312,.148,.031,.092,.417,.707,.938,.037,.388
503,Dennis Schröder,.777,.309,.218,.080,.170,.223,.339,.900,.000,.214
209,Derek Fisher,.366,.064,.078,.061,.163,.634,.623,.739,.000,.262
613,Deron Williams,.626,.177,.149,.088,.211,.374,.290,.765,.006,.172
205,Derrick Favors,.999,.479,.262,.181,.076,.001,.628,,.114,.000
493,Derrick Rose,.713,.299,.226,.073,.116,.287,.405,.875,.006,.106
614,Derrick Williams,.795,.334,.224,.100,.135,.205,.600,.846,.124,.313
265,Devin Harris,.602,.276,.161,.071,.094,.398,.262,.677,.000,.079
