,Player,GS,FG,FGA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
595,Aaron Brooks,1,0.9,2.2,0.3,0.2,0.3,0.6,0.2,0.0,0.3,0.9
50,Aaron Gordon,57,6.5,14.9,3.9,1.5,6.4,2.3,1.0,0.8,1.8,1.9
337,Aaron Harrison,3,2.1,7.7,1.9,0.4,2.2,1.2,1.0,0.2,0.3,3.0
277,Aaron Jackson,0,3.0,9.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0
564,Abdel Nader,1,1.0,3.1,0.8,0.3,1.2,0.5,0.3,0.2,0.7,0.9
498,Adreian Payne,0,1.4,2.0,1.2,0.4,1.4,0.0,0.4,0.0,0.4,1.2
127,Al Horford,72,5.1,10.5,1.7,1.4,5.9,4.7,0.6,1.1,1.8,1.9
320,Al Jefferson,1,3.1,5.8,1.0,0.8,3.1,0.8,0.4,0.6,0.6,1.8
226,Al-Farouq Aminu,67,3.3,8.4,1.2,1.4,6.2,1.2,1.1,0.6,1.1,2.0
512,Alan Williams,0,1.4,3.6,1.8,0.6,3.8,1.6,1.0,0.2,1.4,2.6
294,Alec Burks,1,2.7,6.5,1.9,0.3,2.7,1.0,0.6,0.1,0.9,1.2
502,Alec Peters,0,1.4,3.7,0.5,0.4,1.5,0.6,0.1,0.1,0.2,0.7
527,Alex Caruso,7,1.4,3.1,0.8,0.4,1.4,2.0,0.6,0.3,1.1,1.4
257,Alex Len,13,3.1,5.5,3.3,2.5,5.0,1.2,0.4,0.9,1.1,2.3
667,Alex Poythress,0,0.4,1.0,0.0,0.3,0.4,0.1,0.1,0.0,0.1,0.6
643,Alfonzo McKinnie,0,0.6,1.1,0.2,0.1,0.4,0.1,0.1,0.1,0.2,0.6
119,Allen Crabbe,68,4.5,11.0,1.8,0.4,3.9,1.6,0.6,0.5,1.0,2.2
476,Amir Johnson,18,1.9,3.5,1.1,1.7,2.8,1.6,0.6,0.6,0.7,2.6
82,Andre Drummond,78,6.0,11.3,5.1,5.1,10.9,3.0,1.5,1.6,2.6,3.2
