,Player,G,MP,FTr,USG%
349,Aaron McKie,75,2112,.192,16.2
580,Aaron Williams,72,1337,.453,17.5
183,Adonal Foyle,44,572,.269,13.4
212,Adrian Griffin,19,133,.222,8.2
227,Al Harrington,79,2441,.277,22.9
239,Alan Henderson,6,68,.286,17.8
190,Alex Garcia,2,13,.286,31.6
247,Allan Houston,50,1799,.220,24.7
257,Allen Iverson,48,2040,.404,35.3
375,Alonzo Mourning,12,215,.479,20.9
177,Alton Ford,9,41,.545,19.4
581,Alvin Williams,56,1730,.171,17.1
339,Amal McCaskill,59,636,.231,11.4
504,Amar'e Stoudemire,55,2025,.503,27.5
360,Andre Miller,82,2838,.437,20.7
295,Andrei Kirilenko,78,2895,.533,21.9
145,Andrew DeClercq,71,1211,.277,10.2
223,Anfernee Hardaway,76,2095,.203,18.6
480,Ansu Sesay,57,583,.258,17.6
270,Antawn Jamison,82,2376,.322,20.7
102,Anthony Carter,5,87,.000,26.0
204,Anthony Goldwire,11,85,.045,14.1
278,Anthony Johnson,73,1598,.229,15.6
424,Anthony Peeler,75,1391,.175,14.7
548,Antoine Walker,82,2840,.165,21.8
130,Antonio Daniels,71,1512,.462,16.5
132,Antonio Davis,80,2570,.348,15.5
342,Antonio McDyess,42,927,.257,17.6
125,Austin Croshere,77,1051,.339,18.3
279,Avery Johnson,46,637,.392,20.6
135,Baron Davis,67,2686,.251,30.1
221,Ben Handlogten,17,172,.574,18.6
550,Ben Wallace,81,3050,.388,15.3
117,Bimbo Coles,22,170,.176,12.6
406,Bo Outlaw,82,1606,.372,12.1
513,Bob Sura,80,1663,.466,19.0
258,Bobby Jackson,50,1185,.184,26.8
482,Bobby Simmons,56,1376,.453,16.8
566,Bonzi Wells,72,1872,.215,26.5
148,Boris Diaw,76,1919,.297,11.4
384,Boštjan Nachbar,45,516,.220,15.5
361,Brad Miller,72,2621,.450,17.6
16,Brandon Armstrong,56,434,.023,21.7
253,Brandon Hunter,36,406,.371,17.6
237,Brendan Haywood,77,1484,.603,17.0
31,Brent Barry,59,1803,.258,15.8
297,Brevin Knight,56,1037,.264,14.9
98,Brian Cardinal,76,1634,.582,18.9
121,Brian Cook,35,442,.199,17.3
208,Brian Grant,76,2303,.179,15.2
479,Brian Scalabrine,69,928,.321,14.7
484,Brian Skinner,56,1577,.269,18.7
277,Britton Johnsen,20,290,.271,12.5
61,Bruce Bowen,82,2624,.227,11.3
509,Bruno Šundov,5,33,.600,21.3
160,Bryce Drew,15,78,.167,16.0
475,Bryon Russell,72,945,.266,14.7
110,Calbert Cheaney,79,2067,.133,15.5
55,Calvin Booth,71,1206,.324,14.4
18,Carlos Arroyo,71,2008,.293,23.7
56,Carlos Boozer,75,2592,.317,20.0
10,Carmelo Anthony,82,2995,.358,28.5
92,Caron Butler,68,2030,.279,18.5
264,Casey Jacobsen,78,1828,.308,11.8
