,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
349,Aaron McKie,.702,.234,.087,.163,.218,.298,.547,.973,.003,.541
580,Aaron Williams,.991,.468,.254,.123,.146,.009,.778,1.000,.137,.000
183,Adonal Foyle,1.000,.408,.408,.100,.085,.000,.644,,.062,
212,Adrian Griffin,.889,.167,.056,.167,.500,.111,.750,.000,.000,.500
227,Al Harrington,.915,.327,.138,.237,.215,.085,.585,.905,.073,.364
239,Alan Henderson,1.000,.476,.190,.190,.143,.000,.600,,.000,
190,Alex Garcia,1.000,.571,.143,.143,.143,.000,1.000,,.143,
247,Allan Houston,.741,.038,.076,.260,.367,.259,.522,.954,.000,.272
257,Allen Iverson,.823,.276,.116,.121,.311,.177,.339,.649,.004,.075
375,Alonzo Mourning,1.000,.366,.225,.169,.239,.000,.667,,.141,
177,Alton Ford,1.000,.182,.364,.273,.182,.000,.833,,.000,
581,Alvin Williams,.821,.113,.089,.119,.500,.179,.560,.885,.000,.303
339,Amal McCaskill,.991,.487,.145,.205,.154,.009,.574,,.077,.000
504,Amar'e Stoudemire,.994,.429,.296,.162,.108,.006,.459,1.000,.147,.000
360,Andre Miller,.931,.368,.186,.238,.139,.069,.356,.500,.005,.154
295,Andrei Kirilenko,.784,.521,.072,.049,.142,.216,.529,.956,.114,.085
145,Andrew DeClercq,1.000,.667,.226,.082,.026,.000,.548,,.056,
223,Anfernee Hardaway,.884,.184,.140,.158,.402,.116,.602,.900,.003,.291
480,Ansu Sesay,.882,.354,.107,.073,.348,.118,.627,1.000,.129,.381
270,Antawn Jamison,.956,.403,.315,.103,.135,.044,.744,1.000,.019,.350
102,Anthony Carter,.919,.216,.108,.162,.432,.081,.545,,.000,.333
204,Anthony Goldwire,.636,.045,.136,.045,.409,.364,.400,.500,.000,.125
278,Anthony Johnson,.703,.124,.083,.134,.363,.297,.556,.854,.007,.459
424,Anthony Peeler,.595,.115,.063,.080,.336,.405,.716,.926,.000,.298
548,Antoine Walker,.730,.404,.226,.064,.036,.270,.449,.927,.021,.157
130,Antonio Daniels,.709,.241,.188,.095,.183,.291,.359,.762,.043,.172
132,Antonio Davis,1.000,.341,.168,.277,.214,.000,.669,,.074,
342,Antonio McDyess,1.000,.284,.123,.280,.313,.000,.714,,.041,
125,Austin Croshere,.531,.280,.049,.059,.143,.469,.619,.929,.052,.403
279,Avery Johnson,.985,.482,.261,.090,.151,.015,.113,,.000,.000
135,Baron Davis,.585,.289,.052,.091,.153,.415,.286,.529,.024,.129
221,Ben Handlogten,1.000,.830,.085,.043,.043,.000,.600,,.085,
550,Ben Wallace,.989,.610,.163,.131,.086,.011,.618,1.000,.178,.125
117,Bimbo Coles,1.000,.235,.029,.118,.618,.000,.750,,.000,
406,Bo Outlaw,.987,.651,.247,.032,.058,.013,.711,,.077,.000
513,Bob Sura,.837,.515,.085,.082,.155,.163,.436,.857,.016,.367
258,Bobby Jackson,.630,.240,.081,.068,.242,.370,.489,.679,.000,.311
482,Bobby Simmons,.968,.375,.129,.126,.338,.032,.628,1.000,.024,.500
566,Bonzi Wells,.919,.358,.102,.146,.313,.081,.669,.864,.040,.594
148,Boris Diaw,.917,.457,.125,.147,.188,.083,.552,1.000,.070,.385
384,Boštjan Nachbar,.523,.280,.053,.030,.159,.477,.542,.957,.045,.238
361,Brad Miller,.948,.364,.152,.119,.313,.052,.726,1.000,.062,.026
16,Brandon Armstrong,.703,.126,.023,.103,.451,.297,.761,.684,.000,.404
253,Brandon Hunter,.974,.612,.241,.052,.069,.026,.434,,.147,.000
237,Brendan Haywood,.997,.469,.379,.124,.026,.003,.500,,.178,.000
31,Brent Barry,.410,.220,.068,.028,.094,.590,.446,.868,.028,.127
297,Brevin Knight,.967,.179,.118,.195,.476,.033,.476,.000,.000,.250
98,Brian Cardinal,.734,.223,.165,.105,.240,.266,.727,.964,.013,.500
121,Brian Cook,.965,.220,.078,.213,.454,.035,.821,,.064,.200
208,Brian Grant,.998,.292,.106,.140,.460,.002,.775,,.055,.000
479,Brian Scalabrine,.812,.252,.083,.106,.372,.188,.803,1.000,.037,.293
484,Brian Skinner,1.000,.400,.326,.220,.055,.000,.624,,.086,
277,Britton Johnsen,.797,.390,.051,.051,.305,.203,.375,1.000,.119,.167
61,Bruce Bowen,.578,.175,.157,.116,.129,.422,.619,1.000,.012,.835
509,Bruno Šundov,1.000,.400,.200,.000,.400,.000,.750,,.000,
160,Bryce Drew,.611,.111,.000,.111,.389,.389,1.000,1.000,.000,.429
475,Bryon Russell,.541,.115,.049,.057,.320,.459,.782,.977,.008,.304
110,Calbert Cheaney,.983,.197,.171,.227,.388,.017,.716,,.026,.500
55,Calvin Booth,.993,.383,.159,.190,.262,.007,.748,,.159,.500
18,Carlos Arroyo,.848,.220,.052,.145,.431,.152,.352,.737,.000,.179
56,Carlos Boozer,.993,.451,.159,.229,.154,.007,.696,1.000,.091,.000
10,Carmelo Anthony,.854,.452,.065,.060,.277,.146,.528,.768,.087,.079
92,Caron Butler,.933,.326,.103,.103,.401,.067,.674,.700,.035,.095
264,Casey Jacobsen,.500,.283,.022,.044,.150,.500,.520,.960,.006,.461
531,Cezary Trybański,1.000,.000,.500,.500,.000,.000,,,.000,
399,Charles Oakley,1.000,.333,.000,.167,.500,.000,1.000,,.000,
558,Charlie Ward,.472,.185,.105,.069,.113,.528,.250,.810,.000,.180
48,Chauncey Billups,.664,.245,.050,.130,.239,.336,.344,.685,.003,.164
420,Cherokee Parks,1.000,.500,.100,.200,.200,.000,.750,,.000,
6,Chris Andersen,.995,.606,.054,.108,.227,.005,.678,,.212,.000
59,Chris Bosh,.980,.350,.149,.261,.221,.020,.609,1.000,.118,.214
123,Chris Crawford,.760,.274,.108,.119,.259,.240,.683,.977,.074,.212
272,Chris Jefferies,.417,.153,.028,.097,.139,.583,.600,1.000,.014,.286
292,Chris Kaman,.995,.520,.280,.152,.044,.005,.595,,.101,.000
353,Chris Mihm,1.000,.543,.241,.092,.123,.000,.645,,.160,
565,Chris Webber,.988,.238,.261,.128,.361,.012,.647,.000,.078,.000
577,Chris Whitney,.600,.089,.000,.111,.400,.400,.667,.625,.000,.278
578,Chris Wilcox,.998,.544,.310,.115,.030,.002,.617,,.149,.000
303,Christian Laettner,.918,.258,.074,.113,.473,.082,.779,.667,.008,.048
19,Chucky Atkins,.502,.186,.043,.054,.219,.498,.315,.753,.000,.212
562,Clarence Weatherspoon,.995,.460,.171,.161,.204,.005,.663,,.057,1.000
462,Clifford Robinson,.668,.106,.187,.120,.255,.332,.563,.991,.003,.121
320,Corey Maggette,.772,.354,.078,.073,.267,.228,.578,.934,.058,.078
50,Corie Blount,.988,.229,.055,.296,.407,.012,.783,,.036,.000
597,Corliss Williamson,1.000,.447,.307,.183,.063,.000,.711,,.020,
58,Curtis Borchardt,.982,.321,.161,.286,.214,.018,.682,,.054,.000
366,Cuttino Mobley,.611,.208,.088,.109,.206,.389,.348,.829,.018,.264
284,Dahntay Jones,.925,.321,.132,.132,.340,.075,.643,1.000,.075,.500
547,Dajuan Wagner,.719,.229,.288,.118,.085,.281,.383,.935,.013,.128
137,Dale Davis,1.000,.505,.117,.260,.117,.000,.602,,.167,
285,Damon Jones,.479,.105,.038,.095,.240,.521,.348,.776,.000,.275
503,Damon Stoudamire,.581,.151,.083,.106,.241,.419,.341,.801,.000,.124
77,Damone Brown,1.000,.600,.200,.000,.200,.000,1.000,,.100,
149,Dan Dickau,.694,.235,.163,.071,.224,.306,.296,.800,.000,.167
187,Dan Gadzuric,.997,.605,.244,.132,.017,.003,.716,,.229,.000
307,Dan Langhi,.857,.000,.000,.643,.214,.143,.250,1.000,.000,1.000
30,Dana Barros,1.000,.000,.000,.000,1.000,.000,.500,,.000,
478,Daniel Santiago,1.000,.515,.301,.123,.061,.000,.744,,.129,
179,Danny Fortson,1.000,.791,.122,.036,.050,.000,.451,,.014,
356,Darius Miles,.947,.444,.162,.130,.211,.053,.617,1.000,.143,.300
492,Darius Songaila,1.000,.513,.216,.055,.216,.000,.729,,.029,
359,Darko Miličić,.985,.308,.323,.200,.154,.015,.882,,.092,.000
17,Darrell Armstrong,.417,.174,.027,.056,.160,.583,.506,.756,.005,.203
330,Darrick Martin,.612,.254,.104,.090,.164,.388,.214,1.000,.000,.115
218,Darvin Ham,.973,.640,.067,.080,.187,.027,.639,.000,.320,.000
570,David Wesley,.644,.141,.020,.071,.411,.356,.735,.946,.000,.312
572,David West,.991,.711,.136,.083,.061,.009,.593,,.079,.000
153,DeSagana Diop,1.000,.238,.170,.313,.279,.000,.684,,.054,
496,DeShawn Stevenson,.918,.268,.053,.046,.552,.082,.664,.842,.030,.366
280,DerMarr Johnson,.629,.268,.134,.082,.144,.371,.565,.846,.062,.444
