,Player,G,MP,FTr,USG%
258,Aaron Gordon,78,2633,.242,21.8
311,Aaron Holiday,50,646,.191,21.9
515,Abdel Nader,61,694,.167,15.1
322,Al Horford,68,1973,.131,19.0
12,Al-Farouq Aminu,81,2292,.292,13.7
705,Alan Williams,5,26,.308,25.5
101,Alec Burks,64,1375,.297,19.0
124,Alex Caruso,25,531,.370,19.0
410,Alex Len,77,1544,.333,22.1
570,Alex Poythress,21,305,.358,14.2
466,Alfonzo McKinnie,72,1003,.175,13.9
354,Alize Johnson,14,64,.500,13.3
155,Allen Crabbe,43,1133,.150,16.4
674,Allonzo Trier,64,1459,.431,21.5
348,Amile Jefferson,12,68,.500,13.1
355,Amir Johnson,51,529,.261,17.4
195,Andre Drummond,79,2647,.392,22.9
331,Andre Iguodala,68,1578,.222,10.4
334,Andre Ingram,4,15,.000,19.3
67,Andrew Bogut,11,134,.083,14.5
289,Andrew Harrison,17,187,.340,16.8
704,Andrew Wiggins,73,2543,.245,24.4
626,Anfernee Simons,20,141,.254,24.3
730,Ante Žižić,59,1082,.399,18.2
167,Anthony Davis,56,1850,.422,29.5
670,Anthony Tolliver,65,1079,.232,12.5
62,Antonio Blakeney,57,829,.192,24.5
46,Aron Baynes,51,821,.278,15.3
582,Austin Rivers,76,2028,.166,14.5
73,Avery Bradley,63,1905,.082,16.2
356,B.J. Johnson,7,49,.111,17.4
4,Bam Adebayo,82,1913,.465,15.8
467,Ben McLemore,19,158,.188,19.4
621,Ben Simmons,79,2700,.446,22.1
243,Billy Garrett,4,63,.148,20.9
60,Bismack Biyombo,54,783,.583,12.7
274,Blake Griffin,75,2622,.410,30.2
445,Boban Marjanović,58,681,.504,23.3
565,Bobby Portis,50,1299,.154,24.6
65,Bogdan Bogdanović,70,1947,.188,22.3
66,Bojan Bogdanović,81,2573,.290,22.4
147,Bonzie Colson,8,98,.231,19.6
695,Brad Wanamaker,36,343,.267,17.2
48,Bradley Beal,82,3028,.278,28.4
257,Brandon Goodwin,16,57,.478,23.1
335,Brandon Ingram,52,1760,.396,23.2
386,Brandon Knight,39,736,.131,18.1
597,Brandon Sampson,14,214,.100,15.2
423,Brook Lopez,81,2322,.169,16.7
87,Bruce Brown,74,1449,.191,11.5
109,Bruno Caboclo,34,800,.222,15.9
228,Bryn Forbes,82,2293,.099,17.4
304,Buddy Hield,82,2615,.142,25.1
475,C.J. Miles,53,856,.186,18.6
706,C.J. Williams,15,128,.029,13.3
461,CJ McCollum,70,2375,.154,25.5
650,Caleb Swanigan,21,178,.170,17.7
551,Cameron Payne,40,712,.184,17.6
578,Cameron Reynolds,19,259,.115,14.1
415,Caris LeVert,40,1063,.255,24.0
21,Carmelo Anthony,10,294,.182,20.5
538,Cedi Osman,76,2444,.214,18.6
329,Chandler Hutchison,44,895,.182,12.2
547,Chandler Parsons,25,496,.137,20.3
239,Channing Frye,36,341,.120,17.5
574,Chasson Randle,49,743,.286,16.4
182,Cheick Diallo,64,896,.247,16.0
473,Chimezie Metu,29,145,.293,24.4
72,Chris Boucher,28,163,.197,23.6
137,Chris Chiozza,7,33,.000,11.8
550,Chris Paul,58,1857,.282,22.5
716,Christian Wood,21,251,.479,26.1
116,Clint Capela,67,2249,.357,18.2
726,Cody Zeller,49,1243,.409,16.3
612,Collin Sexton,82,2605,.211,25.2
77,Corey Brewer,31,492,.350,13.6
379,Cory Joseph,82,2063,.078,13.7
405,Courtney Lee,34,428,.163,15.3
223,Cristiano Felício,60,746,.408,14.3
595,D'Angelo Russell,81,2448,.135,31.9
28,D.J. Augustin,81,2269,.309,17.2
647,D.J. Stephens,1,7,.000,19.1
713,D.J. Wilson,48,882,.187,14.4
56,Dairis Bertāns,12,167,.000,12.0
370,Damian Jones,24,410,.500,11.1
416,Damian Lillard,80,2838,.335,29.3
408,Damion Lee,32,375,.173,16.8
192,Damyean Dotson,73,2004,.140,17.3
275,Daniel Hamilton,19,204,.100,15.7
663,Daniel Theis,66,908,.286,15.8
241,Danilo Gallinari,68,2059,.459,23.8
266,Danny Green,80,2216,.070,14.1
163,Dante Cunningham,64,928,.114,8.9
218,Dante Exum,42,664,.357,21.3
323,Danuel House Jr.,39,979,.282,14.1
599,Dario Šarić,81,2023,.216,17.8
478,Darius Miller,69,1757,.147,13.4
146,Darren Collison,76,2143,.288,17.7
439,Daryl Macon,8,90,.259,17.2
529,David Nwaba,51,984,.324,14.6
577,Davon Reed,10,47,.000,12.1
230,De'Aaron Fox,81,2546,.378,24.5
472,De'Anthony Melton,50,984,.109,15.0
376,DeAndre Jordan,69,2047,.592,15.0
54,DeAndre' Bembry,82,1931,.221,17.2
180,DeMar DeRozan,77,2688,.336,27.9
151,DeMarcus Cousins,30,771,.388,28.1
117,DeMarre Carroll,67,1703,.421,18.6
6,DeVaughn Akoon-Purcell,7,22,.200,25.0
29,Deandre Ayton,71,2183,.217,21.2
719,Delon Wright,75,1699,.269,18.1
339,Demetrius Jackson,6,39,.267,19.1
5,Deng Adel,19,194,.111,9.9
603,Dennis Schröder,79,2314,.206,24.2
628,Dennis Smith Jr.,53,1508,.240,24.8
105,Deonte Burton,32,240,.146,16.3
222,Derrick Favors,76,1766,.368,19.4
371,Derrick Jones Jr.,60,1153,.377,15.6
591,Derrick Rose,51,1392,.212,27.3
701,Derrick White,67,1728,.227,17.7
71,Devin Booker,64,2242,.362,32.9
283,Devin Harris,68,1071,.386,18.5
585,Devin Robinson,7,95,.438,17.9
261,Devonte' Graham,46,676,.213,17.0
171,Dewayne Dedmon,64,1609,.215,16.7
168,Deyonta Davis,9,118,.455,10.1
85,Dillon Brooks,18,330,.246,20.9
689,Dion Waiters,44,1138,.092,21.1
522,Dirk Nowitzki,51,795,.133,22.5
596,Domantas Sabonis,74,1838,.416,23.5
504,Donatas Motiejūnas,3,13,.333,33.5
486,Donovan Mitchell,77,2598,.259,31.6
187,Donte DiVincenzo,27,411,.097,15.1
265,Donte Grantham,3,2,.000,40.7
227,Dorian Finney-Smith,81,1985,.195,14.0
463,Doug McDermott,77,1340,.187,16.3
55,Dragan Bender,46,826,.274,13.4
267,Draymond Green,66,2065,.216,13.1
211,Drew Eubanks,23,113,.500,15.5
586,Duncan Robinson,15,161,.130,14.0
276,Dusty Hannahs,2,26,.167,23.9
30,Dwayne Bacon,43,759,.179,16.8
324,Dwight Howard,9,230,.696,19.6
568,Dwight Powell,77,1662,.523,17.2
687,Dwyane Wade,72,1885,.243,27.9
57,Dāvis Bertāns,76,1632,.132,14.1
508,Džanan Musa,9,39,.091,29.0
493,E'Twaun Moore,53,1463,.111,17.3
169,Ed Davis,81,1446,.536,12.7
649,Edmond Sumner,23,210,.375,17.6
678,Ekpe Udoh,51,320,.417,13.1
555,Elfrid Payton,42,1250,.180,18.3
534,Elie Okobo,53,958,.162,17.0
660,Emanuel Terry,3,23,.571,20.1
506,Emmanuel Mudiay,59,1607,.251,25.6
236,Enes Freedom,67,1640,.288,23.1
63,Eric Bledsoe,78,2272,.243,22.9
259,Eric Gordon,68,2158,.162,22.0
494,Eric Moreland,5,43,.000,12.0
332,Ersan İlyasova,67,1231,.194,15.7
229,Evan Fournier,81,2553,.159,22.1
676,Evan Turner,73,1605,.239,15.9
340,Frank Jackson,61,1169,.163,18.5
380,Frank Kaminsky,47,755,.359,22.1
450,Frank Mason III,38,435,.337,21.8
523,Frank Ntilikina,43,904,.106,16.6
684,Fred VanVleet,64,1760,.192,17.9
390,Furkan Korkmaz,48,679,.180,17.9
655,Garrett Temple,75,2040,.217,13.2
141,Gary Clark,51,641,.046,10.9
284,Gary Harris,57,1639,.226,20.0
556,Gary Payton II,3,16,.000,23.8
673,Gary Trent Jr.,15,111,.140,21.7
307,George Hill,60,1302,.226,15.1
384,George King,1,6,,0.0
519,Georges Niang,59,516,.133,17.8
268,Gerald Green,73,1473,.118,19.5
19,Giannis Antetokounmpo,72,2358,.550,32.3
587,Glenn Robinson III,47,610,.227,15.0
194,Goran Dragić,36,991,.233,23.7
297,Gordon Hayward,72,1863,.294,19.1
184,Gorgui Dieng,76,1031,.281,19.6
9,Grayson Allen,38,416,.337,24.4
489,Greg Monroe,43,480,.381,22.6
722,Guerschon Yabusele,41,251,.286,17.5
183,Hamidou Diallo,51,526,.358,16.6
39,Harrison Barnes,77,2533,.271,20.9
254,Harry Giles,58,820,.261,23.2
703,Hassan Whiteside,72,1674,.357,22.6
305,Haywood Highsmith,5,40,.200,12.4
201,Henry Ellenson,19,259,.263,19.0
142,Ian Clark,60,973,.097,19.3
441,Ian Mahinmi,34,498,.587,12.9
18,Ike Anigbogu,3,6,.000,29.1
616,Iman Shumpert,62,1481,.101,14.5
69,Isaac Bonga,22,120,.455,15.7
327,Isaac Humphries,5,56,.000,15.2
82,Isaiah Briscoe,39,559,.188,14.1
112,Isaiah Canaan,30,629,.146,14.2
295,Isaiah Hartenstein,28,221,.341,11.8
303,Isaiah Hicks,3,32,.625,15.0
664,Isaiah Thomas,12,181,.273,30.4
631,Ish Smith,56,1251,.127,19.9
573,Ivan Rabb,49,721,.325,17.2
731,Ivica Zubac,59,1040,.332,20.3
38,J.J. Barea,38,752,.203,28.1
440,J.P. Macura,2,17,.000,22.8
632,J.R. Smith,11,222,.127,18.6
576,JJ Redick,76,2379,.248,21.9
598,JaKarr Sampson,4,127,.389,23.1
270,JaMychal Green,65,1371,.212,19.4
464,JaVale McGee,75,1671,.237,20.2
543,Jabari Parker,64,1724,.246,24.6
212,Jacob Evans,30,204,.019,13.5
162,Jae Crowder,80,2166,.247,19.1
533,Jahlil Okafor,59,935,.246,19.9
403,Jake Layman,71,1327,.167,15.9
560,Jakob Poeltl,77,1273,.317,13.1
92,Jalen Brunson,73,1591,.212,19.1
372,Jalen Jones,16,214,.435,16.7
157,Jamal Crawford,64,1211,.251,20.8
507,Jamal Murray,75,2447,.190,24.9
208,James Ennis III,58,1230,.276,12.7
280,James Harden,78,2867,.449,40.5
359,James Johnson,55,1164,.185,17.8
524,James Nunnally,15,102,.118,15.3
196,Jared Dudley,59,1220,.192,10.4
659,Jared Terrell,14,111,.154,19.6
449,Jarell Martin,42,328,.106,15.9
341,Jaren Jackson Jr.,58,1515,.334,22.8
64,Jaron Blossomgame,27,439,.123,12.2
683,Jarred Vanderbilt,17,69,.526,19.4
10,Jarrett Allen,80,2096,.489,15.9
633,Jason Smith,20,190,.271,17.5
213,Jawun Evans,8,65,.000,13.2
2,Jaylen Adams,34,428,.082,13.5
88,Jaylen Brown,74,1913,.255,22.2
497,Jaylen Morris,4,29,.200,17.2
653,Jayson Tatum,79,2455,.220,22.2
273,Jeff Green,77,2097,.300,17.8
654,Jeff Teague,42,1264,.368,19.3
373,Jemerrio Jones,6,143,.061,11.3
263,Jerami Grant,80,2612,.269,15.4
401,Jeremy Lamb,79,2250,.266,22.5
417,Jeremy Lin,74,1436,.388,21.8
264,Jerian Grant,60,939,.182,13.4
588,Jerome Robinson,33,320,.082,16.7
45,Jerryd Bayless,34,657,.122,17.6
118,Jevon Carter,39,577,.173,18.0
235,Jimmer Fredette,6,65,.207,24.2
106,Jimmy Butler,65,2185,.404,22.3
520,Joakim Noah,42,693,.512,20.0
470,Jodie Meeks,8,104,.026,17.1
136,Joe Chealey,1,8,.000,16.2
285,Joe Harris,76,2293,.178,17.0
333,Joe Ingles,82,2568,.153,17.5
207,Joel Embiid,64,2154,.541,33.3
144,John Collins,61,1829,.320,23.7
298,John Henson,14,188,.149,18.6
316,John Holland,1,1,,0.0
350,John Jenkins,26,333,.171,15.7
692,John Wall,32,1104,.317,28.8
505,Johnathan Motley,22,156,.548,28.8
707,Johnathan Williams,24,372,.436,16.4
414,Jon Leuer,41,402,.274,16.1
68,Jonah Bolden,44,639,.167,13.8
353,Jonas Jerebko,73,1218,.225,15.2
680,Jonas Valančiūnas,49,1091,.344,28.5
337,Jonathan Isaac,75,1996,.221,16.3
622,Jonathon Simmons,56,1064,.277,18.7
53,Jordan Bell,68,788,.214,13.7
143,Jordan Clarkson,81,2214,.163,27.6
427,Jordan Loyd,12,55,.611,19.4
469,Jordan McRae,27,333,.269,20.4
620,Jordan Sibert,1,4,.000,10.2
294,Josh Hart,67,1715,.172,13.5
342,Josh Jackson,79,1988,.253,23.9
535,Josh Okogie,74,1757,.319,15.4
580,Josh Richardson,73,2539,.225,20.9
110,José Calderón,49,632,.092,10.9
312,Jrue Holiday,67,2402,.234,25.4
300,Juancho Hernangómez,70,1358,.274,12.2
697,Julian Washburn,18,254,.083,10.0
575,Julius Randle,73,2232,.447,27.8
13,Justin Anderson,48,463,.223,17.2
313,Justin Holiday,82,2607,.136,15.7
343,Justin Jackson,81,1614,.163,14.3
549,Justin Patton,3,21,.286,15.7
714,Justise Winslow,66,1959,.183,20.8
528,Jusuf Nurkić,72,1974,.442,24.7
11,Kadeem Allen,19,416,.383,19.6
428,Kalin Lucas,1,6,2.000,13.5
672,Karl-Anthony Towns,77,2545,.342,28.9
412,Kawhi Leonard,60,2040,.377,30.3
43,Keita Bates-Diop,30,503,.197,14.1
537,Kelly Olynyk,79,1812,.328,18.0
539,Kelly Oubre Jr.,69,1935,.290,23.2
690,Kemba Walker,82,2863,.267,31.5
219,Kenneth Faried,37,728,.374,20.3
708,Kenrich Williams,46,1079,.068,12.3
47,Kent Bazemore,67,1643,.253,22.0
111,Kentavious Caldwell-Pope,82,2035,.209,18.1
198,Kevin Durant,78,2702,.366,29.0
325,Kevin Huerter,75,2048,.085,15.7
389,Kevin Knox,75,2158,.247,22.3
425,Kevin Love,22,598,.403,27.4
422,Kevon Looney,80,1481,.303,12.8
59,Khem Birch,50,643,.550,14.1
474,Khris Middleton,77,2393,.225,25.1
665,Khyri Thomas,26,195,.159,17.2
667,Klay Thompson,78,2652,.113,25.6
625,Kobi Simmons,1,2,,0.0
395,Kosta Koufos,42,502,.157,15.7
20,Kostas Antetokounmpo,2,11,1.333,22.5
197,Kris Dunn,46,1389,.136,20.1
14,Kyle Anderson,43,1281,.232,12.6
392,Kyle Korver,70,1334,.151,18.5
397,Kyle Kuzma,70,2314,.230,23.8
426,Kyle Lowry,65,2213,.263,19.6
531,Kyle O'Quinn,45,371,.154,20.8
336,Kyrie Irving,67,2214,.197,29.7
7,LaMarcus Aldridge,81,2687,.312,26.9
648,Lance Stephenson,68,1123,.169,20.3
666,Lance Thomas,46,783,.183,12.9
613,Landry Shamet,79,1802,.167,15.0
242,Langston Galloway,80,1745,.164,16.1
516,Larry Nance Jr.,67,1795,.280,15.5
448,Lauri Markkanen,52,1682,.245,25.1
347,LeBron James,55,1937,.382,31.6
691,Lonnie Walker IV,17,118,.217,20.3
36,Lonzo Ball,47,1423,.105,16.9
89,Lorenzo Brown,26,212,.042,17.9
709,Lou Williams,75,1993,.426,32.4
456,Luc Mbah a Moute,4,61,.278,15.4
188,Luka Dončić,72,2318,.409,30.5
381,Luke Kennard,63,1437,.117,18.1
391,Luke Kornet,46,784,.163,17.9
179,Luol Deng,22,392,.297,15.8
581,Malachi Richardson,22,103,.172,16.4
84,Malcolm Brogdon,64,1832,.203,20.7
479,Malcolm Miller,10,67,.154,18.5
50,Malik Beasley,81,1879,.090,18.7
488,Malik Monk,73,1258,.174,24.6
86,MarShon Brooks,29,387,.195,23.6
245,Marc Gasol,79,2436,.291,20.7
260,Marcin Gortat,47,751,.258,14.4
52,Marco Belinelli,79,1815,.180,19.8
181,Marcus Derrickson,11,67,.152,24.4
499,Marcus Morris,75,2091,.205,20.9
627,Marcus Smart,80,2200,.228,14.7
302,Mario Hezonja,58,1206,.246,21.3
240,Markelle Fultz,19,427,.239,19.3
500,Markieff Morris,58,1270,.190,19.1
138,Marquese Chriss,43,499,.250,20.6
31,Marvin Bagley III,62,1567,.371,24.2
710,Marvin Williams,75,2133,.132,14.9
558,Mason Plumlee,82,1731,.448,16.2
176,Matthew Dellavedova,48,812,.215,17.9
281,Maurice Harkless,60,1415,.188,13.9
385,Maxi Kleber,71,1502,.192,13.5
231,Melvin Frazier,10,44,.190,23.5
413,Meyers Leonard,61,878,.211,14.8
51,Michael Beasley,26,277,.255,29.5
121,Michael Carter-Williams,28,372,.431,19.4
383,Michael Kidd-Gilchrist,64,1179,.370,15.7
80,Mikal Bridges,82,2417,.210,12.2
148,Mike Conley,70,2342,.363,27.3
509,Mike Muscala,64,1306,.235,14.3
605,Mike Scott,79,1395,.079,14.4
81,Miles Bridges,80,1696,.151,15.1
559,Miles Plumlee,18,173,.625,16.7
658,Miloš Teodosić,15,150,.175,18.0
158,Mitch Creek,5,48,.438,17.6
589,Mitchell Robinson,66,1360,.464,12.1
37,Mo Bamba,47,766,.259,17.8
503,Monte Morris,82,1970,.115,17.1
282,Montrezl Harrell,82,2158,.466,23.5
688,Moritz Wagner,43,446,.310,21.7
677,Myles Turner,74,2119,.258,20.0
487,Naz Mitrou-Long,14,84,.100,14.7
61,Nemanja Bjelica,77,1788,.155,16.5
306,Nenê,42,546,.405,11.7
521,Nerlens Noel,77,1055,.286,13.8
723,Nick Young,4,37,.000,12.7
44,Nicolas Batum,75,2354,.158,13.2
644,Nik Stauskas,68,1015,.189,17.6
369,Nikola Jokić,80,2504,.292,27.4
483,Nikola Mirotić,46,1245,.229,21.4
686,Nikola Vučević,80,2510,.168,28.0
685,Noah Vonleh,68,1722,.355,14.8
569,Norman Powell,60,1126,.188,19.0
23,OG Anunoby,67,1352,.153,15.5
702,Okaro White,3,6,.000,14.1
643,Omari Spellman,46,805,.184,14.9
125,Omri Casspi,36,520,.360,18.0
562,Otto Porter Jr.,56,1683,.149,19.1
675,P.J. Tucker,82,2802,.113,9.5
193,PJ Dozier,6,51,.095,18.6
619,Pascal Siakam,80,2548,.320,20.8
149,Pat Connaughton,61,1261,.114,13.3
58,Patrick Beverley,78,2137,.258,12.2
458,Patrick McCaw,29,397,.238,9.4
548,Patrick Patterson,63,861,.137,12.0
480,Patty Mills,82,1908,.155,18.5
248,Pau Gasol,30,360,.426,15.6
252,Paul George,77,2841,.335,29.5
481,Paul Millsap,70,1895,.374,19.6
22,Player,G,MP,FTr,USG%
1,Quincy Acy,10,123,.556,9.2
561,Quincy Pondexter,53,292,.724,13.5
150,Quinn Cook,74,1059,.059,20.2
328,R.J. Hunter,1,26,.154,23.1
590,Rajon Rondo,46,1369,.083,17.4
518,Raul Neto,37,474,.205,19.0
8,Rawle Alkins,10,120,.308,19.0
639,Ray Spalding,14,148,.255,17.8
224,Raymond Felton,33,379,.096,16.6
94,Reggie Bullock,63,1879,.143,15.8
346,Reggie Jackson,82,2289,.225,24.5
318,Richaun Holmes,70,1184,.479,17.9
594,Ricky Rubio,68,1899,.312,22.7
152,Robert Covington,35,1203,.246,15.6
711,Robert Williams,32,283,.294,10.3
424,Robin Lopez,74,1606,.230,18.6
396,Rodions Kurucs,63,1294,.205,18.4
319,Rodney Hood,72,1893,.231,18.1
465,Rodney McGruder,66,1550,.156,15.4
32,Ron Baker,15,152,.300,7.8
317,Rondae Hollis-Jefferson,59,1234,.376,21.6
530,Royce O'Neale,82,1671,.122,11.0
251,Rudy Gay,69,1842,.197,22.1
256,Rudy Gobert,81,2577,.733,17.8
700,Russell Westbrook,73,2630,.306,30.9
15,Ryan Anderson,25,322,.232,12.0
24,Ryan Arcidiacono,81,1961,.244,11.7
83,Ryan Broekhoff,42,453,.151,14.3
471,Salah Mejri,36,399,.286,15.8
172,Sam Dekker,47,788,.180,16.2
434,Scott Machado,4,19,.167,14.0
532,Semi Ojeleye,56,594,.247,14.1
330,Serge Ibaka,74,2010,.202,22.9
164,Seth Curry,74,1399,.112,16.6
517,Shabazz Napier,56,983,.317,24.0
255,Shai Gilgeous-Alexander,82,2174,.272,18.3
482,Shake Milton,20,268,.080,15.0
293,Shaquille Harrison,73,1430,.289,16.5
420,Shaun Livingston,64,967,.243,12.0
435,Shelvin Mack,57,1246,.208,18.1
669,Sindarius Thornwell,64,313,.694,11.3
398,Skal Labissière,22,176,.347,16.0
310,Solomon Hill,44,878,.180,10.4
185,Spencer Dinwiddie,68,1914,.430,24.9
360,Stanley Johnson,66,1208,.145,19.4
165,Stephen Curry,69,2331,.214,30.4
90,Sterling Brown,58,1034,.135,15.2
3,Steven Adams,80,2669,.361,16.4
512,Svi Mykhailiuk,42,440,.143,16.0
404,T.J. Leaf,58,522,.169,17.5
462,T.J. McConnell,76,1470,.088,15.0
696,T.J. Warren,43,1360,.203,22.7
457,Tahjere McCall,1,8,.333,18.1
253,Taj Gibson,70,1686,.330,17.2
571,Taurean Prince,55,1552,.195,19.5
225,Terrance Ferguson,74,1931,.118,10.6
