,Player,G,MP,USG%
350,Aaron McKie,68,1118,7.1
586,Aaron Williams,42,315,12.9
186,Adonal Foyle,78,1700,10.4
214,Adrian Griffin,69,667,14.1
226,Al Harrington,66,2550,23.6
284,Al Jefferson,71,1051,21.2
239,Alan Henderson,78,1203,11.3
443,Aleksandar Radojević,12,128,13.8
196,Alex Garcia,8,146,19.7
249,Allan Houston,20,532,21.0
264,Allen Iverson,75,3174,35.0
375,Alonzo Mourning,37,702,22.1
506,Amar'e Stoudemire,80,2889,28.3
546,Anderson Varejão,54,863,14.4
38,Andre Barrett,38,483,15.0
174,Andre Emmett,8,28,15.5
261,Andre Iguodala,82,2686,12.8
358,Andre Miller,82,2852,19.5
308,Andrei Kirilenko,41,1349,21.3
147,Andrew DeClercq,8,49,10.1
52,Andris Biedriņš,30,384,12.4
395,Andrés Nocioni,81,1892,19.7
224,Anfernee Hardaway,37,894,16.9
477,Ansu Sesay,16,128,20.9
282,Antawn Jamison,68,2605,24.1
103,Anthony Carter,66,742,16.4
206,Anthony Goldwire,33,537,14.0
290,Anthony Johnson,63,1747,16.5
359,Anthony Miller,2,9,19.9
422,Anthony Peeler,40,529,15.4
555,Antoine Walker,77,2955,27.2
89,Antonio Burks,24,219,17.3
134,Antonio Daniels,75,2026,19.0
138,Antonio Davis,72,1843,14.1
347,Antonio McDyess,77,1797,20.3
129,Austin Croshere,73,1827,18.7
504,Awvee Storey,9,32,16.0
139,Baron Davis,46,1581,28.2
210,Ben Gordon,82,2002,30.4
223,Ben Handlogten,21,297,16.8
559,Ben Wallace,74,2671,15.2
540,Beno Udrih,80,1149,20.5
454,Bernard Robinson,31,328,15.2
522,Billy Thomas,25,356,14.1
408,Bo Outlaw,39,214,9.4
510,Bob Sura,61,1922,18.0
266,Bobby Jackson,25,536,25.6
480,Bobby Simmons,75,2799,21.0
569,Bonzi Wells,69,1489,25.0
151,Boris Diaw,66,1201,15.5
383,Boštjan Nachbar,71,1341,18.6
360,Brad Miller,56,2089,17.4
310,Brandin Knight,1,3,15.7
257,Brandon Hunter,31,224,21.9
238,Brendan Haywood,68,1865,14.9
41,Brent Barry,81,1742,15.6
311,Brevin Knight,66,1944,18.7
100,Brian Cardinal,58,1433,19.6
126,Brian Cook,72,1087,19.4
211,Brian Grant,69,1136,11.4
476,Brian Scalabrine,54,1167,17.2
481,Brian Skinner,49,941,13.0
289,Britton Johnsen,6,87,13.8
66,Bruce Bowen,82,2627,12.5
509,Bruno Šundov,21,73,27.4
472,Bryon Russell,70,1026,14.0
111,Calbert Cheaney,55,951,14.7
60,Calvin Booth,51,451,13.8
23,Carlos Arroyo,70,1448,19.3
63,Carlos Boozer,51,1772,24.6
148,Carlos Delfino,30,459,16.1
16,Carmelo Anthony,75,2608,29.2
90,Caron Butler,77,2746,20.7
274,Casey Jacobsen,84,1798,14.2
563,Charlie Ward,14,360,13.2
53,Chauncey Billups,80,2866,20.7
8,Chris Andersen,67,1430,16.4
65,Chris Bosh,81,3017,21.7
162,Chris Duhon,82,2177,13.1
302,Chris Kaman,63,1632,18.8
354,Chris Mihm,75,1870,18.8
566,Chris Webber,67,2370,29.3
583,Chris Wilcox,54,1005,21.6
316,Christian Laettner,49,739,15.1
26,Chucky Atkins,82,2903,17.9
565,Clarence Weatherspoon,40,525,13.0
455,Clifford Robinson,71,1689,16.9
331,Corey Maggette,66,2436,27.9
597,Corliss Williamson,72,1527,22.6
168,Corsley Edwards,10,110,16.2
1,Cory Alexander,16,201,16.2
64,Curtis Borchardt,67,859,13.7
364,Cuttino Mobley,66,2388,21.4
263,D.J. Mbenga,15,58,16.0
295,Dahntay Jones,52,649,18.0
554,Dajuan Wagner,11,102,29.1
142,Dale Davis,61,1307,11.3
584,Damien Wilkins,29,520,17.7
296,Damon Jones,82,2576,15.6
505,Damon Stoudamire,81,2762,23.6
78,Damone Brown,14,152,23.3
152,Dan Dickau,71,2090,22.3
192,Dan Gadzuric,81,1783,15.8
475,Daniel Santiago,11,105,12.9
183,Danny Fortson,62,1047,19.0
356,Darius Miles,63,1699,25.7
497,Darius Songaila,81,1668,16.2
357,Darko Miličić,37,254,19.0
20,Darrell Armstrong,66,988,17.3
338,Darrick Martin,11,190,14.5
220,Darvin Ham,47,275,10.0
231,David Harrison,43,760,17.5
574,David Wesley,80,2774,17.5
577,David West,30,552,19.4
156,DeSagana Diop,39,306,12.3
501,DeShawn Stevenson,55,1089,21.1
578,Delonte West,39,507,17.0
291,DerMarr Johnson,71,1232,17.4
9,Derek Anderson,47,1239,18.5
178,Derek Fisher,74,2222,19.4
121,Derrick Coleman,5,50,16.3
341,Desmond Mason,80,2893,23.2
200,Devean George,15,306,18.4
79,Devin Brown,67,1238,19.5
229,Devin Harris,76,1173,18.8
381,Dikembe Mutombo,80,1212,12.9
205,Dion Glover,7,68,19.4
399,Dirk Nowitzki,78,3020,28.7
233,Donnell Harvey,3,16,14.0
485,Donta Smith,38,433,16.5
337,Donyell Marshall,65,1645,18.7
605,Dorell Wright,3,27,24.9
114,Doug Christie,52,1525,13.6
209,Drew Gooden,82,2523,21.7
250,Dwight Howard,82,2670,16.7
553,Dwyane Wade,77,2974,30.9
68,Earl Boykins,82,2162,22.2
564,Earl Watson,80,1808,20.4
201,Eddie Gill,73,1021,15.8
215,Eddie Griffin,70,1492,19.0
245,Eddie House,68,891,20.6
297,Eddie Jones,80,2839,16.6
130,Eddy Curry,63,1808,25.5
388,Eduardo Nájera,68,1185,15.8
97,Elden Campbell,40,390,21.2
75,Elton Brand,81,3001,25.4
403,Emeka Okafor,73,2600,21.8
429,Eric Piatkowski,68,841,17.0
495,Eric Snow,81,1844,11.1
589,Eric Williams,55,1322,16.2
133,Erick Dampier,59,1609,15.8
507,Erick Strickland,62,1014,17.8
135,Erik Daniels,21,72,14.8
292,Ervin Johnson,46,410,9.4
523,Etan Thomas,47,976,16.5
172,Francisco Elson,67,939,13.8
592,Frank Williams,9,71,14.5
243,Fred Hoiberg,76,1272,12.7
298,Fred Jones,77,2268,18.0
421,Gary Payton,77,2541,17.0
101,Geno Carlisle,6,16,19.1
329,George Lynch,44,933,12.8
560,Gerald Wallace,70,2147,19.1
18,Gilbert Arenas,80,3274,27.3
458,Glenn Robinson,9,157,27.9
204,Gordan Giriček,81,1660,21.7
241,Grant Hill,67,2338,24.8
87,Greg Buckner,70,1522,11.4
407,Greg Ostertag,56,556,10.0
478,Ha Seung-Jin,19,104,17.6
539,Hedo Türkoğlu,67,1757,24.8
288,Horace Jenkins,15,104,26.1
170,Howard Eisley,74,1428,17.8
315,Ibo Kutluay,5,12,11.6
394,Ira Newble,74,1832,12.7
486,J.R. Smith,76,1859,23.2
487,Jabari Smith,45,648,15.3
91,Jackie Butler,3,5,53.7
549,Jackson Vroman,46,705,19.4
547,Jacque Vaughn,71,1410,14.2
579,Jahidi White,17,135,19.6
535,Jake Tsakalidis,31,278,14.2
548,Jake Voskuhl,38,360,11.6
463,Jalen Rose,81,2710,25.5
333,Jamaal Magloire,23,703,22.5
533,Jamaal Tinsley,40,1301,26.8
128,Jamal Crawford,70,2688,22.8
474,Jamal Sampson,23,329,13.0
392,Jameer Nelson,79,1612,21.4
299,James Jones,75,1330,14.0
436,James Posey,50,1382,16.2
524,James Thomas,11,117,11.6
76,Jamison Brewer,18,185,13.7
414,Jannero Pargo,32,453,26.5
287,Jared Jeffries,77,2007,13.6
450,Jared Reiner,19,132,13.8
123,Jarron Collins,50,961,11.7
237,Jarvis Hayes,54,1560,18.0
122,Jason Collier,70,942,22.4
124,Jason Collins,80,2542,11.7
232,Jason Hart,74,1887,17.9
303,Jason Kapono,81,1491,22.4
306,Jason Kidd,66,2435,21.3
451,Jason Richardson,72,2724,27.1
521,Jason Terry,80,2401,18.0
593,Jason Williams,71,1952,19.8
184,Jeff Foster,61,1594,13.3
349,Jeff McInnis,76,2651,18.8
346,Jelani McCoy,10,88,10.8
267,Jermaine Jackson,21,230,9.7
400,Jermaine O'Neal,44,1530,36.2
277,Jerome James,80,1330,15.9
594,Jerome Williams,79,1211,14.5
500,Jerry Stackhouse,56,1617,24.9
268,Jim Jackson,64,1987,16.5
571,Jiří Welsch,71,1317,17.7
293,Joe Johnson,82,3240,19.0
488,Joe Smith,74,2265,16.1
441,Joel Przybilla,76,1858,12.6
169,John Edwards,25,139,15.2
473,John Salmons,58,993,12.6
527,John Thomas,44,521,11.1
42,Jon Barry,69,1505,14.4
49,Jonathan Bender,7,93,27.1
113,Josh Childress,80,2376,16.0
145,Josh Davis,42,328,18.0
251,Josh Howard,76,2446,18.6
490,Josh Smith,74,2050,18.4
158,Juan Dixon,63,1054,23.1
300,Jumaine Jones,76,1830,14.0
227,Junior Harrington,29,550,19.8
449,Justin Reed,23,121,15.1
252,Juwan Howard,61,1624,19.5
370,Jérôme Moïso,20,120,11.7
155,Kaniel Dickens,11,61,13.0
469,Kareem Rush,48,968,21.7
80,Kedrick Brown,8,55,12.4
57,Keith Bogans,74,1791,22.0
351,Keith McLeod,53,1382,19.0
543,Keith Van Horn,62,1502,21.5
108,Kelvin Cato,62,1525,12.1
202,Kendall Gill,14,284,15.7
424,Kendrick Perkins,60,548,15.4
10,Kenny Anderson,43,743,16.1
528,Kenny Thomas,73,2167,20.7
339,Kenyon Martin,70,2272,23.4
