,Player,GS,FG,FGA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
242,A.J. Price,22,2.8,7.2,1.1,0.4,1.6,3.6,0.6,0.1,1.1,1.3
258,Aaron Brooks,20,2.7,6.0,1.0,0.2,1.3,2.2,0.6,0.2,1.3,1.8
485,Aaron Gray,16,1.1,2.1,1.0,1.1,2.0,0.8,0.2,0.1,0.9,2.0
353,Al Harrington,0,2.0,5.7,0.4,0.6,2.1,1.0,0.4,0.1,0.7,1.8
33,Al Horford,74,7.8,14.3,2.8,2.6,7.6,3.2,1.1,1.1,2.0,2.2
27,Al Jefferson,78,7.8,15.8,2.8,2.0,7.2,2.1,1.0,1.1,1.3,2.2
249,Al-Farouq Aminu,71,3.0,6.2,1.8,1.8,5.9,1.4,1.2,0.7,1.5,2.0
148,Alan Anderson,2,3.6,9.5,2.3,0.5,1.8,1.6,0.7,0.1,1.2,2.0
262,Alec Burks,0,2.5,6.1,2.0,0.6,1.7,1.4,0.5,0.2,1.2,1.8
206,Alexey Shved,16,3.1,8.2,1.9,0.5,1.7,3.7,0.7,0.4,1.9,1.5
169,Alonzo Gee,82,3.7,9.1,2.5,0.9,3.0,1.6,1.3,0.4,1.6,2.4
72,Amar'e Stoudemire,0,5.3,9.2,4.5,2.1,2.9,0.4,0.3,0.7,1.7,3.1
174,Amir Johnson,38,4.1,7.5,2.3,2.8,4.7,1.5,1.0,1.4,1.4,3.7
78,Anderson Varejão,25,5.5,11.6,4.1,5.5,8.9,3.4,1.5,0.6,1.8,2.7
168,Andray Blatche,8,4.2,8.2,2.6,2.0,3.1,1.0,1.0,0.7,1.5,2.0
227,Andre Drummond,10,3.5,5.7,2.7,2.8,4.8,0.5,1.0,1.6,1.0,2.4
98,Andre Iguodala,80,5.0,11.0,3.4,1.0,4.3,5.4,1.7,0.7,2.6,1.6
181,Andre Miller,11,3.7,7.7,2.4,0.7,2.2,5.9,0.9,0.1,2.1,1.9
103,Andrea Bargnani,25,4.9,12.2,2.2,0.7,2.9,1.1,0.6,0.7,1.5,1.8
110,Andrei Kirilenko,64,4.4,8.8,3.9,1.6,4.1,2.8,1.5,1.0,1.9,1.3
317,Andrew Bogut,32,2.6,5.8,1.2,2.1,5.5,2.1,0.6,1.7,1.1,2.7
596,Andrew Goudelock,0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
233,Andrew Nicholson,28,3.4,6.5,1.3,0.9,2.5,0.6,0.3,0.4,1.1,1.8
591,Andris Biedriņš,9,0.2,0.4,0.2,0.6,2.2,0.3,0.3,0.8,0.3,1.9
186,Antawn Jamison,6,3.5,7.6,1.8,1.4,3.3,0.7,0.4,0.3,0.7,1.6
88,Anthony Davis,60,5.5,10.6,3.5,2.6,5.6,1.0,1.2,1.8,1.4,2.5
403,Anthony Morrow,1,1.6,3.5,0.5,0.3,0.5,0.3,0.3,0.0,0.2,1.0
432,Anthony Randolph,0,1.4,2.9,1.2,0.7,1.7,0.3,0.5,0.5,0.9,1.1
402,Anthony Tolliver,11,1.3,3.5,0.8,0.5,2.0,0.5,0.2,0.2,0.6,1.1
431,Arnett Moultrie,0,1.7,2.9,0.6,1.6,1.5,0.2,0.4,0.2,0.4,0.9
489,Aron Baynes,0,1.1,2.3,0.8,0.8,1.3,0.3,0.1,0.4,0.7,1.4
44,Arron Afflalo,64,6.2,14.1,3.5,0.5,3.3,3.2,0.6,0.2,2.2,2.1
386,Austin Daye,0,1.6,3.8,0.6,0.3,1.9,0.8,0.3,0.4,0.5,1.5
300,Austin Rivers,26,2.4,6.4,1.8,0.3,1.5,2.1,0.4,0.1,1.2,2.0
189,Avery Bradley,50,3.8,9.6,1.0,0.6,1.6,2.1,1.3,0.4,1.4,2.6
134,Ben Gordon,0,4.1,10.1,1.7,0.2,1.5,1.9,0.5,0.2,1.8,1.8
530,Ben Hansbrough,0,0.5,1.6,1.0,0.1,0.6,0.8,0.3,0.1,0.6,0.8
215,Beno Udrih,9,3.2,7.2,1.6,0.5,1.6,4.6,0.6,0.0,1.6,1.4
486,Bernard James,11,1.2,2.2,0.9,1.1,1.7,0.1,0.3,0.8,0.4,1.4
366,Bismack Biyombo,65,2.0,4.3,1.8,2.4,4.9,0.4,0.4,1.8,1.0,2.4
25,Blake Griffin,80,7.2,13.4,5.3,2.3,6.0,3.7,1.2,0.6,2.3,2.9
318,Boris Diaw,20,2.4,4.4,0.9,0.9,2.5,2.4,0.7,0.4,1.1,1.9
81,Bradley Beal,46,5.0,12.3,2.8,0.8,3.0,2.4,0.9,0.5,1.6,2.0
208,Brandan Wright,16,3.8,6.3,1.5,1.3,2.7,0.6,0.4,1.2,0.5,1.2
200,Brandon Bass,69,3.5,7.3,1.9,1.6,3.7,1.0,0.5,0.8,1.0,2.3
30,Brandon Jennings,80,6.2,15.6,3.5,0.7,2.3,6.5,1.6,0.1,2.5,1.9
91,Brandon Knight,75,4.8,11.7,3.0,0.7,2.6,4.0,0.8,0.1,2.7,2.1
320,Brandon Roy,5,2.2,7.0,2.0,0.6,2.2,4.6,0.6,0.0,1.4,1.0
265,Brandon Rush,0,3.0,4.5,1.5,0.0,0.5,1.0,0.0,0.0,1.5,2.5
438,Brendan Haywood,17,1.5,3.5,1.1,2.0,2.7,0.5,0.3,0.8,0.8,2.0
261,Brian Roberts,5,2.7,6.6,1.0,0.2,1.0,2.8,0.5,0.0,0.9,1.4
11,Brook Lopez,74,7.7,14.8,5.3,2.8,4.1,0.9,0.4,2.1,1.8,2.1
151,Byron Mullens,41,4.1,10.6,1.9,1.3,5.0,1.5,0.6,0.6,1.4,2.1
135,C.J. Miles,13,3.9,9.4,1.6,0.4,2.3,1.0,0.8,0.3,1.1,2.1
277,C.J. Watson,8,2.4,5.7,1.1,0.5,1.3,2.0,0.8,0.2,0.9,1.5
147,Carl Landry,2,4.0,7.4,3.4,2.2,3.7,0.8,0.4,0.4,1.4,2.3
50,Carlos Boozer,79,6.9,14.4,3.3,2.2,7.5,2.3,0.8,0.4,2.2,3.0
150,Carlos Delfino,5,3.7,9.3,0.8,0.3,3.0,2.0,1.0,0.1,1.1,1.7
0,Carmelo Anthony,67,10.0,22.2,7.6,2.0,4.9,2.6,0.8,0.5,2.6,3.1
164,Caron Butler,78,3.9,9.2,1.2,0.5,2.3,1.0,0.7,0.1,0.9,1.8
284,Cartier Martin,3,2.3,6.1,0.7,0.3,2.2,0.5,0.5,0.1,0.8,1.4
54,Chandler Parsons,76,6.0,12.4,2.0,1.0,4.3,3.5,1.0,0.4,1.9,1.9
534,Charles Jenkins,1,0.8,2.1,0.4,0.1,0.4,0.7,0.3,0.0,0.4,0.4
276,Charlie Villanueva,0,2.5,6.7,0.7,0.7,2.8,0.8,0.4,0.6,0.6,1.4
184,Chase Budinger,1,3.4,8.3,1.8,0.7,2.4,1.1,0.6,0.3,1.0,1.3
210,Chauncey Billups,22,2.4,6.0,2.2,0.1,1.4,2.2,0.5,0.0,1.2,1.1
363,Chris Andersen,0,1.7,2.9,2.2,1.4,2.7,0.4,0.4,1.0,0.6,2.1
42,Chris Bosh,74,6.6,12.3,4.1,1.8,5.0,1.7,0.9,1.4,1.7,2.3
202,Chris Copeland,13,3.3,6.8,1.5,0.6,1.5,0.5,0.3,0.2,0.9,1.9
484,Chris Douglas-Roberts,0,0.8,2.3,1.7,0.0,0.8,0.7,0.3,0.0,0.2,0.7
470,Chris Duhon,9,1.0,2.7,0.3,0.2,1.2,2.9,0.4,0.0,0.9,1.2
420,Chris Johnson,0,1.6,2.5,1.1,0.7,1.3,0.3,0.2,0.9,0.4,1.6
156,Chris Kaman,52,4.7,9.3,1.3,1.5,4.2,0.8,0.4,0.8,1.6,2.1
39,Chris Paul,70,5.9,12.2,4.6,0.8,3.0,9.7,2.4,0.1,2.3,2.0
552,Chris Quinn,0,0.6,2.3,0.3,0.1,0.1,1.3,0.4,0.0,0.9,0.6
401,Chris Singleton,11,1.6,4.2,1.2,0.9,2.3,0.6,0.7,0.4,0.8,2.2
399,Chris Wilcox,7,1.8,2.5,1.0,0.9,2.0,0.4,0.5,0.5,0.6,2.0
586,Chris Wright,0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
490,Chuck Hayes,1,1.1,2.6,0.6,1.5,2.5,1.5,0.4,0.2,0.6,1.5
512,Cole Aldrich,0,1.0,1.8,0.4,0.7,2.0,0.2,0.1,0.5,0.5,1.3
111,Corey Brewer,2,4.6,10.8,2.6,0.7,2.2,1.5,1.4,0.3,1.2,1.9
345,Corey Maggette,0,1.5,4.2,2.7,0.3,1.1,1.1,0.3,0.1,0.9,2.3
509,Cory Higgins,0,1.0,3.2,0.3,0.2,0.3,0.8,0.5,0.0,0.0,0.8
391,Cory Joseph,9,1.8,3.9,0.8,0.4,1.4,1.9,0.5,0.1,0.8,0.9
231,Courtney Lee,39,3.2,6.8,0.9,0.4,2.0,1.8,1.1,0.3,1.1,1.8
372,D.J. Augustin,5,1.4,3.9,1.3,0.3,0.9,2.2,0.4,0.0,0.9,0.8
508,D.J. White,0,1.0,1.9,0.8,0.3,0.8,0.3,0.1,0.5,0.2,0.4
572,DaJuan Summers,0,0.5,2.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0
477,Daequan Cook,1,1.0,3.4,0.2,0.1,1.1,0.4,0.2,0.1,0.3,0.5
444,Dahntay Jones,19,1.1,2.8,1.4,0.3,1.0,0.6,0.3,0.1,0.5,1.5
