,PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH,PTS PER TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH,PTS PER PAINT TOUCH,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%,OREB,Contested OREB,Contested OREB%,OREB Chances,OREB Chance%,Deferred OREB Chances,Adjusted OREB Chance%,AVG OREB Distance,DREB,Contested DREB,Contested DREB%,DREB Chances,DREB Chance%,Deferred DREB Chances,Adjusted DREB Chance%,AVG DREB Distance,STL,BLK,DFGM,DFGA,DFG%
225,Thon Maker,MIL,57,31,26,9.9,4.0,15.5,7.5,0.4,1.53,0.33,0.257,1.0,0.2,1.8,0.276,0.538,0.713,0.3,0.1,0.2,60.0,0.0,0.0,50.0,93.3,0.0,6.7,0.0,6.7,0.0,6.7,0.0,6.7,0.2,60.0,1.6,35.5,0.1,50.0,1.3,49.1,0.1,28.6,0.3,58.3,53.6,1.0,0.6,57.5,2.1,46.0,0.0,46.0,7.2,1.8,0.6,33.8,4.0,45.4,0.6,53.2,5.6,0.2,0.5,1.3,2.3,56.4
226,Tiago Splitter,PHI,8,1,7,9.5,4.9,18.3,13.5,0.5,1.67,0.6,0.267,1.6,1.5,3.4,0.231,0.5,0.741,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,33.3,0.0,0.0,2.5,50.0,0.8,40.0,0.4,50.0,48.4,1.0,0.8,75.0,2.5,40.0,0.3,44.4,3.4,1.8,0.4,21.4,2.6,66.7,0.5,82.4,5.4,0.1,0.1,0.8,1.5,50.0
227,Timothe Luwawu-Cabarrot,PHI,69,23,46,17.2,6.4,23.2,15.8,0.8,1.94,1.27,0.278,0.4,0.0,1.0,0.88,0.0,0.735,3.3,0.6,1.4,43.8,0.6,0.7,84.8,55.3,0.9,27.9,0.3,8.8,0.3,8.4,0.3,10.2,1.8,43.8,2.1,31.4,0.1,14.8,0.7,51.4,0.0,0.0,0.3,60.0,47.1,0.4,0.2,44.0,2.0,22.1,0.1,22.9,10.7,2.2,0.5,22.6,4.5,48.8,0.4,53.0,6.3,0.5,0.1,0.9,1.6,59.8
228,Tobias Harris,DET,82,37,45,31.3,16.1,57.2,31.9,2.0,2.15,1.0,0.282,1.5,1.8,1.5,0.756,0.642,1.063,5.8,1.9,3.5,53.5,0.8,1.0,88.5,79.2,1.1,19.3,0.3,5.5,0.3,5.9,0.5,8.2,4.6,53.5,4.6,38.0,2.9,47.0,1.6,68.4,1.2,47.1,1.1,63.6,53.2,0.8,0.3,42.9,2.7,28.8,0.1,30.0,8.9,4.4,1.0,22.7,7.4,59.8,0.7,66.1,5.9,0.7,0.5,1.9,2.9,65.5
229,Tomas Satoransky,WAS,57,33,24,12.6,2.7,20.6,10.0,1.4,4.05,3.71,0.131,0.2,0.1,0.7,0.4,1.667,0.395,2.5,0.5,1.0,46.4,0.1,0.1,50.0,40.6,0.8,32.9,0.4,16.8,0.1,5.6,0.1,2.8,1.0,46.4,0.5,29.0,0.5,38.9,0.3,31.3,0.1,66.7,0.1,66.7,44.6,0.7,0.4,56.0,1.9,35.2,0.2,39.1,9.4,1.5,0.2,15.5,3.1,48.7,0.1,50.9,8.1,0.5,0.1,0.7,1.3,54.8
230,Tony Allen,MEM,71,36,35,27.0,9.1,35.6,21.1,1.7,2.95,2.24,0.255,1.0,0.3,4.8,0.623,0.522,0.775,3.1,0.7,1.6,42.6,0.2,0.3,60.0,51.4,0.8,26.4,0.2,6.8,0.3,8.6,0.1,4.5,1.6,42.6,1.0,31.4,0.1,14.3,3.7,49.6,0.2,46.2,0.6,50.0,47.3,2.3,1.6,69.9,6.0,38.9,0.2,40.1,6.3,3.2,0.7,20.9,5.0,63.6,0.4,68.6,7.3,1.6,0.4,1.1,1.7,63.9
231,Tony Snell,MIL,80,42,38,29.2,8.5,26.8,18.7,0.8,1.78,1.04,0.319,0.4,0.1,0.5,0.345,0.429,0.816,1.7,0.3,0.7,47.4,0.1,0.2,78.6,49.2,0.6,34.8,0.2,9.1,0.1,3.0,0.1,5.3,0.8,47.4,5.7,41.1,0.6,40.7,0.4,61.9,0.0,100.0,0.1,37.5,58.8,0.3,0.0,13.6,1.0,29.7,0.1,31.9,17.3,3.1,0.5,16.4,5.5,55.9,0.4,60.8,8.2,0.7,0.2,1.2,1.8,65.3
232,Treveon Graham,CHA,27,10,17,7.0,2.1,7.4,5.1,0.3,2.13,1.28,0.286,0.1,0.1,0.2,0.667,0.333,0.333,1.3,0.2,0.6,40.0,0.1,0.3,50.0,50.0,0.4,32.4,0.0,2.9,0.0,2.9,0.1,11.8,0.6,40.0,1.0,56.3,0.1,12.5,0.1,100.0,0.0,0.0,0.1,100.0,58.8,0.4,0.2,60.0,1.4,27.8,0.0,27.8,11.6,1.3,0.2,17.6,2.2,60.7,0.2,68.0,6.3,0.2,0.0,0.3,0.4,80.0
233,Trevor Ariza,HOU,80,53,27,34.7,11.7,44.0,28.7,1.3,1.79,0.87,0.266,0.8,0.2,1.3,0.841,0.143,0.757,4.2,0.5,1.2,43.6,0.4,0.5,72.5,34.3,1.9,44.6,0.6,15.1,0.2,4.5,0.3,6.0,1.4,43.6,6.3,35.6,1.2,28.7,1.0,68.5,0.0,33.3,0.7,77.4,52.8,0.7,0.3,40.7,2.6,26.1,0.1,27.0,12.3,5.1,1.3,25.2,8.2,62.0,0.6,66.9,6.4,1.8,0.3,1.9,2.6,72.7
234,Trevor Booker,BKN,70,18,52,24.8,10.0,58.1,30.7,1.9,1.93,1.0,0.172,2.4,3.0,4.3,0.494,0.405,0.698,3.0,0.7,1.4,49.0,0.2,0.4,65.4,56.3,1.0,32.7,0.1,3.8,0.2,7.7,0.2,6.3,1.7,49.0,1.1,34.1,0.8,33.8,3.0,57.8,1.2,46.0,1.2,56.5,53.5,2.0,1.4,67.4,5.4,37.3,0.1,37.8,6.5,6.1,1.5,25.2,9.4,64.7,0.7,69.9,5.1,1.1,0.4,1.6,2.7,60.1
235,Trey Lyles,UTA,71,43,28,16.3,6.2,32.2,20.9,1.0,1.86,0.75,0.192,0.7,1.0,0.9,0.34,0.211,0.734,3.0,0.5,1.4,37.3,0.3,0.5,68.8,46.5,0.8,25.1,0.2,6.0,0.4,13.0,0.2,7.4,1.4,37.3,2.8,33.7,0.7,27.5,0.7,48.7,0.2,25.0,0.2,42.1,43.6,0.8,0.5,64.6,2.1,36.1,0.1,37.5,8.2,2.9,0.6,19.8,5.6,51.8,0.5,57.0,5.3,0.4,0.3,1.2,2.2,56.9
