,PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH,PTS PER TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH,PTS PER PAINT TOUCH,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%,OREB,Contested OREB,Contested OREB%,OREB Chances,OREB Chance%,Deferred OREB Chances,Adjusted OREB Chance%,AVG OREB Distance,DREB,Contested DREB,Contested DREB%,DREB Chances,DREB Chance%,Deferred DREB Chances,Adjusted DREB Chance%,AVG DREB Distance,STL,BLK,DFGM,DFGA,DFG%
0,Aaron Gordon,ORL,77,32,45,24.1,9.3,38.5,19.3,1.2,1.92,1.08,0.243,1.1,0.6,3.9,0.61,0.457,0.926,2.2,0.5,1.1,41.2,0.3,0.4,78.6,57.8,0.5,22.9,0.1,6.6,0.2,8.4,0.2,8.4,1.2,41.2,1.8,30.9,0.9,34.7,3.6,65.1,0.3,34.8,0.6,58.6,50.9,2.0,1.5,73.4,4.1,48.4,0.1,49.4,5.7,4.6,1.3,28.1,6.7,68.1,0.4,72.9,5.3,0.8,0.7,1.5,2.5,58.8
1,Adreian Payne,MIN,52,18,34,9.3,2.5,18.7,8.8,0.6,1.91,0.58,0.136,1.4,0.8,1.4,0.183,0.386,0.587,0.8,0.1,0.4,35.0,0.1,0.1,66.7,40.9,0.2,27.3,0.0,4.5,0.1,9.1,0.1,6.8,0.3,35.0,0.8,33.3,0.3,24.1,0.8,45.2,0.3,25.0,0.3,37.5,39.7,0.5,0.3,55.0,1.1,47.6,0.1,51.3,6.1,2.5,0.8,31.9,3.7,66.4,0.1,68.9,5.2,0.3,0.2,0.9,1.3,68.2
2,Al Horford,ATL,82,48,34,32.1,15.2,63.5,42.1,1.7,1.6,0.57,0.24,4.7,3.8,6.4,0.322,0.484,0.779,2.1,0.5,0.9,53.5,0.2,0.3,75.0,56.3,0.8,35.2,0.2,10.8,0.1,5.7,0.1,6.8,1.2,53.5,6.8,41.3,0.2,33.3,5.0,69.5,1.9,46.2,1.5,51.8,54.7,1.8,1.1,58.8,4.0,45.0,0.0,45.5,7.3,5.5,1.8,32.4,10.5,51.8,0.9,56.7,6.0,0.8,1.5,3.0,5.3,55.3
3,Al-Farouq Aminu,POR,82,44,38,28.5,10.2,36.5,23.5,1.3,2.08,1.2,0.281,1.0,0.4,2.0,0.57,0.188,0.71,3.5,0.5,1.3,35.8,0.5,0.6,80.4,41.2,1.3,35.4,0.4,10.0,0.2,6.9,0.3,8.2,1.5,35.8,4.6,36.5,1.0,37.5,1.4,57.9,0.1,33.3,0.5,60.0,50.3,1.2,0.5,45.9,3.3,36.3,0.1,38.0,8.8,4.9,1.2,25.4,7.8,62.6,0.6,67.6,6.0,0.9,0.6,1.5,2.5,59.5
4,Alan Anderson,WAS,13,8,5,14.8,5.0,15.9,9.7,0.6,2.33,1.15,0.314,0.2,0.3,0.5,0.0,0.75,0.333,1.9,0.3,0.8,36.4,0.3,0.3,100.0,48.0,0.5,28.0,0.3,16.0,0.1,4.0,0.2,8.0,0.9,36.4,2.7,34.3,0.5,30.0,0.2,33.3,0.2,50.0,0.0,0.0,45.8,0.1,0.0,0.0,1.1,8.3,0.0,8.3,35.4,2.4,0.5,19.2,4.3,55.3,0.5,63.4,5.7,0.3,0.1,0.8,1.1,78.6
5,Alan Williams,PHX,10,3,7,6.8,2.9,11.7,6.3,0.3,1.39,0.42,0.248,0.6,1.1,2.9,0.0,0.636,0.655,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,36.8,0.7,33.3,0.0,0.0,41.7,1.8,1.3,71.4,3.8,46.7,0.3,50.0,4.9,3.0,1.4,45.8,3.8,80.0,0.1,82.8,3.3,0.4,0.5,0.7,1.9,36.8
6,Alex Stepheson,MEM,8,2,6,9.0,2.8,11.6,8.0,0.3,1.72,0.58,0.237,1.5,1.4,3.5,0.0,0.364,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,50.0,0.0,0.0,1.8,33.3,0.5,33.3,0.0,0.0,33.3,3.2,2.3,73.7,5.2,61.3,0.0,61.3,4.5,1.5,0.8,55.6,3.5,42.9,0.5,50.0,5.2,0.1,0.6,0.6,1.9,33.3
7,Alonzo Gee,NOP,73,27,46,22.4,4.5,21.3,15.0,0.7,1.87,0.91,0.209,0.4,0.1,1.9,0.656,0.0,0.662,1.5,0.3,0.6,56.1,0.2,0.3,55.0,54.7,0.5,31.1,0.1,9.4,0.2,10.4,0.1,9.4,0.8,56.1,0.8,31.3,0.1,17.4,1.2,60.3,0.0,0.0,0.3,81.8,55.1,1.0,0.4,46.7,2.8,34.3,0.0,34.5,7.5,2.9,0.8,28.1,4.8,60.7,0.3,65.4,7.0,0.9,0.2,1.0,1.5,66.4
8,Amar'e Stoudemire,MIA,52,30,22,14.7,5.8,17.9,11.9,0.5,1.79,0.43,0.322,2.4,2.0,3.9,0.358,0.451,0.856,0.3,0.0,0.0,100.0,0.0,0.0,0.0,26.7,0.2,53.3,0.1,20.0,0.0,13.3,0.0,0.0,0.1,100.0,0.7,43.6,0.2,57.1,3.3,60.9,0.9,47.6,0.8,55.9,56.6,1.3,1.1,81.5,3.1,42.5,0.0,42.5,4.7,3.2,0.8,25.5,6.2,51.8,0.6,56.9,4.2,0.3,0.8,1.4,2.6,54.1
9,Amir Johnson,BOS,78,44,34,22.8,7.3,40.4,24.1,0.9,1.37,0.46,0.182,1.9,1.2,5.6,0.428,0.451,0.839,0.7,0.2,0.4,50.0,0.1,0.1,75.0,65.4,0.1,21.2,0.0,5.8,0.1,9.6,0.1,7.7,0.4,50.0,0.4,25.5,0.1,40.0,4.7,65.5,0.5,38.8,0.8,59.2,59.7,2.3,1.5,64.4,4.9,47.2,0.1,48.0,5.8,4.2,1.8,42.1,7.8,54.5,0.8,60.7,4.9,0.7,1.0,2.2,4.0,54.5
