,PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH,PTS PER TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH,PTS PER PAINT TOUCH,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%,OREB,Contested OREB,Contested OREB%,OREB Chances,OREB Chance%,Deferred OREB Chances,Adjusted OREB Chance%,AVG OREB Distance,DREB,Contested DREB,Contested DREB%,DREB Chances,DREB Chance%,Deferred DREB Chances,Adjusted DREB Chance%,AVG DREB Distance,STL,BLK,DFGM,DFGA,DFG%
0,Adonis Thomas,PHI,6,2,4,6.3,2.3,6.3,4.7,0.2,2.08,1.05,0.368,0.0,0.2,0.0,0.0,2.0,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,12.5,1.0,100.0,0.0,0.0,0.3,100.0,0.0,0.0,46.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,100.0,0.0,100.0,10.7,0.0,0.0,0.2,0.3,50.0
1,Al Harrington,WAS,33,20,13,15.0,6.6,24.9,15.1,0.6,1.47,0.58,0.264,0.7,0.6,1.2,0.5,0.2,0.707,2.7,0.5,1.4,40.0,0.5,0.5,88.9,58.4,0.7,24.7,0.1,3.4,0.2,5.6,0.3,10.1,1.6,40.0,3.2,35.3,0.1,12.5,0.9,50.0,0.1,25.0,0.4,50.0,47.3,0.5,0.3,53.3,1.7,30.6,0.2,34.9,7.3,2.2,0.5,23.8,4.0,54.8,0.3,60.0,7.3,0.4,0.0,1.1,1.4,74.5
2,Al Horford,ATL,29,16,13,33.0,18.6,63.0,40.6,1.8,1.75,0.49,0.295,6.7,7.1,7.7,0.436,0.51,0.869,1.5,0.4,0.7,55.0,0.2,0.3,70.0,67.4,0.3,20.9,0.1,4.7,0.1,9.3,0.2,11.6,1.0,55.0,6.6,51.7,0.4,24.0,6.7,69.9,3.6,50.6,2.9,53.3,57.1,2.3,1.2,53.0,4.6,50.0,0.2,52.0,7.5,6.1,2.3,37.1,10.4,59.1,0.8,64.3,6.1,0.9,1.5,2.1,4.3,49.6
3,Al-Farouq Aminu,NOP,80,33,47,25.6,7.2,31.5,21.4,1.1,2.11,1.03,0.227,1.4,0.5,3.1,0.389,0.378,0.761,2.2,0.4,0.9,41.3,0.3,0.5,72.2,50.0,0.6,26.4,0.2,7.5,0.3,11.5,0.2,10.3,1.1,41.3,1.3,33.3,0.3,33.3,2.4,57.6,0.2,31.3,0.5,58.6,48.7,1.7,0.9,54.3,4.0,41.1,0.2,43.1,7.1,4.7,1.4,28.9,7.5,62.5,0.5,67.1,6.1,1.0,0.5,1.8,2.7,66.0
4,Alan Anderson,BKN,77,42,35,22.7,7.1,26.8,16.9,1.3,2.81,1.83,0.267,0.3,0.2,0.6,0.45,0.368,0.551,3.0,0.6,1.3,46.0,0.5,0.6,75.0,55.8,0.8,25.8,0.2,6.0,0.3,10.7,0.3,10.3,1.7,46.0,2.9,34.9,1.1,32.8,0.4,54.5,0.1,44.4,0.1,42.9,48.1,0.6,0.3,45.0,2.0,30.5,0.0,31.3,10.6,2.1,0.5,22.4,4.3,48.2,0.4,53.8,8.7,0.6,0.1,1.0,1.4,67.3
5,Alonzo Gee,CLE,65,29,36,15.7,4.0,20.3,15.4,0.7,2.1,1.24,0.196,0.2,0.1,1.0,0.2,0.0,1.031,2.2,0.4,1.0,38.7,0.1,0.2,75.0,39.6,0.7,31.3,0.2,6.9,0.3,11.8,0.1,4.2,0.9,38.7,1.0,34.7,0.2,13.0,1.0,74.4,0.0,0.0,0.0,33.3,45.6,0.7,0.3,42.9,2.1,31.8,0.1,33.0,9.4,2.2,0.3,15.8,3.8,57.6,0.3,62.3,8.1,0.6,0.2,0.6,0.8,74.5
6,Amar'e Stoudemire,NYK,65,26,39,22.6,11.9,29.8,19.3,1.0,1.99,0.54,0.399,2.9,5.2,3.8,0.594,0.639,0.826,0.6,0.2,0.4,65.2,0.1,0.2,66.7,108.1,0.0,8.1,0.0,2.7,0.0,8.1,0.1,16.2,0.6,65.2,2.6,48.0,0.2,29.4,3.1,64.8,3.4,49.4,1.7,59.0,55.7,1.7,1.1,63.4,4.6,37.5,0.2,39.0,6.6,3.2,1.4,44.7,6.5,48.9,0.6,53.5,4.5,0.4,0.6,2.0,3.4,58.0
7,Amir Johnson,TOR,76,42,34,28.7,10.4,47.7,29.4,1.1,1.42,0.4,0.217,3.9,1.2,6.1,0.553,0.435,0.864,1.2,0.2,0.6,42.9,0.2,0.2,75.0,53.3,0.3,27.8,0.1,4.4,0.1,7.8,0.1,8.9,0.6,42.9,1.9,40.6,0.1,35.7,5.3,66.3,0.5,48.7,2.2,60.8,57.6,2.2,1.6,73.1,6.1,36.1,0.3,37.6,5.0,4.3,1.8,41.5,9.1,47.9,0.9,53.1,4.9,0.7,1.2,2.7,4.6,58.0
8,Andray Blatche,BKN,72,39,33,22.1,11.1,39.2,24.8,1.3,2.03,0.76,0.284,3.4,3.1,4.3,0.298,0.529,0.805,2.4,0.5,1.1,48.8,0.7,0.9,72.7,73.9,0.4,18.2,0.2,8.5,0.2,6.3,0.5,18.8,1.8,48.8,1.9,34.7,1.3,36.4,3.4,61.0,1.7,45.4,1.0,47.1,48.6,1.6,1.1,65.8,3.5,46.0,0.1,47.1,6.8,3.7,1.5,41.2,6.5,56.6,0.8,64.1,4.8,1.0,0.5,2.1,3.5,60.6
9,Andre Iguodala,GSW,63,41,22,32.4,9.3,44.1,23.1,2.9,3.88,3.17,0.212,0.7,1.3,1.9,0.532,0.463,0.709,3.4,0.3,0.9,35.7,0.3,0.3,80.0,26.9,1.4,40.6,0.5,15.6,0.3,8.0,0.2,5.2,0.9,35.7,2.9,39.1,1.3,34.2,1.3,66.7,0.6,65.4,0.4,71.4,54.8,0.9,0.3,39.6,2.5,33.5,0.1,34.4,11.2,3.9,0.6,14.6,6.8,57.1,0.6,63.0,8.6,1.5,0.3,1.4,2.0,67.7
