,Player,Fouls Drawn - Shoot
258,Aaron Gordon,129
311,Aaron Holiday,17
515,Abdel Nader,22
322,Al Horford,46
12,Al-Farouq Aminu,72
705,Alan Williams,0
101,Alec Burks,69
124,Alex Caruso,26
410,Alex Len,101
570,Alex Poythress,15
466,Alfonzo McKinnie,23
354,Alize Johnson,3
155,Allen Crabbe,16
674,Allonzo Trier,91
348,Amile Jefferson,4
355,Amir Johnson,21
195,Andre Drummond,193
331,Andre Iguodala,29
334,Andre Ingram,0
67,Andrew Bogut,1
289,Andrew Harrison,8
704,Andrew Wiggins,137
626,Anfernee Simons,6
730,Ante Žižić,63
167,Anthony Davis,175
670,Anthony Tolliver,24
62,Antonio Blakeney,35
46,Aron Baynes,23
582,Austin Rivers,47
73,Avery Bradley,19
356,B.J. Johnson,1
4,Bam Adebayo,98
467,Ben McLemore,5
621,Ben Simmons,183
243,Billy Garrett,2
60,Bismack Biyombo,43
274,Blake Griffin,218
445,Boban Marjanović,56
565,Bobby Portis,44
65,Bogdan Bogdanović,53
66,Bojan Bogdanović,120
147,Bonzie Colson,3
695,Brad Wanamaker,10
48,Bradley Beal,185
257,Brandon Goodwin,6
335,Brandon Ingram,137
386,Brandon Knight,18
597,Brandon Sampson,3
423,Brook Lopez,73
87,Bruce Brown,29
109,Bruno Caboclo,21
228,Bryn Forbes,40
304,Buddy Hield,67
475,C.J. Miles,24
706,C.J. Williams,1
461,CJ McCollum,83
650,Caleb Swanigan,5
551,Cameron Payne,16
578,Cameron Reynolds,2
415,Caris LeVert,61
21,Carmelo Anthony,5
538,Cedi Osman,75
329,Chandler Hutchison,19
547,Chandler Parsons,11
239,Channing Frye,5
574,Chasson Randle,24
182,Cheick Diallo,30
473,Chimezie Metu,7
72,Chris Boucher,4
137,Chris Chiozza,0
550,Chris Paul,35
716,Christian Wood,24
116,Clint Capela,131
726,Cody Zeller,66
612,Collin Sexton,94
77,Corey Brewer,19
379,Cory Joseph,14
405,Courtney Lee,8
223,Cristiano Felício,37
595,D'Angelo Russell,65
28,D.J. Augustin,69
647,D.J. Stephens,0
713,D.J. Wilson,18
56,Dairis Bertāns,0
370,Damian Jones,18
416,Damian Lillard,162
408,Damion Lee,9
192,Damyean Dotson,36
275,Daniel Hamilton,3
663,Daniel Theis,34
241,Danilo Gallinari,139
266,Danny Green,12
163,Dante Cunningham,8
218,Dante Exum,31
323,Danuel House Jr.,33
599,Dario Šarić,77
478,Darius Miller,28
146,Darren Collison,67
439,Daryl Macon,2
529,David Nwaba,45
577,Davon Reed,0
230,De'Aaron Fox,193
472,De'Anthony Melton,11
376,DeAndre Jordan,102
54,DeAndre' Bembry,62
180,DeMar DeRozan,213
151,DeMarcus Cousins,73
117,DeMarre Carroll,97
6,DeVaughn Akoon-Purcell,1
29,Deandre Ayton,90
719,Delon Wright,57
339,Demetrius Jackson,0
5,Deng Adel,2
603,Dennis Schröder,97
628,Dennis Smith Jr.,66
105,Deonte Burton,7
222,Derrick Favors,112
371,Derrick Jones Jr.,60
591,Derrick Rose,80
701,Derrick White,54
71,Devin Booker,187
283,Devin Harris,47
585,Devin Robinson,6
261,Devonte' Graham,19
171,Dewayne Dedmon,49
168,Deyonta Davis,5
85,Dillon Brooks,13
689,Dion Waiters,21
522,Dirk Nowitzki,17
596,Domantas Sabonis,131
504,Donatas Motiejūnas,0
486,Donovan Mitchell,149
