,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
217,A.J. Hammons,.762,.190,.071,.143,.357,.238,.917,1.000,.095,.200
71,Aaron Brooks,.573,.190,.153,.113,.117,.427,.096,.583,.000,.117
201,Aaron Gordon,.691,.361,.092,.106,.131,.309,.503,.844,.123,.255
229,Aaron Harrison,.500,.000,.000,.000,.500,.500,,,.000,.500
444,Adreian Payne,.722,.315,.148,.074,.185,.278,.650,1.000,.074,.133
258,Al Horford,.698,.213,.220,.127,.136,.302,.590,.977,.052,.157
282,Al Jefferson,.998,.289,.382,.214,.108,.002,.536,,.021,.000
11,Al-Farouq Aminu,.545,.320,.135,.030,.060,.455,.460,1.000,.058,.358
13,Alan Anderson,.450,.175,.088,.088,.100,.550,.563,.857,.000,.364
587,Alan Williams,.996,.498,.408,.086,.004,.004,.725,,.011,.000
81,Alec Burks,.694,.270,.185,.117,.121,.306,.311,.800,.028,.368
329,Alex Len,.974,.510,.238,.097,.127,.026,.630,1.000,.179,.500
465,Alex Poythress,.648,.500,.074,.074,.000,.352,.579,1.000,.037,.316
6,Alexis Ajinça,.978,.348,.253,.107,.270,.022,.820,,.129,.000
118,Allen Crabbe,.533,.153,.088,.070,.224,.467,.775,.970,.005,.268
189,Alonzo Gee,.786,.429,.143,.143,.000,.214,.667,,.143,.667
289,Amir Johnson,.822,.524,.268,.014,.014,.178,.758,1.000,.124,.288
564,Anderson Varejão,1.000,.500,.357,.143,.000,.000,.600,,.000,
142,Andre Drummond,.992,.494,.420,.070,.004,.008,.603,.000,.147,.000
268,Andre Iguodala,.573,.361,.043,.034,.133,.427,.703,.922,.195,.441
479,Andre Roberson,.603,.518,.069,.004,.013,.397,.765,.978,.140,.451
60,Andrew Bogut,.988,.457,.469,.062,.000,.012,.526,,.099,.000
230,Andrew Harrison,.567,.272,.100,.075,.122,.433,.149,.628,.006,.135
410,Andrew Nicholson,.757,.216,.297,.180,.063,.243,.658,1.000,.018,.222
