,Player,G,MP,TS%,3PAr,FTr,USG%
240,Aaron Gordon,62,2017,.516,.309,.292,20.7
561,Admiral Schofield,33,368,.502,.663,.163,11.9
8,Al-Farouq Aminu,18,380,.395,.419,.337,13.2
336,Alize Johnson,17,118,.509,.276,.345,15.0
333,Amile Jefferson,18,74,.372,.000,1.000,13.5
168,Anthony Davis,62,2131,.610,.199,.479,29.3
600,Anthony Tolliver,55,872,.513,.797,.159,11.1
1,Bam Adebayo,72,2417,.598,.018,.484,21.2
257,Blake Griffin,18,512,.476,.444,.392,28.4
522,Bobby Portis,66,1393,.530,.317,.158,21.4
63,Bol Bol,7,87,.617,.321,.357,21.2
134,Brandon Clarke,58,1300,.663,.134,.234,18.7
320,Brandon Ingram,62,2104,.587,.350,.336,28.1
586,Caleb Swanigan,20,265,.605,.047,.349,12.9
338,Cameron Johnson,57,1255,.586,.672,.141,15.7
15,Carmelo Anthony,58,1902,.525,.289,.206,21.2
502,Chandler Parsons,5,54,.389,.778,.000,16.1
570,Chris Silva,44,346,.651,.038,.705,17.1
668,Christian Wood,62,1325,.659,.276,.476,23.0
79,Corey Brewer,5,33,.470,.250,.750,9.6
665,D.J. Wilson,37,363,.475,.553,.136,18.1
229,Danilo Gallinari,62,1834,.612,.537,.365,24.6
558,Dario Šarić,66,1632,.592,.437,.238,17.8
40,Darius Bazley,61,1130,.497,.445,.196,15.1
627,Dean Wade,12,71,.744,.308,.077,9.9
555,Domantas Sabonis,62,2159,.586,.079,.349,23.3
263,Donta Hall,4,48,.452,.000,1.500,7.9
215,Dorian Finney-Smith,71,2120,.595,.580,.207,12.9
421,Doug McDermott,69,1372,.620,.537,.106,19.6
52,Dragan Bender,9,195,.534,.479,.155,20.1
251,Draymond Green,43,1222,.489,.408,.263,15.7
54,Dāvis Bertāns,54,1583,.628,.774,.200,19.0
503,Eric Paschall,60,1654,.571,.202,.331,21.4
317,Ersan İlyasova,63,986,.589,.438,.278,16.1
132,Gary Clark,18,212,.564,.864,.119,12.5
473,Georges Niang,66,923,.589,.699,.075,17.2
12,Giannis Antetokounmpo,63,1917,.613,.237,.508,37.5
655,Grant Williams,69,1043,.505,.455,.256,11.6
29,Harrison Barnes,72,2482,.574,.338,.337,17.4
546,Isaiah Roby,3,11,.000,.000,.000,8.0
557,JaKarr Sampson,34,471,.615,.113,.235,13.2
252,JaMychal Green,63,1307,.576,.676,.136,13.7
499,Jabari Parker,38,917,.571,.277,.189,24.0
160,Jae Crowder,20,553,.669,.780,.183,15.3
340,James Johnson,18,281,.547,.517,.161,17.0
193,Jared Dudley,45,364,.558,.700,.033,8.0
618,Jarred Vanderbilt,11,46,.676,.125,.250,14.9
77,Jarrell Brantley,9,96,.416,.464,.071,16.3
613,Jarrod Uthoff,7,53,.503,.500,.111,14.8
300,Jaylen Hoard,13,103,.504,.094,.406,17.2
587,Jayson Tatum,66,2265,.567,.383,.255,28.6
255,Jeff Green,30,553,.523,.533,.323,19.7
247,Jerami Grant,71,1892,.591,.397,.309,18.0
318,Joe Ingles,72,2137,.595,.638,.170,15.1
142,John Collins,41,1363,.659,.243,.248,22.7
457,Johnathan Motley,13,41,.774,.067,.467,23.5
656,Johnathan Williams,15,180,.566,.059,.382,10.3
322,Jonathan Isaac,34,980,.552,.283,.232,18.3
287,Juancho Hernangómez,48,833,.518,.522,.287,15.7
528,Julius Randle,64,2080,.538,.230,.350,27.6
327,Justin Jackson,65,1045,.496,.478,.147,15.4
449,Juwan Morgan,21,134,.648,.308,.154,11.0
491,KZ Okpala,5,26,.595,.200,.400,11.7
33,Keita Bates-Diop,37,646,.535,.456,.316,15.8
657,Kenrich Williams,39,832,.429,.660,.177,8.9
292,Kevin Hervey,10,52,.315,.741,.000,22.8
396,Kevin Love,56,1780,.599,.536,.301,23.1
13,Kostas Antetokounmpo,5,20,.902,.000,.667,10.3
373,Kyle Kuzma,61,1526,.531,.407,.232,22.9
595,Lance Thomas,7,98,.485,.565,.174,13.1
467,Larry Nance Jr.,56,1472,.608,.369,.172,15.2
407,Lauri Markkanen,50,1492,.560,.536,.259,21.1
416,Luc Mbah a Moute,3,25,.425,.400,.400,11.4
556,Luka Šamanić,3,48,.450,.500,.250,17.8
452,Marcus Morris,19,549,.523,.483,.126,15.8
293,Mario Hezonja,53,871,.525,.358,.271,13.9
453,Markieff Morris,58,1187,.565,.498,.186,20.9
129,Marquese Chriss,59,1196,.604,.101,.405,19.0
659,Marvin Williams,58,1129,.587,.584,.213,12.5
269,Maurice Harkless,50,1141,.584,.336,.194,10.3
362,Maxi Kleber,74,1890,.605,.621,.181,13.9
358,Michael Kidd-Gilchrist,25,281,.416,.303,.212,13.7
563,Mike Scott,68,1207,.557,.620,.106,14.0
391,Nassir Little,48,573,.505,.391,.291,13.7
59,Nemanja Bjelica,72,2011,.602,.490,.129,17.0
608,P.J. Tucker,72,2467,.559,.702,.113,8.7
641,P.J. Washington,58,1759,.547,.390,.231,18.6
569,Pascal Siakam,60,2110,.554,.331,.274,28.1
505,Patrick Patterson,59,776,.580,.738,.185,14.7
440,Paul Millsap,51,1240,.591,.283,.322,20.0
151,Robert Covington,48,1411,.572,.629,.190,17.8
372,Rodions Kurucs,47,684,.555,.508,.215,14.7
304,Rondae Hollis-Jefferson,60,1122,.533,.070,.435,17.2
233,Rudy Gay,67,1461,.553,.369,.228,22.0
260,Rui Hachimura,48,1444,.535,.160,.257,19.0
186,Sekou Doumbouya,38,754,.474,.415,.195,16.9
486,Semi Ojeleye,69,1011,.562,.648,.163,9.7
297,Solomon Hill,59,1088,.535,.615,.194,13.6
343,Stanley Johnson,25,150,.454,.407,.271,23.1
380,T.J. Leaf,28,222,.451,.209,.186,20.0
497,Tariq Owens,3,15,.340,.400,.400,16.7
526,Taurean Prince,64,1857,.497,.583,.120,20.4
564,Thabo Sefolosha,41,436,.487,.593,.088,10.4
671,Thaddeus Young,64,1591,.521,.369,.120,19.7
276,Tobias Harris,72,2469,.556,.304,.184,23.9
399,Trey Lyles,63,1271,.557,.490,.131,13.6
148,Tyler Cook,11,35,.752,.000,.600,16.7
378,Vic Law,8,62,.363,.389,.333,15.8
115,Vince Carter,60,876,.470,.664,.095,16.6
109,Vlatko Čančar,14,45,.507,.400,.267,19.1
225,Wenyen Gabriel,30,235,.546,.417,.458,13.4
311,William Howard,2,13,.000,1.000,.000,15.9
123,Wilson Chandler,35,734,.531,.661,.126,12.9
