,Player,Fouls Drawn - Shoot
173,A.J. Guyton,0
294,Aaron McKie,54
480,Aaron Williams,58
181,Adam Harrington,1
147,Adonal Foyle,41
170,Adrian Griffin,14
184,Al Harrington,118
195,Alan Henderson,65
204,Allan Houston,129
216,Allen Iverson,262
139,Alton Ford,1
481,Alvin Williams,87
290,Amal McCaskill,2
427,Amar'e Stoudemire,236
299,Andre Miller,151
248,Andrei Kirilenko,143
115,Andrew DeClercq,44
178,Anfernee Hardaway,32
407,Ansu Sesay,6
228,Antawn Jamison,170
82,Anthony Carter,19
161,Anthony Goldwire,2
233,Anthony Johnson,27
283,Anthony Mason,44
356,Anthony Peeler,17
383,Antoine Rigaudeau,0
458,Antoine Walker,123
108,Antonio Daniels,24
109,Antonio Davis,111
188,Antonio Harvey,0
261,Art Long,6
395,Arvydas Sabonis,72
103,Austin Croshere,26
234,Avery Johnson,20
110,Baron Davis,58
460,Ben Wallace,71
94,Bimbo Coles,7
342,Bo Outlaw,51
432,Bob Sura,52
217,Bobby Jackson,55
410,Bobby Simmons,13
467,Bonzi Wells,128
322,Boštjan Nachbar,4
300,Brad Miller,144
17,Brandon Armstrong,3
482,Brandon Williams,0
194,Brendan Haywood,112
25,Brent Barry,69
250,Brevin Knight,13
81,Brian Cardinal,1
168,Brian Grant,86
406,Brian Scalabrine,15
408,Brian Shaw,6
411,Brian Skinner,68
46,Bruce Bowen,35
431,Bruno Šundov,1
125,Bryce Drew,0
394,Bryon Russell,29
87,Calbert Cheaney,33
43,Calvin Booth,23
19,Carlos Arroyo,10
44,Carlos Boozer,88
74,Caron Butler,145
225,Casey Jacobsen,45
449,Cezary Trybański,5
333,Charles Oakley,10
414,Charles Smith,2
463,Charlie Ward,10
38,Chauncey Billups,127
351,Cherokee Parks,16
9,Chris Andersen,59
88,Chris Childs,0
101,Chris Crawford,3
127,Chris Dudley,0
230,Chris Jefferies,17
297,Chris Mihm,43
305,Chris Mills,8
343,Chris Owens,0
466,Chris Webber,165
473,Chris Whitney,11
476,Chris Wilcox,20
253,Christian Laettner,51
20,Chucky Atkins,16
465,Clarence Weatherspoon,77
384,Clifford Robinson,101
35,Corey Benjamin,7
270,Corey Maggette,172
39,Corie Blount,15
494,Corliss Williamson,128
2,Courtney Alexander,61
308,Cuttino Mobley,93
457,Dajuan Wagner,58
111,Dale Davis,77
22,Dalibor Bagarić,2
239,Damon Jones,12
426,Damon Stoudamire,21
56,Damone Brown,4
117,Dan Dickau,7
150,Dan Gadzuric,25
256,Dan Langhi,7
135,Danny Ferry,4
142,Danny Fortson,10
274,Danny Manning,1
298,Darius Miles,70
18,Darrell Armstrong,25
175,Darvin Ham,39
385,David Robinson,95
470,David Wesley,80
120,DeSagana Diop,14
421,DeShawn Stevenson,32
336,Dean Oliver,1
10,Derek Anderson,78
137,Derek Fisher,41
93,Derrick Coleman,70
284,Desmond Mason,96
154,Devean George,30
57,Devin Brown,4
320,Dikembe Mutombo,16
160,Dion Glover,69
329,Dirk Nowitzki,221
377,Don Reid,1
189,Donnell Harvey,73
278,Donny Marshall,0
279,Donyell Marshall,79
89,Doug Christie,48
164,Drew Gooden,93
49,Earl Boykins,53
464,Earl Watson,29
171,Eddie Griffin,44
203,Eddie House,13
240,Eddie Jones,72
386,Eddie Robinson,32
105,Eddy Curry,140
324,Eduardo Nájera,38
378,Efthimios Rentzias,3
78,Elden Campbell,62
52,Elton Brand,151
112,Emanual Davis,9
360,Eric Piatkowski,44
417,Eric Snow,132
483,Eric Williams,114
107,Erick Dampier,96
428,Erick Strickland,35
235,Ervin Johnson,19
437,Etan Thomas,41
133,Evan Eschmeyer,2
484,Frank Williams,1
201,Fred Hoiberg,10
241,Fred Jones,2
353,Gary Payton,147
446,Gary Trent,48
266,George Lynch,30
461,Gerald Wallace,32
16,Gilbert Arenas,174
379,Glen Rice,27
387,Glenn Robinson,106
157,Gordan Giriček,66
197,Grant Hill,58
264,Grant Long,7
71,Greg Buckner,33
143,Greg Foster,8
341,Greg Ostertag,87
392,Guy Rucker,0
452,Hedo Türkoğlu,48
169,Horace Grant,0
130,Howard Eisley,27
113,Hubert Davis,3
372,Igor Rakočević,13
327,Ira Newble,45
53,J.R. Bremer,37
455,Jacque Vaughn,45
471,Jahidi White,13
450,Jake Tsakalidis,30
456,Jake Voskuhl,40
390,Jalen Rose,167
271,Jamaal Magloire,122
443,Jamaal Tinsley,34
102,Jamal Crawford,51
281,Jamal Mashburn,126
398,Jamal Sampson,0
364,James Posey,89
54,Jamison Brewer,4
348,Jannero Pargo,1
232,Jared Jeffries,13
99,Jarron Collins,24
76,Jason Caffey,55
97,Jason Collier,2
100,Jason Collins,94
247,Jason Kidd,131
381,Jason Richardson,111
436,Jason Terry,95
485,Jason Williams,29
486,Jay Williams,63
144,Jeff Foster,27
293,Jeff McInnis,27
448,Jeff Trepagnier,4
291,Jelani McCoy,57
218,Jermaine Jackson,19
330,Jermaine O'Neal,219
226,Jerome James,44
487,Jerome Williams,129
419,Jerry Stackhouse,158
400,Jeryl Sasser,32
221,Jim Jackson,29
469,Jiří Welsch,11
236,Joe Johnson,44
415,Joe Smith,51
370,Joel Przybilla,11
8,John Amaechi,23
104,John Crotty,4
396,John Salmons,14
423,John Stockton,63
26,Jon Barry,34
34,Jonathan Bender,40
141,Joseph Forte,2
122,Juan Dixon,13
193,Juaquin Hawkins,8
242,Jumaine Jones,32
185,Junior Harrington,35
205,Juwan Howard,146
310,Jérôme Moïso,20
393,Kareem Rush,8
272,Karl Malone,240
60,Kedrick Brown,12
454,Keith Van Horn,98
85,Kelvin Cato,53
237,Ken Johnson,2
155,Kendall Gill,59
11,Kenny Anderson,27
402,Kenny Satterfield,10
438,Kenny Thomas,90
280,Kenyon Martin,181
90,Keon Clark,57
249,Kerry Kittles,57
151,Kevin Garnett,214
337,Kevin Ollie,71
496,Kevin Willis,37
124,Keyon Dooling,18
192,Kirk Haston,2
66,Kobe Bryant,263
441,Kurt Thomas,73
61,Kwame Brown,96
131,LaPhonso Ellis,25
334,Lamar Odom,78
208,Larry Hughes,90
418,Latrell Sprewell,81
