,Player,G,MP,FTr,USG%
438,A.J. Price,57,1278,.150,18.0
74,Aaron Brooks,53,997,.165,18.1
201,Aaron Gray,42,513,.489,13.1
219,Al Harrington,10,119,.070,25.1
249,Al Horford,74,2756,.196,21.8
268,Al Jefferson,78,2578,.176,25.3
11,Al-Farouq Aminu,76,2066,.289,14.6
17,Alan Anderson,65,1495,.239,23.6
83,Alec Burks,64,1137,.332,20.7
480,Alexey Shved,77,1840,.236,20.6
189,Alonzo Gee,82,2541,.276,16.9
505,Amar'e Stoudemire,29,682,.487,25.7
278,Amir Johnson,81,2325,.309,16.1
547,Anderson Varejão,25,901,.353,18.7
60,Andray Blatche,82,1555,.320,26.5
148,Andre Drummond,60,1243,.465,17.2
256,Andre Iguodala,80,2779,.307,18.8
373,Andre Miller,82,2151,.307,17.9
36,Andrea Bargnani,35,1003,.181,23.8
306,Andrei Kirilenko,64,2034,.446,17.4
63,Andrew Bogut,32,786,.207,13.4
199,Andrew Goudelock,1,6,.000,14.8
400,Andrew Nicholson,75,1249,.193,22.1
55,Andris Biedriņš,53,495,.619,3.7
267,Antawn Jamison,76,1636,.237,18.7
126,Anthony Davis,64,1846,.333,21.8
388,Anthony Morrow,41,383,.152,19.6
447,Anthony Randolph,39,329,.395,22.5
533,Anthony Tolliver,62,963,.236,13.2
392,Arnett Moultrie,47,542,.209,14.1
47,Aron Baynes,16,141,.333,17.1
2,Arron Afflalo,64,2307,.246,22.5
132,Austin Daye,55,676,.163,17.1
456,Austin Rivers,61,1418,.277,16.8
68,Avery Bradley,50,1435,.103,18.8
196,Ben Gordon,75,1560,.167,27.8
214,Ben Hansbrough,28,200,.600,17.1
543,Beno Udrih,66,1457,.216,19.3
263,Bernard James,46,457,.398,13.9
57,Bismack Biyombo,80,2186,.410,10.2
208,Blake Griffin,80,2598,.397,25.4
140,Boris Diaw,75,1709,.196,12.0
49,Bradley Beal,56,1745,.231,22.2
587,Brandan Wright,64,1149,.238,19.0
43,Brandon Bass,81,2239,.255,15.5
276,Brandon Jennings,80,2897,.225,23.7
308,Brandon Knight,75,2365,.256,22.8
465,Brandon Roy,5,122,.286,17.0
467,Brandon Rush,2,25,.333,23.9
233,Brendan Haywood,61,1162,.306,11.5
457,Brian Roberts,78,1324,.151,21.6
334,Brook Lopez,74,2253,.358,28.6
394,Byron Mullens,53,1428,.176,21.7
371,C.J. Miles,65,1364,.174,23.9
566,C.J. Watson,80,1521,.198,17.2
316,Carl Landry,81,1876,.453,20.0
66,Carlos Boozer,79,2546,.232,25.8
136,Carlos Delfino,67,1689,.090,18.6
22,Carmelo Anthony,67,2482,.344,35.6
84,Caron Butler,78,1879,.125,20.2
348,Cartier Martin,41,694,.111,19.5
421,Chandler Parsons,76,2758,.165,18.3
271,Charles Jenkins,59,441,.182,15.5
553,Charlie Villanueva,69,1092,.106,21.9
82,Chase Budinger,23,508,.220,20.5
56,Chauncey Billups,22,418,.364,19.6
16,Chris Andersen,42,624,.756,14.4
67,Chris Bosh,74,2454,.333,22.7
113,Chris Copeland,56,862,.218,25.3
146,Chris Douglas-Roberts,6,63,.714,14.0
150,Chris Duhon,46,820,.106,9.2
279,Chris Johnson,30,284,.453,16.2
303,Chris Kaman,66,1363,.138,25.3
425,Chris Paul,70,2335,.377,22.6
445,Chris Quinn,7,78,.125,13.1
484,Chris Singleton,57,924,.290,15.7
576,Chris Wilcox,61,830,.379,12.1
588,Chris Wright,3,4,.000,34.2
229,Chuck Hayes,74,1209,.253,9.4
4,Cole Aldrich,45,388,.250,12.7
70,Corey Brewer,82,2003,.245,23.4
344,Corey Maggette,18,257,.632,20.2
239,Cory Higgins,6,32,.105,28.3
299,Cory Joseph,28,388,.191,16.6
318,Courtney Lee,78,1941,.136,15.7
28,D.J. Augustin,76,1226,.337,15.1
574,D.J. White,12,86,.391,15.9
508,DaJuan Summers,2,7,.000,26.1
110,Daequan Cook,49,441,.072,19.2
287,Dahntay Jones,78,1016,.509,14.0
329,Damian Lillard,82,3167,.249,24.2
577,Damien Wilkins,61,1095,.345,17.4
264,Damion James,2,0,,
192,Daniel Gibson,46,919,.150,14.3
410,Daniel Orton,13,104,.654,16.4
177,Danilo Gallinari,71,2309,.400,21.3
200,Danny Granger,5,74,.229,26.2
202,Danny Green,80,2201,.119,16.6
120,Dante Cunningham,80,2010,.154,17.2
286,Darius Johnson-Odom,4,6,.000,29.7
374,Darius Miller,52,694,.074,9.0
383,Darius Morris,48,683,.197,16.2
372,Darko Miličić,1,5,.000,28.4
25,Darrell Arthur,59,970,.128,20.1
106,Darren Collison,81,2372,.380,19.6
319,David Lee,79,2907,.276,23.2
572,David West,73,2435,.312,24.4
297,DeAndre Jordan,82,2010,.510,15.9
328,DeAndre Liggins,39,290,.383,10.8
58,DeJuan Blair,61,851,.258,19.0
139,DeMar DeRozan,82,3013,.347,24.2
114,DeMarcus Cousins,75,2289,.408,28.1
91,DeMarre Carroll,66,1111,.302,16.4
290,DeQuan Jones,63,803,.234,15.3
141,DeSagana Diop,22,226,.037,7.1
502,DeShawn Stevenson,56,1158,.088,11.8
169,Derek Fisher,33,575,.236,16.4
578,Deron Williams,78,2842,.328,24.4
166,Derrick Favors,77,1787,.458,20.6
579,Derrick Williams,78,1916,.346,23.5
155,Devin Ebanks,19,197,.192,20.4
220,Devin Harris,58,1421,.348,19.5
433,Dexter Pittman,11,32,.273,22.4
