,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
258,Aaron Gordon,.668,.328,.129,.116,.096,.332,.504,.843,.109,.251
311,Aaron Holiday,.515,.183,.111,.076,.145,.485,.387,.791,.011,.102
515,Abdel Nader,.535,.353,.149,.014,.019,.465,.492,.969,.028,.400
322,Al Horford,.719,.242,.207,.119,.151,.281,.752,1.000,.072,.094
12,Al-Farouq Aminu,.528,.351,.105,.029,.044,.472,.516,1.000,.079,.311
705,Alan Williams,.923,.308,.385,.231,.000,.077,.750,,.000,.000
101,Alec Burks,.646,.287,.173,.089,.097,.354,.420,.770,.025,.196
124,Alex Caruso,.711,.393,.150,.104,.064,.289,.415,.667,.046,.220
410,Alex Len,.685,.503,.122,.032,.028,.315,.720,.986,.215,.480
570,Alex Poythress,.716,.617,.074,.000,.025,.284,.710,1.000,.185,.696
466,Alfonzo McKinnie,.571,.404,.091,.029,.047,.429,.717,1.000,.138,.508
354,Alize Johnson,.875,.250,.438,.063,.125,.125,.000,1.000,.000,.500
155,Allen Crabbe,.306,.080,.059,.059,.107,.694,.872,.990,.000,.201
674,Allonzo Trier,.745,.382,.069,.118,.176,.255,.267,.635,.017,.159
348,Amile Jefferson,1.000,.750,.250,.000,.000,.000,.700,,.000,
355,Amir Johnson,.745,.427,.280,.019,.019,.255,.687,1.000,.089,.175
195,Andre Drummond,.964,.624,.299,.034,.007,.036,.570,.800,.184,.132
331,Andre Iguodala,.523,.344,.050,.056,.073,.477,.757,.958,.228,.410
334,Andre Ingram,.500,.000,.167,.167,.167,.500,,,.000,.333
67,Andrew Bogut,1.000,.611,.250,.111,.028,.000,.611,,.167,
289,Andrew Harrison,.528,.245,.094,.094,.094,.472,.182,.600,.019,.160
704,Andrew Wiggins,.712,.264,.146,.122,.181,.288,.450,.814,.037,.164
626,Anfernee Simons,.540,.111,.222,.095,.111,.460,.222,.600,.000,.172
730,Ante Žižić,1.000,.565,.290,.103,.042,.000,.683,,.082,
167,Anthony Davis,.859,.368,.217,.153,.120,.141,.618,1.000,.160,.062
670,Anthony Tolliver,.170,.093,.039,.012,.027,.830,.611,1.000,.019,.265
62,Antonio Blakeney,.770,.157,.167,.253,.194,.230,.385,.833,.023,.418
46,Aron Baynes,.726,.462,.157,.072,.036,.274,.667,1.000,.121,.180
582,Austin Rivers,.428,.217,.177,.031,.003,.572,.313,.683,.003,.211
73,Avery Bradley,.597,.161,.100,.074,.262,.403,.611,.860,.003,.359
356,B.J. Johnson,.611,.222,.111,.167,.111,.389,.500,1.000,.056,.429
4,Bam Adebayo,.969,.572,.243,.121,.033,.031,.700,.667,.257,.267
467,Ben McLemore,.359,.125,.063,.031,.141,.641,.875,.941,.031,.317
621,Ben Simmons,.994,.571,.326,.077,.020,.006,.435,,.155,.000
243,Billy Garrett,.704,.222,.000,.333,.148,.296,.455,,.000,.000
60,Bismack Biyombo,1.000,.647,.224,.083,.045,.000,.764,,.231,
274,Blake Griffin,.611,.283,.241,.054,.034,.389,.340,.561,.031,.178
445,Boban Marjanović,.962,.558,.262,.100,.042,.038,.660,1.000,.158,.300
565,Bobby Portis,.696,.272,.236,.084,.104,.304,.534,1.000,.046,.105
65,Bogdan Bogdanović,.569,.168,.180,.100,.122,.431,.383,.791,.005,.105
66,Bojan Bogdanović,.633,.303,.144,.119,.068,.367,.642,.921,.029,.288
147,Bonzie Colson,.462,.333,.051,.051,.026,.538,.875,1.000,.077,.381
695,Brad Wanamaker,.629,.190,.190,.076,.171,.371,.412,.750,.000,.026
48,Bradley Beal,.630,.281,.100,.103,.145,.370,.425,.718,.042,.141
257,Brandon Goodwin,.739,.217,.261,.174,.087,.261,.250,1.000,.000,.000
