,PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH,PTS PER TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH,PTS PER PAINT TOUCH,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%,OREB,Contested OREB,Contested OREB%,OREB Chances,OREB Chance%,Deferred OREB Chances,Adjusted OREB Chance%,AVG OREB Distance,DREB,Contested DREB,Contested DREB%,DREB Chances,DREB Chance%,Deferred DREB Chances,Adjusted DREB Chance%,AVG DREB Distance,STL,BLK,DFGM,DFGA,DFG%
0,Aaron Gordon,ORL,58,19,39,32.9,17.6,59.9,31.8,2.4,2.44,1.65,0.294,1.8,2.3,3.9,0.673,0.458,0.974,5.2,0.9,2.5,37.9,0.7,1.0,70.0,53.8,1.2,23.3,0.3,6.6,0.5,9.3,0.5,10.0,2.8,37.9,5.1,37.7,3.0,29.2,3.8,66.9,1.0,39.7,1.2,54.7,50.0,1.5,0.9,62.1,4.5,33.5,0.1,34.1,7.9,6.4,1.5,23.2,9.9,64.2,0.6,68.3,5.6,1.0,0.8,2.3,3.8,59.5
1,Abdel Nader,BOS,47,32,15,11.1,3.1,13.3,9.9,0.5,2.31,1.46,0.233,0.1,0.1,0.5,0.0,1.0,0.455,2.2,0.3,1.0,30.4,0.1,0.1,66.7,31.1,0.6,29.1,0.2,7.8,0.3,11.7,0.1,2.9,0.7,30.4,1.4,34.4,0.1,23.1,0.2,31.3,0.1,0.0,0.0,0.0,41.3,0.5,0.3,53.8,1.6,31.0,0.0,31.7,6.4,2.2,0.5,24.1,3.3,68.2,0.2,73.4,7.2,0.3,0.2,0.6,0.9,73.2
2,Adreian Payne,ORL,5,0,5,8.5,4.2,12.4,6.8,0.4,1.77,0.68,0.339,1.0,0.6,1.0,0.2,0.667,1.0,0.2,0.2,0.2,100.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,100.0,1.6,60.0,0.4,50.0,1.0,100.0,0.4,100.0,0.2,0.0,80.0,0.7,0.3,50.0,1.7,40.0,0.0,40.0,6.0,2.3,0.7,28.6,3.7,63.6,0.0,63.6,4.2,0.4,0.0,0.4,1.0,40.0
3,Al Horford,BOS,69,44,25,31.5,12.8,63.5,40.0,2.3,2.2,1.06,0.201,3.1,5.2,3.8,0.409,0.478,0.693,2.9,0.7,1.3,54.5,0.1,0.2,83.3,52.7,0.9,32.0,0.3,11.8,0.1,3.0,0.1,3.0,1.6,54.5,4.9,43.3,1.2,36.7,2.6,65.3,2.5,44.0,1.3,56.7,54.9,1.4,0.8,58.0,3.7,38.8,0.0,39.1,8.3,5.9,1.6,26.2,9.5,62.5,0.6,66.4,5.9,0.6,1.1,2.7,4.7,57.9
4,Al-Farouq Aminu,POR,69,40,29,30.0,9.3,36.0,19.2,1.2,1.97,1.0,0.259,0.9,0.2,2.1,0.234,0.154,0.635,3.1,0.5,1.2,38.4,0.3,0.4,80.8,41.8,1.0,31.9,0.2,7.5,0.3,9.4,0.2,6.1,1.3,38.4,5.1,36.5,0.5,20.9,1.4,54.8,0.0,25.0,0.2,40.0,50.3,1.4,0.6,39.2,3.8,37.2,0.1,37.7,8.9,6.2,1.4,22.4,9.7,63.7,0.6,67.8,5.2,1.1,0.6,2.1,3.7,57.5
5,Alan Williams,PHX,5,1,4,14.1,4.0,23.4,15.6,0.6,1.66,0.54,0.171,5.0,2.2,2.8,0.16,0.0,0.643,0.4,0.2,0.2,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,100.0,0.0,0.0,0.0,0.0,1.8,44.4,0.0,0.0,0.8,66.7,38.9,0.6,0.2,33.3,4.0,15.0,0.0,15.0,9.8,3.8,0.8,21.1,6.2,61.3,0.0,61.3,3.4,1.0,0.2,1.2,1.6,75.0
6,Alec Peters,PHX,20,2,18,11.2,4.1,16.5,10.3,0.4,1.38,0.34,0.249,0.6,0.2,1.1,0.333,0.667,0.81,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,50.0,0.0,0.0,0.1,16.7,0.1,16.7,0.0,0.0,2.7,31.6,0.3,40.0,0.9,50.0,0.1,100.0,0.2,100.0,50.0,0.5,0.5,87.5,1.4,38.1,0.1,42.1,5.0,1.9,0.4,20.7,2.8,69.0,0.1,70.7,5.7,0.1,0.1,0.7,1.1,59.1
7,Alex Poythress,IND,25,10,15,4.2,1.0,5.1,2.9,0.1,1.56,0.63,0.203,0.1,0.0,0.7,0.667,0.0,0.588,0.2,0.0,0.2,25.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.1,25.0,0.5,33.3,0.0,0.0,0.4,44.4,0.0,0.0,0.1,50.0,50.0,0.6,0.5,85.7,1.8,31.8,0.1,33.3,5.0,0.8,0.2,20.0,1.3,62.5,0.0,62.5,8.6,0.1,0.0,0.3,0.4,72.7
8,Alfonzo McKinnie,TOR,14,13,1,3.8,1.5,4.6,2.9,0.1,1.84,0.95,0.328,0.0,0.0,0.1,0.0,0.0,2.0,0.4,0.1,0.2,66.7,0.0,0.0,0.0,66.7,0.1,16.7,0.0,0.0,0.1,33.3,0.0,0.0,0.3,66.7,0.4,25.0,0.4,100.0,0.1,100.0,0.0,0.0,0.0,0.0,63.3,0.2,0.2,100.0,0.4,50.0,0.0,50.0,1.2,1.2,0.4,33.3,2.2,54.5,0.4,66.7,3.6,0.1,0.1,0.4,0.5,71.4
9,Allen Crabbe,BKN,73,24,49,29.2,13.2,43.2,32.3,1.2,1.67,0.79,0.305,0.5,0.0,0.7,0.794,0.0,0.588,3.2,0.8,1.5,48.7,0.3,0.3,86.4,56.0,1.0,32.3,0.2,5.6,0.2,5.2,0.2,5.2,1.8,48.7,7.4,39.3,2.0,31.4,0.4,62.5,0.0,0.0,0.4,68.4,52.9,0.4,0.1,37.0,1.9,19.4,0.1,20.3,13.4,4.0,0.7,16.7,6.3,63.0,0.3,66.2,6.8,0.6,0.5,1.0,1.6,64.1
