,Player,GS,FG,FGA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
365,A.C. Green,1,1.8,4.0,1.4,1.3,2.5,0.5,0.4,0.1,0.5,1.5
279,A.J. Guyton,8,2.4,5.8,0.5,0.3,0.8,1.9,0.3,0.2,0.7,1.1
107,Aaron McKie,33,4.4,9.4,2.6,0.4,3.7,5.0,1.4,0.1,2.7,2.3
128,Aaron Williams,25,3.6,7.9,3.8,2.6,4.6,1.1,0.7,1.4,1.6,3.9
468,Adam Keefe,13,1.0,2.4,0.9,1.3,1.8,0.5,0.4,0.3,0.6,1.5
287,Adonal Foyle,37,2.7,6.5,1.2,2.7,4.3,0.8,0.5,2.7,1.4,2.3
497,Adrian Griffin,0,0.8,2.2,0.5,0.6,1.4,0.6,0.4,0.1,0.4,1.0
223,Al Harrington,38,3.1,7.0,2.0,1.5,3.4,1.7,0.8,0.2,1.9,2.9
124,Alan Henderson,42,4.1,9.2,3.7,2.5,3.1,0.7,0.7,0.4,1.7,2.2
32,Allan Houston,78,6.9,15.5,3.9,0.3,3.4,2.2,0.7,0.1,2.1,2.4
0,Allen Iverson,71,10.7,25.5,10.1,0.7,3.1,4.6,2.5,0.3,3.3,2.1
69,Alonzo Mourning,3,5.6,10.8,4.2,2.7,5.1,0.9,0.3,2.4,2.2,1.8
139,Alvin Williams,34,4.0,9.4,1.8,0.6,2.0,5.0,1.5,0.3,1.3,2.1
56,Andre Miller,82,5.5,12.2,5.5,1.1,3.2,8.0,1.5,0.3,3.2,2.8
396,Andrew DeClercq,51,1.6,2.9,1.2,1.4,2.2,0.5,0.6,0.5,0.8,3.0
561,Andy Panko,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Anfernee Hardaway,4,3.8,9.0,2.8,1.3,3.3,3.8,1.5,0.3,0.8,1.5
8,Antawn Jamison,82,9.8,22.1,6.5,3.4,5.3,2.0,1.4,0.3,2.4,2.7
257,Anthony Carter,6,2.7,6.7,1.4,0.6,1.9,3.7,1.0,0.1,1.7,2.1
384,Anthony Goldwire,0,1.5,4.0,0.9,0.1,0.6,1.7,0.5,0.0,0.8,0.7
462,Anthony Johnson,0,1.0,2.9,0.6,0.2,0.6,1.5,0.4,0.1,0.6,1.2
52,Anthony Mason,80,5.8,11.9,5.9,2.1,7.5,3.1,1.0,0.3,2.2,2.9
551,Anthony Miller,0,0.3,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.3,0.3
126,Anthony Peeler,41,4.1,9.8,1.2,0.6,2.0,2.6,1.2,0.2,1.4,2.2
10,Antoine Walker,81,8.8,21.2,4.3,1.9,7.0,5.5,1.7,0.6,3.7,3.1
155,Antonio Daniels,23,3.5,7.4,2.0,0.3,1.7,3.8,0.8,0.2,1.4,1.5
67,Antonio Davis,77,4.8,11.1,5.4,3.5,6.6,1.4,0.3,1.9,1.7,2.9
