,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
82,Aaron Brooks,.551,.203,.130,.145,.072,.449,.118,.818,.000,.161
224,Aaron Gordon,.605,.275,.109,.106,.114,.395,.488,.835,.111,.199
254,Aaron Harrison,.377,.116,.043,.087,.130,.623,.300,1.000,.000,.279
309,Aaron Jackson,.556,.222,.333,.000,.000,.444,.500,.000,.000,.250
465,Abdel Nader,.564,.255,.228,.040,.040,.436,.333,.957,.034,.354
508,Adreian Payne,.700,.100,.200,.000,.400,.300,.800,1.000,.000,.333
290,Al Horford,.700,.198,.255,.143,.104,.300,.572,.948,.062,.159
320,Al Jefferson,.986,.284,.303,.226,.173,.014,.595,,.043,.000
10,Al-Farouq Aminu,.418,.215,.120,.026,.057,.582,.486,.960,.041,.280
659,Alan Williams,1.000,.333,.500,.167,.000,.000,.857,,.000,
95,Alec Burks,.657,.251,.184,.130,.092,.343,.431,.660,.046,.162
519,Alec Peters,.216,.135,.027,.014,.041,.784,.800,1.000,.014,.259
111,Alex Caruso,.629,.319,.121,.112,.078,.371,.514,.615,.052,.116
375,Alex Len,.992,.733,.167,.053,.040,.008,.676,1.000,.288,.000
530,Alex Poythress,.577,.462,.077,.000,.038,.423,.714,1.000,.115,.364
421,Alfonzo McKinnie,.400,.133,.200,.000,.067,.600,.600,1.000,.067,.556
141,Allen Crabbe,.357,.083,.096,.065,.112,.643,.743,.940,.007,.137
324,Amir Johnson,.877,.431,.385,.038,.027,.123,.654,1.000,.077,.281
174,Andre Drummond,.988,.659,.271,.056,.002,.012,.545,,.188,.000
297,Andre Iguodala,.634,.313,.113,.081,.128,.366,.591,.848,.166,.179
302,Andre Ingram,.471,.000,.118,.353,.000,.529,1.000,1.000,.000,.111
551,Andre Roberson,.778,.716,.056,.000,.006,.222,.759,1.000,.136,.583
65,Andrew Bogut,1.000,.720,.160,.080,.040,.000,.353,,.200,
255,Andrew Harrison,.669,.301,.124,.082,.163,.331,.134,.745,.005,.289
651,Andrew White,.329,.096,.082,.041,.110,.671,1.000,1.000,.000,.204
656,Andrew Wiggins,.740,.229,.179,.137,.195,.260,.470,.848,.047,.180
688,Ante Žižić,1.000,.612,.313,.060,.015,.000,.633,,.149,
85,Anthony Brown,.000,.000,.000,.000,.000,1.000,,1.000,.000,1.000
154,Anthony Davis,.889,.374,.201,.157,.157,.111,.701,.909,.154,.093
615,Anthony Tolliver,.227,.138,.059,.017,.013,.773,.733,1.000,.034,.247
58,Antonio Blakeney,.636,.168,.119,.119,.231,.364,.500,.667,.049,.327
124,Antonius Cleveland,.810,.238,.048,.143,.381,.190,.400,.667,.095,.250
39,Aron Baynes,.953,.399,.195,.188,.170,.047,.744,1.000,.126,.571
4,Arron Afflalo,.568,.093,.123,.154,.198,.432,.632,.926,.000,.414
550,Austin Rivers,.553,.288,.176,.065,.024,.447,.215,.515,.004,.153
74,Avery Bradley,.675,.227,.130,.099,.219,.325,.685,.920,.026,.335
3,Bam Adebayo,.979,.624,.232,.082,.041,.021,.701,,.294,.000
422,Ben McLemore,.574,.241,.126,.062,.145,.426,.706,.964,.024,.283
445,Ben Moore,,,,,,,,,,
577,Ben Simmons,.989,.462,.325,.174,.028,.011,.344,,.161,.000
55,Bismack Biyombo,.997,.534,.310,.122,.031,.003,.803,,.247,.000
