,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
615,Ekpe Udoh,1.000,.208,.333,.417,.042,.000,.727,,.042,
469,Elfrid Payton,.941,.458,.301,.103,.078,.059,.179,.909,.041,.310
414,Elijah Millsap,.622,.315,.160,.067,.080,.378,.340,.964,.025,.333
645,Elliot Williams,.514,.189,.027,.054,.243,.486,.500,.875,.027,.167
73,Elton Brand,.989,.168,.147,.337,.337,.011,.833,,.011,1.000
207,Enes Freedom,.952,.503,.177,.089,.182,.048,.528,1.000,.039,.778
63,Eric Bledsoe,.740,.348,.120,.071,.203,.260,.211,.580,.020,.173
234,Eric Gordon,.546,.200,.148,.063,.133,.454,.361,.943,.000,.156
420,Eric Moreland,1.000,.000,1.000,.000,.000,.000,.000,,.000,
241,Erick Green,.710,.074,.130,.136,.370,.290,.489,.929,.019,.340
295,Ersan İlyasova,.659,.345,.066,.054,.194,.341,.714,.973,.007,.126
200,Evan Fournier,.609,.339,.125,.040,.104,.391,.446,.776,.037,.196
614,Evan Turner,.840,.248,.126,.263,.204,.160,.244,.818,.032,.319
194,Festus Ezeli,1.000,.518,.381,.065,.036,.000,.632,,.237,
215,Francisco García,.286,.127,.048,.095,.016,.714,.571,.900,.016,.378
8,Furkan Aldemir,.936,.628,.154,.013,.141,.064,.450,,.128,.000
401,Gal Mekel,.850,.200,.300,.150,.200,.150,.333,,.000,.333
590,Garrett Temple,.482,.218,.065,.053,.147,.518,.514,.879,.012,.409
265,Gary Harris,.525,.230,.078,.088,.129,.475,.511,.905,.055,.330
435,Gary Neal,.674,.109,.133,.141,.290,.326,.377,.580,.000,.122
279,George Hill,.639,.226,.140,.123,.150,.361,.237,.725,.019,.223
242,Gerald Green,.503,.132,.072,.130,.168,.497,.385,.737,.040,.266
273,Gerald Henderson,.839,.208,.106,.189,.336,.161,.517,.956,.044,.493
631,Gerald Wallace,.912,.706,.147,.000,.059,.088,.615,1.000,.029,.333
21,Giannis Antetokounmpo,.944,.506,.178,.067,.192,.056,.519,.857,.129,.159
146,Gigi Datome,.551,.135,.079,.169,.169,.449,.600,.944,.034,.125
154,Glen Davis,.984,.490,.200,.110,.184,.016,.761,,.020,.000
507,Glen Rice Jr.,.533,.200,.200,.067,.067,.467,.500,1.000,.000,.286
515,Glenn Robinson III,.716,.254,.179,.090,.194,.284,.524,1.000,.060,.316
170,Goran Dragić,.742,.415,.105,.126,.096,.258,.383,.756,.001,.320
271,Gordon Hayward,.696,.209,.172,.119,.197,.304,.299,.858,.046,.142
165,Gorgui Dieng,.988,.406,.234,.213,.135,.012,.632,1.000,.104,.000
313,Grant Jerrett,.423,.038,.231,.038,.115,.577,.500,1.000,.000,.267
418,Greg Monroe,1.000,.531,.393,.033,.043,.000,.499,,.027,
558,Greg Smith,1.000,.816,.163,.020,.000,.000,.900,,.163,
578,Greg Stiemsma,1.000,.625,.250,.125,.000,.000,.833,,.125,
619,Greivis Vásquez,.516,.112,.228,.076,.101,.484,.399,.812,.003,.131
38,Harrison Barnes,.672,.309,.122,.081,.160,.328,.611,.977,.104,.526
639,Hassan Whiteside,1.000,.530,.354,.093,.023,.000,.584,,.235,
613,Hedo Türkoğlu,.261,.074,.032,.032,.122,.739,.565,.900,.005,.230
552,Henry Sims,.956,.317,.179,.175,.285,.044,.709,1.000,.030,.227
627,Henry Walker,.214,.107,.060,.030,.018,.786,.538,.956,.024,.189
600,Hollis Thompson,.471,.175,.133,.061,.103,.529,.670,.983,.011,.199
115,Ian Clark,.455,.164,.127,.073,.091,.545,.444,1.000,.000,.400
374,Ian Mahinmi,1.000,.585,.302,.038,.075,.000,.607,,.156,
545,Iman Shumpert,.584,.187,.068,.104,.225,.416,.492,.940,.064,.403
99,Isaiah Canaan,.349,.172,.079,.026,.071,.651,.218,.516,.000,.154
592,Isaiah Thomas,.566,.253,.112,.080,.120,.434,.257,.690,.000,.118
559,Ish Smith,.837,.322,.417,.076,.022,.163,.200,.722,.005,.217
36,J.J. Barea,.688,.257,.243,.088,.101,.312,.152,.648,.000,.156
277,J.J. Hickson,.996,.558,.294,.096,.048,.004,.670,,.163,.500
562,J.R. Smith,.436,.106,.058,.062,.209,.564,.401,.791,.023,.192
506,JJ Redick,.512,.091,.049,.068,.304,.488,.887,.960,.000,.286
534,JaKarr Sampson,.633,.373,.188,.046,.029,.367,.470,.968,.075,.362
243,JaMychal Green,.872,.574,.085,.000,.213,.128,.593,,.128,.500
394,JaVale McGee,1.000,.557,.266,.127,.051,.000,.810,,.266,
78,Jabari Brown,.635,.276,.112,.094,.153,.365,.638,.913,.024,.145
460,Jabari Parker,.939,.430,.202,.137,.171,.061,.536,.750,.171,.313
127,Jack Cooley,1.000,.455,.318,.045,.182,.000,.667,,.000,
134,Jae Crowder,.618,.279,.070,.097,.174,.382,.679,.967,.031,.255
202,Jamaal Franklin,.000,.000,.000,.000,.000,1.000,,1.000,.000,.000
133,Jamal Crawford,.566,.079,.120,.118,.249,.434,.319,.748,.001,.198
439,Jameer Nelson,.488,.149,.105,.050,.185,.512,.259,.551,.000,.097
186,James Ennis III,.615,.372,.105,.024,.113,.385,.600,.935,.093,.453
261,James Harden,.622,.311,.106,.074,.131,.378,.166,.510,.023,.108
321,James Johnson,.874,.532,.238,.042,.062,.126,.458,1.000,.126,.471
327,James Jones,.129,.015,.015,.035,.065,.871,.818,.984,.000,.349
386,James Michael McAdoo,1.000,.705,.250,.023,.023,.000,.833,,.295,
668,James Young,.353,.098,.049,.020,.186,.647,.842,.941,.020,.197
459,Jannero Pargo,.371,.029,.000,.029,.314,.629,.333,1.000,.000,.136
138,Jared Cunningham,.606,.333,.061,.030,.182,.394,1.000,1.000,.091,.462
178,Jared Dudley,.546,.170,.050,.109,.217,.454,.782,1.000,.005,.359
585,Jared Sullinger,.740,.270,.222,.109,.140,.260,.521,.981,.017,.054
580,Jarnell Stokes,1.000,.703,.189,.081,.027,.000,.571,,.108,
298,Jarrett Jack,.821,.131,.214,.204,.272,.179,.191,.872,.001,.295
383,Jason Maxiell,1.000,.349,.302,.229,.120,.000,.753,,.078,
508,Jason Richardson,.461,.163,.073,.090,.135,.539,.452,.774,.006,.198
565,Jason Smith,.929,.145,.132,.206,.446,.071,.727,1.000,.008,.857
591,Jason Terry,.276,.070,.070,.054,.083,.724,.468,.937,.002,.446
602,Jason Thompson,.998,.313,.329,.098,.257,.002,.667,,.098,.000
3,Jeff Adrien,1.000,.523,.250,.114,.114,.000,.632,,.068,
32,Jeff Ayres,1.000,.653,.189,.116,.042,.000,.727,,.221,
246,Jeff Green,.698,.266,.208,.100,.124,.302,.498,.856,.069,.267
586,Jeff Taylor,.684,.307,.123,.053,.202,.316,.647,1.000,.088,.444
587,Jeff Teague,.767,.364,.234,.085,.083,.233,.193,.690,.024,.116
658,Jeff Withey,1.000,.563,.281,.109,.047,.000,.844,,.141,
238,Jerami Grant,.557,.321,.131,.037,.068,.443,.613,.980,.082,.276
398,Jerel McNeal,.818,.182,.364,.091,.182,.182,.500,1.000,.000,.000
190,Jeremy Evans,.914,.569,.155,.086,.103,.086,.633,1.000,.172,.600
347,Jeremy Lamb,.556,.160,.148,.108,.140,.444,.394,.763,.020,.135
365,Jeremy Lin,.731,.280,.148,.119,.183,.269,.297,.585,.000,.091
331,Jerome Jordan,1.000,.798,.074,.053,.074,.000,.680,,.234,
53,Jerrelle Benimon,,,,,,,,,,
46,Jerryd Bayless,.767,.242,.126,.078,.322,.233,.404,.973,.029,.425
206,Jimmer Fredette,.711,.217,.211,.133,.151,.289,.352,.889,.000,.250
90,Jimmy Butler,.788,.336,.121,.121,.212,.212,.569,.918,.058,.244
444,Joakim Noah,.995,.621,.176,.019,.180,.005,.637,,.063,.000
400,Jodie Meeks,.603,.189,.137,.101,.176,.397,.845,.932,.007,.217
266,Joe Harris,.300,.125,.067,.042,.067,.700,.765,.968,.000,.536
296,Joe Ingles,.429,.119,.093,.051,.167,.571,.293,.931,.014,.317
322,Joe Johnson,.671,.098,.279,.136,.159,.329,.231,.893,.001,.285
23,Joel Anthony,1.000,.516,.371,.113,.000,.000,.722,,.161,
211,Joel Freeland,1.000,.325,.245,.166,.265,.000,.689,,.060,
167,Joey Dorsey,.993,.772,.207,.007,.007,.007,.750,,.262,.000
350,Joffrey Lauvergne,.820,.506,.180,.056,.079,.180,.636,1.000,.112,.438
275,John Henson,1.000,.642,.332,.023,.003,.000,.765,,.176,
307,John Jenkins,.475,.121,.020,.040,.293,.525,.786,.905,.000,.308
372,John Lucas III,.721,.077,.135,.163,.346,.279,.182,.778,.000,.138
533,John Salmons,.458,.042,.063,.146,.208,.542,.500,.875,.021,.346
630,John Wall,.814,.288,.077,.127,.322,.186,.200,.646,.032,.198
452,Johnny O'Bryant,1.000,.292,.150,.150,.408,.000,.750,,.008,
363,Jon Leuer,.894,.319,.143,.150,.282,.106,.781,1.000,.062,.345
310,Jonas Jerebko,.631,.296,.150,.034,.150,.369,.687,1.000,.034,.264
617,Jonas Valančiūnas,.998,.505,.380,.063,.051,.002,.534,,.113,.000
1,Jordan Adams,.709,.291,.151,.081,.186,.291,.600,.900,.000,.360
118,Jordan Clarkson,.797,.287,.183,.106,.221,.203,.279,.737,.035,.099
196,Jordan Farmar,.386,.108,.032,.051,.196,.614,.269,.714,.000,.206
255,Jordan Hamilton,.400,.086,.143,.086,.086,.600,.250,.800,.000,.095
280,Jordan Hill,.986,.250,.227,.138,.372,.014,.619,.333,.058,.545
251,Jorge Gutiérrez,.927,.390,.146,.073,.317,.073,.682,,.000,.333
399,Josh McRoberts,.642,.415,.132,.038,.057,.358,.600,.875,.151,.000
566,Josh Smith,.769,.297,.291,.037,.144,.231,.579,.958,.047,.232
96,José Calderón,.599,.102,.025,.102,.370,.401,.545,.864,.000,.197
283,Jrue Holiday,.747,.264,.176,.172,.135,.253,.160,.549,.004,.259
500,Julius Randle,1.000,.333,.333,.000,.333,.000,.000,,.000,
256,Justin Hamilton,.826,.438,.191,.079,.118,.174,.747,1.000,.079,.161
284,Justin Holiday,.536,.200,.072,.072,.191,.464,.750,.943,.064,.239
451,Jusuf Nurkić,.995,.486,.397,.023,.089,.005,.673,,.055,.500
389,K.J. McDaniels,.654,.376,.131,.065,.083,.346,.519,.977,.113,.193
371,Kalin Lucas,1.000,.000,.000,1.000,.000,.000,,,.000,
360,Kawhi Leonard,.766,.212,.180,.187,.187,.234,.450,.970,.066,.385
455,Kelly Olynyk,.669,.356,.131,.076,.106,.331,.642,.951,.044,.109
629,Kemba Walker,.715,.258,.115,.130,.211,.285,.259,.659,.000,.089
377,Kendall Marshall,.545,.218,.129,.099,.099,.455,.357,.722,.000,.196
471,Kendrick Perkins,.996,.401,.511,.075,.009,.004,.676,,.101,.000
195,Kenneth Faried,.989,.577,.323,.054,.034,.011,.642,.000,.154,.250
48,Kent Bazemore,.601,.329,.151,.057,.063,.399,.624,.938,.066,.485
98,Kentavious Caldwell-Pope,.543,.226,.099,.080,.138,.457,.608,.863,.036,.241
379,Kenyon Martin,1.000,.500,.227,.045,.227,.000,.889,,.182,
181,Kevin Durant,.660,.206,.109,.184,.161,.340,.511,.656,.079,.094
216,Kevin Garnett,.977,.147,.134,.170,.526,.023,.789,1.000,.020,.286
369,Kevin Love,.588,.213,.181,.080,.114,.412,.691,.986,.030,.321
380,Kevin Martin,.694,.101,.117,.179,.296,.306,.547,.853,.013,.194
541,Kevin Séraphin,.996,.238,.384,.242,.131,.004,.593,,.062,.000
402,Khris Middleton,.692,.176,.112,.159,.245,.308,.596,.982,.018,.399
282,Kirk Hinrich,.559,.110,.118,.052,.278,.441,.452,.931,.000,.375
603,Klay Thompson,.580,.172,.107,.131,.171,.420,.556,.908,.019,.229
82,Kobe Bryant,.742,.136,.129,.185,.292,.258,.278,.463,.010,.103
345,Kosta Koufos,1.000,.447,.394,.101,.059,.000,.753,,.059,
458,Kostas Papanikolaou,.462,.274,.102,.046,.041,.538,.632,.968,.036,.396
292,Kris Humphries,.984,.325,.110,.164,.386,.016,.791,,.096,.714
19,Kyle Anderson,.876,.258,.213,.180,.225,.124,.357,1.000,.022,.545
344,Kyle Korver,.252,.047,.022,.035,.148,.748,.915,.964,.005,.247
370,Kyle Lowry,.625,.201,.138,.097,.188,.375,.262,.576,.000,.151
453,Kyle O'Quinn,.822,.285,.202,.103,.231,.178,.626,1.000,.054,.140
553,Kyle Singler,.460,.152,.110,.076,.121,.540,.605,.969,.016,.390
297,Kyrie Irving,.694,.273,.148,.137,.136,.306,.219,.618,.003,.206
10,LaMarcus Aldridge,.926,.193,.163,.206,.365,.074,.468,.919,.020,.295
577,Lance Stephenson,.809,.295,.124,.122,.269,.191,.280,.833,.005,.086
595,Lance Thomas,.950,.217,.213,.183,.337,.050,.646,1.000,.029,.864
199,Landry Fields,.951,.463,.341,.146,.000,.049,.632,1.000,.073,1.000
214,Langston Galloway,.656,.219,.088,.082,.266,.344,.472,.742,.020,.131
176,Larry Drew II,.552,.086,.138,.034,.293,.448,.375,.750,.000,.077
535,Larry Sanders,1.000,.733,.174,.076,.017,.000,.628,,.203,
11,Lavoy Allen,1.000,.314,.217,.090,.378,.000,.674,,.030,
303,LeBron James,.735,.334,.125,.116,.159,.265,.315,.467,.072,.115
35,Leandro Barbosa,.710,.370,.137,.088,.114,.290,.643,.884,.000,.259
290,Lester Hudson,.571,.214,.143,.071,.143,.429,.333,.667,.000,.500
79,Lorenzo Brown,.770,.369,.131,.148,.123,.230,.348,.667,.041,.143
14,Lou Amundson,.996,.502,.318,.122,.055,.004,.670,,.071,.000
648,Lou Williams,.518,.112,.125,.124,.157,.482,.283,.559,.006,.230
385,Luc Mbah a Moute,.682,.305,.086,.038,.253,.318,.630,.968,.027,.163
446,Lucas Nogueira,1.000,.625,.125,.125,.125,.000,1.000,,.375,
538,Luis Scola,.969,.375,.181,.070,.343,.031,.647,.800,.006,.550
33,Luke Babbitt,.401,.094,.135,.099,.073,.599,.515,1.000,.005,.426
509,Luke Ridnour,.642,.085,.091,.097,.369,.358,.164,.750,.000,.333
162,Luol Deng,.720,.309,.122,.098,.192,.280,.595,.974,.028,.500
358,Malcolm Lee,1.000,.000,1.000,.000,.000,.000,,,.000,
598,Malcolm Thomas,.825,.500,.225,.025,.075,.175,.667,,.100,.143
227,Manu Ginóbili,.562,.280,.151,.070,.061,.438,.451,.798,.002,.167
219,Marc Gasol,.984,.241,.281,.221,.242,.016,.628,.667,.054,.000
236,Marcin Gortat,.996,.475,.274,.186,.062,.004,.768,,.077,.000
52,Marco Belinelli,.511,.130,.079,.077,.226,.489,.637,.919,.004,.235
422,Marcus Morris,.590,.155,.096,.155,.185,.410,.443,.902,.014,.329
557,Marcus Smart,.430,.176,.090,.071,.092,.570,.393,.901,.015,.176
605,Marcus Thornton,.586,.223,.130,.046,.186,.414,.488,.870,.000,.147
109,Mario Chalmers,.626,.306,.166,.065,.089,.374,.366,.932,.006,.375
80,Markel Brown,.695,.290,.110,.090,.205,.305,.576,.941,.062,.406
423,Markieff Morris,.837,.229,.163,.246,.199,.163,.523,.982,.053,.145
573,Marreese Speights,.972,.316,.141,.102,.413,.028,.776,.800,.056,.222
636,Martell Webster,.527,.165,.044,.055,.264,.473,.357,.900,.044,.186
649,Marvin Williams,.465,.154,.087,.036,.188,.535,.748,.979,.022,.257
475,Mason Plumlee,.994,.744,.233,.012,.004,.006,.682,,.243,.000
39,Matt Barnes,.397,.253,.099,.014,.030,.603,.723,.985,.032,.468
67,Matt Bonner,.452,.048,.270,.070,.065,.548,.625,1.000,.004,.159
161,Matthew Dellavedova,.456,.059,.202,.121,.075,.544,.326,.897,.000,.323
262,Maurice Harkless,.646,.506,.108,.013,.019,.354,.623,1.000,.196,.536
362,Meyers Leonard,.543,.212,.147,.082,.102,.457,.795,.936,.102,.232
51,Michael Beasley,.840,.208,.184,.226,.222,.160,.357,1.000,.033,.294
105,Michael Carter-Williams,.834,.333,.229,.096,.176,.166,.204,.917,.032,.124
337,Michael Kidd-Gilchrist,1.000,.477,.156,.071,.297,.000,.714,,.056,
125,Mike Conley,.686,.277,.170,.098,.142,.314,.241,.720,.000,.159
180,Mike Dunleavy,.453,.173,.064,.031,.185,.547,.765,.963,.004,.186
408,Mike Miller,.140,.018,.018,.044,.061,.860,.200,1.000,.000,.347
433,Mike Muscala,.854,.364,.139,.126,.225,.146,.730,1.000,.106,.409
539,Mike Scott,.576,.183,.166,.117,.110,.424,.881,1.000,.038,.198
