,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
487,A.J. Price,.584,.044,.139,.175,.226,.416,.111,.667,.000,.123
77,Aaron Brooks,.617,.267,.180,.097,.073,.383,.126,.612,.000,.112
231,Aaron Gordon,.769,.462,.149,.096,.063,.231,.488,.923,.125,.542
466,Adreian Payne,.959,.264,.250,.145,.300,.041,.633,1.000,.095,.111
288,Al Horford,.963,.288,.211,.111,.352,.037,.789,.909,.088,.806
304,Al Jefferson,.995,.282,.363,.218,.132,.005,.597,.500,.015,.200
13,Al-Farouq Aminu,.653,.412,.134,.036,.070,.347,.673,1.000,.132,.500
18,Alan Anderson,.523,.230,.111,.095,.084,.477,.541,.822,.025,.367
88,Alec Burks,.773,.290,.177,.083,.223,.227,.316,.769,.033,.250
340,Alex Kirk,1.000,.500,.000,.000,.500,.000,.000,,.000,
359,Alex Len,.992,.544,.164,.167,.116,.008,.663,1.000,.204,.333
548,Alexey Shved,.585,.337,.101,.048,.099,.415,.302,.681,.012,.065
7,Alexis Ajinça,1.000,.353,.340,.198,.106,.000,.613,,.088,
132,Allen Crabbe,.444,.203,.026,.059,.157,.556,.848,1.000,.072,.412
222,Alonzo Gee,.812,.570,.129,.054,.059,.188,.473,1.000,.188,.829
581,Amar'e Stoudemire,.992,.514,.278,.073,.127,.008,.469,,.127,.000
316,Amir Johnson,.911,.489,.353,.025,.044,.089,.685,1.000,.089,.196
618,Anderson Varejão,.990,.455,.245,.150,.140,.010,.883,,.020,.000
155,Andre Dawkins,.000,.000,.000,.000,.000,1.000,,1.000,.000,.167
177,Andre Drummond,.998,.687,.290,.019,.003,.002,.579,,.196,.000
294,Andre Iguodala,.573,.290,.071,.079,.133,.427,.643,.905,.141,.377
404,Andre Miller,.883,.362,.266,.162,.093,.117,.290,.714,.000,.147
513,Andre Roberson,.577,.507,.055,.010,.005,.423,.761,.952,.149,.553
37,Andrea Bargnani,.886,.152,.188,.211,.335,.114,.685,1.000,.019,.000
339,Andrei Kirilenko,1.000,.600,.400,.000,.000,.000,,,.000,
66,Andrew Bogut,1.000,.592,.346,.056,.006,.000,.660,,.186,
443,Andrew Nicholson,.784,.147,.221,.116,.300,.216,.743,.923,.037,.317
641,Andrew Wiggins,.889,.312,.192,.162,.225,.111,.489,.872,.077,.246
54,Anthony Bennett,.923,.313,.067,.074,.468,.077,.754,1.000,.111,.261
152,Anthony Davis,.990,.352,.173,.177,.289,.010,.715,1.000,.135,.333
424,Anthony Morrow,.472,.088,.104,.146,.132,.528,.590,.972,.000,.357
608,Anthony Tolliver,.262,.153,.043,.013,.053,.738,.764,1.000,.015,.369
230,Archie Goodwin,.796,.527,.124,.035,.109,.204,.358,.917,.085,.195
456,Arinze Onuaku,1.000,.643,.357,.000,.000,.000,.750,,.286,
47,Aron Baynes,.988,.554,.272,.089,.073,.012,.793,1.000,.131,.250
4,Arron Afflalo,.623,.124,.136,.161,.202,.377,.549,.958,.000,.387
157,Austin Daye,.496,.092,.135,.128,.142,.504,.577,.958,.007,.296
510,Austin Rivers,.736,.290,.236,.081,.129,.264,.378,.897,.026,.282
71,Avery Bradley,.652,.168,.050,.044,.389,.348,.661,.895,.016,.358
232,Ben Gordon,.671,.088,.149,.136,.298,.329,.330,.714,.000,.186
397,Ben McLemore,.529,.217,.123,.048,.142,.471,.628,.914,.079,.366
616,Beno Udrih,.808,.210,.083,.212,.303,.192,.423,.885,.000,.227
302,Bernard James,1.000,.815,.185,.000,.000,.000,.833,,.185,
57,Bismack Biyombo,1.000,.737,.231,.022,.011,.000,.564,,.242,
250,Blake Griffin,.978,.332,.185,.082,.378,.022,.672,.800,.080,.240
65,Bojan Bogdanović,.556,.269,.130,.082,.075,.444,.635,.934,.026,.445
164,Boris Diaw,.733,.291,.282,.071,.089,.267,.540,.963,.002,.124
50,Bradley Beal,.696,.206,.086,.125,.280,.304,.553,.858,.041,.259
662,Brandan Wright,.992,.592,.325,.058,.017,.008,.738,,.273,.333
44,Brandon Bass,.953,.369,.129,.183,.272,.047,.690,1.000,.149,.875
149,Brandon Davies,.752,.336,.182,.109,.124,.248,.660,.875,.022,.059
309,Brandon Jennings,.611,.280,.118,.087,.127,.389,.261,.461,.006,.147
341,Brandon Knight,.639,.273,.073,.072,.221,.361,.296,.656,.020,.196
531,Brandon Rush,.500,.167,.093,.056,.185,.500,.250,1.000,.019,.222
272,Brendan Haywood,1.000,.167,.667,.133,.033,.000,.786,,.067,
514,Brian Roberts,.573,.100,.086,.106,.281,.427,.404,.710,.000,.135
367,Brook Lopez,.990,.314,.337,.151,.187,.010,.648,1.000,.040,.400
94,Bruno Caboclo,.750,.250,.417,.000,.083,.250,1.000,1.000,.083,.333
129,Bryce Cotton,.710,.087,.188,.101,.333,.290,.318,.714,.029,.100
403,C.J. Miles,.461,.141,.067,.086,.167,.539,.634,.909,.045,.251
633,C.J. Watson,.580,.177,.089,.086,.228,.420,.315,.771,.000,.269
642,C.J. Wilcox,.500,.132,.053,.053,.263,.500,.667,.857,.000,.263
388,CJ McCollum,.619,.214,.118,.115,.173,.381,.288,.855,.016,.338
34,Cameron Bairstow,1.000,.357,.143,.071,.429,.000,.667,,.000,
348,Carl Landry,1.000,.352,.203,.125,.320,.000,.716,,.068,
69,Carlos Boozer,1.000,.376,.179,.214,.231,.000,.663,,.013,
22,Carmelo Anthony,.778,.221,.089,.185,.283,.222,.380,.787,.020,.089
89,Caron Butler,.447,.063,.033,.078,.273,.553,.679,.928,.003,.228
378,Cartier Martin,.377,.094,.075,.019,.189,.623,.667,.833,.000,.303
462,Chandler Parsons,.581,.316,.145,.049,.071,.419,.446,.909,.031,.265
212,Channing Frye,.290,.051,.055,.033,.150,.710,.636,.978,.006,.095
620,Charlie Villanueva,.390,.157,.122,.058,.052,.610,.672,.988,.022,.249
83,Chase Budinger,.633,.262,.136,.100,.136,.367,.667,1.000,.036,.280
17,Chris Andersen,.937,.705,.087,.043,.101,.063,.784,1.000,.271,.538
70,Chris Bosh,.774,.166,.114,.199,.295,.226,.518,.984,.024,.119
128,Chris Copeland,.461,.216,.145,.026,.074,.539,.317,.962,.010,.251
169,Chris Douglas-Roberts,.667,.429,.143,.048,.048,.333,.500,1.000,.048,.857
317,Chris Johnson,.383,.247,.065,.032,.039,.617,.735,.929,.013,.526
333,Chris Kaman,1.000,.366,.268,.179,.188,.000,.629,,.027,
465,Chris Paul,.702,.096,.105,.232,.269,.298,.117,.424,.001,.135
270,Chuck Hayes,1.000,.565,.413,.022,.000,.000,.909,,.000,
182,Cleanthony Early,.607,.280,.112,.051,.164,.393,.593,.909,.065,.310
102,Clint Capela,1.000,.724,.276,.000,.000,.000,.929,,.379,
673,Cody Zeller,.997,.509,.075,.040,.373,.003,.848,1.000,.142,.000
9,Cole Aldrich,1.000,.359,.575,.060,.007,.000,.653,,.093,
74,Corey Brewer,.708,.381,.163,.056,.108,.292,.657,.968,.065,.626
305,Cory Jefferson,.910,.347,.216,.162,.186,.090,.534,1.000,.174,.333
332,Cory Joseph,.893,.392,.185,.134,.182,.107,.403,.938,.002,.568
356,Courtney Lee,.652,.156,.103,.145,.249,.348,.601,.989,.002,.353
29,D.J. Augustin,.620,.250,.209,.057,.104,.380,.154,.590,.000,.179
326,Dahntay Jones,.810,.286,.095,.238,.190,.190,1.000,,.000,1.000
364,Damian Lillard,.579,.285,.089,.058,.147,.421,.241,.510,.024,.119
530,Damjan Rudež,.354,.095,.023,.042,.194,.646,.760,.957,.011,.371
213,Danilo Gallinari,.470,.171,.085,.048,.167,.530,.438,.879,.030,.216
237,Danny Granger,.481,.154,.049,.093,.185,.519,.571,.933,.006,.298
239,Danny Green,.381,.169,.058,.056,.098,.619,.649,.937,.007,.328
137,Dante Cunningham,.971,.245,.094,.071,.560,.029,.929,1.000,.035,.300
193,Dante Exum,.365,.125,.111,.022,.108,.635,.468,.940,.038,.394
407,Darius Miller,.857,.000,.286,.286,.286,.143,.000,,.000,.000
421,Darius Morris,.689,.311,.123,.132,.123,.311,.241,.857,.009,.333
27,Darrell Arthur,.714,.138,.063,.138,.375,.286,.791,.962,.034,.173
123,Darren Collison,.707,.247,.093,.107,.260,.293,.225,.650,.009,.304
357,David Lee,.994,.482,.326,.080,.105,.006,.706,,.077,.000
579,David Stockton,.667,.333,.333,.000,.000,.333,.000,1.000,.000,.000
634,David Wear,.500,.500,.000,.000,.000,.500,,,.000,.000
637,David West,.971,.159,.198,.157,.456,.029,.740,1.000,.006,.150
330,DeAndre Jordan,.993,.919,.071,.002,.000,.007,.690,.000,.532,.000
61,DeJuan Blair,1.000,.386,.474,.123,.018,.000,.692,,.035,
163,DeMar DeRozan,.911,.193,.153,.228,.337,.089,.417,.960,.033,.659
130,DeMarcus Cousins,.992,.428,.250,.078,.237,.008,.520,1.000,.072,.125
103,DeMarre Carroll,.534,.308,.121,.043,.063,.466,.727,.992,.018,.438
537,Dennis Schröder,.777,.379,.155,.066,.177,.223,.207,.673,.009,.101
643,Deron Williams,.693,.213,.179,.106,.196,.307,.199,.782,.001,.156
197,Derrick Favors,.993,.442,.214,.204,.134,.007,.680,1.000,.117,.333
527,Derrick Rose,.675,.262,.154,.104,.154,.325,.248,.684,.006,.041
644,Derrick Williams,.678,.342,.142,.060,.134,.322,.685,.918,.151,.308
263,Devin Harris,.492,.240,.103,.046,.103,.508,.226,.811,.002,.177
375,Devyn Marble,.500,.273,.136,.045,.045,.500,.500,1.000,.045,.545
160,Dewayne Dedmon,.994,.679,.272,.019,.025,.006,.538,,.309,.000
624,Dion Waiters,.740,.335,.089,.055,.261,.260,.371,.849,.024,.447
450,Dirk Nowitzki,.742,.066,.070,.283,.323,.258,.640,.981,.004,.040
556,Donald Sloan,.631,.287,.149,.065,.130,.369,.106,.683,.006,.122
425,Donatas Motiejūnas,.810,.280,.466,.051,.013,.190,.595,.980,.026,.436
666,Dorell Wright,.432,.158,.126,.037,.111,.568,.387,.976,.032,.333
392,Doug McDermott,.617,.402,.075,.028,.112,.383,.767,.923,.028,.171
240,Draymond Green,.570,.335,.115,.051,.069,.430,.737,1.000,.051,.085
229,Drew Gooden,.786,.221,.094,.080,.391,.214,.655,.957,.007,.203
233,Drew Gordon,.842,.474,.158,.053,.158,.158,.875,,.053,.000
92,Dwight Buycks,.725,.300,.075,.125,.225,.275,.091,.571,.000,.091
289,Dwight Howard,.995,.624,.364,.002,.005,.005,.612,1.000,.265,.000
483,Dwight Powell,.836,.358,.104,.075,.299,.164,.714,1.000,.104,.273
623,Dwyane Wade,.906,.230,.189,.204,.283,.094,.342,.483,.024,.176
419,E'Twaun Moore,.727,.201,.230,.173,.122,.273,.490,.846,.007,.421
40,Earl Barron,.897,.282,.051,.205,.359,.103,.900,1.000,.000,.250
114,Earl Clark,.533,.133,.000,.033,.367,.467,.571,1.000,.000,.143
153,Ed Davis,1.000,.721,.243,.036,.000,.000,.652,,.181,
