,Player,G,MP,FTr,USG%
217,A.J. Hammons,22,163,.476,17.6
71,Aaron Brooks,65,894,.133,19.2
201,Aaron Gordon,80,2298,.251,20.1
229,Aaron Harrison,5,17,.500,12.9
444,Adreian Payne,18,135,.352,23.1
258,Al Horford,68,2193,.169,19.7
282,Al Jefferson,66,931,.180,26.1
11,Al-Farouq Aminu,61,1773,.292,15.4
13,Alan Anderson,30,308,.200,13.7
587,Alan Williams,47,708,.419,20.9
81,Alec Burks,42,653,.315,22.7
329,Alex Len,77,1560,.449,17.6
465,Alex Poythress,6,157,.185,16.9
6,Alexis Ajinça,39,584,.225,17.2
118,Allen Crabbe,79,2254,.192,14.9
189,Alonzo Gee,13,89,.643,10.5
289,Amir Johnson,80,1608,.270,13.6
564,Anderson Varejão,14,92,.786,12.6
142,Andre Drummond,81,2409,.390,22.4
268,Andre Iguodala,76,1998,.246,11.2
479,Andre Roberson,79,2376,.240,10.1
60,Andrew Bogut,27,583,.136,10.4
230,Andrew Harrison,72,1474,.539,16.4
410,Andrew Nicholson,38,342,.126,17.0
585,Andrew Wiggins,82,3048,.345,29.0
49,Anthony Bennett,23,264,.391,19.4
72,Anthony Brown,11,159,.000,15.6
126,Anthony Davis,75,2708,.424,32.6
392,Anthony Morrow,49,714,.147,16.4
547,Anthony Tolliver,65,1477,.234,13.6
198,Archie Goodwin,15,214,.636,19.8
433,Arinze Onuaku,8,28,.000,9.4
40,Aron Baynes,75,1163,.337,14.1
5,Arron Afflalo,61,1580,.221,14.4
478,Austin Rivers,74,2054,.261,20.3
66,Avery Bradley,55,1835,.120,21.9
548,Axel Toupane,4,47,.000,8.5
50,Ben Bentil,3,10,.000,18.9
374,Ben McLemore,61,1176,.222,20.1
557,Beno Udrih,39,560,.173,19.6
53,Bismack Biyombo,81,1793,.690,13.2
215,Blake Griffin,61,2076,.434,28.0
355,Boban Marjanović,35,293,.439,25.3
75,Bobby Brown,25,123,.033,22.7
461,Bobby Portis,64,1000,.157,19.1
57,Bojan Bogdanović,81,2083,.288,22.4
137,Boris Diaw,73,1283,.107,15.6
42,Bradley Beal,77,2684,.259,26.5
607,Brandan Wright,28,447,.259,16.3
37,Brandon Bass,52,577,.473,19.7
274,Brandon Ingram,79,2279,.312,16.8
285,Brandon Jennings,81,1802,.284,17.6
312,Brandon Knight,54,1140,.293,25.0
493,Brandon Rush,47,1030,.096,9.6
480,Brian Roberts,41,416,.320,17.9
576,Briante Weber,20,205,.267,16.3
290,Brice Johnson,3,9,.000,39.8
343,Brook Lopez,75,2222,.311,29.2
83,Bruno Caboclo,9,40,.000,20.1
173,Bryn Forbes,36,285,.061,17.9
244,Buddy Hield,82,1888,.099,21.3
382,C.J. Miles,76,1776,.144,18.4
575,C.J. Watson,62,1012,.266,14.1
586,C.J. Wilcox,22,108,.065,15.4
361,CJ McCollum,80,2796,.204,27.5
445,Cameron Payne,31,462,.041,20.9
334,Caris LeVert,57,1237,.245,16.6
20,Carmelo Anthony,74,2538,.263,29.1
440,Chandler Parsons,34,675,.194,17.8
179,Channing Frye,74,1398,.142,19.3
469,Chasson Randle,26,299,.439,19.7
136,Cheick Diallo,17,199,.276,20.5
434,Chinanu Onuaku,5,52,.571,10.4
12,Chris Andersen,12,114,.636,13.0
363,Chris McCullough,16,80,.156,19.9
443,Chris Paul,61,1921,.331,24.4
605,Christian Wood,13,107,.652,15.4
89,Clint Capela,65,1551,.314,19.9
614,Cody Zeller,62,1725,.442,15.5
7,Cole Aldrich,62,531,.256,9.4
67,Corey Brewer,82,1281,.195,14.3
307,Cory Joseph,80,2003,.185,18.4
327,Courtney Lee,77,2459,.139,14.4
167,Cristiano Felício,66,1040,.421,12.4
494,D'Angelo Russell,63,1811,.217,26.6
26,D.J. Augustin,78,1538,.311,19.4
297,Dahntay Jones,1,12,.500,39.9
298,Damian Jones,10,85,.625,13.4
338,Damian Lillard,75,2694,.366,31.5
492,Damjan Rudež,45,314,.000,13.6
428,Daniel Ochefu,19,75,.074,18.0
180,Danilo Gallinari,63,2134,.516,20.0
210,Danny Green,68,1807,.071,13.5
122,Dante Cunningham,66,1649,.075,10.7
162,Dante Exum,66,1228,.201,18.1
259,Danuel House Jr.,1,1,,0.0
497,Dario Šarić,81,2129,.237,24.6
23,Darrell Arthur,41,639,.102,17.3
107,Darren Collison,68,2063,.239,19.8
251,Darrun Hilliard,39,381,.222,19.3
328,David Lee,79,1477,.269,16.9
423,David Nwaba,20,397,.481,11.8
579,David West,68,854,.222,17.9
306,DeAndre Jordan,81,2570,.737,15.3
335,DeAndre Liggins,62,777,.282,11.6
46,DeAndre' Bembry,38,371,.163,14.2
135,DeMar DeRozan,74,2620,.419,34.3
114,DeMarcus Cousins,72,2465,.468,36.5
90,DeMarre Carroll,72,1882,.213,15.6
399,Dejounte Murray,38,322,.259,23.5
608,Delon Wright,27,446,.474,16.6
277,Demetrius Jackson,5,17,1.500,17.3
499,Dennis Schröder,79,2485,.210,27.8
562,Denzel Valentine,57,976,.063,15.4
588,Deron Williams,64,1657,.182,22.1
165,Derrick Favors,50,1186,.261,20.7
299,Derrick Jones Jr.,32,545,.339,11.7
486,Derrick Rose,64,2082,.259,25.7
591,Derrick Williams,50,804,.365,17.2
64,Devin Booker,78,2730,.308,28.6
223,Devin Harris,65,1087,.378,19.7
130,Dewayne Dedmon,76,1330,.359,12.3
128,Deyonta Davis,36,238,.383,12.0
526,Diamond Stone,7,24,.308,31.3
571,Dion Waiters,46,1384,.192,26.3
419,Dirk Nowitzki,54,1424,.165,25.8
495,Domantas Sabonis,81,1632,.139,15.4
395,Donatas Motiejūnas,34,479,.355,17.6
172,Dorian Finney-Smith,81,1642,.183,11.6
369,Doug McDermott,66,1508,.169,16.4
48,Dragan Bender,43,574,.068,14.4
211,Draymond Green,76,2471,.328,16.2
260,Dwight Howard,74,2199,.692,19.2
463,Dwight Powell,77,1333,.374,16.7
570,Dwyane Wade,60,1792,.294,29.6
51,Dāvis Bertāns,67,808,.145,15.7
389,E'Twaun Moore,73,1820,.120,17.4
129,Ed Davis,46,789,.570,12.0
529,Edy Tavares,2,28,.600,13.2
448,Elfrid Payton,82,2412,.231,21.6
385,Elijah Millsap,2,23,.286,18.0
397,Emmanuel Mudiay,55,1406,.303,22.6
178,Enes Freedom,72,1533,.387,27.3
56,Eric Bledsoe,66,2176,.443,28.1
202,Eric Gordon,75,2323,.172,22.1
269,Ersan İlyasova,82,2142,.233,22.2
174,Evan Fournier,68,2234,.298,23.5
555,Evan Turner,65,1658,.187,18.5
308,Frank Kaminsky,75,1954,.195,21.8
563,Fred VanVleet,37,294,.198,20.6
536,Garrett Temple,65,1728,.171,14.2
224,Gary Harris,57,1782,.210,18.4
406,Gary Neal,2,18,.571,21.2
449,Gary Payton II,6,99,.227,15.8
248,George Hill,49,1544,.323,23.5
409,Georges Niang,23,93,.056,20.2
437,Georgios Papagiannis,22,355,.137,16.9
212,Gerald Green,47,538,.177,22.7
236,Gerald Henderson,72,1667,.298,17.9
19,Giannis Antetokounmpo,80,2845,.486,28.3
481,Glenn Robinson III,69,1427,.225,12.8
141,Goran Dragić,73,2459,.335,27.1
235,Gordon Hayward,73,2516,.371,27.6
138,Gorgui Dieng,82,2653,.253,14.0
388,Greg Monroe,81,1823,.329,24.3
565,Greivis Vásquez,3,39,.375,11.3
32,Harrison Barnes,79,2803,.220,25.3
584,Hassan Whiteside,77,2513,.368,22.7
151,Henry Ellenson,19,146,.125,24.7
540,Hollis Thompson,40,752,.145,13.0
104,Ian Clark,77,1137,.134,19.5
352,Ian Mahinmi,31,555,.676,14.0
509,Iman Shumpert,76,1937,.184,14.0
88,Isaiah Canaan,39,592,.191,15.4
532,Isaiah Taylor,4,52,.286,6.4
538,Isaiah Thomas,76,2569,.441,34.0
582,Isaiah Whitehead,73,1643,.222,18.2
514,Ish Smith,81,1955,.136,20.5
618,Ivica Zubac,38,609,.206,20.3
31,J.J. Barea,35,771,.149,26.2
515,J.R. Smith,41,1187,.042,14.6
474,JJ Redick,78,2198,.227,22.0
213,JaMychal Green,77,2101,.334,14.4
372,JaVale McGee,77,739,.348,23.8
438,Jabari Parker,51,1728,.268,26.5
121,Jae Crowder,72,2335,.301,17.0
429,Jahlil Okafor,50,1134,.335,24.1
326,Jake Layman,35,249,.191,19.0
458,Jakob Poeltl,54,626,.496,12.1
119,Jamal Crawford,82,2157,.233,22.7
400,Jamal Murray,82,1764,.164,21.6
407,Jameer Nelson,75,2045,.104,15.8
155,James Ennis III,64,1501,.343,13.0
219,James Harden,81,2947,.575,34.2
291,James Johnson,76,2085,.280,22.0
300,James Jones,48,381,.217,13.0
359,James Michael McAdoo,52,457,.359,14.6
609,James Young,29,220,.155,13.3
143,Jared Dudley,64,1362,.188,13.8
528,Jared Sullinger,11,118,.170,20.7
149,Jarell Eddie,5,62,.474,16.2
356,Jarell Martin,42,558,.331,16.4
525,Jarnell Stokes,2,7,2.000,11.4
