,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
529,Chris Webber,.983,.256,.259,.122,.346,.017,.568,1.000,.068,.000
535,Chris Whitney,.472,.089,.074,.072,.234,.528,.348,.591,.000,.177
271,Christian Laettner,.976,.381,.123,.165,.307,.024,.652,1.000,.027,.385
16,Chucky Atkins,.644,.162,.051,.105,.326,.356,.371,.884,.000,.218
54,Chucky Brown,.968,.221,.105,.200,.442,.032,.725,,.021,.667
528,Clarence Weatherspoon,1.000,.465,.305,.145,.085,.000,.631,,.082,
439,Clifford Robinson,.790,.196,.226,.172,.196,.210,.757,1.000,.030,.277
30,Corey Benjamin,.732,.278,.096,.126,.232,.268,.564,.905,.063,.148
293,Corey Maggette,.885,.388,.170,.140,.187,.115,.519,.941,.066,.339
36,Corie Blount,.973,.374,.228,.170,.201,.027,.656,1.000,.099,.375
547,Corliss Williamson,.997,.416,.301,.179,.100,.003,.668,,.019,.000
3,Cory Alexander,.714,.161,.071,.143,.339,.286,.286,1.000,.000,.125
4,Courtney Alexander,.920,.180,.117,.232,.391,.080,.581,.588,.005,.174
344,Cuttino Mobley,.792,.309,.121,.127,.236,.208,.387,.844,.030,.266
119,Dale Davis,.992,.505,.181,.211,.094,.008,.657,,.152,.000
20,Dalibor Bagarić,.985,.369,.231,.185,.200,.015,.412,,.046,1.000
250,Damon Jones,.445,.166,.072,.041,.166,.555,.535,.738,.002,.342
485,Damon Stoudamire,.766,.229,.113,.118,.306,.234,.346,.805,.000,.160
276,Dan Langhi,.990,.263,.182,.091,.455,.010,.595,,.030,.000
295,Dan Majerle,.301,.135,.050,.019,.097,.699,.700,.947,.000,.160
313,Dan McClintock,1.000,.389,.222,.222,.167,.000,.556,,.000,
24,Dana Barros,.745,.146,.046,.104,.449,.255,.360,.864,.000,.114
461,Daniel Santiago,1.000,.485,.299,.090,.127,.000,.766,,.172,
157,Danny Ferry,.584,.019,.032,.149,.384,.416,.833,.971,.000,.442
161,Danny Fortson,1.000,.420,.280,.240,.060,.000,.379,,.040,
298,Danny Manning,.944,.256,.228,.184,.276,.056,.692,1.000,.006,.036
332,Darius Miles,.970,.538,.184,.130,.117,.030,.606,1.000,.148,.158
15,Darrell Armstrong,.598,.160,.068,.128,.243,.402,.315,.734,.003,.151
303,Darrick Martin,.645,.368,.079,.026,.171,.355,.333,.571,.000,.148
192,Darvin Ham,.963,.575,.113,.213,.063,.038,.784,.000,.300,.000
31,David Benoit,.912,.272,.109,.190,.340,.088,.727,.600,.075,.231
440,David Robinson,.999,.417,.205,.259,.118,.001,.743,,.145,.000
516,David Vanterpool,.945,.282,.282,.082,.300,.055,.391,,.000,.333
532,David Wesley,.792,.167,.037,.107,.480,.208,.714,.938,.000,.233
553,David Wingate,1.000,.333,.667,.000,.000,.000,1.000,,.000,
479,DeShawn Stevenson,.868,.451,.165,.077,.176,.132,.767,1.000,.077,.500
174,Dean Garrett,1.000,.359,.256,.308,.077,.000,.720,,.115,
57,Dee Brown,.273,.000,.023,.023,.227,.727,.250,.750,.000,.250
110,Dell Curry,.620,.052,.018,.097,.453,.380,.780,.919,.000,.352
246,DerMarr Johnson,.674,.262,.090,.151,.172,.326,.667,.976,.064,.323
10,Derek Anderson,.745,.251,.072,.121,.302,.255,.529,.871,.047,.308
159,Derek Fisher,.663,.102,.048,.080,.433,.337,.635,.880,.000,.159
495,Derek Strong,.991,.350,.145,.179,.316,.009,.644,,.017,.000
94,Derrick Coleman,.800,.208,.212,.231,.149,.200,.688,1.000,.035,.196
133,Derrick Dial,.880,.277,.108,.108,.386,.120,.588,.000,.000,.200
320,Derrick McKey,.853,.272,.213,.096,.272,.147,.679,1.000,.007,.400
307,Desmond Mason,.847,.267,.123,.134,.323,.153,.690,1.000,.052,.388
462,Detlef Schrempf,.916,.200,.263,.147,.305,.084,.556,1.000,.021,.125
179,Devean George,.671,.246,.159,.082,.184,.329,.490,.800,.039,.309
361,Dikembe Mutombo,1.000,.437,.428,.131,.004,.000,.390,,.122,
182,Dion Glover,.863,.387,.173,.146,.158,.137,.508,.556,.042,.152
375,Dirk Nowitzki,.687,.212,.098,.166,.212,.313,.602,.947,.036,.290
291,Don MacLean,.900,.300,.150,.200,.250,.100,.875,1.000,.000,.000
431,Don Reid,1.000,.669,.269,.048,.014,.000,.659,,.172,
208,Donnell Harvey,1.000,.357,.357,.214,.071,.000,.375,,.071,
302,Donyell Marshall,.849,.514,.135,.062,.138,.151,.689,.976,.110,.273
88,Doug Christie,.683,.308,.124,.070,.180,.317,.502,.926,.043,.388
388,Doug Overton,.741,.194,.086,.122,.338,.259,.390,.727,.000,.139
533,Doug West,.947,.263,.105,.158,.421,.053,.727,,.026,.500
501,Dragan Tarlać,1.000,.232,.394,.242,.131,.000,.795,,.020,
80,Duane Causwell,1.000,.365,.388,.224,.024,.000,.656,,.082,
50,Earl Boykins,.873,.254,.175,.238,.206,.127,.333,1.000,.000,.375
180,Eddie Gill,.780,.146,.049,.146,.439,.220,.385,.667,.000,.111
218,Eddie House,.777,.093,.073,.150,.462,.223,.529,1.000,.000,.309
251,Eddie Jones,.727,.207,.085,.118,.317,.273,.523,.956,.025,.265
441,Eddie Robinson,.990,.258,.115,.339,.278,.010,.822,1.000,.066,.500
366,Eduardo Nájera,.973,.586,.198,.108,.081,.027,.561,.000,.063,.333
73,Elden Campbell,.993,.282,.324,.283,.104,.007,.728,,.078,.000
428,Eldridge Recasner,.658,.254,.070,.070,.263,.342,.680,.692,.000,.128
407,Elliot Perry,.964,.121,.036,.179,.629,.036,.391,.000,.000,.000
52,Elton Brand,.998,.310,.315,.287,.086,.002,.666,,.042,1.000
120,Emanual Davis,.601,.176,.142,.135,.148,.399,.482,.920,.000,.394
349,Eric Montross,1.000,.341,.406,.225,.029,.000,.607,,.065,
412,Eric Piatkowski,.558,.165,.085,.101,.207,.442,.673,.892,.004,.253
473,Eric Snow,.956,.202,.147,.359,.248,.044,.503,.800,.002,.053
538,Eric Williams,.690,.261,.208,.112,.109,.310,.466,.957,.018,.712
23,Erick Barkley,.636,.273,.000,.091,.273,.364,.400,.667,.000,.125
112,Erick Dampier,.994,.338,.487,.134,.035,.006,.548,,.057,.000
486,Erick Strickland,.644,.202,.086,.142,.213,.356,.549,.933,.007,.211
247,Ervin Johnson,1.000,.621,.263,.106,.010,.000,.556,,.096,
41,Etdrick Bohannon,1.000,1.000,.000,.000,.000,.000,.000,,.000,
154,Evan Eschmeyer,1.000,.760,.175,.050,.015,.000,.696,,.130,
285,Felipe López,.891,.452,.119,.111,.209,.109,.661,.947,.042,.635
474,Felton Spencer,1.000,.750,.250,.000,.000,.000,.750,,.050,
216,Fred Hoiberg,.495,.154,.012,.040,.289,.505,.851,.961,.020,.092
254,Garth Joseph,1.000,.000,1.000,.000,.000,.000,.000,,.000,
186,Gary Grant,1.000,.143,.000,.000,.857,.000,.800,,.000,
402,Gary Payton,.829,.238,.230,.170,.190,.171,.286,.804,.000,.272
511,Gary Trent,.992,.431,.423,.115,.023,.008,.632,,.046,.000
289,George Lynch,.907,.354,.196,.188,.169,.093,.718,.933,.039,.509
314,George McCloud,.643,.168,.079,.096,.299,.357,.711,.935,.006,.209
263,Gerard King,1.000,.193,.227,.301,.278,.000,.756,,.034,
433,Glen Rice,.719,.170,.121,.144,.285,.281,.546,.915,.007,.270
442,Glenn Robinson,.874,.145,.169,.362,.199,.126,.566,.873,.028,.185
214,Grant Hill,.977,.302,.163,.465,.047,.023,.389,1.000,.023,1.000
283,Grant Long,.953,.232,.107,.097,.517,.047,.721,1.000,.031,.333
14,Greg Anthony,.372,.083,.032,.067,.190,.628,.406,.723,.000,.195
65,Greg Buckner,.964,.500,.297,.109,.057,.036,.659,1.000,.031,.571
162,Greg Foster,.932,.083,.143,.308,.398,.068,.604,1.000,.008,.000
386,Greg Ostertag,.993,.644,.242,.089,.018,.007,.681,.000,.185,.000
380,Hakeem Olajuwon,.998,.308,.199,.319,.173,.002,.636,,.033,.000
353,Hanno Möttölä,.989,.274,.217,.235,.264,.011,.707,,.032,.000
513,Hedo Türkoğlu,.743,.263,.140,.116,.224,.257,.455,.821,.018,.453
209,Hersey Hawkins,.664,.255,.124,.044,.241,.336,.744,1.000,.000,.130
187,Horace Grant,.995,.355,.090,.146,.404,.005,.768,,.037,.000
144,Howard Eisley,.601,.135,.104,.104,.259,.399,.304,.710,.000,.175
121,Hubert Davis,.605,.176,.148,.081,.201,.395,.288,.885,.000,.117
49,Ira Bowman,1.000,.000,.500,.500,.000,.000,,,.000,
372,Ira Newble,.836,.291,.055,.182,.309,.164,.706,.750,.055,1.000
18,Isaac Austin,.911,.178,.100,.111,.522,.089,.822,1.000,.033,.458
437,Isaiah Rider,.805,.167,.155,.193,.290,.195,.473,.824,.004,.043
432,J.R. Reid,1.000,.200,.000,.200,.600,.000,.500,,.000,
467,Jabari Smith,1.000,.182,.091,.364,.364,.000,.727,,.045,
517,Jacque Vaughn,.802,.277,.059,.074,.392,.198,.357,.467,.000,.077
534,Jahidi White,.998,.645,.321,.032,.000,.002,.562,,.181,1.000
512,Jake Tsakalidis,1.000,.470,.353,.102,.074,.000,.663,,.158,
521,Jake Voskuhl,1.000,.480,.360,.160,.000,.000,.455,,.120,
451,Jalen Rose,.860,.111,.203,.260,.286,.140,.528,.864,.007,.420
294,Jamaal Magloire,.993,.513,.247,.103,.129,.007,.697,,.181,.000
103,Jamal Crawford,.615,.135,.066,.115,.299,.385,.439,.951,.013,.068
305,Jamal Mashburn,.792,.192,.105,.208,.286,.208,.534,.893,.016,.260
443,Jamal Robinson,.909,.227,.182,.136,.364,.091,.667,,.045,.000
504,Jamel Thomas,.842,.368,.000,.158,.316,.158,.200,1.000,.000,.333
421,James Posey,.632,.358,.073,.061,.141,.368,.697,.923,.075,.465
444,James Robinson,.545,.091,.000,.091,.364,.455,.500,1.000,.000,.000
156,Jamie Feick,1.000,.565,.000,.087,.348,.000,.750,,.043,
230,Jaren Jackson,.550,.050,.000,.175,.325,.450,.667,1.000,.025,.667
70,Jason Caffey,1.000,.540,.232,.207,.022,.000,.665,,.084,
96,Jason Collier,.986,.239,.197,.127,.423,.014,.815,,.014,.000
206,Jason Hart,1.000,1.000,.000,.000,.000,.000,.000,,.000,
262,Jason Kidd,.789,.248,.112,.165,.263,.211,.348,.754,.002,.108
503,Jason Terry,.770,.131,.121,.225,.293,.230,.339,.774,.007,.175
539,Jason Williams,.549,.213,.075,.038,.223,.451,.361,.643,.000,.087
163,Jeff Foster,.967,.540,.183,.075,.169,.033,.653,1.000,.169,.143
319,Jeff McInnis,.846,.098,.245,.274,.228,.154,.297,.885,.002,.042
315,Jelani McCoy,1.000,.610,.345,.042,.004,.000,.609,,.197,
376,Jermaine O'Neal,.994,.378,.382,.164,.070,.006,.599,,.116,.200
260,Jerome Kersey,.986,.101,.014,.362,.507,.014,.813,,.000,.000
540,Jerome Williams,.990,.548,.143,.153,.146,.010,.610,,.054,.000
476,Jerry Stackhouse,.755,.231,.049,.179,.295,.245,.431,.777,.025,.288
231,Jim Jackson,.873,.198,.209,.195,.272,.127,.465,.885,.008,.325
318,Jim McIlvaine,1.000,.179,.429,.250,.143,.000,.700,,.000,
468,Joe Smith,.993,.244,.226,.175,.348,.007,.630,,.027,.400
426,Joel Przybilla,1.000,.800,.200,.000,.000,.000,.833,,.143,
9,John Amaechi,.988,.400,.203,.122,.264,.012,.519,,.017,.000
93,John Coker,1.000,.125,.250,.375,.250,.000,1.000,,.000,
105,John Crotty,.892,.431,.108,.092,.262,.108,.556,1.000,.000,.143
477,John Starks,.735,.171,.069,.077,.418,.265,.818,.953,.003,.473
483,John Stockton,.797,.352,.077,.126,.243,.203,.419,.787,.000,.106
525,John Wallace,.936,.216,.089,.309,.322,.064,.510,1.000,.025,.067
373,Johnny Newman,.747,.283,.094,.127,.243,.253,.496,.915,.013,.381
26,Jon Barry,.482,.161,.059,.082,.180,.518,.667,.717,.004,.144
29,Jonathan Bender,.780,.161,.204,.091,.323,.220,.709,1.000,.027,.366
66,Jud Buechler,.530,.183,.030,.049,.262,.470,.795,.969,.012,.558
252,Jumaine Jones,.782,.284,.065,.156,.276,.218,.775,.950,.062,.250
221,Juwan Howard,.998,.222,.398,.306,.071,.002,.628,,.049,.333
348,Jérôme Moïso,.967,.467,.167,.133,.200,.033,.750,,.100,.000
