,Player,G,MP,FG%,Avg FG Distance,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,FG% by Distance - 2P,FG% by Distance - 0-3,FG% by Distance - 3-10,FG% by Distance - 10-16,FG% by Distance - 16-3P,FG% by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Corner 3s - %3PA,Corner 3s - 3P%
407,Lauri Markkanen,66,2273,.499,14.6,.554,.213,.251,.053,.037,.446,.585,.717,.505,.525,.452,.391,.650,.935,.184,.489
317,LeBron James,55,1954,.500,12.8,.691,.302,.197,.084,.107,.309,.580,.788,.463,.340,.397,.321,.395,.628,.080,.267
355,Louis King,1,29,.615,18.2,.385,.154,.154,.000,.077,.615,.800,1.000,.500,,1.000,.500,.500,.750,.125,1.000
571,Luka Šamanić,7,161,.456,15.4,.456,.246,.175,.018,.018,.544,.692,.786,.700,.000,.000,.258,.778,1.000,.226,.286
453,Marcus Morris,65,1825,.426,18.2,.521,.070,.118,.199,.134,.479,.484,.711,.500,.414,.453,.364,.414,.955,.231,.310
454,Markieff Morris,35,355,.409,19.7,.383,.061,.087,.157,.078,.617,.432,.571,.200,.556,.333,.394,.737,1.000,.310,.409
357,Maxi Kleber,37,930,.456,18.1,.337,.237,.047,.036,.018,.663,.667,.725,.500,.667,.333,.348,.868,.974,.277,.290
345,Mfiondu Kabengele,4,36,.286,12.7,.571,.429,.143,.000,.000,.429,.500,.667,.000,,,.000,.500,,.333,.000
522,Micah Potter,7,52,.667,14.3,.533,.200,.333,.000,.000,.467,.750,1.000,.600,,,.571,.667,1.000,.143,1.000
203,Michael Foster Jr.,1,1,,,,,,,,,,,,,,,,,,
41,Nicolas Batum,78,1709,.420,21.6,.168,.094,.039,.016,.018,.832,.563,.694,.533,.333,.143,.391,.611,.992,.391,.435
342,Nikola Jović,15,204,.406,16.3,.493,.188,.159,.087,.058,.507,.588,.846,.455,.333,.500,.229,.850,1.000,.286,.300
628,Obi Toppin,67,1050,.446,16.0,.411,.289,.095,.019,.007,.589,.593,.736,.250,.125,.667,.344,.863,.965,.470,.353
82,Oshae Brissett,65,1083,.386,13.9,.514,.326,.147,.016,.019,.486,.457,.558,.277,.400,.000,.310,.707,.938,.258,.225
161,Ousmane Dieng,39,569,.420,16.2,.459,.210,.188,.033,.028,.541,.602,.789,.500,.167,.400,.265,.780,.962,.265,.308
634,P.J. Tucker,75,1920,.427,16.5,.378,.173,.151,.036,.018,.622,.482,.487,.441,.500,.750,.393,.732,.982,.914,.398
659,P.J. Washington,73,2380,.444,14.8,.562,.198,.242,.060,.061,.438,.518,.691,.451,.424,.317,.348,.740,.919,.220,.351
29,Paolo Banchero,72,2430,.427,12.4,.746,.242,.253,.124,.127,.254,.471,.658,.380,.410,.352,.298,.404,.706,.123,.343
587,Pascal Siakam,71,2652,.480,12.2,.781,.192,.292,.159,.126,.219,.523,.750,.474,.469,.370,.324,.311,.849,.199,.351
686,Patrick Williams,82,2323,.464,14.6,.591,.258,.112,.120,.100,.409,.498,.640,.316,.432,.412,.415,.633,.983,.390,.463
230,RaiQuan Gray,1,35,.500,11.5,.583,.500,.083,.000,.000,.417,.571,.667,.000,,,.400,1.000,1.000,.400,.000
138,Robert Covington,48,779,.445,16.8,.406,.205,.157,.031,.013,.594,.516,.702,.361,.143,.333,.397,.750,.981,.147,.450
256,Ron Harper Jr.,9,48,.500,15.5,.438,.188,.250,.000,.000,.563,.714,.667,.750,,,.333,.600,1.000,.444,.500
212,Rudy Gay,56,816,.380,16.8,.547,.105,.174,.157,.111,.453,.484,.667,.440,.422,.469,.254,.526,1.000,.338,.318
245,Rui Hachimura,63,1466,.486,12.9,.726,.247,.176,.171,.132,.274,.550,.736,.369,.490,.519,.319,.618,1.000,.319,.333
4,Santi Aldama,77,1682,.470,14.6,.493,.280,.166,.030,.017,.507,.591,.707,.471,.250,.444,.353,.680,.968,.391,.365
656,T.J. Warren,26,490,.510,12.9,.760,.150,.250,.255,.105,.240,.566,.833,.440,.529,.571,.333,.663,.938,.354,.235
184,Tari Eason,82,1767,.448,9.2,.739,.433,.262,.029,.015,.261,.486,.619,.318,.211,.100,.343,.473,.983,.285,.367
