,Player,GS,FG,FGA,ORB,DRB,AST,STL,BLK,TOV,PF
144,Tyronn Lue,49,4.2,9.3,0.2,1.9,4.6,0.5,0.0,1.5,2.4
221,Tyson Chandler,10,2.6,5.2,3.3,6.4,0.8,0.9,1.8,1.5,3.4
156,Udonis Haslem,80,4.3,8.0,3.0,6.1,1.4,0.8,0.5,1.4,3.3
416,Viktor Khryapa,5,1.7,3.9,0.9,2.5,0.8,0.6,0.6,1.0,2.5
581,Vin Baker,0,0.5,1.6,0.6,0.8,0.4,0.1,0.1,0.6,1.4
8,Vince Carter,76,9.0,20.0,1.4,3.8,4.2,1.4,0.6,2.2,3.2
459,Vitaly Potapenko,1,1.4,2.6,0.9,1.5,0.3,0.2,0.1,0.4,1.6
523,Vlade Divac,0,0.9,2.1,1.2,0.9,1.3,0.3,0.1,0.9,1.7
132,Vladimir Radmanović,0,4.2,10.3,0.8,3.8,1.4,0.9,0.5,1.3,2.7
182,Voshon Lenard,1,3.3,8.7,0.0,2.0,2.0,0.3,0.0,0.7,0.7
76,Wally Szczerbiak,37,5.7,11.3,1.0,2.7,2.4,0.5,0.2,1.6,2.2
450,Walter McCarty,0,1.3,3.3,0.4,1.5,0.5,0.3,0.2,0.5,2.0
533,Wang Zhizhi,0,0.9,1.8,0.3,0.6,0.3,0.2,0.1,0.3,0.5
298,Wesley Person,3,2.6,5.5,0.1,2.0,1.0,0.5,0.1,0.4,0.7
235,Willie Green,21,2.7,7.4,0.4,1.9,1.8,0.6,0.1,1.3,2.1
48,Yao Ming,80,6.7,12.2,2.6,5.8,0.8,0.4,2.0,2.5,3.7
555,Yuta Tabuse,0,0.3,1.5,0.5,0.5,0.8,0.0,0.0,0.3,0.3
44,Zach Randolph,37,7.2,16.1,3.1,6.5,1.9,0.7,0.4,2.4,2.4
316,Zaza Pachulia,4,2.2,4.8,1.8,3.3,0.8,0.6,0.5,0.9,2.2
469,Zendon Hamilton,0,0.7,2.0,1.1,1.5,0.4,0.3,0.1,0.8,1.6
374,Zoran Planinić,8,1.8,4.0,0.4,1.2,1.0,0.6,0.0,1.0,1.8
58,Zydrunas Ilgauskas,78,5.9,12.6,3.8,4.8,1.3,0.7,2.1,2.4,4.0
320,Žarko Čabarkapa,0,2.2,4.4,0.9,1.7,0.6,0.3,0.1,0.8,1.5
338,Željko Rebrača,2,2.3,4.0,0.8,2.3,0.4,0.2,0.7,0.8,2.2
