,Roster,Avg Height
442,2015SAS,79.2
443,2015TOR,78.9
444,2015UTA,79.9
445,2015WAS,80.4
446,2016ATL,78.4
447,2016BOS,79.1
448,2016BRK,78.2
449,2016CHI,79.1
450,2016CHO,80.0
451,2016CLE,79.3
452,2016DAL,78.8
453,2016DEN,79.0
454,2016DET,79.5
455,2016GSW,79.0
456,2016HOU,78.3
457,2016IND,79.8
458,2016LAC,78.2
459,2016LAL,78.8
460,2016MEM,78.5
461,2016MIA,79.2
462,2016MIL,79.9
463,2016MIN,80.3
464,2016NOP,79.5
465,2016NYK,79.5
466,2016OKC,80.5
467,2016ORL,80.4
468,2016PHI,78.4
469,2016PHO,78.9
470,2016POR,79.6
471,2016SAC,79.2
472,2016SAS,79.6
473,2016TOR,78.8
474,2016UTA,79.4
475,2016WAS,78.8
476,2017ATL,78.4
477,2017BOS,78.0
478,2017BRK,79.4
479,2017CHI,80.0
480,2017CHO,79.7
481,2017CLE,79.6
482,2017DAL,78.8
483,2017DEN,78.7
484,2017DET,78.8
485,2017GSW,79.5
486,2017HOU,79.8
487,2017IND,78.9
488,2017LAC,78.3
489,2017LAL,79.6
490,2017MEM,78.8
491,2017MIA,78.6
492,2017MIL,79.5
493,2017MIN,78.7
494,2017NOP,78.0
495,2017NYK,80.1
496,2017OKC,79.7
497,2017ORL,78.8
498,2017PHI,79.3
499,2017PHO,78.4
500,2017POR,80.0
501,2017SAC,79.1
502,2017SAS,79.8
503,2017TOR,79.0
504,2017UTA,79.7
505,2017WAS,79.4
506,2018ATL,78.7
507,2018BOS,78.6
508,2018BRK,79.2
509,2018CHI,80.1
510,2018CHO,78.7
511,2018CLE,78.9
512,2018DAL,78.7
513,2018DEN,79.0
514,2018DET,78.3
515,2018GSW,79.8
516,2018HOU,79.0
517,2018IND,78.4
518,2018LAC,79.1
519,2018LAL,79.9
520,2018MEM,79.4
521,2018MIA,78.9
522,2018MIL,79.0
523,2018MIN,79.4
524,2018NOP,78.0
525,2018NYK,79.8
526,2018OKC,79.1
527,2018ORL,78.2
528,2018PHI,79.2
529,2018PHO,79.7
530,2018POR,78.8
531,2018SAC,79.7
532,2018SAS,79.6
533,2018TOR,79.1
534,2018UTA,79.8
535,2018WAS,79.7
536,2019ATL,79.0
537,2019BOS,78.7
538,2019BRK,79.1
539,2019CHI,79.4
540,2019CHO,78.6
541,2019CLE,79.2
542,2019DAL,78.9
543,2019DEN,78.8
544,2019DET,78.0
545,2019GSW,78.9
546,2019HOU,77.8
547,2019IND,78.3
548,2019LAC,77.9
549,2019LAL,79.7
550,2019MEM,79.1
551,2019MIA,79.1
552,2019MIL,79.0
553,2019MIN,79.2
554,2019NOP,78.3
555,2019NYK,79.3
556,2019OKC,79.0
557,2019ORL,79.2
558,2019PHI,79.5
559,2019PHO,79.8
560,2019POR,79.5
561,2019SAC,79.0
562,2019SAS,79.3
563,2019TOR,78.3
564,2019UTA,78.9
565,2019WAS,80.0
566,2020ATL,79.7
567,2020BOS,78.2
568,2020BRK,79.2
569,2020CHI,80.2
570,2020CHO,78.2
571,2020CLE,77.8
572,2020DAL,79.3
573,2020DEN,79.2
574,2020DET,79.1
575,2020GSW,78.3
576,2020HOU,78.0
577,2020IND,77.9
578,2020LAC,78.6
579,2020LAL,79.5
580,2020MEM,78.6
581,2020MIA,79.3
582,2020MIL,79.7
583,2020MIN,78.1
584,2020NOP,78.6
585,2020NYK,79.8
586,2020OKC,78.7
587,2020ORL,79.5
588,2020PHI,79.9
589,2020PHO,79.1
590,2020POR,78.5
591,2020SAC,78.6
592,2020SAS,78.8
593,2020TOR,78.4
594,2020UTA,78.3
595,2020WAS,79.0
596,2021ATL,79.5
597,2021BOS,78.1
598,2021BRK,78.6
599,2021CHI,79.8
600,2021CHO,78.8
601,2021CLE,79.1
602,2021DAL,79.6
603,2021DEN,78.0
604,2021DET,79.3
605,2021GSW,77.9
606,2021HOU,78.0
607,2021IND,77.8
608,2021LAC,79.3
609,2021LAL,78.9
610,2021MEM,78.1
611,2021MIA,79.2
612,2021MIL,78.7
613,2021MIN,78.0
614,2021NOP,79.0
615,2021NYK,79.2
616,2021OKC,80.2
617,2021ORL,78.9
618,2021PHI,79.1
619,2021PHO,78.9
620,2021POR,78.2
621,2021SAC,78.3
622,2021SAS,78.5
623,2021TOR,77.4
624,2021UTA,78.4
625,2021WAS,79.1
626,2022ATL,79.0
627,2022BOS,77.7
628,2022BRK,78.8
629,2022CHI,78.2
630,2022CHO,79.3
631,2022CLE,79.7
632,2022DAL,79.4
633,2022DEN,77.6
634,2022DET,78.1
635,2022GSW,78.6
636,2022HOU,77.8
637,2022IND,79.1
638,2022LAC,79.3
639,2022LAL,78.6
640,2022MEM,78.7
641,2022MIA,78.3
642,2022MIL,79.1
643,2022MIN,78.6
644,2022NOP,79.0
645,2022NYK,79.0
646,2022OKC,78.8
647,2022ORL,79.5
648,2022PHI,78.3
649,2022PHO,78.5
650,2022POR,77.8
651,2022SAC,79.4
652,2022SAS,78.1
653,2022TOR,79.4
654,2022UTA,78.7
655,2022WAS,79.0
656,2023ATL,78.6
657,2023BOS,79.6
658,2023BRK,78.5
659,2023CHI,78.8
660,2023CHO,79.8
661,2023CLE,79.2
662,2023DAL,78.9
663,2023DEN,79.1
664,2023DET,78.6
665,2023GSW,78.1
666,2023HOU,79.0
667,2023IND,78.9
668,2023LAC,78.9
669,2023LAL,78.5
670,2023MEM,78.8
671,2023MIA,77.6
672,2023MIL,79.3
673,2023MIN,79.8
674,2023NOP,79.2
675,2023NYK,78.9
676,2023OKC,78.7
677,2023ORL,80.2
678,2023PHI,78.6
679,2023PHO,79.0
680,2023POR,78.8
681,2023SAC,78.8
682,2023SAS,79.0
683,2023TOR,80.2
684,2023UTA,78.7
685,2023WAS,79.5
686,2024ATL,79.2
687,2024BOS,80.0
688,2024BRK,77.7
689,2024CHI,78.7
690,2024CHO,79.1
691,2024CLE,78.7
692,2024DAL,78.3
693,2024DEN,79.4
694,2024DET,79.2
695,2024GSW,78.1
696,2024HOU,78.3
697,2024IND,78.9
698,2024LAC,79.4
699,2024LAL,80.0
700,2024MEM,79.0
701,2024MIA,77.7
702,2024MIL,79.0
703,2024MIN,79.1
704,2024NOP,79.7
705,2024NYK,78.4
706,2024OKC,79.2
707,2024ORL,80.3
708,2024PHI,79.2
709,2024PHO,79.0
710,2024POR,79.7
711,2024SAC,78.7
712,2024SAS,79.4
713,2024TOR,78.4
714,2024UTA,79.4
715,2024WAS,79.0
